ID	名称	描述	效果	组别	[参数]1低值	[参数]1高值	[参数]2低值	[参数]2高值	[参数]3低值	[参数]3高值	成长曲线类型	名字排序优先级
1001	增加生命上限R1	生命上限+N1	5	100	11	15					3	10
1002	增加生命上限R2	生命上限+N1	5	100	21	30					3	10
1003	增加生命上限R3	生命上限+N1	5	100	32	46					3	10
1004	增加生命上限R4	生命上限+N1	5	100	43	61					3	10
1005	增加生命上限R5	生命上限+N1	5	100	53	76					3	10
1101	增加攻击力R1	攻击力+N1	1	110	1	2					3	11
1102	增加攻击力R2	攻击力+N1	1	110	2	3					3	11
1103	增加攻击力R3	攻击力+N1	1	110	3	5					3	11
1104	增加攻击力R4	攻击力+N1	1	110	4	6					3	11
1105	增加攻击力R5	攻击力+N1	1	110	6	8					3	11
1201	增加防御力R1	防御力+N1	3	120	1	2					3	12
1202	增加防御力R2	防御力+N1	3	120	3	4					3	12
1203	增加防御力R3	防御力+N1	3	120	4	6					3	12
1204	增加防御力R4	防御力+N1	3	120	6	8					3	12
1205	增加防御力R5	防御力+N1	3	120	7	10					3	12
3101	增加暴击R1	暴击率+N1%	9	310	0.14	0.2					3	31
3102	增加暴击R2	暴击率+N1%	9	310	0.28	0.4					3	31
3103	增加暴击R3	暴击率+N1%	9	310	0.42	0.6					3	31
3104	增加暴击R4	暴击率+N1%	9	310	0.56	0.8					3	31
3105	增加暴击R5	暴击率+N1%	9	310	0.7	1					3	31
3201	增加暴击伤害R1	暴击伤害+N1%	11	320	0.14	0.2					3	32
3202	增加暴击伤害R2	暴击伤害+N1%	11	320	0.28	0.4					3	32
3203	增加暴击伤害R3	暴击伤害+N1%	11	320	0.42	0.6					3	32
3204	增加暴击伤害R4	暴击伤害+N1%	11	320	0.56	0.8					3	32
3205	增加暴击伤害R5	暴击伤害+N1%	11	320	0.7	1					3	32
5101	增加火焰伤害R1	火伤增加+N1%	14	510	0.28	0.4					3	51
5102	增加火焰伤害R2	火伤增加+N1%	14	510	0.56	0.8					3	51
5103	增加火焰伤害R3	火伤增加+N1%	14	510	0.84	1.2					3	51
