ID	等级
1001	1
1001	2
1001	3
1002	1
1002	2
1002	3
1003	1
1003	2
1003	3
1011	1
1011	2
1011	3
1012	1
1012	2
1012	3
1013	1
1013	2
1013	3
1021	1
1021	2
1021	3
1022	1
1022	2
1022	3
1023	1
1023	2
1023	3
1031	1
1031	2
1031	3
1032	1
1032	2
1032	3
1033	1
1033	2
1033	3
1041	1
1041	2
1041	3
1042	1
1042	2
1042	3
1043	1
1043	2
1043	3
1051	1
1051	2
1051	3
1052	1
1052	2
1052	3
1053	1
1053	2
1053	3
1061	1
1061	2
1061	3
1062	1
1062	2
1062	3
1063	1
1063	2
1063	3
1071	1
1071	2
1071	3
1072	1
1072	2
1072	3
1073	1
1073	2
1073	3
2001	1
2001	2
2001	3
2002	1
2002	2
2002	3
2003	1
2003	2
2003	3
2011	1
2011	2
2011	3
2012	1
2012	2
2012	3
2013	1
2013	2
2013	3
2021	1
2021	2
2021	3
2022	1
2022	2
2022	3
2023	1
2023	2
2023	3
2031	1
2031	2
2031	3
2032	1
2032	2
2032	3
2033	1
2033	2
2033	3
2041	1
2041	2
2041	3
2042	1
2042	2
2042	3
2043	1
2043	2
2043	3
2051	1
2051	2
2051	3
2052	1
2052	2
2052	3
2053	1
2053	2
2053	3
2061	1
2061	2
2061	3
2062	1
2062	2
2062	3
2063	1
2063	2
2063	3
2071	1
2071	2
2071	3
2072	1
2072	2
2072	3
2073	1
2073	2
2073	3
