ID	Prefab路径	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	是否使用	体型	ScriptData路径	正面Icon	侧面Icon	角色品质	角色Cost	充能效率	治疗效果	受治疗效果	战斗config	是否远程射击角色	初始武器	武器种类	展柜角色路径	立绘	技能库ID	体力恢复速度	候选技能库ID	展示柜JsonConfig	展柜动作配置ID	Name	Desc
10000002	ART/Char/Avatar/Avatar_Girl_Sword_Ayaka/Avatar_Girl_Sword_Ayaka		606.39	10.69	18.31	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	2	Data/ScriptData/Avatar/Avatar_Girl	UI_AvatarIcon_Ayaka	UI_AvatarIcon_Side_Ayaka	5	1,1,1,1,1	1	0	0	ConfigAvatar_Ayaka	0	11101	1	ART/Char/Avatar/Avatar_Girl_Sword_Ayaka/Avatar_Girl_Sword_Ayaka_Manekin	AvatarImage_Forward_Ayaka	201	25		ConfigAvatar_Manekin_Ayaka	104	AvatarData_Name_10000002	AvatarData_Desc_10000002
10000003	ART/Char/Avatar/Avatar_Lady_Sword_Qin/Avatar_Lady_Sword_Qin		560.1401	12.024	19.386	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	2	3	Data/ScriptData/Avatar/Avatar_Lady	UI_AvatarIcon_Qin	UI_AvatarIcon_Side_Qin	5	1,1,1,1,1	1	0	0	ConfigAvatar_Qin	0	11101	1	ART/Char/Avatar/Avatar_Lady_Sword_Qin/Avatar_Lady_Sword_Qin_Manekin	AvatarImage_Forward_Qin	301	25		ConfigAvatar_Manekin_Qin	103	AvatarData_Name_10000003	AvatarData_Desc_10000003
10000005	ART/Char/Avatar/Avatar_Boy_Sword_PlayerBoy/Avatar_Boy_Sword_PlayerBoy		335.67	8.73	11.73	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	1	Data/ScriptData/Avatar/Avatar_Boy	UI_AvatarIcon_PlayerBoy	UI_AvatarIcon_Side_PlayerBoy	3	1,1,1,1,1	1	0	0	ConfigAvatar_PlayerBoy	0	11101	1	ART/Char/Avatar/Avatar_Boy_Sword_PlayerBoy/Avatar_Boy_Sword_PlayerBoy_Manekin	AvatarImage_Forward_Kate	501	25	501,502,503,504,505,506	ConfigAvatar_Manekin_PlayerBoy	104	AvatarData_Name_10000005	AvatarData_Desc_10000005
10000006	ART/Char/Avatar/Avatar_Lady_Catalyst_Lisa/Avatar_Lady_Catalyst_Lisa		302.103	10.476	10.557	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	3	Data/ScriptData/Avatar/Avatar_Lady	UI_AvatarIcon_Lisa	UI_AvatarIcon_Side_Lisa	4	1,1,1,1,1	1	0	0	ConfigAvatar_Lisa	0	14101	10	ART/Char/Avatar/Avatar_Lady_Catalyst_Lisa/Avatar_Lady_Catalyst_Lisa_Manekin	AvatarImage_Forward_Lisa	601	25		ConfigAvatar_Manekin_Lisa	104	AvatarData_Name_10000006	AvatarData_Desc_10000006
10000007	ART/Char/Avatar/Avatar_Girl_Sword_PlayerGirl/Avatar_Girl_Sword_PlayerGirl		335.67	8.73	11.73	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	2	Data/ScriptData/Avatar/Avatar_Girl	UI_AvatarIcon_PlayerGirl	UI_AvatarIcon_Side_PlayerGirl	3	1,1,1,1,1	1	0	0	ConfigAvatar_PlayerGirl	0	11101	1	ART/Char/Avatar/Avatar_Girl_Sword_PlayerGirl/Avatar_Girl_Sword_PlayerGirl_Manekin	AvatarImage_Forward_Kate	701	25	701,702,703,704,705,706	ConfigAvatar_Manekin_PlayerGirl	104	AvatarData_Name_10000007	AvatarData_Desc_10000007
10000014	ART/Char/Avatar/Avatar_Girl_Catalyst_Barbara/Avatar_Girl_Catalyst_Barbara		355.8102	6.5475	10.7916	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	2	Data/ScriptData/Avatar/Avatar_Girl	UI_AvatarIcon_Barbara	UI_AvatarIcon_Side_Barbara	4	1,1,1,1,1	1	0	0	ConfigAvatar_Barbara	0	14101	10	ART/Char/Avatar/Avatar_Girl_Catalyst_Barbara/Avatar_Girl_Catalyst_Barbara_Manekin	AvatarImage_Forward_Barbara	1401	25		ConfigAvatar_Manekin_Barbara	104	AvatarData_Name_10000014	AvatarData_Desc_10000014
10000015	ART/Char/Avatar/Avatar_Male_Sword_Kaeya/Avatar_Male_Sword_Kaeya		375.9504	7.4205	12.4338	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	4	Data/ScriptData/Avatar/Avatar_Male	UI_AvatarIcon_Kaeya	UI_AvatarIcon_Side_Kaeya	4	1,1,1,1,1	1	0	0	ConfigAvatar_Kaeya	0	11101	1	ART/Char/Avatar/Avatar_Male_Sword_Kaeya/Avatar_Male_Sword_Kaeya_Manekin	AvatarImage_Forward_Qin	1501	25		ConfigAvatar_Manekin_Kaeya	104	AvatarData_Name_10000015	AvatarData_Desc_10000015
10000016	ART/Char/Avatar/Avatar_Male_Claymore_Diluc/Avatar_Male_Claymore_Diluc		565.279	14.028	17.95	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	2	4	Data/ScriptData/Avatar/Avatar_Male	UI_AvatarIcon_Diluc	UI_AvatarIcon_Side_Diluc	5	1,1,1,1,1	1	0	0	ConfigAvatar_Diluc	0	12101	11	ART/Char/Avatar/Avatar_Male_Claymore_Diluc/Avatar_Male_Claymore_Diluc_Manekin	AvatarImage_Forward_Diluc	1601	25		ConfigAvatar_Manekin_Diluc	104	AvatarData_Name_10000016	AvatarData_Desc_10000016
10000020	ART/Char/Avatar/Avatar_Boy_Claymore_Razor/Avatar_Boy_Claymore_Razor		379.3071	7.5078	12.3165	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	1	Data/ScriptData/Avatar/Avatar_Boy	UI_AvatarIcon_Razor	UI_AvatarIcon_Side_Razor	4	1,1,1,1,1	1	0	0	ConfigAvatar_Razor	0	12101	11	ART/Char/Avatar/Avatar_Boy_Claymore_Razor/Avatar_Boy_Claymore_Razor_Manekin	AvatarImage_Forward_Qin	2001	25		ConfigAvatar_Manekin_Razor	104	AvatarData_Name_10000020	AvatarData_Desc_10000020
10000021	ART/Char/Avatar/Avatar_Girl_Bow_Ambor/Avatar_Girl_Bow_Ambor		278.6061	13.0077	9.9705	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	2	Data/ScriptData/Avatar/Avatar_Girl	UI_AvatarIcon_Ambor	UI_AvatarIcon_Side_Ambor	4	1,1,1,1,1	1	0	0	ConfigAvatar_Ambor	1	15101	12	ART/Char/Avatar/Avatar_Girl_Bow_Ambor/Avatar_Girl_Bow_Ambor_Manekin	AvatarImage_Forward_Ambor	2101	25		ConfigAvatar_Manekin_Ambor	105	AvatarData_Name_10000021	AvatarData_Desc_10000021
10000022	ART/Char/Avatar/Avatar_Boy_Bow_Venti/Avatar_Boy_Bow_Venti		441.9454	17.6352	15.9755	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	2	1	Data/ScriptData/Avatar/Avatar_Boy	UI_AvatarIcon_Venti	UI_AvatarIcon_Side_Venti	5	1,1,1,1,1	1	0	0	ConfigAvatar_Venti	1	15101	12	ART/Char/Avatar/Avatar_Boy_Bow_Venti/Avatar_Boy_Bow_Venti_Manekin	AvatarImage_Forward_Venti	2201	25		ConfigAvatar_Manekin_Venti	104	AvatarData_Name_10000022	AvatarData_Desc_10000022
10000023	ART/Char/Avatar/Avatar_Girl_Pole_Xiangling/Avatar_Girl_Pole_Xiangling		369.237	8.2935	12.1992	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	2	2	Data/ScriptData/Avatar/Avatar_Girl	UI_AvatarIcon_Xiangling	UI_AvatarIcon_Side_Xiangling	4	1,1,1,1,1	1	0	0	ConfigAvatar_Xiangling	0	13101	13	ART/Char/Avatar/Avatar_Girl_Pole_Xiangling/Avatar_Girl_Pole_Xiangling_Manekin	AvatarImage_Forward_Xiangling	2301	25		ConfigAvatar_Manekin_Xiangling	103	AvatarData_Name_10000023	AvatarData_Desc_10000023
10000024	ART/Char/Avatar/Avatar_Lady_Claymore_Beidou/Avatar_Lady_Claymore_Beidou		379.3071	7.5078	12.3165	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	3	Data/ScriptData/Avatar/Avatar_Lady	UI_AvatarIcon_Beidou	UI_AvatarIcon_Side_Beidou	4	1,1,1,1,1	1	0	0	ConfigAvatar_Beidou	0	12101	11	ART/Char/Avatar/Avatar_Lady_Sword_Qin/Avatar_Lady_Sword_Qin_Manekin	AvatarImage_Forward_Beidou	2401	25		ConfigAvatar_Manekin	100	AvatarData_Name_10000024	AvatarData_Desc_10000024
