ID	组ID	名称	描述	持续时间	自身叠加类型	Ability名称	Modifier名称
1	1	攻击提升料理	提升30%攻击，持续时间3分钟	180	0	Item_Food_Attack	AttackModifier
2	1	防御提升料理	提升30%防御，持续时间3分钟	180	0	Item_Food_Defence	DefenceModifier
3	2	生命提升料理	提升50%最大生命，持续时间3分钟	180	0	Item_Food_MaxHP	MaxHPModifier
108001	10	生命恢复料理	立即恢复232点HP，每5秒恢复28点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_1
108002	10	生命恢复料理	立即恢复309点HP，每5秒恢复37点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_2
108003	10	生命恢复料理	立即恢复386点HP，每5秒恢复47点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_3
108004	10	生命恢复料理	立即恢复579点HP，每5秒恢复70点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_4
108007	11	攻击提升料理	攻击增加4点，持续120秒	120	0	Atk_Team	Atk_Team_Modifier_lv1_1
108008	11	攻击提升料理	攻击增加7点，持续120秒	120	0	Atk_Team	Atk_Team_Modifier_lv1_2
108009	11	攻击提升料理	攻击增加9点，持续120秒	120	0	Atk_Team	Atk_Team_Modifier_lv1_3
108010	11	攻击提升料理	攻击增加13点，持续120秒	120	0	Atk_Team	Atk_Team_Modifier_lv1_4
108011	12	防御提升料理	防御增加3点，持续120秒	120	0	Def_Team	Def_Team_Modifier_lv1_1
108012	12	防御提升料理	防御增加4点，持续120秒	120	0	Def_Team	Def_Team_Modifier_lv1_2
108013	12	防御提升料理	防御增加6点，持续120秒	120	0	Def_Team	Def_Team_Modifier_lv1_3
108014	12	防御提升料理	防御增加8点，持续120秒	120	0	Def_Team	Def_Team_Modifier_lv1_4
108015	10	生命恢复料理	立即恢复506点HP，每5秒恢复61点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv2_1
108016	10	生命恢复料理	立即恢复674点HP，每5秒恢复81点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv2_2
108017	10	生命恢复料理	立即恢复843点HP，每5秒恢复102点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv2_3
108018	10	生命恢复料理	立即恢复1264点HP，每5秒恢复153点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv2_4
108019	11	攻击提升料理	攻击增加11点，持续120秒	120	0	Atk_Team	Atk_Team_Modifier_lv2_1
108020	11	攻击提升料理	攻击增加16点，持续120秒	120	0	Atk_Team	Atk_Team_Modifier_lv2_2
108021	11	攻击提升料理	攻击增加22点，持续120秒	120	0	Atk_Team	Atk_Team_Modifier_lv2_3
108022	13	元素提升料理	电系伤害提升12%，持续120秒	120	0	Elec_Team	Elec_Team_Modifier_lv2_1
108023	13	元素提升料理	电系伤害提升18%，持续120秒	120	0	Elec_Team	Elec_Team_Modifier_lv2_2
108024	13	元素提升料理	电系伤害提升24%，持续120秒	120	0	Elec_Team	Elec_Team_Modifier_lv2_3
108025	13	元素提升料理	火系伤害提升12%，持续120秒	120	0	Fire_Team	Fire_Team_Modifier_lv2_1
108026	13	元素提升料理	火系伤害提升18%，持续120秒	120	0	Fire_Team	Fire_Team_Modifier_lv2_2
108027	13	元素提升料理	火系伤害提升24%，持续120秒	120	0	Fire_Team	Fire_Team_Modifier_lv2_3
108028	13	元素提升料理	水系伤害提升12%，持续120秒	120	0	Water_Team	Water_Team_Modifier_lv2_1
108029	13	元素提升料理	水系伤害提升18%，持续120秒	120	0	Water_Team	Water_Team_Modifier_lv2_2
108030	13	元素提升料理	水系伤害提升24%，持续120秒	120	0	Water_Team	Water_Team_Modifier_lv2_3
108031	12	防御提升料理	防御增加7点，持续120秒	120	0	Def_Team	Def_Team_Modifier_lv2_1
108032	12	防御提升料理	防御增加10点，持续120秒	120	0	Def_Team	Def_Team_Modifier_lv2_2
108033	12	防御提升料理	防御增加13点，持续120秒	120	0	Def_Team	Def_Team_Modifier_lv2_3
108036	99	复活buff料理	恢复2%HP		0	revive_buff	revive_buff_Modifier_lv2_0
108037	99	复活buff料理	恢复4%HP		0	revive_buff	revive_buff_Modifier_lv2_1
108038	99	复活buff料理	恢复6%HP		0	revive_buff	revive_buff_Modifier_lv2_2
108039	99	复活buff料理	恢复8%HP		0	revive_buff	revive_buff_Modifier_lv2_3
108040	99	复活buff料理	恢复15%HP，防御增加15点，持续120秒	120	0	revive_buff	revive_buff_Modifier_lv2_4
108041	99	复活buff料理	恢复10%HP		0	revive_buff	revive_buff_Modifier_lv3_1
108042	99	复活buff料理	恢复15%HP		0	revive_buff	revive_buff_Modifier_lv3_2
108043	99	复活buff料理	恢复20%HP		0	revive_buff	revive_buff_Modifier_lv3_3
108044	99	复活buff料理	恢复40%HP		0	revive_buff	revive_buff_Modifier_lv3_4
108045	11	攻击提升料理	攻击增加21点，持续120秒	120	0	Atk_Team	Atk_Team_Modifier_lv3_1
108046	11	攻击提升料理	攻击增加31点，持续120秒	120	0	Atk_Team	Atk_Team_Modifier_lv3_2
108047	11	攻击提升料理	攻击增加41点，持续120秒	120	0	Atk_Team	Atk_Team_Modifier_lv3_3
108048	11	攻击提升料理	攻击增加62点，持续120秒	120	0	Atk_Team	Atk_Team_Modifier_lv3_4
108049	12	防御提升料理	防御增加12点，持续120秒	120	0	Def_Team	Def_Team_Modifier_lv3_1
108050	12	防御提升料理	防御增加19点，持续120秒	120	0	Def_Team	Def_Team_Modifier_lv3_2
108051	12	防御提升料理	防御增加25点，持续120秒	120	0	Def_Team	Def_Team_Modifier_lv3_3
108052	10	生命恢复料理	立即恢复634点HP，每5秒恢复76点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv3_1
108053	10	生命恢复料理	立即恢复845点HP，每5秒恢复102点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv3_2
