ID	食物链等级	敌对阵营表	Comment
1001	3	2001,3001,4001,4002,4003,9001,9002,9999,5001,5100,6666	CampData_Comment_1001
1002	3	2001,3001,4001,4002,4003,5001	CampData_Comment_1002
2001	3	1001,3001,9001,9002	CampData_Comment_2001
3001	4	2001,3001,9001,9002	CampData_Comment_3001
4001	5	1001,9001,9002	CampData_Comment_4001
4002	5	1001,9001,9002	CampData_Comment_4002
4003	5	1001,9001,9002	CampData_Comment_4003
5001	5	1001,2001,3001,4001,4002,4003,9001,9002	CampData_Comment_5001
9001	0	1001,2001,3001,4001,4002,4003,5100	CampData_Comment_9001
9002	0	1001,2001,3001,4001,4002,4003	CampData_Comment_9002
9999	0	1001,2001,3001,4001,4002,4003	CampData_Comment_9999
5100	5	1001,2001,3001,4001,4002,4003,9001,9002	CampData_Comment_5100
6666	5	1001,2001,3001,4001,4002,4003,9001,9002,9999,5001,5100,6666	CampData_Comment_6666
