ID	阶数	食谱图标	料理类型	烹饪方式	默认解锁	熟练度上限	品质1ID	品质1数量	品质2ID	品质2数量	品质3ID	品质3数量	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	材料5ID	材料5数量	QTE参数	烹饪自动QTE权重	Name	Desc	Effects1	Effects2	Effects3	Effects4
1001	1	UI_ItemIcon_Recipe_1002	1	4	1	15	108011	1	108012	1	108013	1	100011	1	100064	1							0.55,0.8;0.65,0.7	10,10,80	CookRecipeData_Name_1001	CookRecipeData_Desc_1001	CookRecipeData_Effects1_1001	CookRecipeData_Effects2_1001	CookRecipeData_Effects3_1001	CookRecipeData_Effects4_1001
1002	1	UI_ItemIcon_Recipe_1001	1	4	1	15	108001	1	108002	1	108003	1	100017	1	100076	1							0.55,0.8;0.65,0.7	10,10,80	CookRecipeData_Name_1002	CookRecipeData_Desc_1002	CookRecipeData_Effects1_1002	CookRecipeData_Effects2_1002	CookRecipeData_Effects3_1002	CookRecipeData_Effects4_1002
1003	2	UI_ItemIcon_Recipe_1003	1	4	1	20	108015	1	108016	1	108017	1	100017	1	100064	1							0.55,0.75;0.65,0.68	5,10,85	CookRecipeData_Name_1003	CookRecipeData_Desc_1003	CookRecipeData_Effects1_1003	CookRecipeData_Effects2_1003	CookRecipeData_Effects3_1003	CookRecipeData_Effects4_1003
1004	2	UI_ItemIcon_Recipe_1004	1	4	1	20	108031	1	108032	1	108033	1	100012	1	100064	2							0.55,0.75;0.65,0.68	5,10,85	CookRecipeData_Name_1004	CookRecipeData_Desc_1004	CookRecipeData_Effects1_1004	CookRecipeData_Effects2_1004	CookRecipeData_Effects3_1004	CookRecipeData_Effects4_1004
1006	3	UI_ItemIcon_Recipe_1006	4	4	1	30	108049	1	108050	1	108051	1	100056	1	100016	2	100073	1					0.6,0.8;0.65,0.665	0,10,90	CookRecipeData_Name_1006	CookRecipeData_Desc_1006	CookRecipeData_Effects1_1006	CookRecipeData_Effects2_1006	CookRecipeData_Effects3_1006	CookRecipeData_Effects4_1006
1007	3	UI_ItemIcon_Recipe_1007	2	4	1	30	108052	1	108053	1	108054	1	100063	1	110001	1	100075	1	110004	1			0.6,0.8;0.65,0.665	0,10,90	CookRecipeData_Name_1007	CookRecipeData_Desc_1007	CookRecipeData_Effects1_1007	CookRecipeData_Effects2_1007	CookRecipeData_Effects3_1007	CookRecipeData_Effects4_1007
2001	1	UI_ItemIcon_Recipe_2001	1	2	1	15	108004	1	108005	1	108006	1	100062	1									0.4,0.65;0.45,0.5	10,10,80	CookRecipeData_Name_2001	CookRecipeData_Desc_2001	CookRecipeData_Effects1_2001	CookRecipeData_Effects2_2001	CookRecipeData_Effects3_2001	CookRecipeData_Effects4_2001
2002	2	UI_ItemIcon_Recipe_2002	3	2	1	20	108034	1	108035	1	108036	1	110003	1	100064	1	100018	1					0.45,0.65;0.57,0.6	5,10,85	CookRecipeData_Name_2002	CookRecipeData_Desc_2002	CookRecipeData_Effects1_2002	CookRecipeData_Effects2_2002	CookRecipeData_Effects3_2002	CookRecipeData_Effects4_2002
2003	2	UI_ItemIcon_Recipe_2003	1	2	1	20	108037	1	108038	1	108039	1	100015	2	100061	1							0.45,0.65;0.57,0.6	5,10,85	CookRecipeData_Name_2003	CookRecipeData_Desc_2003	CookRecipeData_Effects1_2003	CookRecipeData_Effects2_2003	CookRecipeData_Effects3_2003	CookRecipeData_Effects4_2003
2004	3	UI_ItemIcon_Recipe_2004	4	2	1	30	108059	1	108060	1	108061	1	110005	1	110010	1	110011	1	100052	1			0.4,0.6;0.5,0.515	0,10,90	CookRecipeData_Name_2004	CookRecipeData_Desc_2004	CookRecipeData_Effects1_2004	CookRecipeData_Effects2_2004	CookRecipeData_Effects3_2004	CookRecipeData_Effects4_2004
