台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	对话资源	对话资源2	对话语音	对话前行为脚本	对话中行为脚本	对话后行为脚本	显示时长	选项图标	TalkContent	TalkTitle	TalkRoleName
3470101			1	1246				TEST/Readable01					DialogData_TalkContent_3470101	DialogData_TalkTitle_3470101	DialogData_TalkRoleName_3470101
3470201	3470202		1	1247				TEST/Readable01					DialogData_TalkContent_3470201	DialogData_TalkTitle_3470201	DialogData_TalkRoleName_3470201
3470202			1	1005									DialogData_TalkContent_3470202	DialogData_TalkTitle_3470202	DialogData_TalkRoleName_3470202
3470301	3470302		1	1248				TEST/Readable01					DialogData_TalkContent_3470301	DialogData_TalkTitle_3470301	DialogData_TalkRoleName_3470301
3470302	3470303		1	1248									DialogData_TalkContent_3470302	DialogData_TalkTitle_3470302	DialogData_TalkRoleName_3470302
3470303	3470304		1	1005									DialogData_TalkContent_3470303	DialogData_TalkTitle_3470303	DialogData_TalkRoleName_3470303
3470304			1	1005									DialogData_TalkContent_3470304	DialogData_TalkTitle_3470304	DialogData_TalkRoleName_3470304
3470401	3470402		1	1249				TEST/Readable01					DialogData_TalkContent_3470401	DialogData_TalkTitle_3470401	DialogData_TalkRoleName_3470401
3470402	3470403		1	1249									DialogData_TalkContent_3470402	DialogData_TalkTitle_3470402	DialogData_TalkRoleName_3470402
3470403	3470404		1	1249									DialogData_TalkContent_3470403	DialogData_TalkTitle_3470403	DialogData_TalkRoleName_3470403
3470404	3470405		1	1249									DialogData_TalkContent_3470404	DialogData_TalkTitle_3470404	DialogData_TalkRoleName_3470404
3470405	3470406		1	1249									DialogData_TalkContent_3470405	DialogData_TalkTitle_3470405	DialogData_TalkRoleName_3470405
3470406	3470407		1	1249									DialogData_TalkContent_3470406	DialogData_TalkTitle_3470406	DialogData_TalkRoleName_3470406
3470407	3470408		1	1249									DialogData_TalkContent_3470407	DialogData_TalkTitle_3470407	DialogData_TalkRoleName_3470407
3470408			1	1249									DialogData_TalkContent_3470408	DialogData_TalkTitle_3470408	DialogData_TalkRoleName_3470408
3470501	3470502		1	1250				TEST/Readable01					DialogData_TalkContent_3470501	DialogData_TalkTitle_3470501	DialogData_TalkRoleName_3470501
3470502			1	1005									DialogData_TalkContent_3470502	DialogData_TalkTitle_3470502	DialogData_TalkRoleName_3470502
3470601	3470602		1	1251				TEST/Readable01					DialogData_TalkContent_3470601	DialogData_TalkTitle_3470601	DialogData_TalkRoleName_3470601
3470602	3470603		1	1251									DialogData_TalkContent_3470602	DialogData_TalkTitle_3470602	DialogData_TalkRoleName_3470602
3470603	3470604		1	1251									DialogData_TalkContent_3470603	DialogData_TalkTitle_3470603	DialogData_TalkRoleName_3470603
3470604	3470605		1	1251									DialogData_TalkContent_3470604	DialogData_TalkTitle_3470604	DialogData_TalkRoleName_3470604
3470605			1	1251									DialogData_TalkContent_3470605	DialogData_TalkTitle_3470605	DialogData_TalkRoleName_3470605
3470701	3470702		1	1252				TEST/Readable01					DialogData_TalkContent_3470701	DialogData_TalkTitle_3470701	DialogData_TalkRoleName_3470701
3470702			1	1252									DialogData_TalkContent_3470702	DialogData_TalkTitle_3470702	DialogData_TalkRoleName_3470702
3470801	3470802		1	1253				TEST/Readable01					DialogData_TalkContent_3470801	DialogData_TalkTitle_3470801	DialogData_TalkRoleName_3470801
3470802	3470803		1	1005									DialogData_TalkContent_3470802	DialogData_TalkTitle_3470802	DialogData_TalkRoleName_3470802
3470803	3470804		1	1253									DialogData_TalkContent_3470803	DialogData_TalkTitle_3470803	DialogData_TalkRoleName_3470803
3470804			1	1005									DialogData_TalkContent_3470804	DialogData_TalkTitle_3470804	DialogData_TalkRoleName_3470804
3470901	3470902		1	1254				TEST/Readable01					DialogData_TalkContent_3470901	DialogData_TalkTitle_3470901	DialogData_TalkRoleName_3470901
3470902			1	1254									DialogData_TalkContent_3470902	DialogData_TalkTitle_3470902	DialogData_TalkRoleName_3470902
3471001			1	1255				TEST/Readable01					DialogData_TalkContent_3471001	DialogData_TalkTitle_3471001	DialogData_TalkRoleName_3471001
3480101	3480102		1	1245				TEST/Readable01					DialogData_TalkContent_3480101	DialogData_TalkTitle_3480101	DialogData_TalkRoleName_3480101
3480102	3480103		1	1245									DialogData_TalkContent_3480102	DialogData_TalkTitle_3480102	DialogData_TalkRoleName_3480102
3480103	3480104		1	1245									DialogData_TalkContent_3480103	DialogData_TalkTitle_3480103	DialogData_TalkRoleName_3480103
3480104	3480105		1	1245									DialogData_TalkContent_3480104	DialogData_TalkTitle_3480104	DialogData_TalkRoleName_3480104
3480105	3480106		1	1245									DialogData_TalkContent_3480105	DialogData_TalkTitle_3480105	DialogData_TalkRoleName_3480105
3480106	3480107		1	1245									DialogData_TalkContent_3480106	DialogData_TalkTitle_3480106	DialogData_TalkRoleName_3480106
3480107			1	1005									DialogData_TalkContent_3480107	DialogData_TalkTitle_3480107	DialogData_TalkRoleName_3480107
3480201	3480203		1	1245				TEST/Readable01					DialogData_TalkContent_3480201	DialogData_TalkTitle_3480201	DialogData_TalkRoleName_3480201
3480203	3480204		1	1245									DialogData_TalkContent_3480203	DialogData_TalkTitle_3480203	DialogData_TalkRoleName_3480203
3480204	3480205		1	1245									DialogData_TalkContent_3480204	DialogData_TalkTitle_3480204	DialogData_TalkRoleName_3480204
3480205	3480206		1	1245									DialogData_TalkContent_3480205	DialogData_TalkTitle_3480205	DialogData_TalkRoleName_3480205
3480206	3480207		1	1245									DialogData_TalkContent_3480206	DialogData_TalkTitle_3480206	DialogData_TalkRoleName_3480206
3480207	3480208		1	1245									DialogData_TalkContent_3480207	DialogData_TalkTitle_3480207	DialogData_TalkRoleName_3480207
3480208			1	1245									DialogData_TalkContent_3480208	DialogData_TalkTitle_3480208	DialogData_TalkRoleName_3480208
3480301	3480303		1	1245				TEST/Readable01					DialogData_TalkContent_3480301	DialogData_TalkTitle_3480301	DialogData_TalkRoleName_3480301
3480303	3480304		1	1245									DialogData_TalkContent_3480303	DialogData_TalkTitle_3480303	DialogData_TalkRoleName_3480303
3480304	3480305		1	1245									DialogData_TalkContent_3480304	DialogData_TalkTitle_3480304	DialogData_TalkRoleName_3480304
3480305	3480306		1	1245									DialogData_TalkContent_3480305	DialogData_TalkTitle_3480305	DialogData_TalkRoleName_3480305
3480306	3480307		1	1245									DialogData_TalkContent_3480306	DialogData_TalkTitle_3480306	DialogData_TalkRoleName_3480306
3480307			1	1245									DialogData_TalkContent_3480307	DialogData_TalkTitle_3480307	DialogData_TalkRoleName_3480307
3480401	3480403		1	1245				TEST/Readable01					DialogData_TalkContent_3480401	DialogData_TalkTitle_3480401	DialogData_TalkRoleName_3480401
3480403	3480404		1	1245									DialogData_TalkContent_3480403	DialogData_TalkTitle_3480403	DialogData_TalkRoleName_3480403
3480404	3480405		1	1245									DialogData_TalkContent_3480404	DialogData_TalkTitle_3480404	DialogData_TalkRoleName_3480404
3480405	3480406		1	1245									DialogData_TalkContent_3480405	DialogData_TalkTitle_3480405	DialogData_TalkRoleName_3480405
3480406			1	1245									DialogData_TalkContent_3480406	DialogData_TalkTitle_3480406	DialogData_TalkRoleName_3480406
3480501	3480503		1	1245				TEST/Readable01					DialogData_TalkContent_3480501	DialogData_TalkTitle_3480501	DialogData_TalkRoleName_3480501
3480503	3480504		1	1245									DialogData_TalkContent_3480503	DialogData_TalkTitle_3480503	DialogData_TalkRoleName_3480503
3480504	3480505		1	1245									DialogData_TalkContent_3480504	DialogData_TalkTitle_3480504	DialogData_TalkRoleName_3480504
3480505	3480506		1	1245									DialogData_TalkContent_3480505	DialogData_TalkTitle_3480505	DialogData_TalkRoleName_3480505
3480506	3480507		1	1245									DialogData_TalkContent_3480506	DialogData_TalkTitle_3480506	DialogData_TalkRoleName_3480506
3480507			1	1245									DialogData_TalkContent_3480507	DialogData_TalkTitle_3480507	DialogData_TalkRoleName_3480507
3480601	3480602		1	1245				TEST/Readable01					DialogData_TalkContent_3480601	DialogData_TalkTitle_3480601	DialogData_TalkRoleName_3480601
3480602	3480603		1	1245									DialogData_TalkContent_3480602	DialogData_TalkTitle_3480602	DialogData_TalkRoleName_3480602
3480603	3480604		1	1245									DialogData_TalkContent_3480603	DialogData_TalkTitle_3480603	DialogData_TalkRoleName_3480603
3480604	3480605		1	1245									DialogData_TalkContent_3480604	DialogData_TalkTitle_3480604	DialogData_TalkRoleName_3480604
3480605	3480606		1	1245									DialogData_TalkContent_3480605	DialogData_TalkTitle_3480605	DialogData_TalkRoleName_3480605
3480606			1	1245									DialogData_TalkContent_3480606	DialogData_TalkTitle_3480606	DialogData_TalkRoleName_3480606
3480701	3480702		1	1245				TEST/Readable01					DialogData_TalkContent_3480701	DialogData_TalkTitle_3480701	DialogData_TalkRoleName_3480701
3480702	3480703		1	1245									DialogData_TalkContent_3480702	DialogData_TalkTitle_3480702	DialogData_TalkRoleName_3480702
3480703	3480704		1	1245									DialogData_TalkContent_3480703	DialogData_TalkTitle_3480703	DialogData_TalkRoleName_3480703
3480704	3480705		1	1245									DialogData_TalkContent_3480704	DialogData_TalkTitle_3480704	DialogData_TalkRoleName_3480704
3480705	3480706		1	1245									DialogData_TalkContent_3480705	DialogData_TalkTitle_3480705	DialogData_TalkRoleName_3480705
3480706			1	1245									DialogData_TalkContent_3480706	DialogData_TalkTitle_3480706	DialogData_TalkRoleName_3480706
3480801	3480803		1	1245				TEST/Readable01					DialogData_TalkContent_3480801	DialogData_TalkTitle_3480801	DialogData_TalkRoleName_3480801
