ID	死亡类型	怪物ID	Tips1	Tips2	Tips3	Tips4
1	5		DieTypeTipsData_Tips1_1	DieTypeTipsData_Tips2_1	DieTypeTipsData_Tips3_1	DieTypeTipsData_Tips4_1
2	3		DieTypeTipsData_Tips1_2	DieTypeTipsData_Tips2_2	DieTypeTipsData_Tips3_2	DieTypeTipsData_Tips4_2
3	4		DieTypeTipsData_Tips1_3	DieTypeTipsData_Tips2_3	DieTypeTipsData_Tips3_3	DieTypeTipsData_Tips4_3
4	1	1	DieTypeTipsData_Tips1_4	DieTypeTipsData_Tips2_4	DieTypeTipsData_Tips3_4	DieTypeTipsData_Tips4_4
5	1	21020101	DieTypeTipsData_Tips1_5	DieTypeTipsData_Tips2_5	DieTypeTipsData_Tips3_5	DieTypeTipsData_Tips4_5
6	1	21020201	DieTypeTipsData_Tips1_6	DieTypeTipsData_Tips2_6	DieTypeTipsData_Tips3_6	DieTypeTipsData_Tips4_6
7	1	20020101	DieTypeTipsData_Tips1_7	DieTypeTipsData_Tips2_7	DieTypeTipsData_Tips3_7	DieTypeTipsData_Tips4_7
8	1	22010101	DieTypeTipsData_Tips1_8	DieTypeTipsData_Tips2_8	DieTypeTipsData_Tips3_8	DieTypeTipsData_Tips4_8
9	1	22010201	DieTypeTipsData_Tips1_9	DieTypeTipsData_Tips2_9	DieTypeTipsData_Tips3_9	DieTypeTipsData_Tips4_9
10	1	22010301	DieTypeTipsData_Tips1_10	DieTypeTipsData_Tips2_10	DieTypeTipsData_Tips3_10	DieTypeTipsData_Tips4_10
11	1	20011201	DieTypeTipsData_Tips1_11	DieTypeTipsData_Tips2_11	DieTypeTipsData_Tips3_11	DieTypeTipsData_Tips4_11
12	1	20011301	DieTypeTipsData_Tips1_12	DieTypeTipsData_Tips2_12	DieTypeTipsData_Tips3_12	DieTypeTipsData_Tips4_12
13	1	20011401	DieTypeTipsData_Tips1_13	DieTypeTipsData_Tips2_13	DieTypeTipsData_Tips3_13	DieTypeTipsData_Tips4_13
14	1	20011501	DieTypeTipsData_Tips1_14	DieTypeTipsData_Tips2_14	DieTypeTipsData_Tips3_14	DieTypeTipsData_Tips4_14
15	1	20010301	DieTypeTipsData_Tips1_15	DieTypeTipsData_Tips2_15	DieTypeTipsData_Tips3_15	DieTypeTipsData_Tips4_15
16	1	20010401	DieTypeTipsData_Tips1_16	DieTypeTipsData_Tips2_16	DieTypeTipsData_Tips3_16	DieTypeTipsData_Tips4_16
17	1	20010101	DieTypeTipsData_Tips1_17	DieTypeTipsData_Tips2_17	DieTypeTipsData_Tips3_17	DieTypeTipsData_Tips4_17
18	1	20010201	DieTypeTipsData_Tips1_18	DieTypeTipsData_Tips2_18	DieTypeTipsData_Tips3_18	DieTypeTipsData_Tips4_18
19	1	20010801	DieTypeTipsData_Tips1_19	DieTypeTipsData_Tips2_19	DieTypeTipsData_Tips3_19	DieTypeTipsData_Tips4_19
20	1	20010901	DieTypeTipsData_Tips1_20	DieTypeTipsData_Tips2_20	DieTypeTipsData_Tips3_20	DieTypeTipsData_Tips4_20
21	1	20010501	DieTypeTipsData_Tips1_21	DieTypeTipsData_Tips2_21	DieTypeTipsData_Tips3_21	DieTypeTipsData_Tips4_21
22	1	20010601	DieTypeTipsData_Tips1_22	DieTypeTipsData_Tips2_22	DieTypeTipsData_Tips3_22	DieTypeTipsData_Tips4_22
23	1	20010701	DieTypeTipsData_Tips1_23	DieTypeTipsData_Tips2_23	DieTypeTipsData_Tips3_23	DieTypeTipsData_Tips4_23
24	1	20011001	DieTypeTipsData_Tips1_24	DieTypeTipsData_Tips2_24	DieTypeTipsData_Tips3_24	DieTypeTipsData_Tips4_24
25	1	20011101	DieTypeTipsData_Tips1_25	DieTypeTipsData_Tips2_25	DieTypeTipsData_Tips3_25	DieTypeTipsData_Tips4_25
26	1	21030101	DieTypeTipsData_Tips1_26	DieTypeTipsData_Tips2_26	DieTypeTipsData_Tips3_26	DieTypeTipsData_Tips4_26
27	1	21030201	DieTypeTipsData_Tips1_27	DieTypeTipsData_Tips2_27	DieTypeTipsData_Tips3_27	DieTypeTipsData_Tips4_27
28	1	21030301	DieTypeTipsData_Tips1_28	DieTypeTipsData_Tips2_28	DieTypeTipsData_Tips3_28	DieTypeTipsData_Tips4_28
29	1	23040101	DieTypeTipsData_Tips1_29	DieTypeTipsData_Tips2_29	DieTypeTipsData_Tips3_29	DieTypeTipsData_Tips4_29
30	1	21010101	DieTypeTipsData_Tips1_30	DieTypeTipsData_Tips2_30	DieTypeTipsData_Tips3_30	DieTypeTipsData_Tips4_30
31	1	21010201	DieTypeTipsData_Tips1_31	DieTypeTipsData_Tips2_31	DieTypeTipsData_Tips3_31	DieTypeTipsData_Tips4_31
32	1	21010301	DieTypeTipsData_Tips1_32	DieTypeTipsData_Tips2_32	DieTypeTipsData_Tips3_32	DieTypeTipsData_Tips4_32
33	1	21010401	DieTypeTipsData_Tips1_33	DieTypeTipsData_Tips2_33	DieTypeTipsData_Tips3_33	DieTypeTipsData_Tips4_33
34	1	21010501	DieTypeTipsData_Tips1_34	DieTypeTipsData_Tips2_34	DieTypeTipsData_Tips3_34	DieTypeTipsData_Tips4_34
35	1	21010601	DieTypeTipsData_Tips1_35	DieTypeTipsData_Tips2_35	DieTypeTipsData_Tips3_35	DieTypeTipsData_Tips4_35
36	1	21010701	DieTypeTipsData_Tips1_36	DieTypeTipsData_Tips2_36	DieTypeTipsData_Tips3_36	DieTypeTipsData_Tips4_36
37	1	21010801	DieTypeTipsData_Tips1_37	DieTypeTipsData_Tips2_37	DieTypeTipsData_Tips3_37	DieTypeTipsData_Tips4_37
38	1	21010901	DieTypeTipsData_Tips1_38	DieTypeTipsData_Tips2_38	DieTypeTipsData_Tips3_38	DieTypeTipsData_Tips4_38
