ID	ChallengeType	Target	subTarget	Progress	subProgress
1	1	DungeonChallengeData_Target_1	DungeonChallengeData_subTarget_1	DungeonChallengeData_Progress_1	DungeonChallengeData_subProgress_1
2	2	DungeonChallengeData_Target_2	DungeonChallengeData_subTarget_2	DungeonChallengeData_Progress_2	DungeonChallengeData_subProgress_2
3	3	DungeonChallengeData_Target_3	DungeonChallengeData_subTarget_3	DungeonChallengeData_Progress_3	DungeonChallengeData_subProgress_3
4	4	DungeonChallengeData_Target_4	DungeonChallengeData_subTarget_4	DungeonChallengeData_Progress_4	DungeonChallengeData_subProgress_4
5	5	DungeonChallengeData_Target_5	DungeonChallengeData_subTarget_5	DungeonChallengeData_Progress_5	DungeonChallengeData_subProgress_5
6	6	DungeonChallengeData_Target_6	DungeonChallengeData_subTarget_6	DungeonChallengeData_Progress_6	DungeonChallengeData_subProgress_6
7	7	DungeonChallengeData_Target_7	DungeonChallengeData_subTarget_7	DungeonChallengeData_Progress_7	DungeonChallengeData_subProgress_7
8	8	DungeonChallengeData_Target_8	DungeonChallengeData_subTarget_8	DungeonChallengeData_Progress_8	DungeonChallengeData_subProgress_8
100	2	DungeonChallengeData_Target_100	DungeonChallengeData_subTarget_100	DungeonChallengeData_Progress_100	DungeonChallengeData_subProgress_100
101	3	DungeonChallengeData_Target_101	DungeonChallengeData_subTarget_101	DungeonChallengeData_Progress_101	DungeonChallengeData_subProgress_101
102	7	DungeonChallengeData_Target_102	DungeonChallengeData_subTarget_102	DungeonChallengeData_Progress_102	DungeonChallengeData_subProgress_102
103	6	DungeonChallengeData_Target_103	DungeonChallengeData_subTarget_103	DungeonChallengeData_Progress_103	DungeonChallengeData_subProgress_103
104	4	DungeonChallengeData_Target_104	DungeonChallengeData_subTarget_104	DungeonChallengeData_Progress_104	DungeonChallengeData_subProgress_104
110	7	DungeonChallengeData_Target_110	DungeonChallengeData_subTarget_110	DungeonChallengeData_Progress_110	DungeonChallengeData_subProgress_110
111	8	DungeonChallengeData_Target_111	DungeonChallengeData_subTarget_111	DungeonChallengeData_Progress_111	DungeonChallengeData_subProgress_111
120	2	DungeonChallengeData_Target_120	DungeonChallengeData_subTarget_120	DungeonChallengeData_Progress_120	DungeonChallengeData_subProgress_120
121	8	DungeonChallengeData_Target_121	DungeonChallengeData_subTarget_121	DungeonChallengeData_Progress_121	DungeonChallengeData_subProgress_121
122	8	DungeonChallengeData_Target_122	DungeonChallengeData_subTarget_122	DungeonChallengeData_Progress_122	DungeonChallengeData_subProgress_122
123	2	DungeonChallengeData_Target_123	DungeonChallengeData_subTarget_123	DungeonChallengeData_Progress_123	DungeonChallengeData_subProgress_123
124	2	DungeonChallengeData_Target_124	DungeonChallengeData_subTarget_124	DungeonChallengeData_Progress_124	DungeonChallengeData_subProgress_124
125	2	DungeonChallengeData_Target_125	DungeonChallengeData_subTarget_125	DungeonChallengeData_Progress_125	DungeonChallengeData_subProgress_125
126	8	DungeonChallengeData_Target_126	DungeonChallengeData_subTarget_126	DungeonChallengeData_Progress_126	DungeonChallengeData_subProgress_126
127	8	DungeonChallengeData_Target_127	DungeonChallengeData_subTarget_127	DungeonChallengeData_Progress_127	DungeonChallengeData_subProgress_127
128	8	DungeonChallengeData_Target_128	DungeonChallengeData_subTarget_128	DungeonChallengeData_Progress_128	DungeonChallengeData_subProgress_128
129	2	DungeonChallengeData_Target_129	DungeonChallengeData_subTarget_129	DungeonChallengeData_Progress_129	DungeonChallengeData_subProgress_129
130	2	DungeonChallengeData_Target_130	DungeonChallengeData_subTarget_130	DungeonChallengeData_Progress_130	DungeonChallengeData_subProgress_130
131	2	DungeonChallengeData_Target_131	DungeonChallengeData_subTarget_131	DungeonChallengeData_Progress_131	DungeonChallengeData_subProgress_131
132	8	DungeonChallengeData_Target_132	DungeonChallengeData_subTarget_132	DungeonChallengeData_Progress_132	DungeonChallengeData_subProgress_132
133	2	DungeonChallengeData_Target_133	DungeonChallengeData_subTarget_133	DungeonChallengeData_Progress_133	DungeonChallengeData_subProgress_133
134	8	DungeonChallengeData_Target_134	DungeonChallengeData_subTarget_134	DungeonChallengeData_Progress_134	DungeonChallengeData_subProgress_134
135	8	DungeonChallengeData_Target_135	DungeonChallengeData_subTarget_135	DungeonChallengeData_Progress_135	DungeonChallengeData_subProgress_135
136	2	DungeonChallengeData_Target_136	DungeonChallengeData_subTarget_136	DungeonChallengeData_Progress_136	DungeonChallengeData_subProgress_136
137	2	DungeonChallengeData_Target_137	DungeonChallengeData_subTarget_137	DungeonChallengeData_Progress_137	DungeonChallengeData_subProgress_137
138	2	DungeonChallengeData_Target_138	DungeonChallengeData_subTarget_138	DungeonChallengeData_Progress_138	DungeonChallengeData_subProgress_138
139	8	DungeonChallengeData_Target_139	DungeonChallengeData_subTarget_139	DungeonChallengeData_Progress_139	DungeonChallengeData_subProgress_139
140	2	DungeonChallengeData_Target_140	DungeonChallengeData_subTarget_140	DungeonChallengeData_Progress_140	DungeonChallengeData_subProgress_140
141	8	DungeonChallengeData_Target_141	DungeonChallengeData_subTarget_141	DungeonChallengeData_Progress_141	DungeonChallengeData_subProgress_141
142	2	DungeonChallengeData_Target_142	DungeonChallengeData_subTarget_142	DungeonChallengeData_Progress_142	DungeonChallengeData_subProgress_142
143	8	DungeonChallengeData_Target_143	DungeonChallengeData_subTarget_143	DungeonChallengeData_Progress_143	DungeonChallengeData_subProgress_143
144	8	DungeonChallengeData_Target_144	DungeonChallengeData_subTarget_144	DungeonChallengeData_Progress_144	DungeonChallengeData_subProgress_144
145	7	DungeonChallengeData_Target_145	DungeonChallengeData_subTarget_145	DungeonChallengeData_Progress_145	DungeonChallengeData_subProgress_145
146	2	DungeonChallengeData_Target_146	DungeonChallengeData_subTarget_146	DungeonChallengeData_Progress_146	DungeonChallengeData_subProgress_146
147	1	DungeonChallengeData_Target_147	DungeonChallengeData_subTarget_147	DungeonChallengeData_Progress_147	DungeonChallengeData_subProgress_147
148	2	DungeonChallengeData_Target_148	DungeonChallengeData_subTarget_148	DungeonChallengeData_Progress_148	DungeonChallengeData_subProgress_148
149	8	DungeonChallengeData_Target_149	DungeonChallengeData_subTarget_149	DungeonChallengeData_Progress_149	DungeonChallengeData_subProgress_149
150	8	DungeonChallengeData_Target_150	DungeonChallengeData_subTarget_150	DungeonChallengeData_Progress_150	DungeonChallengeData_subProgress_150
151	2	DungeonChallengeData_Target_151	DungeonChallengeData_subTarget_151	DungeonChallengeData_Progress_151	DungeonChallengeData_subProgress_151
152	2	DungeonChallengeData_Target_152	DungeonChallengeData_subTarget_152	DungeonChallengeData_Progress_152	DungeonChallengeData_subProgress_152
153	6	DungeonChallengeData_Target_153	DungeonChallengeData_subTarget_153	DungeonChallengeData_Progress_153	DungeonChallengeData_subProgress_153
154	7	DungeonChallengeData_Target_154	DungeonChallengeData_subTarget_154	DungeonChallengeData_Progress_154	DungeonChallengeData_subProgress_154
155	8	DungeonChallengeData_Target_155	DungeonChallengeData_subTarget_155	DungeonChallengeData_Progress_155	DungeonChallengeData_subProgress_155
156	2	DungeonChallengeData_Target_156	DungeonChallengeData_subTarget_156	DungeonChallengeData_Progress_156	DungeonChallengeData_subProgress_156
