提示台词ID	触发延迟	停留显示时长	下一句id	播放音效资源	Speaker	Content
1	1	2	2		DungeonReminderData_Speaker_1	DungeonReminderData_Content_1
2	0	3			DungeonReminderData_Speaker_2	DungeonReminderData_Content_2
1001001	0	2			DungeonReminderData_Speaker_1001001	DungeonReminderData_Content_1001001
1001002	0	3	1001003		DungeonReminderData_Speaker_1001002	DungeonReminderData_Content_1001002
1001003	0	2			DungeonReminderData_Speaker_1001003	DungeonReminderData_Content_1001003
1001004	0	2	1001005		DungeonReminderData_Speaker_1001004	DungeonReminderData_Content_1001004
1001005	0	3			DungeonReminderData_Speaker_1001005	DungeonReminderData_Content_1001005
1002001	0	4			DungeonReminderData_Speaker_1002001	DungeonReminderData_Content_1002001
1003001	0	3			DungeonReminderData_Speaker_1003001	DungeonReminderData_Content_1003001
1004001	0	2			DungeonReminderData_Speaker_1004001	DungeonReminderData_Content_1004001
1005001	0	3	1005002		DungeonReminderData_Speaker_1005001	DungeonReminderData_Content_1005001
1005002	0	2	1005003		DungeonReminderData_Speaker_1005002	DungeonReminderData_Content_1005002
1005003	0	2			DungeonReminderData_Speaker_1005003	DungeonReminderData_Content_1005003
1006001	0	3	1006002		DungeonReminderData_Speaker_1006001	DungeonReminderData_Content_1006001
1006002	3	3			DungeonReminderData_Speaker_1006002	DungeonReminderData_Content_1006002
1007001	0	2	1007002		DungeonReminderData_Speaker_1007001	DungeonReminderData_Content_1007001
1007002	0	4			DungeonReminderData_Speaker_1007002	DungeonReminderData_Content_1007002
1008001	0	2			DungeonReminderData_Speaker_1008001	DungeonReminderData_Content_1008001
1009001	0	2	1009002		DungeonReminderData_Speaker_1009001	DungeonReminderData_Content_1009001
1009002	1	4			DungeonReminderData_Speaker_1009002	DungeonReminderData_Content_1009002
1009003	0	2			DungeonReminderData_Speaker_1009003	DungeonReminderData_Content_1009003
1010001	0	4	1010002		DungeonReminderData_Speaker_1010001	DungeonReminderData_Content_1010001
1010002	0	3	1010003		DungeonReminderData_Speaker_1010002	DungeonReminderData_Content_1010002
1010003	0	3			DungeonReminderData_Speaker_1010003	DungeonReminderData_Content_1010003
1010004	0	6	1010005		DungeonReminderData_Speaker_1010004	DungeonReminderData_Content_1010004
1010005	0	4	1010006		DungeonReminderData_Speaker_1010005	DungeonReminderData_Content_1010005
1010006	0	3			DungeonReminderData_Speaker_1010006	DungeonReminderData_Content_1010006
1010007	0	3	1010008		DungeonReminderData_Speaker_1010007	DungeonReminderData_Content_1010007
1010008	0	4	1010009		DungeonReminderData_Speaker_1010008	DungeonReminderData_Content_1010008
1010009	0	6			DungeonReminderData_Speaker_1010009	DungeonReminderData_Content_1010009
1010010	0	2			DungeonReminderData_Speaker_1010010	DungeonReminderData_Content_1010010
1011001	4	4	1011002		DungeonReminderData_Speaker_1011001	DungeonReminderData_Content_1011001
1011002	0	4			DungeonReminderData_Speaker_1011002	DungeonReminderData_Content_1011002
