等级	草火点燃系数	电火爆炸系数	冲击伤害系数
1	0.05	2	1
2	0.05	2	1
3	0.05	2	1
4	0.05	2	1.1
5	0.05	2	1.2
6	0.05	2	1.3
7	0.05	2	1.4
8	0.05	2	1.6
9	0.05	2	1.8
10	0.05	2	2
11	0.05	2	2.2
12	0.05	2	2.4
13	0.05	2	2.6
14	0.05	2	2.9
15	0.05	2	3.2
16	0.05	2	3.5
17	0.05	2	3.8
18	0.05	2	4.2
19	0.05	2	4.6
20	0.05	2	5
21	0.05	2	5.4
22	0.05	2	5.8
23	0.05	2	6.2
24	0.05	2	6.7
25	0.05	2	7.2
26	0.05	2	7.7
27	0.05	2	8.2
28	0.05	2	8.8
29	0.05	2	9.4
30	0.05	2	10
31	0.05	2	10.6
32	0.05	2	11.2
33	0.05	2	11.8
34	0.05	2	12.5
35	0.05	2	13.2
36	0.05	2	13.9
37	0.05	2	14.6
38	0.05	2	15.4
39	0.05	2	16.2
40	0.05	2	17
41	0.05	2	17.8
42	0.05	2	18.6
43	0.05	2	19.4
44	0.05	2	20.3
45	0.05	2	21.2
46	0.05	2	22.1
47	0.05	2	23
48	0.05	2	24
49	0.05	2	25
50	0.05	2	26
51	0.05	2	27
52	0.05	2	28
53	0.05	2	29
54	0.05	2	30.1
55	0.05	2	31.2
56	0.05	2	32.3
57	0.05	2	33.4
58	0.05	2	34.6
59	0.05	2	35.8
60	0.05	2	37
61	0.05	2	38.2
62	0.05	2	39.4
63	0.05	2	40.6
64	0.05	2	41.9
65	0.05	2	43.2
66	0.05	2	44.5
67	0.05	2	45.8
68	0.05	2	47.2
69	0.05	2	48.6
70	0.05	2	50
71	0.05	2	51.4
72	0.05	2	52.8
73	0.05	2	54.2
74	0.05	2	55.7
75	0.05	2	57.2
76	0.05	2	58.7
77	0.05	2	60.2
78	0.05	2	61.8
79	0.05	2	63.4
80	0.05	2	65
