ID	TextMapContent
TEST_EMBEDDED_TEXT	EmbeddedTextMapData_TextMapContent_TEST_EMBEDDED_TEXT
QUIT	EmbeddedTextMapData_TextMapContent_QUIT
RETRY	EmbeddedTextMapData_TextMapContent_RETRY
YES	EmbeddedTextMapData_TextMapContent_YES
NO	EmbeddedTextMapData_TextMapContent_NO
VERSION	EmbeddedTextMapData_TextMapContent_VERSION
TIP_TITLE	EmbeddedTextMapData_TextMapContent_TIP_TITLE
CANNOT_REACH_NETWORK	EmbeddedTextMapData_TextMapContent_CANNOT_REACH_NETWORK
CANNOT_REAL_REACH_NETWORK	EmbeddedTextMapData_TextMapContent_CANNOT_REAL_REACH_NETWORK
WEAK_SIGNAL	EmbeddedTextMapData_TextMapContent_WEAK_SIGNAL
WRITE_FAILED	EmbeddedTextMapData_TextMapContent_WRITE_FAILED
NOT_ENOUGH_SPACE	EmbeddedTextMapData_TextMapContent_NOT_ENOUGH_SPACE
CHECK_ENVIRONMENT	EmbeddedTextMapData_TextMapContent_CHECK_ENVIRONMENT
CHECK_UPDATE	EmbeddedTextMapData_TextMapContent_CHECK_UPDATE
DOWNLOADING_ASSETS	EmbeddedTextMapData_TextMapContent_DOWNLOADING_ASSETS
DOWNLOADING_INDEX	EmbeddedTextMapData_TextMapContent_DOWNLOADING_INDEX
AUDIO	EmbeddedTextMapData_TextMapContent_AUDIO
VEDIO	EmbeddedTextMapData_TextMapContent_VEDIO
UI_CHOOSE_DOWNLOADING	EmbeddedTextMapData_TextMapContent_UI_CHOOSE_DOWNLOADING
LOADING_GAME	EmbeddedTextMapData_TextMapContent_LOADING_GAME
UI_CHOOSE_UPDATE_RES	EmbeddedTextMapData_TextMapContent_UI_CHOOSE_UPDATE_RES
UI_LOGIN_TITLE	EmbeddedTextMapData_TextMapContent_UI_LOGIN_TITLE
UI_LOGIN_USER_LABEL	EmbeddedTextMapData_TextMapContent_UI_LOGIN_USER_LABEL
UI_LOGIN_ACCOUNT_LABEL	EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_LABEL
UI_LOGIN_PHONENUMBER_PLACEHOLDER	EmbeddedTextMapData_TextMapContent_UI_LOGIN_PHONENUMBER_PLACEHOLDER
UI_LOGIN_ACCOUNT_PLACEHOLDER	EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_PLACEHOLDER
UI_LOGIN_EMAIL_PLACEHOLDER	EmbeddedTextMapData_TextMapContent_UI_LOGIN_EMAIL_PLACEHOLDER
UI_LOGIN_PASSWORD_LABEL	EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_LABEL
UI_LOGIN_PASSWORD_PLACEHOLDER	EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_PLACEHOLDER
UI_LOGIN_PRESS_TO_CONTINUE	EmbeddedTextMapData_TextMapContent_UI_LOGIN_PRESS_TO_CONTINUE
UI_LOGIN_PREPARE_TO_DOWNLOAD	EmbeddedTextMapData_TextMapContent_UI_LOGIN_PREPARE_TO_DOWNLOAD
UI_LOGIN_PREPARE_DATA	EmbeddedTextMapData_TextMapContent_UI_LOGIN_PREPARE_DATA
UI_LOGIN_ACCOUNT_OR_PASSWORD_ERROR	EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_OR_PASSWORD_ERROR
