AffixID	ID	词缀等级	开启配置1	开启配置2	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	Name	Desc
1110010	111001	0	Sword_Norse_0						EquipAffixData_Name_1110010	EquipAffixData_Desc_1110010
1110011	111001	1	Sword_Norse_1						EquipAffixData_Name_1110011	EquipAffixData_Desc_1110011
1110012	111001	2	Sword_Norse_2						EquipAffixData_Name_1110012	EquipAffixData_Desc_1110012
1110013	111001	3	Sword_Norse_3						EquipAffixData_Name_1110013	EquipAffixData_Desc_1110013
1110014	111001	4	Sword_Norse_4						EquipAffixData_Name_1110014	EquipAffixData_Desc_1110014
1110030	111003	0	Weapon_Sword_Zephyrus_0						EquipAffixData_Name_1110030	EquipAffixData_Desc_1110030
1110031	111003	1	Weapon_Sword_Zephyrus_1						EquipAffixData_Name_1110031	EquipAffixData_Desc_1110031
1110032	111003	2	Weapon_Sword_Zephyrus_2						EquipAffixData_Name_1110032	EquipAffixData_Desc_1110032
1110033	111003	3	Weapon_Sword_Zephyrus_3						EquipAffixData_Name_1110033	EquipAffixData_Desc_1110033
1110034	111003	4	Weapon_Sword_Zephyrus_4						EquipAffixData_Name_1110034	EquipAffixData_Desc_1110034
1113020	111302	0	Weapon_Sword_FullHPCriticUp_0						EquipAffixData_Name_1113020	EquipAffixData_Desc_1113020
1113021	111302	1	Weapon_Sword_FullHPCriticUp_1						EquipAffixData_Name_1113021	EquipAffixData_Desc_1113021
1113022	111302	2	Weapon_Sword_FullHPCriticUp_2						EquipAffixData_Name_1113022	EquipAffixData_Desc_1113022
1113023	111302	3	Weapon_Sword_FullHPCriticUp_3						EquipAffixData_Name_1113023	EquipAffixData_Desc_1113023
1113024	111302	4	Weapon_Sword_FullHPCriticUp_4						EquipAffixData_Name_1113024	EquipAffixData_Desc_1113024
1113030	111303	0	Weapon_Sword_MoveSpeedAfterULT_0						EquipAffixData_Name_1113030	EquipAffixData_Desc_1113030
1113031	111303	1	Weapon_Sword_MoveSpeedAfterULT_1						EquipAffixData_Name_1113031	EquipAffixData_Desc_1113031
1113032	111303	2	Weapon_Sword_MoveSpeedAfterULT_2						EquipAffixData_Name_1113032	EquipAffixData_Desc_1113032
1113033	111303	3	Weapon_Sword_MoveSpeedAfterULT_3						EquipAffixData_Name_1113033	EquipAffixData_Desc_1113033
1113034	111303	4	Weapon_Sword_MoveSpeedAfterULT_4						EquipAffixData_Name_1113034	EquipAffixData_Desc_1113034
1114010	111401	0	Weapon_Sword_GenerateBallWhenCritic_0						EquipAffixData_Name_1114010	EquipAffixData_Desc_1114010
1114011	111401	1	Weapon_Sword_GenerateBallWhenCritic_1						EquipAffixData_Name_1114011	EquipAffixData_Desc_1114011
1114012	111401	2	Weapon_Sword_GenerateBallWhenCritic_2						EquipAffixData_Name_1114012	EquipAffixData_Desc_1114012
1114013	111401	3	Weapon_Sword_GenerateBallWhenCritic_3						EquipAffixData_Name_1114013	EquipAffixData_Desc_1114013
1114014	111401	4	Weapon_Sword_GenerateBallWhenCritic_4						EquipAffixData_Name_1114014	EquipAffixData_Desc_1114014
1114020	111402	0	Weapon_Sword_MusicBlast_0						EquipAffixData_Name_1114020	EquipAffixData_Desc_1114020
1114021	111402	1	Weapon_Sword_MusicBlast_1						EquipAffixData_Name_1114021	EquipAffixData_Desc_1114021
1114022	111402	2	Weapon_Sword_MusicBlast_2						EquipAffixData_Name_1114022	EquipAffixData_Desc_1114022
1114023	111402	3	Weapon_Sword_MusicBlast_3						EquipAffixData_Name_1114023	EquipAffixData_Desc_1114023
1114024	111402	4	Weapon_Sword_MusicBlast_4						EquipAffixData_Name_1114024	EquipAffixData_Desc_1114024
1114030	111403	0	Weapon_Sword_GetShieldBeingHit_0						EquipAffixData_Name_1114030	EquipAffixData_Desc_1114030
1114031	111403	1	Weapon_Sword_GetShieldBeingHit_1						EquipAffixData_Name_1114031	EquipAffixData_Desc_1114031
1114032	111403	2	Weapon_Sword_GetShieldBeingHit_2						EquipAffixData_Name_1114032	EquipAffixData_Desc_1114032
1114033	111403	3	Weapon_Sword_GetShieldBeingHit_3						EquipAffixData_Name_1114033	EquipAffixData_Desc_1114033
1114034	111403	4	Weapon_Sword_GetShieldBeingHit_4						EquipAffixData_Name_1114034	EquipAffixData_Desc_1114034
1114040	111404	0	Weapon_Sword_CritUpWhenHitNoCrit_0						EquipAffixData_Name_1114040	EquipAffixData_Desc_1114040
