等级	[曲线]1类型	[曲线]1运算	[曲线]1低值	[曲线]1高值	[曲线]2类型	[曲线]2运算	[曲线]2低值	[曲线]2高值	[曲线]3类型	[曲线]3运算	[曲线]3低值	[曲线]3高值	[曲线]4类型	[曲线]4运算	[曲线]4低值	[曲线]4高值	[曲线]5类型	[曲线]5运算	[曲线]5低值	[曲线]5高值	[曲线]6类型	[曲线]6运算	[曲线]6低值	[曲线]6高值	[曲线]7类型	[曲线]7运算	[曲线]7低值	[曲线]7高值	[曲线]8类型	[曲线]8运算	[曲线]8低值	[曲线]8高值
1	1	2	1	1	3	2	1	1	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
2	1	2	1.09	1.09	3	2	1.09	1.09	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
3	1	2	1.18	1.18	3	2	1.18	1.18	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
4	1	2	1.27	1.27	3	2	1.27	1.27	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
5	1	2	1.36	1.36	3	2	1.36	1.36	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
6	1	2	1.44	1.44	3	2	1.44	1.44	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
7	1	2	1.53	1.53	3	2	1.53	1.53	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
8	1	2	1.62	1.62	3	2	1.62	1.62	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
9	1	2	1.71	1.71	3	2	1.71	1.71	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
10	1	2	1.8	1.8	3	2	1.8	1.8	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
11	1	2	1.94	1.94	3	2	1.94	1.94	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
12	1	2	2.09	2.09	3	2	2.09	2.09	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
13	1	2	2.23	2.23	3	2	2.23	2.23	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
14	1	2	2.38	2.38	3	2	2.38	2.38	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
15	1	2	2.52	2.52	3	2	2.52	2.52	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
16	1	2	2.66	2.66	3	2	2.66	2.66	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
17	1	2	2.81	2.81	3	2	2.81	2.81	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
18	1	2	2.95	2.95	3	2	2.95	2.95	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
19	1	2	3.1	3.1	3	2	3.1	3.1	4	2	1	1	6	1	0	0	7	1	0	0	8	1	0	0	9	1	0	0	10	2	1	1
20	1	2	3.24	3.24	3	2	3.24	3.24	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
21	1	2	3.5	3.5	3	2	3.5	3.5	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
22	1	2	3.76	3.76	3	2	3.76	3.76	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
23	1	2	4.02	4.02	3	2	4.02	4.02	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
