ID	名称	描述	图标	类型	重量	排序权重	物件ID	可丢弃	装备种类	品质	装备槽位	属性ID
10003	新手戒指	菜鸡的戒指	Icon_Ring	3	1	10	70300001	1	4	2	5	10003
10004	新手项链	菜鸡的项链	Icon_Necklace	3	1	10	70300001	1	5	2	6	10004
10005	新手衣服	菜鸡的衣服	Icon_Cloth	3	1	10	70300001	1	2	2	3	10005
10006	新手护腕	菜鸡的护腕	Icon_Glove	3	1	10	70300001	1	1	2	2	10006
10007	新手鞋子	菜鸡的鞋子	Icon_Shoe	3	1	10	70300001	1	3	2	4	10007
51001	粗制戒指	白色的戒指	Icon_Ring	3	1	10	70300001	1	4	1	5	51001
51002	普通戒指	蓝色的戒指	Icon_Ring	3	1	10	70300001	1	4	2	5	51002
51003	进阶戒指	紫色的戒指	Icon_Ring	3	1	10	70300001	1	4	3	5	51003
51004	精制戒指	橙色的戒指	Icon_Ring	3	1	10	70300001	1	4	4	5	51004
52001	粗制项链	白色的项链	Icon_Necklace	3	1	10	70300001	1	5	1	6	52001
52002	普通项链	蓝色的项链	Icon_Necklace	3	1	10	70300001	1	5	2	6	52002
52003	进阶项链	紫色的项链	Icon_Necklace	3	1	10	70300001	1	5	3	6	52003
52004	精制项链	橙色的项链	Icon_Necklace	3	1	10	70300001	1	5	4	6	52004
53001	粗制衣服	白色的衣服	Icon_Cloth	3	1	10	70300001	1	2	1	3	53001
53002	普通衣服	蓝色的衣服	Icon_Cloth	3	1	10	70300001	1	2	2	3	53002
53003	进阶衣服	紫色的衣服	Icon_Cloth	3	1	10	70300001	1	2	3	3	53003
53004	精制衣服	橙色的衣服	Icon_Cloth	3	1	10	70300001	1	2	4	3	53004
54001	粗制护腕	白色的护腕	Icon_Glove	3	1	10	70300001	1	1	1	2	54001
54002	普通护腕	蓝色的护腕	Icon_Glove	3	1	10	70300001	1	1	2	2	54002
54003	进阶护腕	紫色的护腕	Icon_Glove	3	1	10	70300001	1	1	3	2	54003
54004	精制护腕	橙色的护腕	Icon_Glove	3	1	10	70300001	1	1	4	2	54004
55001	粗制鞋子	白色的鞋子	Icon_Shoe	3	1	10	70300001	1	3	1	4	55001
55002	普通鞋子	蓝色的鞋子	Icon_Shoe	3	1	10	70300001	1	3	2	4	55002
55003	进阶鞋子	紫色的鞋子	Icon_Shoe	3	1	10	70300001	1	3	3	4	55003
55004	精制鞋子	橙色的鞋子	Icon_Shoe	3	1	10	70300001	1	3	4	4	55004
