ID	[生命上限]低值	[生命上限]高值	[攻击]低值	[攻击]高值	[防御]低值	[防御]高值	[体力上限]低值	[体力上限]高值	成长曲线类型	词缀1	词缀2	词缀3	词缀4
10003			9	9					1				
10004	79	79							1				
10005	79	79							1				
10006					10	10			1				
10007					10	10			1				
51001			9	9					1	1001:80,1002:20,1201:80,1202:20,3101:80,3102:20			
51002			9	9					1	1001:15,1002:70,1003:15,1201:15,1202:70,1203:15,3101:15,3102:70,3103:15	1001:15,1002:70,1003:15,1201:15,1202:70,1203:15,3101:15,3102:70,3103:15,3201:15,3202:70,3203:15		
51003			9	9					1	1001:10,1002:40,1003:40,1004:10,1201:10,1202:40,1203:40,1204:10,3101:10,3102:40,3103:40,3104:10	1001:10,1002:40,1003:40,1004:10,1201:10,1202:40,1203:40,1204:10,3101:10,3102:40,3103:40,3104:10,3201:10,3202:40,3203:40,3204:10	3201:10,3202:40,3203:40,3204:10,5101:10,5102:40,5103:40,5104:10,5201:10,5202:40,5203:40,5204:10,5301:10,5302:40,5303:40,5304:10,5401:10,5402:40,5403:40,5404:10,5501:10,5502:40,5503:40,5504:10	
51004			9	9					1	1001:10,1002:20,1003:40,1004:20,1005:10,1201:10,1202:20,1203:40,1204:20,1205:10,3101:10,3102:20,3103:40,3104:20,3105:10	1001:10,1002:20,1003:40,1004:20,1005:10,1201:10,1202:20,1203:40,1204:20,1205:10,3101:10,3102:20,3103:40,3104:20,3105:10,3201:10,3202:20,3203:40,3204:20,3205:10	3201:10,3202:20,3203:40,3204:20,3205:10,5101:10,5102:20,5103:40,5104:20,5105:10,5201:10,5202:20,5203:40,5204:20,5205:10,5301:10,5302:20,5303:40,5304:20,5305:10,5401:10,5402:20,5403:40,5404:20,5405:10,5501:10,5502:20,5503:40,5504:20,5505:10	3201:10,3202:20,3203:40,3204:20,3205:10,5101:10,5102:20,5103:40,5104:20,5105:10,5201:10,5202:20,5203:40,5204:20,5205:10,5301:10,5302:20,5303:40,5304:20,5305:10,5401:10,5402:20,5403:40,5404:20,5405:10,5501:10,5502:20,5503:40,5504:20,5505:10
52001	79	79							1	1101:80,1102:20,1201:80,1202:20,3101:80,3102:20			
52002	79	79							1	1101:15,1102:70,1103:15,1201:15,1202:70,1203:15,3101:15,3102:70,3103:15	1101:15,1102:70,1103:15,1201:15,1202:70,1203:15,3101:15,3102:70,3103:15,3201:15,3202:70,3203:15		
52003	79	79							1	1101:10,1102:40,1103:40,1104:10,1201:10,1202:40,1203:40,1204:10,3101:10,3102:40,3103:40,3104:10	1101:10,1102:40,1103:40,1104:10,1201:10,1202:40,1203:40,1204:10,3101:10,3102:40,3103:40,3104:10,3201:10,3202:40,3203:40,3204:10	3201:10,3202:40,3203:40,3204:10,5101:10,5102:40,5103:40,5104:10,5201:10,5202:40,5203:40,5204:10,5301:10,5302:40,5303:40,5304:10,5401:10,5402:40,5403:40,5404:10,5501:10,5502:40,5503:40,5504:10	
52004	79	79							1	1101:10,1102:20,1103:40,1104:20,1105:10,1201:10,1202:20,1203:40,1204:20,1205:10,3101:10,3102:20,3103:40,3104:20,3105:10	1101:10,1102:20,1103:40,1104:20,1105:10,1201:10,1202:20,1203:40,1204:20,1205:10,3101:10,3102:20,3103:40,3104:20,3105:10,3201:10,3202:20,3203:40,3204:20,3205:10	3201:10,3202:20,3203:40,3204:20,3205:10,5101:10,5102:20,5103:40,5104:20,5105:10,5201:10,5202:20,5203:40,5204:20,5205:10,5301:10,5302:20,5303:40,5304:20,5305:10,5401:10,5402:20,5403:40,5404:20,5405:10,5501:10,5502:20,5503:40,5504:20,5505:10	3201:10,3202:20,3203:40,3204:20,3205:10,5101:10,5102:20,5103:40,5104:20,5105:10,5201:10,5202:20,5203:40,5204:20,5205:10,5301:10,5302:20,5303:40,5304:20,5305:10,5401:10,5402:20,5403:40,5404:20,5405:10,5501:10,5502:20,5503:40,5504:20,5505:10
53001	79	79							1	1101:80,1102:20,1201:80,1202:20,3101:80,3102:20			
53002	79	79							1	1101:15,1102:70,1103:15,1201:15,1202:70,1203:15,3101:15,3102:70,3103:15	1101:15,1102:70,1103:15,1201:15,1202:70,1203:15,3101:15,3102:70,3103:15,3201:15,3202:70,3203:15		
53003	79	79							1	1101:10,1102:40,1103:40,1104:10,1201:10,1202:40,1203:40,1204:10,3101:10,3102:40,3103:40,3104:10	1101:10,1102:40,1103:40,1104:10,1201:10,1202:40,1203:40,1204:10,3101:10,3102:40,3103:40,3104:10,3201:10,3202:40,3203:40,3204:10	3201:10,3202:40,3203:40,3204:10,7101:10,7102:40,7103:40,7104:10,7201:10,7202:40,7203:40,7204:10,7301:10,7302:40,7303:40,7304:10,7401:10,7402:40,7403:40,7404:10,7501:10,7502:40,7503:40,7504:10	
53004	79	79							1	1101:10,1102:20,1103:40,1104:20,1105:10,1201:10,1202:20,1203:40,1204:20,1205:10,3101:10,3102:20,3103:40,3104:20,3105:10	1101:10,1102:20,1103:40,1104:20,1105:10,1201:10,1202:20,1203:40,1204:20,1205:10,3101:10,3102:20,3103:40,3104:20,3105:10,3201:10,3202:20,3203:40,3204:20,3205:10	3201:10,3202:20,3203:40,3204:20,3205:10,7101:10,7102:20,7103:40,7104:20,7105:10,7201:10,7202:20,7203:40,7204:20,7205:10,7301:10,7302:20,7303:40,7304:20,7305:10,7401:10,7402:20,7403:40,7404:20,7405:10,7501:10,7502:20,7503:40,7504:20,7505:10	3201:10,3202:20,3203:40,3204:20,3205:10,7101:10,7102:20,7103:40,7104:20,7105:10,7201:10,7202:20,7203:40,7204:20,7205:10,7301:10,7302:20,7303:40,7304:20,7305:10,7401:10,7402:20,7403:40,7404:20,7405:10,7501:10,7502:20,7503:40,7504:20,7505:10
54001					10	10			1	1001:80,1002:20,1101:80,1102:20,3101:80,3102:20			
54002					10	10			1	1001:15,1002:70,1003:15,1101:15,1102:70,1103:15,3101:15,3102:70,3103:15	1001:15,1002:70,1003:15,1101:15,1102:70,1103:15,3101:15,3102:70,3103:15,3201:15,3202:70,3203:15		
