ID	Prefab路径	默认阵营	类型	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	标签	客户端脚本	ItemJSON名称	ItemPrefab路径	雷达提示类型	Name
40000001	ART/Others/Gadget/Gadget_SteamField	9999	25	SteamBangField						item		Default_Item			GadgetData_Avatar_Name_40000001
40000002	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	ThunderFistField						item		Default_Item			GadgetData_Avatar_Name_40000002
40000003	ART/Others/Bullet/Bullet_GrassDart	1001	3	GrassDart	1					item		Default_Item			GadgetData_Avatar_Name_40000003
40000004	ART/Others/Bullet/Bullet_SharkTorpedo	1001	3	SharkTorpedo	1					item		Default_Item			GadgetData_Avatar_Name_40000004
40000005	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	SharkTorpedo_Spurt	1					item		Default_Item			GadgetData_Avatar_Name_40000005
40000006	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	SharkTorpedo_Spurt_2	1					item		Default_Item			GadgetData_Avatar_Name_40000006
40000104	ART/Others/Bullet/Bullet_LightningBoltSpear	1001	3	FrostSpear	1					item		Default_Item			GadgetData_Avatar_Name_40000104
40000115	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	IceSpine_Old						item		Default_Item			GadgetData_Avatar_Name_40000115
40000116	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	IceSpine_Old						item		Default_Item			GadgetData_Avatar_Name_40000116
40000117	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	IceSpine_Old						item		Default_Item			GadgetData_Avatar_Name_40000117
40000118	ART/Others/Bullet/Bullet_RockImpact	1001	3	Kevin_RockImpact	1					item		Default_Item			GadgetData_Avatar_Name_40000118
40000119		1001	18	ModifiedTrigger						item		Default_Item			GadgetData_Avatar_Name_40000119
40000120		1001	18	RockImpactTrap						item		Default_Item			GadgetData_Avatar_Name_40000120
40000121	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	IceSpine_Strike						item		Default_Item			GadgetData_Avatar_Name_40000121
40000139	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	NoAvatar_IceRain											GadgetData_Avatar_Name_40000139
40000140	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	19	NoAvatar_IceTrap											GadgetData_Avatar_Name_40000140
40000148	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	ClawMark_Mark	1	1				item		Default_Item			GadgetData_Avatar_Name_40000148
40000154	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	ClawMark_Mark_Lycan	1	1				item		Default_Item			GadgetData_Avatar_Name_40000154
40000160	ART/Others/Bullet/Bullet_ArrowAiming	1001	3	AimingArrow_WithoutFire	1	1				item		Default_Item			GadgetData_Avatar_Name_40000160
40000161	ART/Others/Bullet/Bullet_Arrow	1001	3	Double_ArrowAiming_WithoutFire	1	1				item		Default_Item			GadgetData_Avatar_Name_40000161
40000172	ART/Others/Bullet/Bullet_LightningBoltSpear	1001	3	Frost_Orb	1	1				item		Default_Item			GadgetData_Avatar_Name_40000172
40000173	ART/Others/Bullet/Bullet_LightningBoltSpear	1001	3	Frost_Orb_Bullet	1	1				item		Default_Item			GadgetData_Avatar_Name_40000173
40000174	ART/Others/Bullet/Bullet_JumpingBomb	1001	3	JumpDrug_Whitbox_01	1	1				item		Default_Item			GadgetData_Avatar_Name_40000174
40000175	ART/Others/Bullet/Bullet_JumpingBomb	1001	3	JumpDrug_Whitbox_02	1	1				item		Default_Item			GadgetData_Avatar_Name_40000175
40000176	ART/Others/Bullet/Bullet_JumpingBomb	1001	3	JumpDrug_Whitbox_03	1	1				item		Default_Item			GadgetData_Avatar_Name_40000176
40000177	ART/Others/Bullet/Bullet_JumpingBomb	1001	3	JumpDrug_Whitbox_04	1	1				item		Default_Item			GadgetData_Avatar_Name_40000177
40000178	ART/Others/Bullet/Bullet_JumpingBomb	1002	3	EmptyGadget	1	1				item		Default_Item			GadgetData_Avatar_Name_40000178
40000129	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	IceSpell_Wards_Trap						item		Default_Item			GadgetData_Avatar_Name_40000129
40100001	ART/Others/Bullet/Bullet_Arrow	1001	3	Test_Arrow	1	1				item		Default_Item			GadgetData_Avatar_Name_40100001
40100006	ART/Others/Bullet/Bullet_ArrowAiming	1001	3	Test_ArrowAiming	1	1				item		Default_Item			GadgetData_Avatar_Name_40100006
40100013	ART/Others/Bullet/Bullet_Gear_Elec_Shoot	4001	3	Gear_ElectricBall	1					item		Default_Item			GadgetData_Avatar_Name_40100013
40100200	ART/Others/SceneObj/SceneObj_RoomDoorTest	1001	19	RoomDoor				1		item		Default_Item			GadgetData_Avatar_Name_40100200
40100201	ART/Stages/Indoor/Mengde/Props/Indoor_MdProps_Knight_Door01_Vo	1001	19	RoomDoor		1		1		item		Default_Item			GadgetData_Avatar_Name_40100201
40200001	ART/Effect/SceneInteractive/Eff_WindField_Vertical	1001	23	SceneObj_Environment_WindField_AirflowField						item		Default_Item			GadgetData_Avatar_Name_40200001
40200002	ART/Effect/SceneInteractive/Eff_WindField_Horizontal_01	1001	23							item		Default_Item			GadgetData_Avatar_Name_40200002
40200003	ART/Others/Gadget/Gadget_SpeedupField	1001	24	SceneObj_Environment_WindField_SpeedupField						item		Default_Item			GadgetData_Avatar_Name_40200003
40200008	ART/Effect/SceneInteractive/Eff_WindField_FireGrass	1001	23							item		Default_Item			GadgetData_Avatar_Name_40200008
40200020	ART/Effect/SceneInteractive/Eff_WindField_Vertical_Feather_01	1001	23	AirflowFieldBlue						item		Default_Item			GadgetData_Avatar_Name_40200020
40210006	ART/Others/SceneObj/SceneObj_Gear_Tornado_Controller	5001	19	DragonNest_Tornado_WindField_Controller					1						GadgetData_Avatar_Name_40210006
40210007	ART/Others/SceneObj/SceneObj_Test_StrongWindSafeRegion	5001	19	DragonNest_StrongWindSafeRegion						item		Default_Item			GadgetData_Avatar_Name_40210007
41002001	ART/Others/Bullet/Bullet_Windmill	1001	18	FrozenWindmill	1					item		Default_Item			GadgetData_Avatar_Name_41002001
41002002	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	IceSpine_Large						item		Default_Item			GadgetData_Avatar_Name_41002002
41002003		1001	18	Frozen_Butterfly_Area	1	1				item		Default_Item			GadgetData_Avatar_Name_41002003
41002004	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	Frozen_Butterfly_Area_Material		1				item		Default_Item			GadgetData_Avatar_Name_41002004
41002005	ART/Others/Bullet/Bullet_Windmill	1001	18	FrozenWindmill_Sub	1					item		Default_Item			GadgetData_Avatar_Name_41002005
41002006	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	Ayaka_ExtraAttack	1	1				item		Default_Item			GadgetData_Avatar_Name_41002006
41002007	ART/Others/Bullet/Bullet_AyakaNormalAttack_05	1001	3	Ayaka_NormalAttack_05	1	1				item		Default_Item			GadgetData_Avatar_Name_41002007
41002008	ART/Others/SkillObj/SkillObj_EmptyGadget	1001	18	Ayaka_YayoiKaeshi	1	1				item		Default_Item			GadgetData_Avatar_Name_41002008
41003001	ART/Others/SkillObj/SkillObj_WoodSpike	1001	18	WoodSpikeField						item		Default_Item			GadgetData_Avatar_Name_41003001
41003002	ART/Others/SkillObj/SkillObj_WoodSpike	1001	18	HealingSeal						item		Default_Item			GadgetData_Avatar_Name_41003002
