ID	Prefab路径	默认阵营	类型	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	标签	客户端脚本	ItemJSON名称	ItemPrefab路径	雷达提示类型	Name
50004001	ART/Equip/MonEquip/MonEquip_WoodenClub_01/MonEquip_WoodenClub_01	0	9	MonEquip_WoodenClub_01			1			undead_equip01		Default_MonsterWeapon	ART/Equip/MonEquip/MonEquip_WoodenClub_01/MonEquip_WoodenClub_01		GadgetData_Equip_Name_50004001
50004002	ART/Equip/MonEquip/MonEquip_Shield_01/MonEquip_Shield_01	0	9	MonEquip_Shield_01			1			undead_equip01,shield		Default_MonsterWeapon	ART/Equip/MonEquip/MonEquip_Shield_01/MonEquip_Shield_01		GadgetData_Equip_Name_50004002
50004003	ART/Equip/MonEquip/MonEquip_WoodenClub_Fire/MonEquip_WoodenClub_Fire	0	9	MonEquip_WoodenClub_Fire_01			1			undead_equip01		Default_MonsterWeapon	ART/Equip/MonEquip/MonEquip_WoodenClub_Fire/MonEquip_WoodenClub_Fire		GadgetData_Equip_Name_50004003
50004004	ART/Equip/MonEquip/MonEquip_Crossbow_01/MonEquip_Crossbow_01	0	9	MonEquip_Crossbow_01			1			undead_equip01		Default_MonsterWeapon	ART/Equip/MonEquip/MonEquip_Crossbow_01/MonEquip_Crossbow_01		GadgetData_Equip_Name_50004004
50004005	ART/Equip/MonEquip/MonEquip_BackPack_Fire/MonEquip_BackPack_Fire	0	9	MonEquip_Backpack_Fire			1			undead_equip01		Default_MonsterWeapon	ART/Equip/MonEquip/MonEquip_BackPack_Fire/MonEquip_BackPack_Fire		GadgetData_Equip_Name_50004005
50004006	ART/Equip/MonEquip/MonEquip_Staff_Fire_01/MonEquip_Staff_Fire_01	0	9	MonEquip_Staff_Fire_01			1			undead_equip01		Default_MonsterWeapon	ART/Equip/MonEquip/MonEquip_Staff_Fire_01/MonEquip_Staff_Fire_01		GadgetData_Equip_Name_50004006
50004007	ART/Equip/MonEquip/MonEquip_Staff_Ice_01/MonEquip_Staff_Ice_01	0	9	MonEquip_Staff_Ice_01			1			undead_equip01		Default_MonsterWeapon	ART/Equip/MonEquip/MonEquip_Staff_Ice_01/MonEquip_Staff_Ice_01		GadgetData_Equip_Name_50004007
50004008	ART/Equip/MonEquip/MonEquip_Staff_Water_01/MonEquip_Staff_Water_01	0	9	MonEquip_Staff_Water_01			1			undead_equip01		Default_MonsterWeapon	ART/Equip/MonEquip/MonEquip_Staff_Water_01/MonEquip_Staff_Water_01		GadgetData_Equip_Name_50004008
50004009	ART/Equip/MonEquip/MonEquip_Wand_Water_01/MonEquip_Wand_Water_01	0	9	MonEquip_Wand_Water_01			1			undead_equip01		Default_MonsterWeapon	ART/Equip/MonEquip/MonEquip_Wand_Water_01/MonEquip_Wand_Water_01		GadgetData_Equip_Name_50004009
50004010	ART/Equip/MonEquip/MonEquip_Wand_Grass_01/MonEquip_Wand_Grass_01	0	9	MonEquip_Wand_Grass_01			1			undead_equip01		Default_MonsterWeapon	ART/Equip/MonEquip/MonEquip_Wand_Grass_01/MonEquip_Wand_Grass_01		GadgetData_Equip_Name_50004010
50004011	ART/Equip/MonEquip/MonEquip_WoodenClub_02/MonEquip_WoodenClub_02	0	9	MonEquip_WoodenClub_02			1			undead_equip01		Default_MonsterWeapon	ART/Equip/MonEquip/MonEquip_WoodenClub_02/MonEquip_WoodenClub_02		GadgetData_Equip_Name_50004011
50004012	ART/Equip/MonEquip/MonEquip_Shield_02/MonEquip_Shield_02	0	9	MonEquip_Shield_02			1			undead_equip01,shield		Default_MonsterWeapon	ART/Equip/MonEquip/MonEquip_Shield_02/MonEquip_Shield_02		GadgetData_Equip_Name_50004012
