ID	Prefab路径	默认阵营	类型	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	标签	客户端脚本	ItemJSON名称	ItemPrefab路径	雷达提示类型	Name
70000001		9001	10	Grass01		1				item		Default_Item			GadgetData_Level_Name_70000001
70000002		9002	20	Water01		1				item		Default_Item			GadgetData_Level_Name_70000002
70000003		9001	36	Tree01		1				item		Default_Item			GadgetData_Level_Name_70000003
70000004		9001	37	Bush01		1				item		Default_Item			GadgetData_Level_Name_70000004
70000005		9001	37	Bush02		1				item		Default_Item			GadgetData_Level_Name_70000005
70010001		0	13							item		Default_Item			GadgetData_Level_Name_70010001
70010002		0	15							item		Default_Item			GadgetData_Level_Name_70010002
70010003	ART/Others/SceneObj/SceneObj_DungeonEntry	0	15							item		Default_Item			GadgetData_Level_Name_70010003
70010004	ART/Others/SceneObj/SceneObj_DungeonEntry	0	15							item		Default_Item			GadgetData_Level_Name_70010004
70010005	ART/Others/SceneObj/SceneObj_DungeonQuitPoint	0	15							item		Default_Item			GadgetData_Level_Name_70010005
70010006		0	18	LocalTrigger						item		Default_Item			GadgetData_Level_Name_70010006
70020001		4001	19	Enviro01					3	item		Default_Item			GadgetData_Level_Name_70020001
70020002		4001	19	Enviro02					3	item		Default_Item			GadgetData_Level_Name_70020002
70020003		4001	19	Enviro03					3	item		Default_Item			GadgetData_Level_Name_70020003
70110001	ART/Others/SceneObj/SceneObj_NPC_Goddess	0	13	SceneObj_Resident_Goddess		1									GadgetData_Level_Name_70110001
70110002	ART/Others/SceneObj/SceneObj_Gear_Teleport	0	15	SceneObj_Resident_Teleport		1									GadgetData_Level_Name_70110002
70110003	ART/Effect/SceneInteractive/Eff_WormHoleGate01	0	15												GadgetData_Level_Name_70110003
70120001	ART/Others/SceneObj/SceneObj_DungeonEntry_MengDe01	5001	19	SceneObj_Resident_DungeonEntry_MengDe01		1				item					GadgetData_Level_Name_70120001
70120002	ART/Others/SceneObj/SceneObj_DungeonEntry_MengDe02	5001	19	SceneObj_Resident_DungeonEntry_MengDe02		1				item					GadgetData_Level_Name_70120002
70120003	ART/Others/SceneObj/SceneObj_Gear_CheckPoint	0	15	SceneObj_Resident_CheckPoint					1						GadgetData_Level_Name_70120003
70120004	ART/Effect/SceneInteractive/Eff_Dungeon_Exit	0	15						1						GadgetData_Level_Name_70120004
70120005	ART/Effect/SceneInteractive/Eff_Stages_DvalinDungeonEntry_Idle	0	19	DungeonEntry_Dvalin					1						GadgetData_Level_Name_70120005
70130001	ART/Others/Gadget/Gadget_Windmill01	5001	19	Windmill	1				2						GadgetData_Level_Name_70130001
70130002	ART/Others/Gadget/Gadget_Windmill02	5001	19	Windmill	1				2						GadgetData_Level_Name_70130002
70130003	ART/Others/Gadget/Gadget_Windmill03	5001	19	Windmill	1				2						GadgetData_Level_Name_70130003
70200011	ART/Others/SceneObj/SceneObj_HealingBarrel	5001	19	HealingBarrel						item		Default_Item			GadgetData_Level_Name_70200011
