ID	采集物ID	获得物品ID	额外获得物品ID	挂节点类型	挂接位置	刷新CD	刷新优先级	[区块]1ID	[区块]1数量	初始不可交互
101	70520001	101001		1	0	2	10	1001	9	
102	70520002	101002		1	0	2	20	1001	3	
103	70520003	101003		1	0	2	30	1001	1	
104	70540003	100001		2	1	3	20	1001	15	
105	70520004	100011		1	0	2	5	1002	3	
106	70520004	100011		1	0	2	5	1001	3	
107	70520004	100011		1	0	2	5	1001	3	
108	70520004	100011		1	0	2	5	1001	3	
3003001	70520001	101001		1001	0	10	10	3003	35	
3003002	70520001	101001		1001	0	10	10	3003	22	
3003003	70520002	101002		1002	0	10	20	3003	5	
3003004	70520003	101003		1003	0	10	30	3003	4	
3003005	70520001	101001		1001001	0	10	10	3003	5	
3003006	70520001	101001		1001002	0	10	10	3003	7	
3003007	70520002	101002		1002001	0	10	20	3003	5	
3003008	70520003	101003		1003001	0	10	30	3003	5	
3003009	70520009	100016		2001	0	10	10	3003	60	
3003010	70520004	100011		2002	0	10	5	3003	40	
3003015	70520006	100013		2003	0	10	5	3003	5	
3003016	70520007	100014		2003	0	10	10	3003	5	
3003017	70520005	100012		2004	0	10	10	3003	60	
3003018	70520005	100012		2004001	0	10	10	3003	50	
3003019	70520008	100015		2005	0	10	10	3003	40	
3003020	70520008	100015		2005001	0	10	10	3003	30	
3003021	70540003	100001		2006	0	5	20	3003	30	
3003022	70540005	100020		2007	0	10	10	3003	50	
3003023	70540003	100001		3001	1	5	20	3003	80	
3003024	70540001	100051		3002	1	10	10	3003	70	
3003025	70540004	100062		3003	1	10	10	3003	20	
3003026	70590004	107001		4001001	0	1	10	3003	100	
3003027	70590003	100012	107001	4001002	0	1	10	3003	4	
3003028	70600064	100151		4001003	1	10	10	3003	1	
3003029	70510001	100052		3004	0	10	10	3003	3	
3003030	70220013	100001		5001	0	10	10	3003	3	
3003031	70510006	100053		3005	0	10	10	3003	20	1
3003032	70510005	100054		3006	0	10	10	3003	20	
3003033	70510004	100055		3007	0	10	10	3003	80	
3003034	70590013	100056		2008	0	10	10	3003	20	
3003035	70510007	100052		3008	0	10	10	3003	20	1
3003036	70520013	100063		2009	0	10	10	3003	20	
3003037	70510009	100057		3009	0	10	10	3003	20	1
3001001	70520001	101001		1001	0	10	10	3001	20	
3001002	70520001	101001		1001	0	10	10	3001	4	
3001003	70520002	101002		1002	0	10	20	3001	5	
3001004	70520003	101003		1003	0	10	30	3001	2	
3001005	70520001	101001		1001001	0	10	10	3001	5	
3001006	70520001	101001		1001002	0	10	10	3001	7	
3001007	70520002	101002		1002001	0	10	20	3001	5	
3001008	70520003	101003		1003001	0	10	30	3001	5	
3001009	70520009	100016		2001	0	10	10	3001	60	
3001010	70520004	100011		2002	0	10	5	3001	8	
3001015	70520006	100013		2003	0	10	5	3001	5	
3001016	70520007	100014		2003	0	10	10	3001	5	
3001017	70520005	100012		2004	0	10	10	3001	60	
3001018	70520005	100012		2004001	0	10	10	3001	10	
3001019	70520008	100015		2005	0	10	10	3001	24	
3001020	70520008	100015		2005001	0	10	10	3001	10	
3001021	70540003	100001		3001	1	5	20	3001	77	
3001022	70540001	100051		3002	1	10	10	3001	33	
3001023	70590004	107001		4001001	0	1	10	3001	100	
3001025	70600064	100151		4001003	1	10	10	3001	1	
3001031	70510006	100053		3005	0	10	10	3001	20	1
3001032	70510005	100054		3006	0	10	10	3001	20	
3001033	70510004	100055		3007	0	10	10	3001	50	
3001034	70590013	100056		2008	0	10	10	3001	20	
3001035	70510007	100052		3008	0	10	10	3001	20	1
3001036	70540004	100062		3003	1	10	10	3001	20	
3001038	70520013	100063		2009	0	10	10	3001	20	
3001037	70540005	100020		2007	0	10	10	3001	50	
3001039	70510009	100057		3009	0	10	10	3001	20	1
3002001	70520001	101001		1001	0	10	10	3002	35	
3002002	70520001	101001		1001	0	10	10	3002	22	
3002003	70520002	101002		1002	0	10	20	3002	5	
3002004	70520003	101003		1003	0	10	30	3002	2	
3002005	70520001	101001		1001001	0	10	10	3002	5	
3002006	70520001	101001		1001002	0	10	10	3002	7	
3002007	70520002	101002		1002001	0	10	20	3002	5	
3002008	70520003	101003		1003001	0	10	30	3002	5	
3002009	70520009	100016		2001	0	10	10	3002	60	
3002010	70520004	100011		2002	0	10	5	3002	20	
3002015	70520006	100013		2003	0	10	5	3002	8	
3002016	70520007	100014		2003	0	10	10	3002	8	
3002017	70520005	100012		2004	0	10	10	3002	60	
3002018	70520005	100012		2004001	0	10	10	3002	10	
3002019	70520008	100015		2005	0	10	10	3002	30	
3002020	70520008	100015		2005001	0	10	10	3002	10	
3002021	70540003	100001		3001	1	5	20	3002	114	
3002022	70540001	100051		3002	1	10	10	3002	44	
3002023	70590004	107001		4001001	0	1	10	3002	100	
3002024	70590003	100012	107001	4001002	0	1	10	3002	7	
3002026	70540004	100062		3003	1	10	10	3002	20	
3002027	70510001	100052		3004	0	10	10	3002	3	
3002028	70220013	100001		5001	0	10	10	3002	3	
3002031	70510006	100053		3005	0	10	10	3002	20	1
3002032	70510005	100054		3006	0	10	10	3002	20	
3002033	70510004	100055		3007	0	10	10	3002	50	
3002034	70590013	100056		2008	0	10	10	3002	20	
3002035	70510007	100052		3008	0	10	10	3002	20	1
3002036	70520013	100063		2009	0	10	10	3002	20	
3002037	70540005	100020		2007	0	10	10	3002	50	
3002039	70510009	100057		3009	0	10	10	3002	20	1
20007001	70510006	100001		3001	0	5	20	20007	6	1
20007002	70510007	100001		3008	0	5	20	20007	6	1
20007003	70510003	100001		3006	0	5	20	20007	6	1
20007004	70510011	100001		6666	0	5	20	20007	6	
20000001	70590005	107002		1000001	0	20	20	20000	7	
3002025	70590005	107002		1000001	1	1	20	3002	20	
3004001	70520004	100011		200202	0	10	15	3004	10	
3004003	70520001	101001		1001	0	10	10	3004	35	
3004004	70520001	101001		1001	0	10	10	3004	22	
3004005	70520002	101002		1002	0	10	20	3004	5	
3004006	70520003	101003		1003	0	10	30	3004	2	
3004007	70520001	101001		1001001	0	10	10	3004	5	
3004008	70520001	101001		1001002	0	10	10	3004	7	
3004009	70520002	101002		1002001	0	10	20	3004	5	
3004010	70520003	101003		1003001	0	10	30	3004	5	
3004011	70520009	100016		2001	0	10	10	3004	60	
3004012	70520004	100011		2002	0	10	5	3004	30	
3004016	70520004	100011		2002001	0	60	10	3004	14	
3004017	70520006	100013		2003	0	10	5	3004	5	
3004018	70520007	100014		2003	0	10	10	3004	5	
3004019	70520005	100012		2004	0	10	10	3004	60	
3004020	70520005	100012		2004001	0	10	10	3004	14	
3004021	70520008	100015		2005	0	10	10	3004	30	
3004022	70520008	100015		2005001	0	10	10	3004	10	
3004023	70540003	100001		2006	0	5	20	3004	20	
3004024	70540005	100020		2007	0	10	10	3004	50	
3004025	70540003	100001		3001	1	5	20	3004	72	
3004026	70540001	100051		3002	1	10	10	3004	44	
3004027	70540004	100062		3003	1	10	10	3004	20	
3004028	70590004	107001		4001001	0	1	10	3004	100	
3004029	70590003	100012	107001	4001002	0	1	10	3004	4	
3004030	70600064	100151		4001003	1	10	10	3004	1	
3004031	70510001	100052		3004	0	10	10	3004	3	
3004032	70220013	100001		5001	0	10	10	3004	3	
3004033	70510006	100053		3005	0	10	10	3004	20	1
3004034	70510005	100054		3006	0	10	10	3004	20	
3004035	70510004	100055		3007	0	10	10	3004	50	
3004036	70590013	100056		2008	0	10	10	3004	20	
3004037	70510007	100052		3008	0	10	10	3004	20	1
3004038	70520013	100063		2009	0	10	10	3004	20	
3004039	70510009	100057		3009	0	10	10	3004	20	1
3007003	70520001	101001		1001	0	10	10	3007	35	
3007005	70520002	101002		1002	0	10	20	3007	5	
3007006	70520003	101003		1003	0	10	30	3007	2	
3007001	70520004	100011		2002002	0	10	15	3007	30	
