Level	HPRatio	AttackRatio
1	1	1
2	1.1	1.1
3	1.2	1.2
4	1.3	1.3
5	1.4	1.4
6	1.5	1.5
7	1.6	1.6
8	1.7	1.7
9	1.8	1.8
10	1.9	1.9
11	2	2
12	2.1	2.1
13	2.2	2.2
14	2.3	2.3
15	2.4	2.4
16	2.5	2.5
17	2.6	2.6
18	2.7	2.7
19	2.8	2.8
20	2.9	2.9
21	3	3
22	3.1	3.1
23	3.2	3.2
24	3.3	3.3
25	3.4	3.4
26	3.5	3.5
27	3.6	3.6
28	3.7	3.7
29	3.8	3.8
30	3.9	3.9
31	4	4
32	4.1	4.1
33	4.2	4.2
34	4.3	4.3
35	4.4	4.4
36	4.5	4.5
37	4.6	4.6
38	4.7	4.7
39	4.8	4.8
40	4.9	4.9
41	5	5
42	5.1	5.1
43	5.2	5.2
44	5.3	5.3
45	5.4	5.4
46	5.5	5.5
47	5.6	5.6
48	5.7	5.7
49	5.8	5.8
50	5.9	5.9
51	6	6
52	6.1	6.1
53	6.2	6.2
54	6.3	6.3
55	6.4	6.4
56	6.5	6.5
57	6.6	6.6
58	6.7	6.7
59	6.8	6.8
60	6.9	6.9
61	7	7
62	7.1	7.1
63	7.2	7.2
64	7.3	7.3
65	7.4	7.4
66	7.5	7.5
67	7.6	7.6
68	7.7	7.7
69	7.8	7.8
70	7.9	7.9
71	8	8
72	8.1	8.1
73	8.2	8.2
74	8.3	8.3
75	8.4	8.4
76	8.5	8.5
77	8.6	8.6
78	8.7	8.7
79	8.8	8.8
80	8.9	8.9
81	9	9
82	9.1	9.1
83	9.2	9.2
84	9.3	9.3
85	9.4	9.4
86	9.5	9.5
87	9.6	9.6
88	9.7	9.7
89	9.8	9.8
90	9.9	9.9
91	10	10
92	10.1	10.1
93	10.2	10.2
94	10.3	10.3
95	10.4	10.4
96	10.5	10.5
97	10.6	10.6
98	10.7	10.7
99	10.8	10.8
100	10.9	10.9
