ID	资源类型	默认路径	简体中文路径	繁体中文路径	英文路径	韩文路径
100001	1		ART/UI/Atlas/LogoImg/Logo_CHS	ART/UI/Atlas/LogoImg/Logo_CHT	ART/UI/Atlas/LogoImg/Logo_ENG	ART/UI/Atlas/LogoImg/Logo_KOR
200001	2	ART/UI/Readable/Poem1	ART/UI/Readable/Poem1	ART/UI/Readable/Poem1_CHT	ART/UI/Readable/Poem1_ENG	ART/UI/Readable/Poem1_KOR
200002	2	ART/UI/Readable/Poem2	ART/UI/Readable/Poem2	ART/UI/Readable/Poem2_CHT	ART/UI/Readable/Poem2_ENG	ART/UI/Readable/Poem2_KOR
200003	2	ART/UI/Readable/Poem3	ART/UI/Readable/Poem3	ART/UI/Readable/Poem3_CHT	ART/UI/Readable/Poem3_ENG	ART/UI/Readable/Poem3_KOR
200004	2	ART/UI/Readable/KaeyaTreasure1	ART/UI/Readable/KaeyaTreasure1	ART/UI/Readable/KaeyaTreasure1_CHT	ART/UI/Readable/KaeyaTreasure1_ENG	ART/UI/Readable/KaeyaTreasure1_KOR
200005	2	ART/UI/Readable/KaeyaTreasure2	ART/UI/Readable/KaeyaTreasure2	ART/UI/Readable/KaeyaTreasure2_CHT	ART/UI/Readable/KaeyaTreasure2_ENG	ART/UI/Readable/KaeyaTreasure2_KOR
200006	2	ART/UI/Readable/KaeyaTreasure3	ART/UI/Readable/KaeyaTreasure3	ART/UI/Readable/KaeyaTreasure3_CHT	ART/UI/Readable/KaeyaTreasure3_ENG	ART/UI/Readable/KaeyaTreasure3_KOR
200007	2	ART/UI/Readable/Book1	ART/UI/Readable/Book1	ART/UI/Readable/Book1_CHT	ART/UI/Readable/Book1_ENG	ART/UI/Readable/Book1_KOR
200008	2	ART/UI/Readable/Book2	ART/UI/Readable/Book2	ART/UI/Readable/Book2_CHT	ART/UI/Readable/Book2_ENG	ART/UI/Readable/Book2_KOR
200009	2	ART/UI/Readable/Book3	ART/UI/Readable/Book3	ART/UI/Readable/Book3_CHT	ART/UI/Readable/Book3_ENG	ART/UI/Readable/Book3_KOR
200010	2	ART/UI/Readable/Book4	ART/UI/Readable/Book4	ART/UI/Readable/Book4_CHT	ART/UI/Readable/Book4_ENG	ART/UI/Readable/Book4_KOR
200011	2	ART/UI/Readable/Book5	ART/UI/Readable/Book5	ART/UI/Readable/Book5_CHT	ART/UI/Readable/Book5_ENG	ART/UI/Readable/Book5_KOR
200012	2	ART/UI/Readable/Book6	ART/UI/Readable/Book6	ART/UI/Readable/Book6_CHT	ART/UI/Readable/Book6_ENG	ART/UI/Readable/Book6_KOR
200013	2	ART/UI/Readable/Poster1	ART/UI/Readable/Poster1	ART/UI/Readable/Poster1_CHT	ART/UI/Readable/Poster1_ENG	ART/UI/Readable/Poster1_KOR
200014	2	ART/UI/Readable/Poster2	ART/UI/Readable/Poster2	ART/UI/Readable/Poster2_CHT	ART/UI/Readable/Poster2_ENG	ART/UI/Readable/Poster2_KOR
200015	2	ART/UI/Readable/Book7	ART/UI/Readable/Book7	ART/UI/Readable/Book7_CHT	ART/UI/Readable/Book7_ENG	ART/UI/Readable/Book7_KOR
200016	2	ART/UI/Readable/Book8	ART/UI/Readable/Book8	ART/UI/Readable/Book8_CHT	ART/UI/Readable/Book8_ENG	ART/UI/Readable/Book8_KOR
200017	2	ART/UI/Readable/Book9	ART/UI/Readable/Book9	ART/UI/Readable/Book9_CHT	ART/UI/Readable/Book9_ENG	ART/UI/Readable/Book9_KOR
200018	2	ART/UI/Readable/Book10	ART/UI/Readable/Book10	ART/UI/Readable/Book10_CHT	ART/UI/Readable/Book10_ENG	ART/UI/Readable/Book10_KOR
200019	2	ART/UI/Readable/Book11	ART/UI/Readable/Book11	ART/UI/Readable/Book11_CHT	ART/UI/Readable/Book11_ENG	ART/UI/Readable/Book11_KOR
200020	2	ART/UI/Readable/Book12	ART/UI/Readable/Book12	ART/UI/Readable/Book12_CHT	ART/UI/Readable/Book12_ENG	ART/UI/Readable/Book12_KOR
200021	2	ART/UI/Readable/Book13	ART/UI/Readable/Book13	ART/UI/Readable/Book13_CHT	ART/UI/Readable/Book13_ENG	ART/UI/Readable/Book13_KOR
200022	2	ART/UI/Readable/Book14	ART/UI/Readable/Book14	ART/UI/Readable/Book14_CHT	ART/UI/Readable/Book14_ENG	ART/UI/Readable/Book14_KOR
200023	2	ART/UI/Readable/Book15	ART/UI/Readable/Book15	ART/UI/Readable/Book15_CHT	ART/UI/Readable/Book15_ENG	ART/UI/Readable/Book15_KOR
200024	2	ART/UI/Readable/Book16	ART/UI/Readable/Book16	ART/UI/Readable/Book16_CHT	ART/UI/Readable/Book16_ENG	ART/UI/Readable/Book16_KOR
200025	2	ART/UI/Readable/Book17	ART/UI/Readable/Book17	ART/UI/Readable/Book17_CHT	ART/UI/Readable/Book17_ENG	ART/UI/Readable/Book17_KOR
200026	2	ART/UI/Readable/Book18	ART/UI/Readable/Book18	ART/UI/Readable/Book18_CHT	ART/UI/Readable/Book18_ENG	ART/UI/Readable/Book18_KOR
200027	2	ART/UI/Readable/Book19	ART/UI/Readable/Book19	ART/UI/Readable/Book19_CHT	ART/UI/Readable/Book19_ENG	ART/UI/Readable/Book19_KOR
200028	2	ART/UI/Readable/Book20	ART/UI/Readable/Book20	ART/UI/Readable/Book20_CHT	ART/UI/Readable/Book20_ENG	ART/UI/Readable/Book20_KOR
200029	2	ART/UI/Readable/Book21	ART/UI/Readable/Book21	ART/UI/Readable/Book21_CHT	ART/UI/Readable/Book21_ENG	ART/UI/Readable/Book21_KOR
200030	2	ART/UI/Readable/Book22	ART/UI/Readable/Book22	ART/UI/Readable/Book22_CHT	ART/UI/Readable/Book22_ENG	ART/UI/Readable/Book22_KOR
200031	2	ART/UI/Readable/Book23	ART/UI/Readable/Book23	ART/UI/Readable/Book23_CHT	ART/UI/Readable/Book23_ENG	ART/UI/Readable/Book23_KOR
200032	2	ART/UI/Readable/Book24	ART/UI/Readable/Book24	ART/UI/Readable/Book24_CHT	ART/UI/Readable/Book24_ENG	ART/UI/Readable/Book24_KOR
200033	2	ART/UI/Readable/Book25	ART/UI/Readable/Book25	ART/UI/Readable/Book25_CHT	ART/UI/Readable/Book25_ENG	ART/UI/Readable/Book25_KOR
200034	2	ART/UI/Readable/Book26	ART/UI/Readable/Book26	ART/UI/Readable/Book26_CHT	ART/UI/Readable/Book26_ENG	ART/UI/Readable/Book26_KOR
200035	2	ART/UI/Readable/Book27	ART/UI/Readable/Book27	ART/UI/Readable/Book27_CHT	ART/UI/Readable/Book27_ENG	ART/UI/Readable/Book27_KOR
200036	2	ART/UI/Readable/Book28	ART/UI/Readable/Book28	ART/UI/Readable/Book28_CHT	ART/UI/Readable/Book28_ENG	ART/UI/Readable/Book28_KOR
300001	3	MDAQ041_CHS.srt	MDAQ041_CHS.srt	MDAQ041_CHT.srt	MDAQ041_ENG.srt	MDAQ041_KOR.srt
300002	3			Title_CHT.srt	Title_ENG.srt	Title_KOR.srt
300003	3	OpeningSequence_Boy_CHS.srt	OpeningSequence_Boy_CHS.srt	OpeningSequence_Boy_CHT.srt	OpeningSequence_Boy_ENG.srt	OpeningSequence_Boy_KOR.srt
300004	3	OpeningSequence_Girl_CHS.srt	OpeningSequence_Girl_CHS.srt	OpeningSequence_Girl_CHT.srt	OpeningSequence_Girl_ENG.srt	OpeningSequence_Girl_KOR.srt
300005	3	Cs_MDAQ071_Davalin_CHS.srt	Cs_MDAQ071_Davalin_CHS.srt	Cs_MDAQ071_Davalin_CHT.srt	Cs_MDAQ071_Davalin_ENG.srt	Cs_MDAQ071_Davalin_KOR.srt
