ID	图标	类型	重量	排序权重	物件ID	可丢弃	使用等级	材料类型	冷却时间	冷却组	堆叠上限	最大使用数量	获得即使用	禁止提示第一次获得	需要特殊表现	目标	[使用]1操作	[使用]1参数1	[使用]1参数2	[使用]1参数3	[使用]2操作	[使用]2参数1	[使用]2参数2	阶数	料理品质	效果图标	拾取虚拟id	拾取特效	是否分开掉落	Name	Desc	InteractionTitle	EffectDesc	TypeDesc
101	UI_ItemIcon_101	1												1										3						MaterialData_Name_101	MaterialData_Desc_101	MaterialData_InteractionTitle_101	MaterialData_EffectDesc_101	MaterialData_TypeDesc_101
102	UI_ItemIcon_102	1												1										3						MaterialData_Name_102	MaterialData_Desc_102	MaterialData_InteractionTitle_102	MaterialData_EffectDesc_102	MaterialData_TypeDesc_102
103	UI_ItemIcon_103	1												1										3						MaterialData_Name_103	MaterialData_Desc_103	MaterialData_InteractionTitle_103	MaterialData_EffectDesc_103	MaterialData_TypeDesc_103
104	UI_ItemIcon_104	1												1										4						MaterialData_Name_104	MaterialData_Desc_104	MaterialData_InteractionTitle_104	MaterialData_EffectDesc_104	MaterialData_TypeDesc_104
201	UI_ItemIcon_201	1			70590012			8						1										4						MaterialData_Name_201	MaterialData_Desc_201	MaterialData_InteractionTitle_201	MaterialData_EffectDesc_201	MaterialData_TypeDesc_201
202	UI_ItemIcon_202	1			70590011			8						1										3						MaterialData_Name_202	MaterialData_Desc_202	MaterialData_InteractionTitle_202	MaterialData_EffectDesc_202	MaterialData_TypeDesc_202
301	UI_ItemIcon_301	2		10	70590016			4			1000													3						MaterialData_Name_301	MaterialData_Desc_301	MaterialData_InteractionTitle_301	MaterialData_EffectDesc_301	MaterialData_TypeDesc_301
302	UI_ItemIcon_302	2		10	70590017			4			1000													3						MaterialData_Name_302	MaterialData_Desc_302	MaterialData_InteractionTitle_302	MaterialData_EffectDesc_302	MaterialData_TypeDesc_302
303	UI_ItemIcon_303	2		10	70590019			4			1000													3						MaterialData_Name_303	MaterialData_Desc_303	MaterialData_InteractionTitle_303	MaterialData_EffectDesc_303	MaterialData_TypeDesc_303
304	UI_ItemIcon_304	2		10	70590020			4			1000													3						MaterialData_Name_304	MaterialData_Desc_304	MaterialData_InteractionTitle_304	MaterialData_EffectDesc_304	MaterialData_TypeDesc_304
305	UI_ItemIcon_305	2		10	70590014			4			1000													3						MaterialData_Name_305	MaterialData_Desc_305	MaterialData_InteractionTitle_305	MaterialData_EffectDesc_305	MaterialData_TypeDesc_305
306	UI_ItemIcon_306	2		10	70590018			4			1000													3						MaterialData_Name_306	MaterialData_Desc_306	MaterialData_InteractionTitle_306	MaterialData_EffectDesc_306	MaterialData_TypeDesc_306
307	UI_ItemIcon_307	2		10	70590015			4			1000													3						MaterialData_Name_307	MaterialData_Desc_307	MaterialData_InteractionTitle_307	MaterialData_EffectDesc_307	MaterialData_TypeDesc_307
901	UI_ItemIcon_901	2						14			1000													3						MaterialData_Name_901	MaterialData_Desc_901	MaterialData_InteractionTitle_901	MaterialData_EffectDesc_901	MaterialData_TypeDesc_901
902	UI_ItemIcon_902	2						14			1000													3						MaterialData_Name_902	MaterialData_Desc_902	MaterialData_InteractionTitle_902	MaterialData_EffectDesc_902	MaterialData_TypeDesc_902
903	UI_ItemIcon_903	2						14			1000													3						MaterialData_Name_903	MaterialData_Desc_903	MaterialData_InteractionTitle_903	MaterialData_EffectDesc_903	MaterialData_TypeDesc_903
904	UI_ItemIcon_904	2						14			1000													3						MaterialData_Name_904	MaterialData_Desc_904	MaterialData_InteractionTitle_904	MaterialData_EffectDesc_904	MaterialData_TypeDesc_904
905	UI_ItemIcon_905	2						14			1000													3						MaterialData_Name_905	MaterialData_Desc_905	MaterialData_InteractionTitle_905	MaterialData_EffectDesc_905	MaterialData_TypeDesc_905
906	UI_ItemIcon_906	2						14			1000													3						MaterialData_Name_906	MaterialData_Desc_906	MaterialData_InteractionTitle_906	MaterialData_EffectDesc_906	MaterialData_TypeDesc_906
907	UI_ItemIcon_907	2						14			1000													3						MaterialData_Name_907	MaterialData_Desc_907	MaterialData_InteractionTitle_907	MaterialData_EffectDesc_907	MaterialData_TypeDesc_907
911	UI_ItemIcon_911	2						14			1000													3						MaterialData_Name_911	MaterialData_Desc_911	MaterialData_InteractionTitle_911	MaterialData_EffectDesc_911	MaterialData_TypeDesc_911
912	UI_ItemIcon_912	2						14			1000													3						MaterialData_Name_912	MaterialData_Desc_912	MaterialData_InteractionTitle_912	MaterialData_EffectDesc_912	MaterialData_TypeDesc_912
913	UI_ItemIcon_913	2						14			1000													3						MaterialData_Name_913	MaterialData_Desc_913	MaterialData_InteractionTitle_913	MaterialData_EffectDesc_913	MaterialData_TypeDesc_913
914	UI_ItemIcon_914	2						14			1000													3						MaterialData_Name_914	MaterialData_Desc_914	MaterialData_InteractionTitle_914	MaterialData_EffectDesc_914	MaterialData_TypeDesc_914
915	UI_ItemIcon_915	2						14			1000													3						MaterialData_Name_915	MaterialData_Desc_915	MaterialData_InteractionTitle_915	MaterialData_EffectDesc_915	MaterialData_TypeDesc_915
916	UI_ItemIcon_916	2						14			1000													3						MaterialData_Name_916	MaterialData_Desc_916	MaterialData_InteractionTitle_916	MaterialData_EffectDesc_916	MaterialData_TypeDesc_916
917	UI_ItemIcon_917	2						14			1000													3						MaterialData_Name_917	MaterialData_Desc_917	MaterialData_InteractionTitle_917	MaterialData_EffectDesc_917	MaterialData_TypeDesc_917
921	UI_ItemIcon_921	2						14			1000													4						MaterialData_Name_921	MaterialData_Desc_921	MaterialData_InteractionTitle_921	MaterialData_EffectDesc_921	MaterialData_TypeDesc_921
922	UI_ItemIcon_922	2						14			1000													4						MaterialData_Name_922	MaterialData_Desc_922	MaterialData_InteractionTitle_922	MaterialData_EffectDesc_922	MaterialData_TypeDesc_922
923	UI_ItemIcon_923	2						14			1000													4						MaterialData_Name_923	MaterialData_Desc_923	MaterialData_InteractionTitle_923	MaterialData_EffectDesc_923	MaterialData_TypeDesc_923
924	UI_ItemIcon_924	2						14			1000													4						MaterialData_Name_924	MaterialData_Desc_924	MaterialData_InteractionTitle_924	MaterialData_EffectDesc_924	MaterialData_TypeDesc_924
925	UI_ItemIcon_925	2						14			1000													4						MaterialData_Name_925	MaterialData_Desc_925	MaterialData_InteractionTitle_925	MaterialData_EffectDesc_925	MaterialData_TypeDesc_925
926	UI_ItemIcon_926	2						14			1000													4						MaterialData_Name_926	MaterialData_Desc_926	MaterialData_InteractionTitle_926	MaterialData_EffectDesc_926	MaterialData_TypeDesc_926
