等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值
1	1	2	1	2	2	1	12	2	1	4	1	0	9	1	0	10	1	0	11	1	0	14	2	1
2	1	2	1.28	2	2	1.19	12	2	1.21	4	1	0	9	1	0	10	1	0	11	1	1	14	2	1.65
3	1	2	1.6	2	2	1.4	12	2	1.4	4	1	0	9	1	0	10	1	0	11	1	2	14	2	2.42
4	1	2	1.95	2	2	1.6	12	2	1.62	4	1	0	9	1	0	10	1	0	11	1	3	14	2	3.31
5	1	2	2.84	2	2	1.81	12	2	1.81	4	1	0	9	1	0	10	1	0	11	1	4	14	2	5.2
6	1	2	3.57	2	2	2.06	12	2	2.02	4	1	0	9	1	0	10	1	0	11	1	5	14	2	6.94
7	1	2	4.43	2	2	2.31	12	2	2.21	4	1	0	9	1	0	10	1	0	11	1	6	14	2	8.94
8	1	2	5.16	2	2	2.58	12	2	2.43	4	1	0	9	1	0	10	1	0	11	1	7	14	2	11.71
9	1	2	5.98	2	2	2.86	12	2	2.62	4	1	0	9	1	0	10	1	0	11	1	8	14	2	14.91
10	1	2	6.83	2	2	3.16	12	2	2.83	4	1	0	9	1	0	10	1	0	11	1	9	14	2	18.42
11	1	2	7.84	2	2	3.47	12	2	3.02	4	1	0	9	1	0	10	1	0	11	1	10	14	2	22.71
12	1	2	8.98	2	2	3.79	12	2	3.24	4	1	0	9	1	0	10	1	0	11	1	11	14	2	27.74
13	1	2	10.29	2	2	4.12	12	2	3.43	4	1	0	9	1	0	10	1	0	11	1	12	14	2	33.57
14	1	2	11.58	2	2	4.47	12	2	3.64	4	1	0	9	1	0	10	1	0	11	1	13	14	2	39.97
15	1	2	12.97	2	2	4.79	12	2	3.83	4	1	0	9	1	0	10	1	0	11	1	14	14	2	46.6
16	1	2	14.87	2	2	5.1	12	2	4.05	4	1	0	9	1	0	10	1	0	11	1	15	14	2	56.88
17	1	2	16.36	2	2	5.42	12	2	4.24	4	1	0	9	1	0	10	1	0	11	1	16	14	2	61.25
18	1	2	17.42	2	2	5.76	12	2	4.45	4	1	0	9	1	0	10	1	0	11	1	17	14	2	63.68
19	1	2	18.52	2	2	6.1	12	2	4.64	4	1	0	9	1	0	10	1	0	11	1	18	14	2	66.14
20	1	2	19.65	2	2	6.46	12	2	4.86	4	1	0	9	1	0	10	1	0	11	1	19	14	2	68.6
21	1	2	25.15	2	2	6.91	12	2	5.05	4	1	0	9	1	0	10	1	0	11	1	23	14	2	76.48
22	1	2	30.61	2	2	7.63	12	2	5.27	4	1	0	9	1	0	10	1	0	11	1	25	14	2	87.08
23	1	2	37.9	2	2	8.63	12	2	5.45	4	1	0	9	1	0	10	1	0	11	1	27	14	2	98.88
24	1	2	46.59	2	2	9.76	12	2	5.67	4	1	0	9	1	0	10	1	0	11	1	29	14	2	108.91
25	1	2	53.44	2	2	10.41	12	2	5.86	4	1	0	9	1	0	10	1	0	11	1	31	14	2	115.74
26	1	2	59.72	2	2	10.87	12	2	6.08	4	1	0	9	1	0	10	1	0	11	1	33	14	2	119.42
27	1	2	64.98	2	2	11.31	12	2	6.27	4	1	0	9	1	0	10	1	0	11	1	35	14	2	122.88
