ID	Prefab路径	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	怪物名	类型	脚本路径	服务器脚本	战斗Config	精英词缀	AI	装备1	装备2	会游泳	击杀经验	击杀经验成长曲线	[掉落]1ID	[掉落]1血量百分比	[掉落]2ID	[掉落]2血量百分比	[掉落]3ID	[掉落]3血量百分比	击杀掉落ID	全地图奖励	视距等级	Name
21010101	ART/Char/Monster/Monster_Hili_None_01/Monster_Hili_None_01	4001	29.6	29.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Hili_None_01	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Hili_None_01		sentry02				18	11	101010	65					100010			MonsterData_Name_21010101
21020101	ART/Char/Monster/Monster_Brute_None_Shield/Monster_Brute_None_Shield	4001	94	44.4	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Brute_None_Shield	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Brute_None_Shield		scout01		50004012		18	11	101020	70	101020	40			100020			MonsterData_Name_21020101
21020201	ART/Char/Monster/Monster_Brute_None_Axe/Monster_Brute_None_Axe	4001	94	44.4	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Brute_None_Axe	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Brute_None_Axe	2001	scout01	50004013			18	11	101020	70	101020	40			100020			MonsterData_Name_21020201
20010101	ART/Char/Monster/Monster_Slime_Grass_02/Monster_Slime_Grass_02	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Grass_02	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Grass_02	3018	assist01				18	11	101013	65	0		0		100013			MonsterData_Name_20010101
20010201	ART/Char/Monster/Monster_Slime_Grass_03/Monster_Slime_Grass_03	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Grass_03	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Grass_03	3018	assist01				18	11	101013	80	101013	55	101013	25	100023			MonsterData_Name_20010201
20010302	ART/Char/Monster/Monster_Slime_Wind_02/Monster_Slime_Wind_02	4001	45	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Wind_01	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Wind_01		assist01				18	11	101015	65	0		0		100015			MonsterData_Name_20010302
20010301	ART/Char/Monster/Monster_Slime_Wind_02/Monster_Slime_Wind_02	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Wind_02	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Wind_02	3015	assist01				18	11	101015	65	0		0		100015			MonsterData_Name_20010301
20010401	ART/Char/Monster/Monster_Slime_Wind_03/Monster_Slime_Wind_03	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Wind_03	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Wind_03	3015	assist01				18	11	101015	80	101015	55	101015	25	100025			MonsterData_Name_20010401
29010101	ART/Char/Monster/Monster_Dvalin/Monster_Dvalin_S01	4001	300	100	0	0	10	75	0.1	0.1	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0			4	2			Monster_Dragon_Dvalin_S01	2	Data/ScriptData/Monster/Boss_110		ConfigMonster_Dvalin_S01		dragon01				1800	11	0		0		0		0	1	3	MonsterData_Name_29010101
29010102	ART/Char/Monster/Monster_Dvalin/Monster_Dvalin_S04	4001	98.28	98.6	94	0	10	75	0.1	0.1	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Monster_Dragon_Dvalin_S04	2	Data/ScriptData/Monster/Boss_110		ConfigMonster_Dvalin_S04		dragon01				1800	11	0		0		0		0	1	3	MonsterData_Name_29010102
29010103	ART/Char/Monster/Monster_Dvalin/Monster_Dvalin_S00	4001	180	100	0	0	10	75	0.1	0.1	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0			4	2			Monster_Dragon_Dvalin_S00	2	Data/ScriptData/Monster/Boss_110		ConfigMonster_Dvalin_S00		dragon01				1800	11	0		0		0		0	1	3	MonsterData_Name_29010103
20020101	ART/Char/Monster/Monster_Elemental_Wind_01/Monster_Elemental_Wind_01	4001	87.7	118.4	53.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Elemental_Wind_01	1	Data/ScriptData/Monster/Elemental_01		ConfigMonster_Elemental_Wind_01	3015	scout01				18	11	101035	80	101035	55	101035	25	100025			MonsterData_Name_20020101
20010501	ART/Char/Monster/Monster_Slime_Electric_02/Monster_Slime_Electric_02	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Electric_02	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Electric_02	3012,2002	assist01				18	11	101014	65	0		0		100014			MonsterData_Name_20010501
20010601	ART/Char/Monster/Monster_Slime_Electric_03/Monster_Slime_Electric_03	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Electric_03	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Electric_03	3012,2002	assist01				18	11	101014	80	101014	55	101014	25	100024			MonsterData_Name_20010601
20010701	ART/Char/Monster/Monster_Slime_Electric_03_Positive/Monster_Slime_Electric_03_Positive	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Electric_03_Positive	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Electric_03_Positive	3012,2002	assist01				18	11	101014	80	101014	55	101014	25	100024			MonsterData_Name_20010701
