ID	Prefab路径	默认阵营	JSON名称	别名	脚本数据路径	Lua脚本路径	Lua数据索引	能否战斗	能否移动	能否发声	是否常驻	部位染色	Billboard类型	Billboard图标	是否不可见	Name
9001	ART/Char/NPC/NPC_Mengde_Male_Barman/NPC_Mengde_Male_Barman	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010	Actor/Npc/Test9001		0	1	1						NpcData_Name_9001
9002	ART/Char/NPC/NPC_Kanban_Paimon/NPC_Kanban_Paimon	2001	ConfigNpc_Paimon		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_9002
9003	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	CanMove01		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_9003
1	ART/Char/NPC/NPC_Mengde_Female_01/NPC_Mengde_Female_01	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_1
2	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_2
3	ART/Char/NPC/NPC_Mengde_Female_02/NPC_Mengde_Female_02	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_3
4	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_4
5	ART/Char/NPC/NPC_Mengde_Female_01/NPC_Mengde_Female_01	2001	CanMove01		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_5
6	ART/Char/NPC/NPC_Mengde_Female_02/NPC_Mengde_Female_02	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_6
7	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_7
8	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_8
9	ART/Char/NPC/NPC_Mengde_Female_01/NPC_Mengde_Female_01	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_9
10	ART/Char/NPC/NPC_Mengde_Female_02/NPC_Mengde_Female_02	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_10
11	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_11
12	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_12
13	ART/Char/NPC/NPC_Mengde_Female_01/NPC_Mengde_Female_01	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_13
14	ART/Char/NPC/NPC_Mengde_Female_02/NPC_Mengde_Female_02	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_14
15	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_15
21	ART/Char/NPC/NPC_Mengde_Female_01/NPC_Mengde_Female_01	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_21
22	ART/Char/NPC/NPC_Mengde_Female_02/NPC_Mengde_Female_02	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_22
23	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_23
24	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_24
25	ART/Char/NPC/NPC_Mengde_Female_01/NPC_Mengde_Female_01	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_25
26	ART/Char/NPC/NPC_Mengde_Female_02/NPC_Mengde_Female_02	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_26
30	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_30
31	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_31
