子任务ID	父任务ID	序列	禁止进入联机	显示状态	屏蔽项	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	Desc
34800	348	1		1																24	3481701			16																												1																								QuestData_Desc_34800
34801	348	2		1			1	34800	2											2	34801																																		23	3481701	1																			QuestData_Desc_34801
34802	348	3		1			1	34800	2											2	34802																																		23	3481701	1																			QuestData_Desc_34802
34803	348	4		1			1	34800	2											2	34803																																		23	3481701	1																			QuestData_Desc_34803
34804	348	5		1			1	34800	2											2	34804																																		23	3481701	1																			QuestData_Desc_34804
34805	348	6		1			1	34800	2											2	34805																																		23	3481701	1																			QuestData_Desc_34805
34806	348	7		1			1	34800	2											2	34806																																		23	3481701	1																			QuestData_Desc_34806
34807	348	8		1			1	34800	2											2	34807																																		23	3481701	1																			QuestData_Desc_34807
34808	348	9		1			1	34800	2											2	34808																																		23	3481701	1																			QuestData_Desc_34808
34809	348	10		1			1	34800	2											2	34809																																		23	3481701	1																			QuestData_Desc_34809
34810	348	11		1			1	34800	2											2	34810																																		23	3481701	1																			QuestData_Desc_34810
34811	348	12		1			1	34800	2											2	34811																																		23	3481701	1																			QuestData_Desc_34811
34812	348	13		1			1	34800	2											2	34812																																		23	3481701	1																			QuestData_Desc_34812
34813	348	14		1			1	34800	2											2	34813																																		23	3481701	1																			QuestData_Desc_34813
34814	348	15		1			1	34800	2											2	34814																																		23	3481701	1																			QuestData_Desc_34814
34815	348	16		1			1	34800	2											2	34815																																		23	3481701	1																			QuestData_Desc_34815
34816	348	17		1			1	34800	2											2	34816																																		23	3481701	1																			QuestData_Desc_34816
34817	348	18		1			1	34800	2											24	3481701			16																															14	34800																				QuestData_Desc_34817
34900	349	1		1																24	3491301			12																												1																								QuestData_Desc_34900
34901	349	2		1			1	34900	2											2	34901																																		23	3491301	1																			QuestData_Desc_34901
34902	349	3		1			1	34900	2											2	34902																																		23	3491301	1																			QuestData_Desc_34902
34903	349	4		1			1	34900	2											2	34903																																		23	3491301	1																			QuestData_Desc_34903
34904	349	5		1			1	34900	2											2	34904																																		23	3491301	1																			QuestData_Desc_34904
34905	349	6		1			1	34900	2											2	34905																																		23	3491301	1																			QuestData_Desc_34905
34906	349	7		1			1	34900	2											2	34906																																		23	3491301	1																			QuestData_Desc_34906
34907	349	8		1			1	34900	2											2	34907																																		23	3491301	1																			QuestData_Desc_34907
34908	349	9		1			1	34900	2											2	34908																																		23	3491301	1																			QuestData_Desc_34908
34909	349	10		1			1	34900	2											2	34909																																		23	3491301	1																			QuestData_Desc_34909
34910	349	11		1			1	34900	2											2	34910																																		23	3491301	1																			QuestData_Desc_34910
34911	349	12		1			1	34900	2											2	34911																																		23	3491301	1																			QuestData_Desc_34911
34912	349	13		1			1	34900	2											2	34912																																		23	3491301	1																			QuestData_Desc_34912
34913	349	14		1			1	34900	2											24	3491301			12																															14	34900																				QuestData_Desc_34913
35001	350	1	1	1															2	2	30902				2	30904																								1																										QuestData_Desc_35001
35104	351	1		1																4	35104																					2		1005		3			1			1																								QuestData_Desc_35104
35100	351	2					1	35104	3										2	4	35100				6	1053																2		1005		3			1			1																								QuestData_Desc_35100
35107	351	3		1			1	35100	3											6	1101																																		19	3	133003429,1																			QuestData_Desc_35107
35101	351	4					1	35100	3											6	1100													21								2		1005	QuestArrow	3			2															14	35100											QuestData_Desc_35101
35106	351	5					1	35101	3											23	3	6																				1		Q351Trans		3	QuestTarget	1																												QuestData_Desc_35106
35105	351	6					1	35106	3											6	1016																					2		1005	QuestArrow	3			2			1																								QuestData_Desc_35105
35103	351	7		1		1	1	35106	3		2	35105	3		2	35105	3			6	1016																					2		1005	QuestArrow	3			2																											QuestData_Desc_35103
35102	351	8				2	1	35103	3		1	35105	3		1	35105	3			6	1017																					1		Q351ClimbEnd		3			1	1		1																								QuestData_Desc_35102
36203	362	1		1		1	1	99902	3		2	35200	3		2	35200	3			6	1020																													1																										QuestData_Desc_36203
36301	363	1		1			1	35202	3											2	35328																													1																										QuestData_Desc_36301
35200	352	1					1	35102	3											6	1021																					1		Q352View		3			1			1																								QuestData_Desc_35200
35201	352	2					1	35200	3										2	6	1001				6	1095																1		Q352View		3			1			1																								QuestData_Desc_35201
35202	352	3					1	35201	3											2	35216																					2		1005		3						1																								QuestData_Desc_35202
35203	352	4					1	35202	3											4	35203												2	8	35203			21				2		1005	QuestArrow	3			2															14	35202											QuestData_Desc_35203
35204	352	5					1	35203	3											6	1003																					2		1005		3	QuestTarget	1	2			1																								QuestData_Desc_35204
35205	352	6		1			1	35204	3											4	35205																					1		Q353Guide2		3			1	1					2	3	7	3	3	1	6	7														QuestData_Desc_35205
35301	353	1					1	35205	3											2	35328																					2		1005		3	QuestTarget	2				1																					19	3	133003002,1	QuestData_Desc_35301
35312	353	2		1			1	35205	3											20			1330030024	1										8	35312																													14	35301											QuestData_Desc_35312
35302	353	3					1	35301	3											107	10067													20		1330030022	1					1		Q353Monster1		3			1			1												14	35302								19	3	133003002,2	QuestData_Desc_35302
35309	353	4					1	35302	3											20			1330030022	1																		1		Q353Monster1		3			1																											QuestData_Desc_35309
35303	353	5					1	35309	3											107	10006													20		1330030023	1					1		Q353Monster2		3			1			1												14	35303								15	3	133003448	QuestData_Desc_35303
35310	353	6					1	35303	3											20			1330030023	1																		1		Q353Monster2		3			1																											QuestData_Desc_35310
35304	353	7					1	35310	3											107	10068													20		1330030024	1					1		Q353Monster3		3			1			1												14	35304								15	3	133003449	QuestData_Desc_35304
35311	353	8					1	35304	3											20			1330030024	1																		1		Q353Monster3		3			1	1					16	2	1	16	1	1																QuestData_Desc_35311
36100	361	1		1			1	35311	3											4	36100																																																				19	3	133003436,1	QuestData_Desc_36100
36101	361	2		1			1	36100	3											4	36101																													1																										QuestData_Desc_36101
35501	355	1					1	35311	3											4	36101																					1	1	Q301WendyPlay		3																														QuestData_Desc_35501
35502	355	2				1	1	35501	3		1	36101	3		1	36101	3			6	1022																					1	2	Q355Stone		3			1																											QuestData_Desc_35502
35503	355	3					1	35502	3											2	35507																					2		1005		3	QuestTarget	2				1																								QuestData_Desc_35503
35504	355	4					1	35503	3											5	100135																					1		Q355Stone2		3	QuestTarget	1				1																								QuestData_Desc_35504
35505	355	5					1	35504	3											2	35506																					2		1005		3	QuestTarget	2		1		1																								QuestData_Desc_35505
35401	354	1					1	35505	3											6	1018																					1		Q354DummySafe		3			1																											QuestData_Desc_35401
35402	354	2					1	35401	3											2	35404																					2		1002		3	QuestTarget	2				1	1021	1																						QuestData_Desc_35402
35404	354	3					1	35402	3											20			133003079	1																		1		Q354Center		3	QuestTarget	1				1																					15	3	133003439	QuestData_Desc_35404
35405	354	4		1			1	35404	3											4	35405																																																							QuestData_Desc_35405
35403	354	5					1	35404	3											6	1103																					1		Q360qq1		3			1	1		1																								QuestData_Desc_35403
36001	360	1					1	35403	3											20			133003435	1																		1		Q360qq1		3			1			1																					19	3	133003435,1	QuestData_Desc_36001
36003	360	3					1	36001	3											20			133003136	1																		1		Q360qq2		3			1			1																					19	3	133003136,1	QuestData_Desc_36003
36004	360	4					1	36003	3											2	36001																					2		1002								1																								QuestData_Desc_36004
36005	360	5					1	36004	3											6	1024																					1		Q354Gate		3				1		1			9	0																				QuestData_Desc_36005
35601	356	1					1	36005	3											2	35601																					2		1002		3	QuestTarget	2				1			2	3	27,28,30,31,32																			QuestData_Desc_35601
35602	356	2					1	99902	3											6	1037																					2		1002	QuestArrow	3			2	1																										QuestData_Desc_35602
35603	356	3					1	35601	3											6	1102																					1		Q356Ambor4		3	QuestTarget	1				1																								QuestData_Desc_35603
35604	356	4					1	35603	3											2	35604																																		8	1																				QuestData_Desc_35604
35605	356	5		1			1	35604	3											4	35605																					2		1002		3	QuestTarget	1																												QuestData_Desc_35605
35606	356	6					1	35605	3											6	1037																					1		Q356Target3		3	QuestTarget	1		1																										QuestData_Desc_35606
35901	359	1		1			1	35725	3											4	35901																													1					22	70020003	0																22	70020003	1	QuestData_Desc_35901
35902	359	2		1			1	35802	3											4	35902																																																							QuestData_Desc_35902
35903	359	3		1			1	35802	3											4	35903																																																							QuestData_Desc_35903
35904	359	4		1			1	35802	3											4	35904																																																							QuestData_Desc_35904
35701	357	1					1	99902	3											2	35701																					2		1002		3	QuestTarget	2				1						11	0		2	3	10													QuestData_Desc_35701
35702	357	2					1	35701	3											12	70300054																					1		Q356Stone1		3			1																											QuestData_Desc_35702
35703	357	3					1	35702	3											2	35702																					2		1002		3	QuestTarget	2	2						8	1																				QuestData_Desc_35703
35704	357	4					1	35703	3											6	1038																					2		1002		3	QuestTarget	1	2																											QuestData_Desc_35704
35705	357	5					1	35704	3											2	35704																					2		1002		3	QuestTarget	1																												QuestData_Desc_35705
35706	357	6					1	35705	3											12	70300013																					1		Q357Stone1		3			1																											QuestData_Desc_35706
35707	357	7					1	35705	3											12	70300046																					1		Q357Stone2		3			1																											QuestData_Desc_35707
35711	357	8				1	1	35706	3		1	35707	3						2	12	70300039				12	70300047																1		Q357Stone3		3			1																											QuestData_Desc_35711
35708	357	9					1	35711	3											2	35707																					2		1002		3	QuestTarget	2				1			11	1		10	0																	QuestData_Desc_35708
35709	357	10					1	35708	3											6	1039																					1		QuestKnighthood		3				1																										QuestData_Desc_35709
35721	357	11		1			1	35606	3											9	2004	67																														1																								QuestData_Desc_35721
35722	357	12					1	35721	3											20			220020001	1										19	2004																	1			10	0								14	35721											QuestData_Desc_35722
35725	357	13		1			1	35722	3											10	3													19	2004																	1												14	35721											QuestData_Desc_35725
35723	357	14		1			1	35725	3											2	35723																															1																								QuestData_Desc_35723
35724	357	15					1	35723	3											6	1039																					1		QuestKnighthood		3				1		1																								QuestData_Desc_35724
35801	358	1					1	35724	3											17	1004																					1		QuestKnighthood		3																														QuestData_Desc_35801
35802	358	2					1	35801	3											2	35801																					2		1004		1004	QuestTarget	2		1		1																								QuestData_Desc_35802
30600	306	1					1	35802	3											6	1040																					1		Q306DungeonDoor		3						1																								QuestData_Desc_30600
30601	306	2					1	30600	3											2	30611																					2		1002		3	QuestTarget	2				1																								QuestData_Desc_30601
30602	306	3					1	30601	3											9	1001	20																				1		AmborDungeon		3						1																								QuestData_Desc_30602
30607	306	4		1			1	30602	3											6	1048																																																							QuestData_Desc_30607
30608	306	5		1			1	30602	3											6	1049																																																							QuestData_Desc_30608
30609	306	6		1			1	30602	3											6	1050																																																							QuestData_Desc_30609
30612	306	7		1			1	30602	3											20			220009011	1																																																				QuestData_Desc_30612
30611	306	8		1			1	30602	3											19	1001																																																							QuestData_Desc_30611
30603	306	9					1	30602	3											12	70300014													19	1001																													14	30601											QuestData_Desc_30603
30610	306	10		1			1	30603	3											2	30610													19	1001																													14	30601											QuestData_Desc_30610
30604	306	11		1			1	30610	3											10	3																													1		1																								QuestData_Desc_30604
30605	306	12					1	30604	3											2	30602																					2		1002								1																								QuestData_Desc_30605
30606	306	13		1			1	30605	3																																											1																								QuestData_Desc_30606
30700	307	1					1	35802	3											6	1041																					1		Q307DungeonDoor		3						1																								QuestData_Desc_30700
30701	307	2					1	30700	3											2	30711																					2		1004		3	QuestTarget	2				1																								QuestData_Desc_30701
30702	307	3					1	30701	3											9	1	1																				1		KaeyaDungeon		3						1																								QuestData_Desc_30702
30710	307	4					1	30702	3										2	2	30712				12	70300015																2		1004		20008	QuestTarget	2							12	2																				QuestData_Desc_30710
30707	307	5		1			1	30702	3											6	1054																																																							QuestData_Desc_30707
30708	307	6		1			1	30702	3											6	1055																																																							QuestData_Desc_30708
30709	307	7		1			1	30702	3											6	1056																																																							QuestData_Desc_30709
30712	307	8		1			1	30702	3											20			220008001	1																																																				QuestData_Desc_30712
30711	307	9		1			1	30702	3											19	1																																																							QuestData_Desc_30711
30703	307	10					1	30702	3											12	70300015													19	1																													14	30701											QuestData_Desc_30703
30715	307	11		1			1	30703	3											2	30715													19	1																													14	30701											QuestData_Desc_30715
30713	307	12		1			1	30715	3											4	30713													19	1																													14	30701											QuestData_Desc_30713
30704	307	13		1			1	30713	3											4	30713																													1		1																								QuestData_Desc_30704
30705	307	14					1	30704	3											2	30702																					2		1004								1																								QuestData_Desc_30705
30706	307	15		1			1	30705	3																																											1																								QuestData_Desc_30706
30800	308	1					1	35802	3											6	1042																					1		Q308DungeonDoor		3						1																								QuestData_Desc_30800
30801	308	2					1	30800	3											2	30811																					2		1007		3	QuestTarget	2				1																								QuestData_Desc_30801
