追加属性ID	追加属性库ID	组别	属性类别	追加属性值	随机权重
101021	101	2	2	18	1000
101022	101	2	2	28	800
201021	201	2	2	32	1000
201022	201	2	2	48	800
201023	201	2	2	64	600
301021	301	2	2	61	1000
301022	301	2	2	82	800
301023	301	2	2	102	600
301024	301	2	2	122	400
401021	401	2	2	106	1000
401022	401	2	2	141	800
401023	401	2	2	177	600
401024	401	2	2	211	400
501021	501	2	2	135	1000
501022	501	2	2	181	800
501023	501	2	2	227	600
501024	501	2	2	270	400
101031	101	3	3	0.01	1000
101032	101	3	3	0.01	800
201031	201	3	3	0.01	1000
201032	201	3	3	0.02	800
201033	201	3	3	0.02	600
301031	301	3	3	0.02	1000
301032	301	3	3	0.03	800
301033	301	3	3	0.03	600
301034	301	3	3	0.04	400
401031	401	3	3	0.03	1000
401032	401	3	3	0.04	800
401033	401	3	3	0.05	600
401034	401	3	3	0.06	400
501031	501	3	3	0.04	1000
501032	501	3	3	0.05	800
501033	501	3	3	0.07	600
501034	501	3	3	0.08	400
101051	101	5	5	1	1000
101052	101	5	5	2	800
201051	201	5	5	2	1000
201052	201	5	5	3	800
201053	201	5	5	4	600
301051	301	5	5	5	1000
301052	301	5	5	6	800
301053	301	5	5	8	600
301054	301	5	5	9	400
401051	401	5	5	8	1000
401052	401	5	5	10	800
401053	401	5	5	13	600
401054	401	5	5	15	400
501051	501	5	5	10	1000
501052	501	5	5	13	800
501053	501	5	5	16	600
501054	501	5	5	19	400
101061	101	6	6	0.01	1000
101062	101	6	6	0.01	800
201061	201	6	6	0.01	1000
201062	201	6	6	0.02	800
201063	201	6	6	0.02	600
301061	301	6	6	0.02	1000
301062	301	6	6	0.03	800
301063	301	6	6	0.03	600
301064	301	6	6	0.04	400
401061	401	6	6	0.03	1000
401062	401	6	6	0.04	800
401063	401	6	6	0.05	600
401064	401	6	6	0.06	400
501061	501	6	6	0.04	1000
501062	501	6	6	0.05	800
501063	501	6	6	0.07	600
501064	501	6	6	0.08	400
101081	101	8	8	1	1000
101082	101	8	8	1	800
201081	201	8	8	2	1000
201082	201	8	8	2	800
201083	201	8	8	3	600
301081	301	8	8	3	1000
301082	301	8	8	3	800
301083	301	8	8	4	600
301084	301	8	8	5	400
401081	401	8	8	5	1000
401082	401	8	8	6	800
401083	401	8	8	8	600
401084	401	8	8	9	400
501081	501	8	8	6	1000
501082	501	8	8	7	800
501083	501	8	8	9	600
501084	501	8	8	11	400
101091	101	9	9	0.01	1000
101092	101	9	9	0.01	800
201091	201	9	9	0.01	1000
201092	201	9	9	0.02	800
201093	201	9	9	0.02	600
301091	301	9	9	0.02	1000
301092	301	9	9	0.03	800
301093	301	9	9	0.03	600
301094	301	9	9	0.04	400
401091	401	9	9	0.03	1000
401092	401	9	9	0.04	800
401093	401	9	9	0.05	600
401094	401	9	9	0.06	400
501091	501	9	9	0.04	1000
501092	501	9	9	0.05	800
501093	501	9	9	0.07	600
501094	501	9	9	0.08	400
201231	201	23	23	0.01	1000
201232	201	23	23	0.01	800
201233	201	23	23	0.01	600
301231	301	23	23	0.01	1000
301232	301	23	23	0.01	800
301233	301	23	23	0.02	600
301234	301	23	23	0.02	400
401231	401	23	23	0.02	1000
401232	401	23	23	0.03	800
401233	401	23	23	0.03	600
401234	401	23	23	0.04	400
501231	501	23	23	0.03	1000
501232	501	23	23	0.03	800
501233	501	23	23	0.04	600
501234	501	23	23	0.05	400
201261	201	26	26	0.01	1000
201262	201	26	26	0.01	800
201263	201	26	26	0.01	600
301261	301	26	26	0.01	1000
301262	301	26	26	0.01	800
301263	301	26	26	0.02	600
301264	301	26	26	0.02	400
401261	401	26	26	0.02	1000
401262	401	26	26	0.03	800
401263	401	26	26	0.03	600
401264	401	26	26	0.04	400
501261	501	26	26	0.03	1000
501262	501	26	26	0.03	800
501263	501	26	26	0.04	600
501264	501	26	26	0.05	400
101201	101	20	20	0.01	1000
101202	101	20	20	0.01	800
201201	201	20	20	0.01	1000
201202	201	20	20	0.01	800
201203	201	20	20	0.01	600
301201	301	20	20	0.01	1000
301202	301	20	20	0.01	800
301203	301	20	20	0.02	600
301204	301	20	20	0.02	400
401201	401	20	20	0.02	1000
401202	401	20	20	0.03	800
401203	401	20	20	0.03	600
401204	401	20	20	0.04	400
501201	501	20	20	0.03	1000
501202	501	20	20	0.03	800
501203	501	20	20	0.04	600
501204	501	20	20	0.05	400
101221	101	22	22	0.01	1000
101222	101	22	22	0.01	800
201221	201	22	22	0.01	1000
201222	201	22	22	0.01	800
201223	201	22	22	0.01	600
301221	301	22	22	0.02	1000
301222	301	22	22	0.02	800
301223	301	22	22	0.03	600
301224	301	22	22	0.03	400
401221	401	22	22	0.03	1000
401222	401	22	22	0.03	800
401223	401	22	22	0.04	600
401224	401	22	22	0.05	400
501221	501	22	22	0.03	1000
501222	501	22	22	0.04	800
501223	501	22	22	0.05	600
501224	501	22	22	0.06	400
999001	999	22	22	0.5	1000
999002	999	20	20	1	1000
