ID	图标	类型	重量	排序权重	物件ID	可丢弃	使用等级	圣遗物类别	展示图片	阶数	主属性库ID	追加属性库ID	追加属性初始条数	套装ID	突破等级上限	基础转化经验	Name	Desc
20002	UI_RelicIcon_10000_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10000_2	0	2000	101	0		0	1240	ReliquaryData_Name_20002	ReliquaryData_Desc_20002
20004	UI_RelicIcon_10000_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10000_4	0	4000	101	0		0	1240	ReliquaryData_Name_20004	ReliquaryData_Desc_20004
23333	UI_RelicIcon_10001_5	3	1	10	70600041	0	0	3	Eff_UI_RelicIcon_10001_5	1	4000	999	2		0	500000	ReliquaryData_Name_23333	ReliquaryData_Desc_23333
51110	UI_RelicIcon_10001_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10001_1	1	5000	101	0	10001	2	1860	ReliquaryData_Name_51110	ReliquaryData_Desc_51110
51111	UI_RelicIcon_10001_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10001_1	1	5000	101	1	10001	2	2070	ReliquaryData_Name_51111	ReliquaryData_Desc_51111
51112	UI_RelicIcon_10001_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10001_1	1	5000	101	2	10001	2	2300	ReliquaryData_Name_51112	ReliquaryData_Desc_51112
51113	UI_RelicIcon_10001_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10001_1	1	5000	101	3	10001	2	2560	ReliquaryData_Name_51113	ReliquaryData_Desc_51113
51114	UI_RelicIcon_10001_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10001_1	1	5000	101	4	10001	2	2850	ReliquaryData_Name_51114	ReliquaryData_Desc_51114
51120	UI_RelicIcon_10001_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10001_2	1	2000	101	0	10001	2	1860	ReliquaryData_Name_51120	ReliquaryData_Desc_51120
51121	UI_RelicIcon_10001_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10001_2	1	2000	101	1	10001	2	2070	ReliquaryData_Name_51121	ReliquaryData_Desc_51121
51122	UI_RelicIcon_10001_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10001_2	1	2000	101	2	10001	2	2300	ReliquaryData_Name_51122	ReliquaryData_Desc_51122
51123	UI_RelicIcon_10001_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10001_2	1	2000	101	3	10001	2	2560	ReliquaryData_Name_51123	ReliquaryData_Desc_51123
51124	UI_RelicIcon_10001_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10001_2	1	2000	101	4	10001	2	2850	ReliquaryData_Name_51124	ReliquaryData_Desc_51124
51130	UI_RelicIcon_10001_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10001_3	1	3000	101	0	10001	2	1860	ReliquaryData_Name_51130	ReliquaryData_Desc_51130
51131	UI_RelicIcon_10001_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10001_3	1	3000	101	1	10001	2	2070	ReliquaryData_Name_51131	ReliquaryData_Desc_51131
51132	UI_RelicIcon_10001_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10001_3	1	3000	101	2	10001	2	2300	ReliquaryData_Name_51132	ReliquaryData_Desc_51132
51133	UI_RelicIcon_10001_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10001_3	1	3000	101	3	10001	2	2560	ReliquaryData_Name_51133	ReliquaryData_Desc_51133
51134	UI_RelicIcon_10001_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10001_3	1	3000	101	4	10001	2	2850	ReliquaryData_Name_51134	ReliquaryData_Desc_51134
51140	UI_RelicIcon_10001_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10001_4	1	4000	101	0	10001	2	1860	ReliquaryData_Name_51140	ReliquaryData_Desc_51140
51141	UI_RelicIcon_10001_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10001_4	1	4000	101	1	10001	2	2070	ReliquaryData_Name_51141	ReliquaryData_Desc_51141
51142	UI_RelicIcon_10001_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10001_4	1	4000	101	2	10001	2	2300	ReliquaryData_Name_51142	ReliquaryData_Desc_51142
51143	UI_RelicIcon_10001_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10001_4	1	4000	101	3	10001	2	2560	ReliquaryData_Name_51143	ReliquaryData_Desc_51143
51144	UI_RelicIcon_10001_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10001_4	1	4000	101	4	10001	2	2850	ReliquaryData_Name_51144	ReliquaryData_Desc_51144
51150	UI_RelicIcon_10001_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10001_5	1	1000	101	0	10001	2	1860	ReliquaryData_Name_51150	ReliquaryData_Desc_51150
51151	UI_RelicIcon_10001_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10001_5	1	1000	101	1	10001	2	2070	ReliquaryData_Name_51151	ReliquaryData_Desc_51151
51152	UI_RelicIcon_10001_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10001_5	1	1000	101	2	10001	2	2300	ReliquaryData_Name_51152	ReliquaryData_Desc_51152
51153	UI_RelicIcon_10001_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10001_5	1	1000	101	3	10001	2	2560	ReliquaryData_Name_51153	ReliquaryData_Desc_51153
51154	UI_RelicIcon_10001_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10001_5	1	1000	101	4	10001	2	2850	ReliquaryData_Name_51154	ReliquaryData_Desc_51154
51210	UI_RelicIcon_10001_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10001_1	2	5000	201	0	10001	2	2490	ReliquaryData_Name_51210	ReliquaryData_Desc_51210
51211	UI_RelicIcon_10001_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10001_1	2	5000	201	1	10001	2	2770	ReliquaryData_Name_51211	ReliquaryData_Desc_51211
