主属性ID	主属性库ID	属性类别	前缀名称	随机权重
10001	1000	2	1	1000
10002	1000	3	2	1000
10003	1000	5	3	1000
10004	1000	6	4	1000
10005	1000	8	5	1000
10006	1000	9	6	1000
10007	1000	23	7	500
12001	2000	5	3	1000
13001	3000	2	1	1000
13002	3000	3	2	1000
13003	3000	5	3	1000
13004	3000	6	4	1000
13005	3000	8	5	1000
13006	3000	9	6	1000
13007	3000	20	8	1000
13008	3000	22	10	1000
14001	4000	2	1	1000
15001	5000	2	1	1000
15002	5000	3	2	1000
15003	5000	5	3	1000
15004	5000	6	4	1000
15005	5000	8	5	1000
15006	5000	9	6	1000
15007	5000	26	9	1500
