RewardID	Reward道具ID	Reward道具数量
100353	202	300
100360	202	300
100358	202	300
100309	202	400
100375	202	700
100379	202	800
100383	202	800
100389	202	1000
100393	202	1100
100396	202	700
100353	201	10
100360	201	10
100358	201	10
100309	201	10
100375	201	10
100379	201	10
100383	201	10
100389	201	10
100393	201	10
100396	201	10
100351	102	5
100352	102	5
100353	102	5
100355	102	5
100354	102	5
100360	102	5
100356	102	5
100357	102	10
100358	102	5
100306	102	5
100307	102	5
100308	102	5
100309	102	25
100370	102	15
100371	102	15
100372	102	15
100374	102	15
100375	102	45
100376	102	15
100377	102	15
100378	102	15
100395	102	15
100379	102	15
100380	102	30
100381	102	30
100382	102	30
100383	102	45
100384	102	45
100388	102	50
100389	102	15
100390	102	35
100391	102	35
100392	102	35
100393	102	15
100394	102	55
100396	102	20
100351	101	100
100352	101	100
100353	101	200
100356	101	400
100357	101	600
100309	101	600
100371	101	900
100375	101	900
100376	101	900
100377	101	600
100378	101	600
100395	101	600
100380	101	1200
100381	101	1200
100382	101	1200
100384	101	1500
100388	101	3000
100390	101	4500
100391	101	4500
100392	101	4500
100394	101	6000
100388	1312	4
100389	1305	4
100390	1312	4
100391	1305	4
100392	1312	4
100393	1305	4
100396	1305	4
100307	11201	1
100383	14301	1
100384	54241	1
100390	54251	1
100391	54231	1
100392	54211	1
100394	15401	1
100307	3021	1
100309	3022	1
100312	100213	1
100461	101	900
100462	101	1200
100463	101	1500
100461	102	25
100462	102	25
100463	102	25
100461	202	540
100462	202	660
100461	201	10
100462	201	10
100463	11302	1
100470	201	10
100470	102	15
100470	202	500
100407	201	10
100407	102	20
100407	202	100
100386	201	10
100386	102	15
100386	305	1
100387	201	10
100387	102	35
100387	305	2
100408	201	10
100408	102	20
100408	202	100
100409	201	10
100409	102	20
100409	202	100
210311	102	50
210312	102	60
210313	102	70
210314	102	90
210315	102	90
210316	102	120
210317	102	120
210318	102	150
210319	102	150
210320	102	200
210311	201	10
210312	201	10
210313	201	10
210314	201	10
210315	201	10
210316	201	10
210317	201	10
210318	201	10
210319	201	10
210320	201	10
210311	305	10
210312	305	5
210313	305	5
210314	305	5
210315	305	5
210316	305	10
210317	305	10
210318	305	10
210319	305	10
210320	305	15
220311	305	1
220321	305	1
220331	305	1
220341	305	2
220311	102	20
220321	102	20
220331	102	30
220341	102	40
220002	201	30
220003	201	30
220004	201	30
220005	201	30
220006	201	30
220007	201	30
220008	201	30
220009	201	30
220011	201	30
221000	201	30
221002	201	30
221004	201	30
221005	201	30
221006	201	30
221007	201	30
223001	201	30
230002	202	2000
230003	202	2000
230004	202	2000
230005	202	2000
230006	202	2000
230007	202	2000
230008	202	2000
230009	202	2000
230011	202	2000
231000	202	2000
231002	202	2000
231004	202	2000
231005	202	2000
231006	202	2000
231007	202	2000
233001	202	2000
224002	12201	1
224003	59241	1
224004	59221	1
224008	13201	1
224009	59251	1
224006	59232	1
224005	59212	1
224001	101	400
224002	101	500
224003	101	600
224004	101	650
224007	101	750
224008	101	800
224009	101	850
224006	101	1400
224005	101	1050
224001	102	80
224002	102	100
224003	102	120
224004	102	130
224007	102	150
224008	102	190
224009	102	160
224006	102	350
224005	102	210
224001	201	10
224002	201	10
224003	201	10
224004	201	10
224007	201	10
224008	201	10
224009	201	10
224006	201	10
224005	201	10
223004	53241	1
223004	53221	1
223004	53251	1
223004	201	10
223004	101	1200
223004	102	270
303009	3004	1
303009	1202	16
303009	11301	1
303010	3005	1
303010	1223	16
303010	13301	1
303011	3006	1
303011	1203	16
303011	11301	1
303012	3007	1
303012	1216	16
303012	12303	1
303013	3008	1
303013	1222	16
303013	15301	1
303014	1221	16
303015	1215	16
303016	1206	16
303017	1214	16
303020	3019	1
303020	1220	16
303020	12301	1
200002	201	10
200003	201	10
200004	201	10
200005	201	10
200006	201	10
200007	201	10
200008	201	10
200009	201	10
200010	201	10
200011	201	10
200012	201	10
200013	201	10
200014	201	10
200015	201	10
200016	201	10
200017	201	10
200018	201	10
200019	201	10
200020	201	10
200021	201	10
200002	202	900
200003	202	900
200004	202	900
200005	202	1200
200006	202	1200
200007	202	1200
200008	202	1200
200009	202	1200
200010	202	1200
200011	202	1200
200012	202	1500
200013	202	1500
200014	202	1500
200015	202	1500
200016	202	1500
200017	202	1500
200018	202	1500
200019	202	1500
200020	202	1500
200021	202	1500
200002	100001	5
200003	108005	5
200004	104002	1
200005	104011	5
200006	108035	5
200007	104011	5
200008	60251	1
200009	104011	10
200010	60231	1
200011	104011	10
200012	60211	1
200013	104011	10
200014	54221	1
200015	1312	4
200016	104011	10
200017	104011	10
200018	104011	10
200019	104011	10
200020	104011	10
200021	104011	10
100467	100064	5
100467	100075	5
100467	100018	5
100467	102	30
100303	102	30
100303	201	10
100303	305	10
100349	102	30
100349	201	10
100349	202	1000
100400	202	90
