ID	商店类型	商品ID	最小队伍等级	最大队伍等级	排序等级
101	1	101001	1	99	1
102	1	101002	1	99	1
103	1	101003	1	99	1
104	1	101004	14	99	1
105	1	101005	14	99	1
106	1	101006	14	99	1
107	1	101007	14	99	1
108	1	101008	14	99	1
109	1	101009	18	99	1
110	1	101010	18	99	1
111	1	101011	18	99	1
112	1	101012	18	99	1
113	1	101013	18	99	1
114	1	101014	18	99	1
115	1	101015	18	99	1
116	1	101016	18	99	1
117	1	101017	18	99	1
118	1	101018	18	99	4
119	1	101019	15	99	4
120	1	101020	18	99	2
121	1	101021	16	99	2
122	1	101022	16	99	4
123	1	101023	16	99	3
124	1	101024	16	99	2
125	1	101025	18	99	4
126	1	101026	15	99	3
201	2	102001	1	99	1
202	2	102002	14	99	2
203	2	102003	14	99	4
204	2	102004	7	99	3
205	2	102005	15	99	1
206	2	102006	15	99	1
301	3	103001	7	99	1
302	3	103002	7	99	1
303	3	103003	7	99	1
304	3	103004	7	99	1
305	3	103005	7	99	1
306	3	103006	7	99	1
307	3	103007	7	99	1
308	3	103008	7	99	1
309	3	103009	7	99	1
310	3	103010	7	99	1
311	3	103011	1	99	1
312	3	103012	1	99	1
313	3	103013	1	99	1
314	3	103014	7	99	1
401	4	104001	1	99	1
402	4	104002	1	99	1
403	4	104003	1	99	1
404	4	104004	7	99	1
405	4	104005	7	99	1
501	5	105001	1	99	1
502	5	105002	1	99	1
503	5	105003	1	99	1
504	5	105004	1	99	1
505	5	105005	1	99	1
506	5	105006	1	99	1
507	5	105007	1	99	1
508	5	105008	1	99	1
509	5	105009	1	99	1
510	5	105010	1	99	1
511	5	105011	1	99	1
512	5	105012	1	99	1
513	5	105013	1	99	1
514	5	105014	1	99	1
515	5	105015	1	99	1
516	5	105016	1	99	1
