对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	演出配置	对话主角处理
34701	2	1											3		3470101	1246		
34702	2	1											3		3470201	1247		
34703	2	1											3		3470301	1248		
34704	2	1											3		3470401	1249		
34705	2	1											3		3470501	1250		
34706	2	1											3		3470601	1251		
34707	2	1											3		3470701	1252		
34708	2	1											3		3470801	1253		
34709	2	1											3		3470901	1254		
34710	2	1											3		3471001	1255		
34801	2	1		1	34801	2							3		3480101	1245		
34802	2	1		1	34802	2							3		3480201	1245		
34803	2	1		1	34803	2							3		3480301	1245		
34804	2	1		1	34804	2							3		3480401	1245		
34805	2	1		1	34805	2							3		3480501	1245		
34806	2	1		1	34806	2							3		3480601	1245		
34807	2	1		1	34807	2							3		3480701	1245		
34808	2	1		1	34808	2							3		3480801	1245		
34809	2	1		1	34809	2							3		3480901	1245		
34810	2	1		1	34810	2							3		3481001	1245		
34811	2	1		1	34811	2							3		3481101	1245		
34812	2	1		1	34812	2							3		3481201	1245		
34813	2	1		1	34813	2							3		3481301	1245		
34814	2	1		1	34814	2							3		3481401	1245		
34815	2	1		1	34815	2							3		3481501	1245		
34816	2	1		1	34816	2							3		3481601	1245		
34901	2	1		1	34901	2							3		3490101	1244		
34902	2	1		1	34902	2							3		3490201	1244		
34903	2	1		1	34903	2							3		3490301	1244		
34904	2	1		1	34904	2							3		3490401	1244		
34905	2	1		1	34905	2							3		3490501	1244		
34906	2	1		1	34906	2							3		3490601	1244		
34907	2	1		1	34907	2							3		3490701	1244		
34908	2	1		1	34908	2							3		3490801	1244		
34909	2	1		1	34909	2							3		3490901	1244		
34910	2	1		1	34910	2							3		3491001	1244		
34911	2	1		1	34911	2							3		3491101	1244		
34912	2	1		1	34912	2							3		3491201	1244		
35100		1		1	35100	2									3510001	1005		1
35201		1		1	35202	2							1		3520101	1005		1
35202		1		1	35203	2									3520201	1005		1
35216	2	1		1	35202	2							5		3521601	1005	QuestDialogue/Q352/InterContainer_Q35216	1
35217		1		1	35203	2									3521701	1005		1
35203		1		1	35204	2									3520301	1005		1
