ID	参数类型1	TextMapContent
FightPropType		TextMapData_TextMapContent_FightPropType
FIGHT_PROP_BASE_HP		TextMapData_TextMapContent_FIGHT_PROP_BASE_HP
FIGHT_PROP_HP		TextMapData_TextMapContent_FIGHT_PROP_HP
FIGHT_PROP_HP_PERCENT		TextMapData_TextMapContent_FIGHT_PROP_HP_PERCENT
FIGHT_PROP_BASE_ATTACK		TextMapData_TextMapContent_FIGHT_PROP_BASE_ATTACK
FIGHT_PROP_ATTACK		TextMapData_TextMapContent_FIGHT_PROP_ATTACK
FIGHT_PROP_ATTACK_PERCENT		TextMapData_TextMapContent_FIGHT_PROP_ATTACK_PERCENT
FIGHT_PROP_BASE_DEFENSE		TextMapData_TextMapContent_FIGHT_PROP_BASE_DEFENSE
FIGHT_PROP_DEFENSE		TextMapData_TextMapContent_FIGHT_PROP_DEFENSE
FIGHT_PROP_DEFENSE_PERCENT		TextMapData_TextMapContent_FIGHT_PROP_DEFENSE_PERCENT
FIGHT_PROP_BASE_SPEED		TextMapData_TextMapContent_FIGHT_PROP_BASE_SPEED
FIGHT_PROP_SPEED_PERCENT		TextMapData_TextMapContent_FIGHT_PROP_SPEED_PERCENT
FIGHT_PROP_CRITICAL		TextMapData_TextMapContent_FIGHT_PROP_CRITICAL
FIGHT_PROP_ANTI_CRITICAL		TextMapData_TextMapContent_FIGHT_PROP_ANTI_CRITICAL
FIGHT_PROP_CRITICAL_HURT		TextMapData_TextMapContent_FIGHT_PROP_CRITICAL_HURT
FIGHT_PROP_CHARGE_EFFICIENCY		TextMapData_TextMapContent_FIGHT_PROP_CHARGE_EFFICIENCY
FIGHT_PROP_ADD_HURT		TextMapData_TextMapContent_FIGHT_PROP_ADD_HURT
FIGHT_PROP_SUB_HURT		TextMapData_TextMapContent_FIGHT_PROP_SUB_HURT
FIGHT_PROP_HEAL_ADD		TextMapData_TextMapContent_FIGHT_PROP_HEAL_ADD
FIGHT_PROP_HEALED_ADD		TextMapData_TextMapContent_FIGHT_PROP_HEALED_ADD
FIGHT_PROP_FIRE_ADD_HURT		TextMapData_TextMapContent_FIGHT_PROP_FIRE_ADD_HURT
FIGHT_PROP_FIRE_SUB_HURT		TextMapData_TextMapContent_FIGHT_PROP_FIRE_SUB_HURT
FIGHT_PROP_WATER_ADD_HURT		TextMapData_TextMapContent_FIGHT_PROP_WATER_ADD_HURT
FIGHT_PROP_WATER_SUB_HURT		TextMapData_TextMapContent_FIGHT_PROP_WATER_SUB_HURT
FIGHT_PROP_GRASS_ADD_HURT		TextMapData_TextMapContent_FIGHT_PROP_GRASS_ADD_HURT
FIGHT_PROP_GRASS_SUB_HURT		TextMapData_TextMapContent_FIGHT_PROP_GRASS_SUB_HURT
FIGHT_PROP_ELEC_ADD_HURT		TextMapData_TextMapContent_FIGHT_PROP_ELEC_ADD_HURT
FIGHT_PROP_ELEC_SUB_HURT		TextMapData_TextMapContent_FIGHT_PROP_ELEC_SUB_HURT
FIGHT_PROP_ICE_ADD_HURT		TextMapData_TextMapContent_FIGHT_PROP_ICE_ADD_HURT
FIGHT_PROP_ICE_SUB_HURT		TextMapData_TextMapContent_FIGHT_PROP_ICE_SUB_HURT
FIGHT_PROP_WIND_ADD_HURT		TextMapData_TextMapContent_FIGHT_PROP_WIND_ADD_HURT
FIGHT_PROP_WIND_SUB_HURT		TextMapData_TextMapContent_FIGHT_PROP_WIND_SUB_HURT
FIGHT_PROP_ROCK_ADD_HURT		TextMapData_TextMapContent_FIGHT_PROP_ROCK_ADD_HURT
FIGHT_PROP_ROCK_SUB_HURT		TextMapData_TextMapContent_FIGHT_PROP_ROCK_SUB_HURT
FIGHT_PROP_EFFECT_HIT		TextMapData_TextMapContent_FIGHT_PROP_EFFECT_HIT
FIGHT_PROP_EFFECT_RESIST		TextMapData_TextMapContent_FIGHT_PROP_EFFECT_RESIST
FIGHT_PROP_FREEZE_SHORTEN		TextMapData_TextMapContent_FIGHT_PROP_FREEZE_SHORTEN
FIGHT_PROP_TORPOR_SHORTEN		TextMapData_TextMapContent_FIGHT_PROP_TORPOR_SHORTEN
FIGHT_PROP_DIZZY_SHORTEN		TextMapData_TextMapContent_FIGHT_PROP_DIZZY_SHORTEN
FIGHT_PROP_MAX_HP		TextMapData_TextMapContent_FIGHT_PROP_MAX_HP
FIGHT_PROP_CUR_ATTACK		TextMapData_TextMapContent_FIGHT_PROP_CUR_ATTACK
