ID	参数类型1	TextMapContent
MSG_UNKNOWN		TextMapMsgData_TextMapContent_MSG_UNKNOWN
ENET_TIMEOUT		TextMapMsgData_TextMapContent_ENET_TIMEOUT
ENET_SERVER_RELOGIN		TextMapMsgData_TextMapContent_ENET_SERVER_RELOGIN
ENET_SERVER_KICK		TextMapMsgData_TextMapContent_ENET_SERVER_KICK
ENET_SERVER_SHUTDOWN		TextMapMsgData_TextMapContent_ENET_SERVER_SHUTDOWN
ENET_NOT_FOUND_SESSION		TextMapMsgData_TextMapContent_ENET_NOT_FOUND_SESSION
ENET_LOGIN_UNFINISHED		TextMapMsgData_TextMapContent_ENET_LOGIN_UNFINISHED
ENET_PACKET_FREQ_TOO_HIGH		TextMapMsgData_TextMapContent_ENET_PACKET_FREQ_TOO_HIGH
ENET_PING_TIMEOUT		TextMapMsgData_TextMapContent_ENET_PING_TIMEOUT
ENET_TRANFER_FAILED		TextMapMsgData_TextMapContent_ENET_TRANFER_FAILED
ENET_QUIT_MP		TextMapMsgData_TextMapContent_ENET_QUIT_MP
MSG_BLOCK_REFRESH_COUNTDOWN		TextMapMsgData_TextMapContent_MSG_BLOCK_REFRESH_COUNTDOWN
MSG_AVATAR_REVIVE_BY_STATUE	1	TextMapMsgData_TextMapContent_MSG_AVATAR_REVIVE_BY_STATUE
