ID	参数类型1	TextMapContent
RET_FAIL		TextMapRetData_TextMapContent_RET_FAIL
RET_SVR_ERROR		TextMapRetData_TextMapContent_RET_SVR_ERROR
RET_UNKNOWN_ERROR		TextMapRetData_TextMapContent_RET_UNKNOWN_ERROR
RET_FREQUENT		TextMapRetData_TextMapContent_RET_FREQUENT
RET_STOP_REGISTER		TextMapRetData_TextMapContent_RET_STOP_REGISTER
RET_STOP_SERVER		TextMapRetData_TextMapContent_RET_STOP_SERVER
RET_ACCOUNT_VEIRFY_ERROR		TextMapRetData_TextMapContent_RET_ACCOUNT_VEIRFY_ERROR
RET_ACCOUNT_FREEZE		TextMapRetData_TextMapContent_RET_ACCOUNT_FREEZE
RET_REPEAT_LOGIN		TextMapRetData_TextMapContent_RET_REPEAT_LOGIN
RET_CLIENT_VERSION_ERROR		TextMapRetData_TextMapContent_RET_CLIENT_VERSION_ERROR
RET_TOKEN_ERROR		TextMapRetData_TextMapContent_RET_TOKEN_ERROR
RET_ACCOUNT_NOT_EXIST		TextMapRetData_TextMapContent_RET_ACCOUNT_NOT_EXIST
RET_WAIT_OTHER_LOGIN		TextMapRetData_TextMapContent_RET_WAIT_OTHER_LOGIN
RET_ANOTHER_LOGIN		TextMapRetData_TextMapContent_RET_ANOTHER_LOGIN
RET_CLIENT_FORCE_UPDATE		TextMapRetData_TextMapContent_RET_CLIENT_FORCE_UPDATE
RET_BLACK_UID		TextMapRetData_TextMapContent_RET_BLACK_UID
RET_LOGIN_DB_FAIL		TextMapRetData_TextMapContent_RET_LOGIN_DB_FAIL
RET_LOGIN_INIT_FAIL		TextMapRetData_TextMapContent_RET_LOGIN_INIT_FAIL
RET_LOGIN_MAX_PLAYER		TextMapRetData_TextMapContent_RET_LOGIN_MAX_PLAYER
RET_AVATAR_IN_CD		TextMapRetData_TextMapContent_RET_AVATAR_IN_CD
RET_AVATAR_NOT_ALIVE		TextMapRetData_TextMapContent_RET_AVATAR_NOT_ALIVE
RET_AVATAR_NOT_ON_SCENE		TextMapRetData_TextMapContent_RET_AVATAR_NOT_ON_SCENE
RET_CAN_NOT_FIND_AVATAR		TextMapRetData_TextMapContent_RET_CAN_NOT_FIND_AVATAR
RET_CAN_NOT_DEL_CUR_AVATAR		TextMapRetData_TextMapContent_RET_CAN_NOT_DEL_CUR_AVATAR
RET_DUPLICATE_AVATAR		TextMapRetData_TextMapContent_RET_DUPLICATE_AVATAR
RET_AVATAR_IS_SAME_ONE		TextMapRetData_TextMapContent_RET_AVATAR_IS_SAME_ONE
RET_AVATAR_LEVEL_LESS_THAN		TextMapRetData_TextMapContent_RET_AVATAR_LEVEL_LESS_THAN
RET_AVATAR_CAN_NOT_CHANGE_ELEMENT		TextMapRetData_TextMapContent_RET_AVATAR_CAN_NOT_CHANGE_ELEMENT
RET_AVATAR_BREAK_LEVEL_LESS_THAN		TextMapRetData_TextMapContent_RET_AVATAR_BREAK_LEVEL_LESS_THAN
RET_AVATAR_ON_MAX_BREAK_LEVEL		TextMapRetData_TextMapContent_RET_AVATAR_ON_MAX_BREAK_LEVEL
RET_AVATAR_ID_ALREADY_EXIST		TextMapRetData_TextMapContent_RET_AVATAR_ID_ALREADY_EXIST
RET_AVATAR_NOT_DEAD		TextMapRetData_TextMapContent_RET_AVATAR_NOT_DEAD
RET_AVATAR_IS_REVIVING		TextMapRetData_TextMapContent_RET_AVATAR_IS_REVIVING
RET_AVATAR_ID_ERROR		TextMapRetData_TextMapContent_RET_AVATAR_ID_ERROR
RET_REPEAT_SET_PLAYER_BORN_DATA		TextMapRetData_TextMapContent_RET_REPEAT_SET_PLAYER_BORN_DATA
RET_CAN_NOT_FIND_TEAM		TextMapRetData_TextMapContent_RET_CAN_NOT_FIND_TEAM
RET_CAN_NOT_FIND_CUR_TEAM		TextMapRetData_TextMapContent_RET_CAN_NOT_FIND_CUR_TEAM
RET_AVATAR_NOT_EXIST_IN_TEAM		TextMapRetData_TextMapContent_RET_AVATAR_NOT_EXIST_IN_TEAM
RET_CAN_NOT_REMOVE_CUR_AVATAR_FROM_TEAM		TextMapRetData_TextMapContent_RET_CAN_NOT_REMOVE_CUR_AVATAR_FROM_TEAM
RET_CAN_NOT_USE_REVIVE_ITEM_FOR_CUR_AVATAR		TextMapRetData_TextMapContent_RET_CAN_NOT_USE_REVIVE_ITEM_FOR_CUR_AVATAR
RET_TEAM_COST_EXCEED_LIMIT		TextMapRetData_TextMapContent_RET_TEAM_COST_EXCEED_LIMIT
RET_NICKNAME_UTF8_ERROR		TextMapRetData_TextMapContent_RET_NICKNAME_UTF8_ERROR
RET_NICKNAME_TOO_LONG		TextMapRetData_TextMapContent_RET_NICKNAME_TOO_LONG
RET_NICKNAME_WORD_ILLEGAL		TextMapRetData_TextMapContent_RET_NICKNAME_WORD_ILLEGAL
RET_OPEN_STATE_NOT_OPEN		TextMapRetData_TextMapContent_RET_OPEN_STATE_NOT_OPEN
RET_NPC_NOT_EXIST		TextMapRetData_TextMapContent_RET_NPC_NOT_EXIST
RET_NPC_TOO_FAR		TextMapRetData_TextMapContent_RET_NPC_TOO_FAR
RET_NOT_CURRENT_TALK		TextMapRetData_TextMapContent_RET_NOT_CURRENT_TALK
