ID	教程详情ID	是否暂停
101	10101,10102	0
102	10201	0
103	10301,10302	1
104	10401,10402,10403	1
105	10501,10502,10503	1
106	10601,10602	1
107	10701,10702	1
108	10801	1
109	10901,10902	1
110	11001,11002	1
111	11101,11102	1
112	11201,11202	1
113	11301,11302,11303,11304	1
114	11401,11402,11403,11404,11405	1
115	11501	1
116	11601	1
117	11701	1
118	11801	1
119	11901	1
120	12001	1
121	12101	1
122	12201	1
123	12301	1
124	12401	1
125	12501	1
126	12601	1
127	12701	1
128	12801	1
129	12901	1
130	13001	1
131	13101	1
132	13201	1
133	13301	1
134	13401	1
135	13501	1
136	13601	1
137	13701	1
138	13801	1
139	13901	1
140	14001	1
141	14101	1
142	14201	1
143	14301	1
144	14401	1
145	14501	1
146	14601	1
147	14701	1
148	14801	1
149	14901,14902	1
150	15001	1
160	16001,16002,16003	1
170	17001,17002,17003,17004,17005	1
180	18001	1
181	18101	1
182	18201	1
183	18301,18302	1
190	19001	1
201	20101	1
202	20201	1
211	21101,21102	1
212	21201	1
221	22101,22102,22103	1
222	22201	1
231	23101,23102,23103	1
232	23201	1
