等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值
1	2	2	1	4	2	1	9	2	1	31	2	1
2	2	2	1.2	4	2	1	9	2	1	31	2	1.164
3	2	2	1.402	4	2	1	9	2	1	31	2	1.328
4	2	2	1.604	4	2	1	9	2	1	31	2	1.494
5	2	2	1.808	4	2	1	9	2	1	31	2	1.66
6	2	2	2.012	4	2	1	9	2	1	31	2	1.827
7	2	2	2.218	4	2	1	9	2	1	31	2	1.995
8	2	2	2.426	4	2	1	9	2	1	31	2	2.164
9	2	2	2.633	4	2	1	9	2	1	31	2	2.333
10	2	2	2.844	4	2	1	9	2	1	31	2	2.504
11	2	2	3.054	4	2	1	9	2	1	31	2	2.675
12	2	2	3.267	4	2	1	9	2	1	31	2	2.847
13	2	2	3.48	4	2	1	9	2	1	31	2	3.021
14	2	2	3.695	4	2	1	9	2	1	31	2	3.196
15	2	2	3.912	4	2	1	9	2	1	31	2	3.371
16	2	2	4.13	4	2	1	9	2	1	31	2	3.547
17	2	2	4.35	4	2	1	9	2	1	31	2	3.725
18	2	2	4.571	4	2	1	9	2	1	31	2	3.903
19	2	2	4.793	4	2	1	9	2	1	31	2	4.083
20	2	2	5.018	4	2	1	9	2	1	31	2	4.264
21	2	2	5.244	4	2	1	9	2	1	31	2	4.446
22	2	2	5.472	4	2	1	9	2	1	31	2	4.629
23	2	2	5.701	4	2	1	9	2	1	31	2	4.813
24	2	2	5.932	4	2	1	9	2	1	31	2	4.998
25	2	2	6.165	4	2	1	9	2	1	31	2	5.185
26	2	2	6.399	4	2	1	9	2	1	31	2	5.373
27	2	2	6.636	4	2	1	9	2	1	31	2	5.562
28	2	2	6.874	4	2	1	9	2	1	31	2	5.752
29	2	2	7.115	4	2	1	9	2	1	31	2	5.944
30	2	2	7.357	4	2	1	9	2	1	31	2	6.137
31	2	2	7.601	4	2	1	9	2	1	31	2	6.332
32	2	2	7.848	4	2	1	9	2	1	31	2	6.527
33	2	2	8.096	4	2	1	9	2	1	31	2	6.725
34	2	2	8.346	4	2	1	9	2	1	31	2	6.923
35	2	2	8.598	4	2	1	9	2	1	31	2	7.123
36	2	2	8.853	4	2	1	9	2	1	31	2	7.324
37	2	2	9.11	4	2	1	9	2	1	31	2	7.527
38	2	2	9.369	4	2	1	9	2	1	31	2	7.731
39	2	2	9.63	4	2	1	9	2	1	31	2	7.937
40	2	2	9.894	4	2	1	9	2	1	31	2	8.145
41	2	2	10.16	4	2	1	9	2	1	31	2	8.354
42	2	2	10.428	4	2	1	9	2	1	31	2	8.564
43	2	2	10.699	4	2	1	9	2	1	31	2	8.776
44	2	2	10.971	4	2	1	9	2	1	31	2	8.99
45	2	2	11.247	4	2	1	9	2	1	31	2	9.206
46	2	2	11.524	4	2	1	9	2	1	31	2	9.423
47	2	2	11.805	4	2	1	9	2	1	31	2	9.642
48	2	2	12.088	4	2	1	9	2	1	31	2	9.862
49	2	2	12.373	4	2	1	9	2	1	31	2	10.084
50	2	2	12.662	4	2	1	9	2	1	31	2	10.308
51	2	2	12.952	4	2	1	9	2	1	31	2	10.533
52	2	2	13.246	4	2	1	9	2	1	31	2	10.761
53	2	2	13.542	4	2	1	9	2	1	31	2	10.99
54	2	2	13.841	4	2	1	9	2	1	31	2	11.221
55	2	2	14.142	4	2	1	9	2	1	31	2	11.454
56	2	2	14.447	4	2	1	9	2	1	31	2	11.688
57	2	2	14.754	4	2	1	9	2	1	31	2	11.925
58	2	2	15.064	4	2	1	9	2	1	31	2	12.163
59	2	2	15.377	4	2	1	9	2	1	31	2	12.404
60	2	2	15.693	4	2	1	9	2	1	31	2	12.646
61	2	2	16.012	4	2	1	9	2	1	31	2	12.891
62	2	2	16.334	4	2	1	9	2	1	31	2	13.137
63	2	2	16.659	4	2	1	9	2	1	31	2	13.385
64	2	2	16.987	4	2	1	9	2	1	31	2	13.635
65	2	2	17.318	4	2	1	9	2	1	31	2	13.888
66	2	2	17.652	4	2	1	9	2	1	31	2	14.142
67	2	2	17.99	4	2	1	9	2	1	31	2	14.399
68	2	2	18.33	4	2	1	9	2	1	31	2	14.657
69	2	2	18.674	4	2	1	9	2	1	31	2	14.918
