ID	文本
AvatarData_Name_10000002	神里绫华
AvatarSkillData_Name_10013	神里流·霰步
AvatarSkillData_Desc_10013	神里流中灵动的一式。\n隐入碎冰，化为激流快速移动。替代冲刺。\n在这个状态下，神里绫华可以在水面上高速移动。\n现身的瞬间会对附近的敌人附加寒冷状态，并暂时将普通攻击转为冰属性伤害。\n\n附加寒冷影响范围：3米\n冰属性普通攻击持续时间：4秒\n体力消耗：启动时15点，之后每秒25点
AvatarSkillData_Name_10018	神里流·冰华
AvatarSkillData_Desc_10018	神里流中优雅的一式。\n将冰元素迅速散布在身边。短暂间隔后，造成冰属性伤害并击飞周围的敌人。\n\n技能伤害：340%攻击力\n影响范围：3米\n冷却时间：6秒\n元素类型：冰
AvatarSkillData_Name_10019	神里流·霜灭
AvatarSkillData_Desc_10019	神里流中凌厉的一式。\n以折扇与刀剑造出向前方行进的冰刃风暴，对路径上的敌人持续造成冰属性伤害。\n冰刃风暴会在持续时间结束时爆裂，对更大范围内的敌人造成冰属性伤害。\n\n持续伤害：每秒259%攻击力\n影响范围：3米\n移动速度：每秒4.5米\n持续时间：5秒\n爆裂伤害：500%攻击力\n爆裂范围：5米\n冷却时间：25秒\n元素能量：60\n元素类型：冰
AvatarSkillData_Name_10024	#$#绫华五连击
AvatarSkillData_Desc_10024	#$#单手剑五连击
TalentSkillData_Name_211	白鹭公主[1]
TalentSkillData_Desc_211	队伍中所有角色获得5%的冰元素伤害加成和6%的冰元素抗性提升。
TalentSkillData_Name_212	白鹭公主[2]
TalentSkillData_Desc_212	队伍中所有角色获得10%的冰元素伤害加成和9%的冰元素抗性提升。
TalentSkillData_Name_213	白鹭公主[3]
TalentSkillData_Desc_213	队伍中所有角色获得15%的冰元素伤害加成和12%的冰元素抗性提升。
TalentSkillData_Name_214	白鹭公主[4]
TalentSkillData_Desc_214	队伍中所有角色获得20%的冰元素伤害加成和15%的冰元素抗性提升。
TalentSkillData_Name_221	薄冰舞踏[1]
TalentSkillData_Desc_221	神里流·霰步的移动速度提升10%。
TalentSkillData_Name_222	薄冰舞踏[2]
TalentSkillData_Desc_222	神里流·霰步的移动速度提升20%，现身冲击范围扩大15%。
TalentSkillData_Name_223	薄冰舞踏[3]
TalentSkillData_Desc_223	神里流·霰步的移动速度提升30%，现身冲击范围扩大30%。
TalentSkillData_Name_231	寒天宣命祝词[1]
TalentSkillData_Desc_231	普通攻击命中处于寒冷或冻结状态下的敌人时，分别有6%/18%的概率缩短神里流·冰华0.5秒冷却时间。
TalentSkillData_Name_232	寒天宣命祝词[2]
TalentSkillData_Desc_232	普通攻击命中处于寒冷或冻结状态下的敌人时，分别有9%/27%的概率缩短神里流·冰华0.5秒冷却时间。
TalentSkillData_Name_233	寒天宣命祝词[3]
TalentSkillData_Desc_233	普通攻击命中处于寒冷或冻结状态下的敌人时，分别有12%/36%的概率缩短神里流·冰华1秒冷却时间。
TalentSkillData_Name_241	三重雪关扉[1]
TalentSkillData_Desc_241	施放神里流·霜灭时，会向侧面放出额外2个较小的冰刃风暴，各自能造成20%的伤害。
TalentSkillData_Name_242	三重雪关扉[2]
TalentSkillData_Desc_242	施放神里流·霜灭时，会向侧面放出额外2个较小的冰刃风暴，各自能造成35%的伤害。
TalentSkillData_Name_243	三重雪关扉[3]
TalentSkillData_Desc_243	施放神里流·霜灭时，会向侧面放出额外2个较小的冰刃风暴，各自能造成50%的伤害。
TalentSkillData_Name_251	间水月[1]
TalentSkillData_Desc_251	元素充能效率提高16%，神里流·霜灭的冷却时间减少2秒。
TalentSkillData_Name_252	间水月[2]
TalentSkillData_Desc_252	元素充能效率提高25%，神里流·霜灭的冷却时间减少4秒。
TalentSkillData_Name_253	间水月[3]
TalentSkillData_Desc_253	元素充能效率提高33%，神里流·霜灭的冷却时间减少6秒。
TalentSkillData_Name_261	天罪国罪镇词[1]
TalentSkillData_Desc_261	在神里流·霰步的状态下，神里绫华会标记周围生命值低于20%的敌人。在被标记的敌人附近现身并立刻普通攻击，能造成等同于攻击力300%的冰属性伤害。此次攻击视为重击。
TalentSkillData_Name_262	天罪国罪镇词[2]
TalentSkillData_Desc_262	在神里流·霰步的状态下，神里绫华会标记周围生命值低于25%的敌人。在被标记的敌人附近现身并立刻普通攻击，能造成等同于攻击力350%的冰属性伤害。此次攻击视为重击。
TalentSkillData_Name_263	天罪国罪镇词[3]
TalentSkillData_Desc_263	在神里流·霰步的状态下，神里绫华会标记周围生命值低于30%的敌人。在被标记的敌人附近现身并立刻普通攻击，能造成等同于攻击力400%的冰属性伤害。此次攻击视为重击。
TalentSkillData_Name_271	霜杀墨染樱[1]
TalentSkillData_Desc_271	神里流·冰华对处于寒冷或冻结状态下的敌人造成的伤害提高20%。
TalentSkillData_Name_272	霜杀墨染樱[2]
TalentSkillData_Desc_272	神里流·冰华对处于寒冷或冻结状态下的敌人造成的伤害提高35%。
