ID	文本
DocumentData_Title_100110	诗篇断章（上）
DocumentData_Title_100111	诗篇断章（中）
DocumentData_Title_100112	诗篇断章（下）
DocumentData_Title_100171	宝藏的线索（一）
DocumentData_Title_100172	宝藏的线索（二）
DocumentData_Title_100173	藏宝图
DocumentData_Title_100178	少女薇拉的忧郁·卷一
DocumentData_Title_100179	少女薇拉的忧郁·卷二
DocumentData_Title_100180	少女薇拉的忧郁·卷三
DocumentData_Title_100181	与神性同行·序言
DocumentData_Title_100182	温妮莎传奇·上篇
DocumentData_Title_100183	温妮莎传奇·下篇
DocumentData_Title_100184	猎鹿人今日推荐
DocumentData_Title_100185	晨曦酒庄招募书
DocumentData_Title_100188	蒲公英海的狐狸·卷一
DocumentData_Title_100189	蒲公英海的狐狸·卷二
DocumentData_Title_100190	蒲公英海的狐狸·卷三
DocumentData_Title_100191	蒲公英海的狐狸·卷五
DocumentData_Title_100192	蒲公英海的狐狸·卷六
DocumentData_Title_100193	蒲公英海的狐狸·卷七
DocumentData_Title_100194	蒲公英海的狐狸·卷十
DocumentData_Title_100195	蒲公英海的狐狸·卷十一
DocumentData_Title_100196	丘丘人诗歌选·上卷
DocumentData_Title_100197	丘丘人诗歌选·下卷
DocumentData_Title_100198	少女薇拉的忧郁·卷五
DocumentData_Title_100199	少女薇拉的忧郁·卷九
DocumentData_Title_100200	少女薇拉的忧郁·卷十
DocumentData_Title_100201	林间风·故事拔萃
DocumentData_Title_100202	野猪公主·卷一
DocumentData_Title_100203	野猪公主·卷二
DocumentData_Title_100204	野猪公主·卷三
DocumentData_Title_100205	野猪公主·卷四
DocumentData_Title_100206	野猪公主·卷五
DocumentData_Title_100207	野猪公主·卷七
DocumentData_Title_100208	蒙德高塔·第一卷
DocumentData_Title_100213	林间风拾遗·龙之书
MainQuestData_Title_347	#$#阅读占坑
MainQuestData_Desc_347	#$#
MainQuestData_Title_348	#$#猫尾酒馆留言板
MainQuestData_Desc_348	#$#
MainQuestData_Title_349	#$#蒙德百货订货版
MainQuestData_Desc_349	#$#
MainQuestData_Title_350	#$#游戏开始执行隐藏任务
MainQuestData_Desc_350	#$#
MainQuestData_Title_351	流浪者的足迹
MainQuestData_Desc_351	在日出之际，你在湖边的沙滩上醒来了。
MainQuestData_Title_362	苹果教学
MainQuestData_Desc_362	
MainQuestData_Title_352	鸟瞰风物
MainQuestData_Desc_352	在醒来的你身边陪伴着的，是奇妙的伙伴——派蒙。
MainQuestData_Title_353	异常的权柄
