ID	文本
TextMapData_TextMapContent_FightPropType	战斗属性枚举
TextMapData_TextMapContent_FIGHT_PROP_BASE_HP	生命值
TextMapData_TextMapContent_FIGHT_PROP_HP	生命值
TextMapData_TextMapContent_FIGHT_PROP_HP_PERCENT	生命值加成
TextMapData_TextMapContent_FIGHT_PROP_BASE_ATTACK	攻击力
TextMapData_TextMapContent_FIGHT_PROP_ATTACK	攻击力
TextMapData_TextMapContent_FIGHT_PROP_ATTACK_PERCENT	攻击力加成
TextMapData_TextMapContent_FIGHT_PROP_BASE_DEFENSE	防御力
TextMapData_TextMapContent_FIGHT_PROP_DEFENSE	防御力
TextMapData_TextMapContent_FIGHT_PROP_DEFENSE_PERCENT	防御力加成
TextMapData_TextMapContent_FIGHT_PROP_BASE_SPEED	移动速度
TextMapData_TextMapContent_FIGHT_PROP_SPEED_PERCENT	移动速度
TextMapData_TextMapContent_FIGHT_PROP_CRITICAL	暴击率
TextMapData_TextMapContent_FIGHT_PROP_ANTI_CRITICAL	暴击抗性
TextMapData_TextMapContent_FIGHT_PROP_CRITICAL_HURT	暴击伤害
TextMapData_TextMapContent_FIGHT_PROP_CHARGE_EFFICIENCY	元素充能效率
TextMapData_TextMapContent_FIGHT_PROP_ADD_HURT	伤害增加
TextMapData_TextMapContent_FIGHT_PROP_SUB_HURT	受伤减免
TextMapData_TextMapContent_FIGHT_PROP_HEAL_ADD	治疗加成
TextMapData_TextMapContent_FIGHT_PROP_HEALED_ADD	受治疗加成
TextMapData_TextMapContent_FIGHT_PROP_FIRE_ADD_HURT	火元素伤害加成
TextMapData_TextMapContent_FIGHT_PROP_FIRE_SUB_HURT	火元素抗性
TextMapData_TextMapContent_FIGHT_PROP_WATER_ADD_HURT	水元素伤害加成
TextMapData_TextMapContent_FIGHT_PROP_WATER_SUB_HURT	水元素抗性
TextMapData_TextMapContent_FIGHT_PROP_GRASS_ADD_HURT	草元素伤害加成
TextMapData_TextMapContent_FIGHT_PROP_GRASS_SUB_HURT	草元素抗性
TextMapData_TextMapContent_FIGHT_PROP_ELEC_ADD_HURT	雷元素伤害加成
TextMapData_TextMapContent_FIGHT_PROP_ELEC_SUB_HURT	雷元素抗性
TextMapData_TextMapContent_FIGHT_PROP_ICE_ADD_HURT	冰元素伤害加成
TextMapData_TextMapContent_FIGHT_PROP_ICE_SUB_HURT	冰元素抗性
TextMapData_TextMapContent_FIGHT_PROP_WIND_ADD_HURT	风元素伤害加成
TextMapData_TextMapContent_FIGHT_PROP_WIND_SUB_HURT	风元素抗性
TextMapData_TextMapContent_FIGHT_PROP_ROCK_ADD_HURT	岩元素伤害加成
TextMapData_TextMapContent_FIGHT_PROP_ROCK_SUB_HURT	岩元素抗性
TextMapData_TextMapContent_FIGHT_PROP_EFFECT_HIT	效果命中
TextMapData_TextMapContent_FIGHT_PROP_EFFECT_RESIST	效果抵抗
TextMapData_TextMapContent_FIGHT_PROP_FREEZE_SHORTEN	冻结时间缩短
TextMapData_TextMapContent_FIGHT_PROP_TORPOR_SHORTEN	麻痹时间缩短
TextMapData_TextMapContent_FIGHT_PROP_DIZZY_SHORTEN	眩晕时间缩短
TextMapData_TextMapContent_FIGHT_PROP_MAX_HP	生命值上限
TextMapData_TextMapContent_FIGHT_PROP_CUR_ATTACK	攻击力
TextMapData_TextMapContent_FIGHT_PROP_CUR_DEFENSE	防御力
TextMapData_TextMapContent_FIGHT_PROP_CUR_SPEED	移动速度
TextMapData_TextMapContent_FIGHT_PROP_CUR_HP	生命值
TextMapData_TextMapContent_PROP_MAX_STAMINA	体力上限
TextMapData_TextMapContent_PROP_TEAM_COST	Cost
TextMapData_TextMapContent_FIGHT_REACTION_BURNING	燃烧
TextMapData_TextMapContent_FIGHT_REACTION_WET	潮湿
TextMapData_TextMapContent_FIGHT_REACTION_STEAM	蒸发
TextMapData_TextMapContent_FIGHT_REACTION_GRASS	生长
TextMapData_TextMapContent_FIGHT_REACTION_SHOCK	感电
TextMapData_TextMapContent_FIGHT_REACTION_FROZEN	冻结
TextMapData_TextMapContent_FIGHT_REACTION_EXPLODE	超载
TextMapData_TextMapContent_FIGHT_REACTION_MELT	融化
TextMapData_TextMapContent_FIGHT_REACTION_SWIRL	扩散
TextMapData_TextMapContent_FIGHT_REACTION_SUPERCONDUCTOR	超导
TextMapData_TextMapContent_EquipType	装备类型枚举
TextMapData_TextMapContent_EQUIP_BRACER	生之花
TextMapData_TextMapContent_EQUIP_DRESS	理之冠
TextMapData_TextMapContent_EQUIP_SHOES	时之沙
TextMapData_TextMapContent_EQUIP_RING	空之杯
TextMapData_TextMapContent_EQUIP_NECKLACE	死之羽
TextMapData_TextMapContent_Topic_LvUp	角色升级了
TextMapData_TextMapContent_Hint_CanNotTakeOffWeapon	无法卸下武器
TextMapData_TextMapContent_Hint_NotEnoughLevel	等级不足
TextMapData_TextMapContent_INFO_DANGER_AROUND	附近还有危险！
TextMapData_TextMapContent_INFO_TRANSPOINT_GET	传送锚点解锁
TextMapData_TextMapContent_INFO_DUNGEON_WAY_POINT_GET	与复苏之门已建立联系
TextMapData_TextMapContent_INFO_AVATAR_DIE	角色无法战斗
TextMapData_TextMapContent_INFO_AVATAR_CHANGE_CD	换人还在CD中
TextMapData_TextMapContent_INFO_AVATAR_CHANGE_LEVEL_FORBIDDEN	目标异常
TextMapData_TextMapContent_INFO_AVATAR_CHANGE_IN_PROCESS	角色释放技能中
TextMapData_TextMapContent_INFO_AVATAR_CHANGE_FAIL_AIM	瞄准时不可换人
TextMapData_TextMapContent_INFO_AVATAR_CHANGE_FAIL_CLIMB	攀爬时不能切换角色
TextMapData_TextMapContent_INFO_AVATAR_CHANGE_FAIL_FLY	飞行时不能切换角色
TextMapData_TextMapContent_INFO_AVATAR_CHANGE_FAIL_JUMP	跳跃时不能切换角色
TextMapData_TextMapContent_INFO_AVATAR_CHANGE_FAIL_LADDER	攀爬时不能切换角色
TextMapData_TextMapContent_INFO_AVATAR_CHANGE_FAIL_SWIM	游泳时不能切换角色
TextMapData_TextMapContent_INFO_AVATAR_CHANGE_FAIL_DEAD	倒下时不能切换角色
TextMapData_TextMapContent_INFO_AVATAR_CHANGE_FAIL_PERFORM	坐下时不能切换角色
TextMapData_TextMapContent_INFO_AVATAR_CHANGE_LEVEL_TARGETAVATAR	无法切换目标角色
TextMapData_TextMapContent_INFO_PLAYER_RECONNECT	重新连接服务器
TextMapData_TextMapContent_INFO_PLAYER_QUIE_MULTIPLAYER	退出联机
TextMapData_TextMapContent_INFO_AVATAR_TRANSPORT_DUNGEON_TITLE	退出地城
TextMapData_TextMapContent_INFO_AVATAR_TRANSPORT_DUNGEON_DESC	<size=36>现在传送将退出地城，是否继续？</size>\n\n<size=24>未捡拾物品将丢失，暂时无法寻回</size>
TextMapData_TextMapContent_INFO_AVATAR_TRANSPORT_DUNGEON_CANCEL	返回地城
TextMapData_TextMapContent_INFO_AVATAR_TRANSPORT_DUNGEON_OK	继续传送
TextMapData_TextMapContent_INFO_CAN_NOT_USE_TRANSPOINT	蒙德城被封锁，目前无法传送
TextMapData_TextMapContent_INFO_TRANSPOINT_NOT_UNLOCKED	尚未解锁
TextMapData_TextMapContent_INFO_AREA_LEVEL_TOO_HIGH	高危险度
TextMapData_TextMapContent_INFO_GET_TRIAL_AVATAR	
TextMapData_TextMapContent_INFO_PLAYER_EXP_ADD	<color=#37FFFFFF>冒险阅历 +{0}</color>
TextMapData_TextMapContent_INFO_PLAYER_LEVEL_ADD	冒险等阶提升至{0}
TextMapData_TextMapContent_INFO_MALE_PRONOUN_HE	他
TextMapData_TextMapContent_INFO_FEMALE_PRONOUN_SHE	她
TextMapData_TextMapContent_INFO_MALE_PRONOUN_BROTHER	哥哥
TextMapData_TextMapContent_INFO_FEMALE_PRONOUN_SISTER	妹妹
TextMapData_TextMapContent_INFO_MALE_PRONOUN_BOY	少年
TextMapData_TextMapContent_INFO_FEMALE_PRONOUN_GIRL	少女
TextMapData_TextMapContent_INFO_PLAYER_DEFAULT_NAME	
TextMapData_TextMapContent_INFO_MALE_PRONOUN_HE_LOWER_SUBJECT	he
TextMapData_TextMapContent_INFO_FEMALE_PRONOUN_SHE_LOWER_SUBJECT	she
TextMapData_TextMapContent_INFO_MALE_PRONOUN_HIM_UPPER_OBJECT	Him
TextMapData_TextMapContent_INFO_FEMALE_PRONOUN_HER_UPPER_OBJECT	Her
TextMapData_TextMapContent_INFO_MALE_PRONOUN_HIM_LOWER_OBJECT	him
TextMapData_TextMapContent_INFO_FEMALE_PRONOUN_HER_LOWER_OBJECT	her
TextMapData_TextMapContent_INFO_MALE_PRONOUN_HIS_UPPER_GENITIVE	His
TextMapData_TextMapContent_INFO_FEMALE_PRONOUN_HER_UPPER_GENITIVE	Her
TextMapData_TextMapContent_INFO_MALE_PRONOUN_HIS_LOWER_GENITIVE	his
TextMapData_TextMapContent_INFO_FEMALE_PRONOUN_HER_LOWER_GENITIVE	her
TextMapData_TextMapContent_INFO_MALE_PRONOUN_BROTHER_LOWER	brother
TextMapData_TextMapContent_INFO_FEMALE_PRONOUN_SISTER_LOWER	sister
TextMapData_TextMapContent_INFO_MALE_PRONOUN_BOY_LOWER	boy
TextMapData_TextMapContent_INFO_FEMALE_PRONOUN_GIRL_LOWER	girl
TextMapData_TextMapContent_INFO_CHANGE_AVATAR_COST_OVER	所换角色Cost超过队伍消耗上限，可尝试更换其他角色
TextMapData_TextMapContent_INFO_CHANGE_WEAPON_COST_OVER	所换武器Cost超过队伍消耗上限，可尝试更换其他武器
TextMapData_TextMapContent_INFO_WEAPON_BREAK_COST_OVER	武器突破后Cost将超出队伍消耗上限，可尝试取下后进行突破
TextMapData_TextMapContent_INFO_SUPPORT_SECOND	追加援助：
TextMapData_TextMapContent_INFO_ITEM_NOT_EXIST	物品不存在
TextMapData_TextMapContent_INFO_ITEM_NOT_INTERACT	物品不能交互
TextMapData_TextMapContent_INFO_ITEM_NOT_GATHER	物品不能采集
TextMapData_TextMapContent_INFO_ITEM_ONLY_USEABLE_FOR_ALIVE_AVATAR	物品无法对倒下的角色使用
TextMapData_TextMapContent_INFO_ITEM_ONLY_USEABLE_FOR_DEAD_AVATAR	物品只能对倒下的角色使用
TextMapData_TextMapContent_INFO_BAG_FULL	背包已满
TextMapData_TextMapContent_INFO_INTERACTION_FAIL_FOCUS	瞄准状态下无法对话
TextMapData_TextMapContent_INFO_ELITE_DEFENCE	
TextMapData_TextMapContent_INFO_NOTICE_ADD_HP	生命值已满，是否继续使用？
TextMapData_TextMapContent_SHOP_EXCHANGE_BUTTON	兑换
TextMapData_TextMapContent_SHOP_LIMITED_PURCHASE	剩余数量：{0}
