ID	文本
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_CONTINUE_TEXT	C<size=40>ONTINUE</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_CONTINUE_LABEL	继续冒险
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_CONTINUE_TIPS	继续之前的游戏
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_NEWGAME_TEXT	N<size=40>EW</size> G<size=40>AME</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_NEWGAME_LABEL	新游戏
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_NEWGAME_TIPS	开始新的游戏
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_GALLERY_TEXT	G<size=40>ALLERY</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_GALLERY_LABEL	画廊
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_GALLERY_TIPS	艺术设定
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_EXIT_TEXT	E<size=40>XIT</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_EXIT_LABEL	离开
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_EXIT_TIPS	退出游戏
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_OPTION	设置
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_PLAYER	角色
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_SHOP	内测商店
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_TIME	时间
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_FEEDBACK	反馈
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_BULLETIN	公告
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_HANDBOOK	指南
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_MAINMENU	M<size=40>AIN</size> M<size=40>ENU</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_LEVEL	LEVEL
TextMapUIStcData_TextMapContent_UI_STC_SHOPPAGE_NEED_MATERIALS	所需材料
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_BAG	背包
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_WEIGHT	负重
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_DROP_TITLE	丢弃
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_DROP_WARNING	确认要将{0}丢弃吗？
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_WEAPON	武器
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_RELIC	圣遗物
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_SKILL	技能
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_BACK	返回
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_COST	队伍消耗
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_AVATAR	属性
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_LEVEL_UP	升级
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_STAR_UP	突破
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_MAX_EXP	等级已到当前上限
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_LEVEL_NOT_ENOUGH	尚未到达突破等级
TextMapUIStcData_TextMapContent_UI_STC_USEMATERIALDIALOG_USENUM	使用数量
TextMapUIStcData_TextMapContent_UI_STC_USEMATERIALDIALOG_DROPLINK	获取
TextMapUIStcData_TextMapContent_UI_STC_USEMATERIALDIALOG_NOITEM	无可用经验升级道具
TextMapUIStcData_TextMapContent_UI_STC_MAP_SCENE_EXPLORE	探索度
TextMapUIStcData_TextMapContent_UI_STC_MAP_AREA_LOCKED	未解锁
TextMapUIStcData_TextMapContent_UI_STC_MAP_AREA_UNLOCKED	已解锁
TextMapUIStcData_TextMapContent_UI_STC_LEVELUP_DIALOG_TITLE	升级
TextMapUIStcData_TextMapContent_UI_STC_LEVELUP_DIALOG_OK	确认
TextMapUIStcData_TextMapContent_UI_STC_STARUP_DIALOG_TITLE	突破
TextMapUIStcData_TextMapContent_UI_STC_STARUP_DIALOG_PROPERTY_CHANGE	属性变更
TextMapUIStcData_TextMapContent_UI_STC_STARUP_DIALOG_NEED_MATERIAL	所需材料
TextMapUIStcData_TextMapContent_UI_STC_AWAKENUP_DIALOG_TITLE	精炼
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_TALENT	天赋
TextMapUIStcData_TextMapContent_UI_STC_TALENT_LOCKED	<color=#FF5E41FF>天赋暂无</color>
TextMapUIStcData_TextMapContent_UI_STC_LOGOUT	退出登录
TextMapUIStcData_TextMapContent_UI_STC_BAG_NOITEM_TIP1	没有任何道具
TextMapUIStcData_TextMapContent_UI_STC_BAG_NOITEM_TIP2	这里空空如也
TextMapUIStcData_TextMapContent_UI_STC_DUNGEONENTRYPAGE_DungeonEntry	地下城入口
TextMapUIStcData_TextMapContent_UI_STC_DUNGEONENTRYPAGE_PossibleReward	可能获得奖励
TextMapUIStcData_TextMapContent_UI_STC_DUNGEONENTRYPAGE_FPReward	首次通关奖励
TextMapUIStcData_TextMapContent_UI_STC_DUNGEONENTRYPAGE_LevelUnsuitable	当前等级略微偏低
TextMapUIStcData_TextMapContent_UI_STC_DUNGEONENTRYPAGE_LevelSeriouslyUnsuitable	当前等级严重偏低
TextMapUIStcData_TextMapContent_UI_STC_DUNGEONENTRYPAGE_Start	开始挑战
TextMapUIStcData_TextMapContent_UI_DUNGEONENTRY_DAILY_ENTRY_COUNT	本日剩余挑战次数：{0}/{1}
TextMapUIStcData_TextMapContent_UI_DUNGEONENTRY_DAILY_NO_COUNT	本日已无挑战次数：0/{0}
TextMapUIStcData_TextMapContent_UI_DUNGEONENTRY_DAILY_INFINITE_COUNT	无挑战次数限制
TextMapUIStcData_TextMapContent_UI_STC_DungeonRevive_Quit	放弃挑战
TextMapUIStcData_TextMapContent_UI_STC_DungeonRevive_Restart	重新挑战
TextMapUIStcData_TextMapContent_UI_STC_DungeonRevive_LastCheckPoint	从复苏之门继续挑战
TextMapUIStcData_TextMapContent_UI_STC_DungeonRevive_ReviveCount	剩余复活次数
TextMapUIStcData_TextMapContent_UI_STC_DungeonRevive_AutoQuitAfter	{0}秒后自动放弃
TextMapUIStcData_TextMapContent_UI_STC_DungeonSettle_AutoQuitAfter	{0}秒后自动退出
TextMapUIStcData_TextMapContent_UI_STC_World_Revive	复活
TextMapUIStcData_TextMapContent_UI_STC_SlotEquiped	已装备
TextMapUIStcData_TextMapContent_UI_STC_PlayerEnter	玩家{0}进入世界
TextMapUIStcData_TextMapContent_UI_STC_PlayerLeave	玩家{0}离开世界
TextMapUIStcData_TextMapContent_UI_STC_EnterOthersWorld_Title	进入联机
TextMapUIStcData_TextMapContent_UI_STC_EnterOthersWorld_Hint	是否进入该玩家的世界？
TextMapUIStcData_TextMapContent_UI_STC_BackMyWorld_Title	返回
TextMapUIStcData_TextMapContent_UI_STC_BackMyWorld_Hint	是否返回自己的世界？
TextMapUIStcData_TextMapContent_UI_STC_ConfirmKickSquads_Title	回到单机
TextMapUIStcData_TextMapContent_UI_STC_ConfirmKickSquads_Hint	确认断开当前世界所有其他玩家的连接？
TextMapUIStcData_TextMapContent_UI_STC_GonnaKickSquads	稍后将移除所有连入玩家
TextMapUIStcData_TextMapContent_UI_STC_KickedBySquadLeader	世界主人主动断开了连接
TextMapUIStcData_TextMapContent_UI_STC_DungeonFollow_Title	进入地城请求
TextMapUIStcData_TextMapContent_UI_STC_DungeonFollow_Hint	世界主人请求进入战斗地城，\n取消将断开世界连接
TextMapUIStcData_TextMapContent_UI_STC_Intee_DungeonEntry	地下城入口
TextMapUIStcData_TextMapContent_UI_STC_Intee_DungeonExit	退出地下城
TextMapUIStcData_TextMapContent_UI_STC_UseProps_ReviveAvatar	使用道具复活角色
TextMapUIStcData_TextMapContent_Cancel	取消
TextMapUIStcData_TextMapContent_OK	确认
TextMapUIStcData_TextMapContent_Detail	详情
TextMapUIStcData_TextMapContent_UI_STC_AVATAR_IN_TEAM	出战中
TextMapUIStcData_TextMapContent_UI_STC_AVATAR_IN_PREPARING	备战中
TextMapUIStcData_TextMapContent_UI_STC_AVATAR_IN_RECOVERY	恢复中
TextMapUIStcData_TextMapContent_UI_STC_CLICK_TO_USE_SPRING	点击角色头像恢复角色生命值
TextMapUIStcData_TextMapContent_UI_STC_REMAINING_SPRING	恢复力: 
TextMapUIStcData_TextMapContent_UI_STC_SPRING_TITLE	神像的恩泽
TextMapUIStcData_TextMapContent_UI_STC_SPRING_TIME_TO_FULL	会随时间补充。
TextMapUIStcData_TextMapContent_UI_STC_SPRING_NEAR_AUTO_RECOVER	靠近时自动恢复
TextMapUIStcData_TextMapContent_UI_STC_NONE_REVIVE_PROPS	无可用复活道具
TextMapUIStcData_TextMapContent_UI_STC_HOURS_REMIAN	剩余{0}小时
TextMapUIStcData_TextMapContent_UI_STC_AVATAR_LEVEL_INSUFFCIENT_TO_PROMOTION	角色未满级，不能突破
