ID	文本
TrialAvatarData_TrialAvatarName_1	试用安柏
TrialAvatarData_TrialAvatarName_2	试用凯亚
TrialAvatarData_TrialAvatarName_3	试用丽莎
TrialAvatarData_TrialAvatarName_4	试用迪卢克
TrialAvatarData_TrialAvatarName_5	试用温迪
TrialAvatarData_TrialAvatarName_6	试用凯亚
CampData_Comment_1001	玩家角色
CampData_Comment_1002	玩家随从（仅对怪物敌对）
CampData_Comment_2001	食草动物
CampData_Comment_3001	食肉动物
CampData_Comment_4001	死士
CampData_Comment_4002	崩坏兽
CampData_Comment_4003	魔神
CampData_Comment_5001	坎瑞亚机关
CampData_Comment_9001	草
CampData_Comment_9002	水
CampData_Comment_9999	环境
CampData_Comment_5100	电气岩
CampData_Comment_6666	电桩测试
DieTypeTipsData_Tips1_1	即使是在眺望远方的时候，也要留神脚下。
DieTypeTipsData_Tips2_1	
DieTypeTipsData_Tips3_1	
DieTypeTipsData_Tips4_1	
DieTypeTipsData_Tips1_2	请时刻留意体力与周围的地形。不慎坠落时，会受到相应的伤害。
DieTypeTipsData_Tips2_2	
DieTypeTipsData_Tips3_2	
DieTypeTipsData_Tips4_2	
DieTypeTipsData_Tips1_3	在游泳时体力不会自然恢复，体力耗竭时则会溺水。要留意剩余的体力。
DieTypeTipsData_Tips2_3	
DieTypeTipsData_Tips3_3	
DieTypeTipsData_Tips4_3	
DieTypeTipsData_Tips1_4	在战斗中生命值过低时，不妨先用食物恢复一下生命。
DieTypeTipsData_Tips2_4	有时撤退也是明智的选择。
DieTypeTipsData_Tips3_4	仔细观察敌人的数量与特点后，谨慎地制订进攻的策略吧。
DieTypeTipsData_Tips4_4	
DieTypeTipsData_Tips1_5	巨盾的正面防御几乎无懈可击，从身后发起攻击或许更为有利。
DieTypeTipsData_Tips2_5	木制的巨盾能被火焰轻易点燃。丘丘暴徒一旦失去了巨盾，就失去了防御能力。
DieTypeTipsData_Tips3_5	如果巨盾上附有水元素，就不那么容易被点燃了。
DieTypeTipsData_Tips4_5	盾墙丘丘暴徒举盾冲锋时，能造成巨大的伤害。避其锋芒，并抓住机会反击。
DieTypeTipsData_Tips1_6	斧头燃烧时，丘丘暴徒的攻击威力会极大地提升。
DieTypeTipsData_Tips2_6	燃烧的斧头会受其他元素的影响。巧妙地运用不同元素间的相性，也许可以出奇制胜。
DieTypeTipsData_Tips3_6	利用水元素，可以快速熄灭燃烧的斧头。
DieTypeTipsData_Tips4_6	丘丘暴徒试图点燃斧头时，就是攻击的最好时机。
DieTypeTipsData_Tips1_7	利用狂风之核召唤飓风领域时造成的风场，可以升空避开伤害。
DieTypeTipsData_Tips2_7	狂风之核具有很强的机动性。如果能利用水元素与冰元素将其冰冻，能有效减轻它的威胁。
DieTypeTipsData_Tips3_7	狂风之核在进行暴风疾冲后，会暂时力竭，是反击的最好时机。
DieTypeTipsData_Tips4_7	
DieTypeTipsData_Tips1_8	深渊火法师的火焰极其危险，注意不要陷入点燃状态。
DieTypeTipsData_Tips2_8	深渊火法师的护盾以火元素铸就，水元素攻击可以有效破解它的防御。
DieTypeTipsData_Tips3_8	
DieTypeTipsData_Tips4_8	
DieTypeTipsData_Tips1_9	不慎陷入潮湿状态的话，要留心深渊冰法师的冰元素攻击。
DieTypeTipsData_Tips2_9	深渊冰法师的护盾以冰元素凝结而成，火元素攻击可以有效破解它的防御。
DieTypeTipsData_Tips3_9	
DieTypeTipsData_Tips4_9	
DieTypeTipsData_Tips1_10	深渊水法师的攻击会使人陷入潮湿状态。此时受到冰元素攻击的话，会被冻结。
DieTypeTipsData_Tips2_10	深渊水法师的护盾以水元素铸就，雷元素攻击可以有效破解它的防御。
DieTypeTipsData_Tips3_10	深渊水法师的泡泡会让人暂时失去行动能力，相当危险。
DieTypeTipsData_Tips4_10	
DieTypeTipsData_Tips1_11	仍在燃烧的火史莱姆被消灭时，会发生爆炸。
DieTypeTipsData_Tips2_11	水元素能熄灭火史莱姆。利用水元素攻击或环境能有效减轻它们的威胁。
DieTypeTipsData_Tips3_11	
DieTypeTipsData_Tips4_11	
DieTypeTipsData_Tips1_12	仍在燃烧的火史莱姆被消灭时，会发生爆炸。
DieTypeTipsData_Tips2_12	水元素能熄灭火史莱姆。利用水元素攻击或环境能有效减轻它们的威胁。
DieTypeTipsData_Tips3_12	
DieTypeTipsData_Tips4_12	
DieTypeTipsData_Tips1_13	即使是面对难以发生元素反应的岩史莱姆，也不能掉以轻心。
DieTypeTipsData_Tips2_13	
DieTypeTipsData_Tips3_13	
DieTypeTipsData_Tips4_13	
DieTypeTipsData_Tips1_14	爆炸、沉重的双手剑与岩元素攻击能快速击碎大型岩史莱姆的岩甲。
DieTypeTipsData_Tips2_14	
DieTypeTipsData_Tips3_14	
DieTypeTipsData_Tips4_14	
DieTypeTipsData_Tips1_15	风史莱姆膨胀漂浮时，能被轻易消灭。
DieTypeTipsData_Tips2_15	风史莱姆体内饱含着风的力量，被消灭时会释放冲击气流。
DieTypeTipsData_Tips3_15	因为轻盈，风史莱姆能被吹得很远。
DieTypeTipsData_Tips4_15	
DieTypeTipsData_Tips1_16	风史莱姆膨胀漂浮时，能被轻易消灭。
DieTypeTipsData_Tips2_16	风史莱姆体内饱含着风的力量，被消灭时会释放冲击气流。
DieTypeTipsData_Tips3_16	因为轻盈，风史莱姆能被吹得很远。
DieTypeTipsData_Tips4_16	
DieTypeTipsData_Tips1_17	草史莱姆会从地下发起伏击。留意周围有没有可疑的花草。
DieTypeTipsData_Tips2_17	
DieTypeTipsData_Tips3_17	
DieTypeTipsData_Tips4_17	
DieTypeTipsData_Tips1_18	大型草史莱姆在战斗中会召唤同伴。
DieTypeTipsData_Tips2_18	头顶的花苞是草史莱姆的弱点，利用火元素将其烧毁能使其陷入虚弱状态。
DieTypeTipsData_Tips3_18	
DieTypeTipsData_Tips4_18	
DieTypeTipsData_Tips1_19	不慎陷入潮湿状态的话，要特别留心冰史莱姆的冰元素攻击。
DieTypeTipsData_Tips2_19	
DieTypeTipsData_Tips3_19	
DieTypeTipsData_Tips4_19	
DieTypeTipsData_Tips1_20	火元素攻击能快速地融化大型冰史莱姆的冰甲。
DieTypeTipsData_Tips2_20	
DieTypeTipsData_Tips3_20	
DieTypeTipsData_Tips4_20	
DieTypeTipsData_Tips1_21	雷史莱姆会间歇性地向四周放电。放电的间歇是反击的好时机。
DieTypeTipsData_Tips2_21	在潮湿状态下不慎受到雷属性攻击会陷入感电状态，受到额外的伤害。
DieTypeTipsData_Tips3_21	
DieTypeTipsData_Tips4_21	
DieTypeTipsData_Tips1_22	雷史莱姆会间歇性地向四周放电。放电的间歇是反击的好时机。
DieTypeTipsData_Tips2_22	在潮湿状态下不慎受到雷属性攻击会陷入感电状态，受到额外的伤害。
DieTypeTipsData_Tips3_22	
DieTypeTipsData_Tips4_22	
DieTypeTipsData_Tips1_23	变异雷史莱姆与其他雷史莱姆间会产生电弧，及早消灭能减轻它们的威胁。
DieTypeTipsData_Tips2_23	
DieTypeTipsData_Tips3_23	
DieTypeTipsData_Tips4_23	
DieTypeTipsData_Tips1_24	冰元素攻击能有效冻结水史莱姆。
DieTypeTipsData_Tips2_24	
DieTypeTipsData_Tips3_24	
DieTypeTipsData_Tips4_24	
DieTypeTipsData_Tips1_25	冰元素攻击能有效冻结水史莱姆。
DieTypeTipsData_Tips2_25	
DieTypeTipsData_Tips3_25	
DieTypeTipsData_Tips4_25	
DieTypeTipsData_Tips1_26	水丘丘萨满会治疗同伴，及早消灭能避免陷入苦战。
DieTypeTipsData_Tips2_26	
DieTypeTipsData_Tips3_26	
DieTypeTipsData_Tips4_26	
DieTypeTipsData_Tips1_27	草丘丘萨满会在战场上唤出荆棘阻拦你的步伐。利用火元素攻击可以快速清除荆棘。
DieTypeTipsData_Tips2_27	
DieTypeTipsData_Tips3_27	
DieTypeTipsData_Tips4_27	
DieTypeTipsData_Tips1_28	风丘丘萨满会召唤出危险的小型旋风，扫荡战场。
DieTypeTipsData_Tips2_28	
DieTypeTipsData_Tips3_28	
DieTypeTipsData_Tips4_28	
DieTypeTipsData_Tips1_29	遗迹守卫的眼型激光发射器与背部裸露的核心是最大的弱点。
DieTypeTipsData_Tips2_29	遗迹守卫的高能激光能造成巨额伤害。但如果能避开它的激光，就能得到反击的最好时机。
DieTypeTipsData_Tips3_29	
DieTypeTipsData_Tips4_29	
DieTypeTipsData_Tips1_30	即使是赤手空拳的丘丘人，也不能太过小觑。
DieTypeTipsData_Tips2_30	
DieTypeTipsData_Tips3_30	
DieTypeTipsData_Tips4_30	
DieTypeTipsData_Tips1_31	木棍可以被火元素攻击点燃，尝试更多的进攻手段吧。
DieTypeTipsData_Tips2_31	
DieTypeTipsData_Tips3_31	
DieTypeTipsData_Tips4_31	
DieTypeTipsData_Tips1_32	木制的盾牌可以被火元素攻击点燃。
DieTypeTipsData_Tips2_32	举盾时，丘丘人能有效防御来自正面的攻击。尝试其他的进攻策略吧。
DieTypeTipsData_Tips3_32	
DieTypeTipsData_Tips4_32	
DieTypeTipsData_Tips1_33	丘丘人射手往往疏于近战。猛烈的攻击能让他们无暇射击。
DieTypeTipsData_Tips2_33	
DieTypeTipsData_Tips3_33	
DieTypeTipsData_Tips4_33	
DieTypeTipsData_Tips1_34	丘丘人射手往往疏于近战。猛烈的攻击能让他们无暇射击。
DieTypeTipsData_Tips2_34	
DieTypeTipsData_Tips3_34	
DieTypeTipsData_Tips4_34	
DieTypeTipsData_Tips1_35	部分丘丘人会投掷火史莱姆炸弹进行攻击。决不能掉以轻心。
DieTypeTipsData_Tips2_35	
DieTypeTipsData_Tips3_35	
DieTypeTipsData_Tips4_35	
DieTypeTipsData_Tips1_36	冲锋丘丘人一鼓作气的冲锋攻势结束后，是反击的最好时机。
DieTypeTipsData_Tips2_36	
DieTypeTipsData_Tips3_36	
DieTypeTipsData_Tips4_36	
DieTypeTipsData_Tips1_37	丘丘人射手往往疏于近战。猛烈的攻击能让他们无暇射击。
DieTypeTipsData_Tips2_37	
DieTypeTipsData_Tips3_37	
DieTypeTipsData_Tips4_37	
DieTypeTipsData_Tips1_38	丘丘人射手往往疏于近战。猛烈的攻击能让他们无暇射击。
DieTypeTipsData_Tips2_38	
DieTypeTipsData_Tips3_38	
DieTypeTipsData_Tips4_38	
GadgetData_Avatar_Name_40000001	SteamBangField
GadgetData_Avatar_Name_40000002	ThunderFistField
GadgetData_Avatar_Name_40000003	GrassDart
GadgetData_Avatar_Name_40000004	SharkTorpedo
GadgetData_Avatar_Name_40000005	SharkTorpedo_Spurt
