ID	文本
SceneData_Name_1001	通用空场景
SceneData_Name_1002	蒙德城
SceneData_Name_1003	大世界白模
SceneData_Name_1004	骑士团大厅
SceneData_Name_1005	教堂地下室（潜入玩法）
SceneData_Name_1006	风龙泪滴地城
SceneData_Name_1007	萤火森林地城白模玩法测试
SceneData_Name_1008	教堂大厅
SceneData_Name_1009	酒馆室内
SceneData_Name_1010	丘丘圣山
SceneData_Name_1011	角色战斗测试关卡
SceneData_Name_1012	怪物测试关卡
SceneData_Name_1013	高级潜入测试
SceneData_Name_1015	飞行特殊玩法
SceneData_Name_1	大世界1
SceneData_Name_2	大世界2
SceneData_Name_3	新蒙德城及周边
SceneData_Name_20000	关卡玩法测试
SceneData_Name_20001	风龙地下城白模
SceneData_Name_20002	战术测试-深林
SceneData_Name_20003	战术测试-湖泊
SceneData_Name_20004	战术测试-平原
SceneData_Name_20005	战术测试-河流
SceneData_Name_20006	芭芭拉任务地下城(持续迭代)
SceneData_Name_20007	芭芭拉地下城白模2（Test）
SceneData_Name_20008	凯亚教学地下城(持续迭代)
SceneData_Name_20009	安柏教学地下城(持续迭代)
SceneData_Name_20010	丽莎战斗训练任务地城(持续迭代)
SceneData_Name_20011	丽莎教学地下城(持续迭代)
SceneData_Name_20012	迪卢克任务副本（Test）
SceneData_Name_20013	凯亚战斗训练任务地城(持续迭代)
SceneData_Name_20014	琴与安柏的战斗训练任务地城(持续迭代)
SceneData_Name_20015	丽莎常驻地城（Test）
SceneData_Name_20016	凯亚线剧情地城
SceneData_Name_20017	追击风魔龙
SceneData_Name_20018	净化风魔龙
SceneData_Name_20019	迪卢克地城白盒
SceneData_Name_20020	初战风魔龙
SceneData_Name_20021	丽莎个人线地城白盒
SceneData_Name_30001	迷雾迷宫(持续迭代)
SceneData_Name_30002	英雄试炼-风元素球战(持续迭代)
SceneData_Name_30003	英雄试炼-冰冻考验(持续迭代)
SceneData_Name_40001	安柏常驻地城1（10级）
SceneData_Name_40002	安柏常驻地城2（13级）
SceneData_Name_40003	安柏常驻地城3（16级）
SceneData_Name_40004	凯亚常驻地城1（12级）
SceneData_Name_40005	凯亚常驻地城2（15级）
SceneData_Name_40006	凯亚常驻地城3（18级）
SceneData_Name_40007	远岛常驻地城
SceneData_Name_50000	图书馆测试
SceneData_Name_50001	联机可乱入副本测试
SceneData_Name_50002	温度白盒测试
SceneData_Name_50003	战斗性能测试
SceneData_Name_50004	电桩电源白盒
SceneData_Name_50005	元素玩法情景
RoomData_Name_2	图书馆房间2
RoomData_Name_3	图书馆房间3
RoomData_Name_4	骑士团图书馆
RoomData_Name_100401	图书馆
RoomData_Name_100402	琴办公室
WorldAreaData_AreaName_1	坠星平原
WorldAreaData_AreaName_2	果酒湖
WorldAreaData_AreaName_3	蒙德城
WorldAreaData_AreaName_4	星落湖
WorldAreaData_AreaName_5	望风山地
WorldAreaData_AreaName_6	望风角
WorldAreaData_AreaName_7	摘星崖
WorldAreaData_AreaName_8	千风神殿
WorldAreaData_AreaName_9	低语森林
WorldAreaData_AreaName_10	望风海岸
WorldAreaData_AreaName_11	风啸山坡
WorldAreaData_AreaName_12	风起地
WorldAreaData_AreaName_13	鹰翔海滩
WorldAreaData_AreaName_14	达达乌帕谷
WorldAreaData_AreaName_15	誓言岬
WorldAreaData_AreaName_16	马斯克礁
WorldAreaData_AreaName_17	苍风高地
WorldAreaData_AreaName_18	清泉镇
WorldAreaData_AreaName_19	晨曦酒庄
WorldAreaData_AreaName_20	龙脊雪山
WorldAreaData_AreaName_21	明冠山地
WorldAreaData_AreaName_22	风龙遗迹
WorldAreaData_AreaName_23	奔狼领
WorldAreaData_AreaName_24	明冠峡
DungeonData_Name_1	深入狼之殿
DungeonData_Desc_1	为了遏制风魔龙的灾厄，骑士团的成员前往各地展开行动。与骑兵队长凯亚一同深入北风之狼的庙宇，阻止风魔龙获取其中的力量吧。
DungeonData_Name_2	#$#丘丘人大本营
DungeonData_Desc_2	凯亚任务副本03
DungeonData_Name_3	#$#丘丘人巢穴
DungeonData_Desc_3	凯亚任务副本03
DungeonData_Name_4	#$#小岩洞据点
DungeonData_Desc_4	副本描述4
DungeonData_Name_5	#$#小岩洞据点
DungeonData_Desc_5	副本描述5
DungeonData_Name_6	#$#小岩洞秘境
DungeonData_Desc_6	副本描述6
DungeonData_Name_7	#$#遗迹遇险点
DungeonData_Desc_7	芭芭拉剧情副本01
DungeonData_Name_8	#$#丘丘人小据点
DungeonData_Desc_8	芭芭拉剧情副本01
DungeonData_Name_9	#$#丘丘人大据点
DungeonData_Desc_9	芭芭拉剧情副本01
DungeonData_Name_10	密林、废墟与龙之泪
DungeonData_Desc_10	为了收集风龙泪滴，一行人来到了深藏在密林中的废墟。和琴与迪卢克一同，深入废墟，搜寻饱含力量的龙泪吧。
DungeonData_Name_11	#$#萤火森林地城玩法测试
DungeonData_Desc_11	森林风格地城玩法测试
DungeonData_Name_12	#$#丘丘圣山测试
DungeonData_Desc_12	丘丘圣山测试
DungeonData_Name_13	#$#角色战斗测试
DungeonData_Desc_13	角色战斗测试
DungeonData_Name_14	#$#怪物测试
DungeonData_Desc_14	怪物测试
DungeonData_Name_1000	#$#关卡玩法测试
DungeonData_Desc_1000	关卡玩法测试
DungeonData_Name_15	#$#低温关卡白盒
DungeonData_Desc_15	低温关卡白盒
DungeonData_Name_16	#$#移动平台性能测试
DungeonData_Desc_16	移动平台性能测试
DungeonData_Name_17	#$#战斗性能测试
DungeonData_Desc_17	战斗性能测试
DungeonData_Name_18	#$#电桩电源白盒
DungeonData_Desc_18	电桩电源白盒
DungeonData_Name_19	#$#元素反应情景白盒
DungeonData_Desc_19	元素反应情景白盒
DungeonData_Name_1001	深入鹰之殿
DungeonData_Desc_1001	为了遏制风魔龙的灾厄，骑士团的成员前往各地展开行动。与侦查骑士安柏一同深入西风之鹰的庙宇，阻止风魔龙获取其中的力量吧。
DungeonData_Name_1002	#$#丽莎战斗地城
DungeonData_Desc_1002	丽莎战斗地城白模
DungeonData_Name_1003	深入狮之殿
DungeonData_Desc_1003	为了遏制风魔龙的灾厄，骑士团的成员前往各地展开行动。与图书管理员丽莎一同深入南风之狮的庙宇，阻止风魔龙获取其中的力量吧。
DungeonData_Name_1004	#$#愚人众营地
DungeonData_Desc_1004	迪卢克的冒险
DungeonData_Name_1005	#$#凯亚战斗训练任务地城
DungeonData_Desc_1005	运用凯亚迎接挑战吧
DungeonData_Name_1006	#$#琴·安柏战斗训练任务地城
DungeonData_Desc_1006	运用琴和安柏迎接挑战吧
DungeonData_Name_1007	#$#丽莎常驻地城低
DungeonData_Desc_1007	丽莎战斗地城白模
DungeonData_Name_2000	阿卡狄亚的失落秘宝
DungeonData_Desc_2000	佚失的宝藏只对拥有真正智慧的人展现自己的光彩。完成了阿卡狄亚之谜的一行人，终于来到了藏宝之地……
DungeonData_Name_2001	暴风般狂啸之龙
DungeonData_Desc_2001	追逐着被深渊法师蛊惑的特瓦林，你们即将迎来与它的正面对决。
DungeonData_Name_2002	风魔龙-净化
DungeonData_Desc_2002	风魔龙BOSS战二阶段
DungeonData_Name_2003	#$#迪卢克地城白盒
DungeonData_Desc_2003	白盒
