ID	文本
AvatarData_Name_10000002	神里綾華
AvatarSkillData_Name_10013	神里流·霰步
AvatarSkillData_Desc_10013	神里流中靈動的一式。\n隱入碎冰，化為激流快速移動。替代衝刺。\n在這個狀態下，神里綾華可以在水面上高速移動。\n現身的瞬間會對附近的敵人附加寒冷狀態，並暫時將普通攻擊轉為冰屬性傷害。\n\n附加寒冷影響範圍：3公尺\n冰屬性普通攻擊持續時間：4秒\n體力消耗：啟動時15點，之後每秒25點
AvatarSkillData_Name_10018	神里流·冰華
AvatarSkillData_Desc_10018	神里流中優雅的一式。\n將冰元素迅速散佈在身邊。短暫間隔後，造成冰屬性傷害並擊飛周圍的敵人。\n\n技能傷害：340%攻擊力\n影響範圍：3公尺\n冷卻時間：6秒\n元素類型：冰
AvatarSkillData_Name_10019	神里流·霜滅
AvatarSkillData_Desc_10019	神里流中淩厲的一式。\n以摺扇與刀劍造出向前方行進的冰刃風暴，對路徑上的敵人持續造成冰屬性傷害。\n冰刃風暴會在持續時間結束時爆裂，對更大範圍內的敵人造成冰屬性傷害。\n\n持續傷害：每秒259%攻擊力\n影響範圍：3公尺\n移動速度：每秒4.5公尺\n持續時間：5秒\n爆裂傷害：500%攻擊力\n爆裂範圍：5公尺\n冷卻時間：25秒\n元素能量：60\n元素類型：冰
AvatarSkillData_Name_10024	綾華五連擊
AvatarSkillData_Desc_10024	單手劍五連擊
TalentSkillData_Name_211	白鷺公主[1]
TalentSkillData_Desc_211	隊伍中所有角色獲得5%的冰元素傷害加成和6%的冰元素抗性提升。
TalentSkillData_Name_212	白鷺公主[2]
TalentSkillData_Desc_212	隊伍中所有角色獲得10%的冰元素傷害加成和9%的冰元素抗性提升。
TalentSkillData_Name_213	白鷺公主[3]
TalentSkillData_Desc_213	隊伍中所有角色獲得15%的冰元素傷害加成和12%的冰元素抗性提升。
TalentSkillData_Name_214	白鷺公主[4]
TalentSkillData_Desc_214	隊伍中所有角色獲得20%的冰元素傷害加成和15%的冰元素抗性提升。
TalentSkillData_Name_221	薄冰舞踏[1]
TalentSkillData_Desc_221	神里流·霰步的移動速度提升10%。
TalentSkillData_Name_222	薄冰舞踏[2]
