ID	文本
DocumentData_Title_100110	詩篇斷章（上）
DocumentData_Title_100111	詩篇斷章（中）
DocumentData_Title_100112	詩篇斷章（下）
DocumentData_Title_100171	寶藏的線索（一）
DocumentData_Title_100172	寶藏的線索（二）
DocumentData_Title_100173	藏寶圖
DocumentData_Title_100178	少女薇拉的憂鬱·卷一
DocumentData_Title_100179	少女薇拉的憂鬱·卷二
DocumentData_Title_100180	少女薇拉的憂鬱·卷三
DocumentData_Title_100181	與神性同行·序言
DocumentData_Title_100182	溫妮莎傳奇·上篇
DocumentData_Title_100183	溫妮莎傳奇·下篇
DocumentData_Title_100184	獵鹿人今日推薦
DocumentData_Title_100185	晨曦酒莊招募書
DocumentData_Title_100188	蒲公英海的狐狸·卷一
DocumentData_Title_100189	蒲公英海的狐狸·卷二
DocumentData_Title_100190	蒲公英海的狐狸·卷三
DocumentData_Title_100191	蒲公英海的狐狸·卷五
DocumentData_Title_100192	蒲公英海的狐狸·卷六
DocumentData_Title_100193	蒲公英海的狐狸·卷七
DocumentData_Title_100194	蒲公英海的狐狸·卷十
DocumentData_Title_100195	蒲公英海的狐狸·卷十一
DocumentData_Title_100196	丘丘人詩歌選·上卷
DocumentData_Title_100197	丘丘人詩歌選·下卷
DocumentData_Title_100198	少女薇拉的憂鬱·卷五
DocumentData_Title_100199	少女薇拉的憂鬱·卷九
DocumentData_Title_100200	少女薇拉的憂鬱·卷十
DocumentData_Title_100201	林間風·故事拔萃
DocumentData_Title_100202	野豬公主·卷一
DocumentData_Title_100203	野豬公主·卷二
DocumentData_Title_100204	野豬公主·卷三
DocumentData_Title_100205	野豬公主·卷四
DocumentData_Title_100206	野豬公主·卷五
DocumentData_Title_100207	野豬公主·卷七
DocumentData_Title_100208	蒙德高塔·第一卷
DocumentData_Title_100213	林間風拾遺·龍之書
MainQuestData_Title_347	閱讀占坑
MainQuestData_Desc_347	
MainQuestData_Title_348	貓尾酒館留言板
MainQuestData_Desc_348	
MainQuestData_Title_349	蒙德百貨訂貨版
MainQuestData_Desc_349	
MainQuestData_Title_350	遊戲開始執行隱藏任務
MainQuestData_Desc_350	
MainQuestData_Title_351	流浪者的足跡
MainQuestData_Desc_351	在日出之際，你在湖邊的沙灘上醒來了。
MainQuestData_Title_362	蘋果教學
MainQuestData_Desc_362	
MainQuestData_Title_352	鳥瞰風物
MainQuestData_Desc_352	在醒來的你身邊陪伴著的，是奇妙的夥伴——派蒙。
MainQuestData_Title_353	異常的權柄
MainQuestData_Desc_353	在派蒙的建議下，你決定到「七天神像」處看看。
MainQuestData_Title_361	風魔龍飛過
MainQuestData_Desc_361	
MainQuestData_Title_355	與巨龍相會
MainQuestData_Desc_355	派蒙帶你來到了七天神像的面前，你透過神像感受到了風元素的力量。於是派蒙建議你到「風」的城市——蒙德去看看。
MainQuestData_Title_354	隨風而來的騎士
