ID	文本
TextMapData_TextMapContent_FightPropType	戰鬥屬性範例
TextMapData_TextMapContent_FIGHT_PROP_BASE_HP	生命值
TextMapData_TextMapContent_FIGHT_PROP_HP	生命值
TextMapData_TextMapContent_FIGHT_PROP_HP_PERCENT	生命值加成
TextMapData_TextMapContent_FIGHT_PROP_BASE_ATTACK	攻擊力
TextMapData_TextMapContent_FIGHT_PROP_ATTACK	攻擊力
TextMapData_TextMapContent_FIGHT_PROP_ATTACK_PERCENT	攻擊力加成
TextMapData_TextMapContent_FIGHT_PROP_BASE_DEFENSE	防禦力
TextMapData_TextMapContent_FIGHT_PROP_DEFENSE	防禦力
TextMapData_TextMapContent_FIGHT_PROP_DEFENSE_PERCENT	防禦力加成
TextMapData_TextMapContent_FIGHT_PROP_BASE_SPEED	移動速度
TextMapData_TextMapContent_FIGHT_PROP_SPEED_PERCENT	移動速度
TextMapData_TextMapContent_FIGHT_PROP_CRITICAL	暴擊率
TextMapData_TextMapContent_FIGHT_PROP_ANTI_CRITICAL	暴擊抗性
TextMapData_TextMapContent_FIGHT_PROP_CRITICAL_HURT	暴擊傷害
TextMapData_TextMapContent_FIGHT_PROP_CHARGE_EFFICIENCY	元素充能效率
TextMapData_TextMapContent_FIGHT_PROP_ADD_HURT	傷害增加
TextMapData_TextMapContent_FIGHT_PROP_SUB_HURT	受傷減免
TextMapData_TextMapContent_FIGHT_PROP_HEAL_ADD	治療加成
TextMapData_TextMapContent_FIGHT_PROP_HEALED_ADD	受治療加成
TextMapData_TextMapContent_FIGHT_PROP_FIRE_ADD_HURT	火元素傷害加成
TextMapData_TextMapContent_FIGHT_PROP_FIRE_SUB_HURT	火元素抗性
TextMapData_TextMapContent_FIGHT_PROP_WATER_ADD_HURT	水元素傷害加成
TextMapData_TextMapContent_FIGHT_PROP_WATER_SUB_HURT	水元素抗性
TextMapData_TextMapContent_FIGHT_PROP_GRASS_ADD_HURT	草元素傷害加成
TextMapData_TextMapContent_FIGHT_PROP_GRASS_SUB_HURT	草元素抗性
TextMapData_TextMapContent_FIGHT_PROP_ELEC_ADD_HURT	雷元素傷害加成
TextMapData_TextMapContent_FIGHT_PROP_ELEC_SUB_HURT	雷元素抗性
TextMapData_TextMapContent_FIGHT_PROP_ICE_ADD_HURT	冰元素傷害加成
TextMapData_TextMapContent_FIGHT_PROP_ICE_SUB_HURT	冰元素抗性
