ID	文本
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_CONTINUE_TEXT	C<size=40>ONTINUE</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_CONTINUE_LABEL	繼續冒險
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_CONTINUE_TIPS	繼續之前的遊戲
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_NEWGAME_TEXT	N<size=40>EW</size> G<size=40>AME</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_NEWGAME_LABEL	新遊戲
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_NEWGAME_TIPS	開始新的遊戲
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_GALLERY_TEXT	G<size=40>ALLERY</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_GALLERY_LABEL	畫廊
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_GALLERY_TIPS	藝術設定
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_EXIT_TEXT	E<size=40>XIT</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_EXIT_LABEL	離開
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_EXIT_TIPS	退出遊戲
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_OPTION	設置
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_PLAYER	角色
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_SHOP	內測商店
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_TIME	時間
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_FEEDBACK	反饋
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_BULLETIN	公告
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_HANDBOOK	指南
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_MAINMENU	M<size=40>AIN</size> M<size=40>ENU</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_LEVEL	LEVEL
TextMapUIStcData_TextMapContent_UI_STC_SHOPPAGE_NEED_MATERIALS	所需材料
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_BAG	背包
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_WEIGHT	負重
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_DROP_TITLE	丟棄
