ID	文本
TrialAvatarData_TrialAvatarName_1	試用安柏
TrialAvatarData_TrialAvatarName_2	試用凱亞
TrialAvatarData_TrialAvatarName_3	試用麗莎
TrialAvatarData_TrialAvatarName_4	試用迪盧克
TrialAvatarData_TrialAvatarName_5	試用溫蒂
TrialAvatarData_TrialAvatarName_6	試用凱亞
CampData_Comment_1001	玩家角色
CampData_Comment_1002	玩家隨從（僅對怪物敵對）
CampData_Comment_2001	草食動物
CampData_Comment_3001	肉食動物
CampData_Comment_4001	死士
CampData_Comment_4002	崩壞獸
CampData_Comment_4003	魔神
CampData_Comment_5001	坎瑞亞機關
CampData_Comment_9001	草
CampData_Comment_9002	水
CampData_Comment_9999	環境
CampData_Comment_5100	電氣岩
CampData_Comment_6666	電樁測試
DieTypeTipsData_Tips1_1	即使是在眺望遠方的時候，也要留神腳下。
DieTypeTipsData_Tips2_1	
DieTypeTipsData_Tips3_1	
DieTypeTipsData_Tips4_1	
DieTypeTipsData_Tips1_2	請時刻留意體力與周圍的地形。不慎墜落時，會受到相應的傷害。
DieTypeTipsData_Tips2_2	
DieTypeTipsData_Tips3_2	
DieTypeTipsData_Tips4_2	
DieTypeTipsData_Tips1_3	在游泳時體力不會自然恢復，體力耗竭時則會溺水。要留意剩餘的體力。
DieTypeTipsData_Tips2_3	
DieTypeTipsData_Tips3_3	
DieTypeTipsData_Tips4_3	
DieTypeTipsData_Tips1_4	在戰鬥中生命值過低時，不妨先用食物恢復一下生命。
DieTypeTipsData_Tips2_4	有時撤退也是明智的選擇。
DieTypeTipsData_Tips3_4	仔細觀察敵人的數量與特點後，謹慎地制定進攻的策略吧。
DieTypeTipsData_Tips4_4	
DieTypeTipsData_Tips1_5	巨盾的正面防禦幾乎無懈可擊，從身後發起攻擊或許更為有利。
DieTypeTipsData_Tips2_5	木製的巨盾能被火焰輕易點燃。丘丘暴徒一旦失去了巨盾，就失去了防禦能力。
DieTypeTipsData_Tips3_5	如果巨盾上附有水元素，就不那麼容易被點燃了。
DieTypeTipsData_Tips4_5	盾牆丘丘暴徒舉盾衝鋒時，能造成巨大的傷害。避其鋒芒，並抓住機會反擊。
DieTypeTipsData_Tips1_6	斧頭燃燒時，丘丘暴徒的攻擊威力會極大地提升。
DieTypeTipsData_Tips2_6	燃燒的斧頭會受其他元素的影響。巧妙地運用不同元素間的相性，也許可以出奇制勝。
DieTypeTipsData_Tips3_6	利用水元素，可以快速熄滅燃燒的斧頭。
DieTypeTipsData_Tips4_6	丘丘暴徒試圖點燃斧頭時，就是攻擊的最好時機。
DieTypeTipsData_Tips1_7	利用狂風之核召喚颶風領域時造成的風場，可以升空避開傷害。
DieTypeTipsData_Tips2_7	狂風之核具有很強的機動性。如果能利用水元素與冰元素將其冰凍，能有效減輕它的威脅。
DieTypeTipsData_Tips3_7	狂風之核在進行暴風疾衝後，會暫時力竭，是反擊的最好時機。
DieTypeTipsData_Tips4_7	
DieTypeTipsData_Tips1_8	深淵火法師的火焰極其危險，注意不要陷入點燃狀態。
DieTypeTipsData_Tips2_8	深淵火法師的護盾以火元素鑄就，水元素攻擊可以有效破解它的防禦。
DieTypeTipsData_Tips3_8	
DieTypeTipsData_Tips4_8	
DieTypeTipsData_Tips1_9	不慎陷入潮濕狀態的話，要留心深淵冰法師的冰元素攻擊。
DieTypeTipsData_Tips2_9	深淵冰法師的護盾以冰元素凝結而成，火元素攻擊可以有效破解它的防禦。
DieTypeTipsData_Tips3_9	
DieTypeTipsData_Tips4_9	
DieTypeTipsData_Tips1_10	深淵水法師的攻擊會使人陷入潮濕狀態。此時受到冰元素攻擊的話，會被凍結。
DieTypeTipsData_Tips2_10	深淵水法師的護盾以水元素鑄就，雷元素攻擊可以有效破解它的防禦。
DieTypeTipsData_Tips3_10	深淵水法師的泡泡會讓人暫時失去行動能力，相當危險。
DieTypeTipsData_Tips4_10	
DieTypeTipsData_Tips1_11	仍在燃燒的火史萊姆被消滅時，會發生爆炸。
DieTypeTipsData_Tips2_11	水元素能熄滅火史萊姆。利用水元素攻擊或環境能有效減輕它們的威脅。
DieTypeTipsData_Tips3_11	
DieTypeTipsData_Tips4_11	
DieTypeTipsData_Tips1_12	仍在燃燒的火史萊姆被消滅時，會發生爆炸。
DieTypeTipsData_Tips2_12	水元素能熄滅火史萊姆。利用水元素攻擊或環境能有效減輕它們的威脅。
DieTypeTipsData_Tips3_12	
DieTypeTipsData_Tips4_12	
DieTypeTipsData_Tips1_13	即使是面對難以發生元素反應的岩史萊姆，也不能掉以輕心。
DieTypeTipsData_Tips2_13	
DieTypeTipsData_Tips3_13	
DieTypeTipsData_Tips4_13	
DieTypeTipsData_Tips1_14	爆炸、沉重的雙手劍與岩元素攻擊能快速擊碎大型岩史萊姆的岩甲。
DieTypeTipsData_Tips2_14	
DieTypeTipsData_Tips3_14	
DieTypeTipsData_Tips4_14	
DieTypeTipsData_Tips1_15	風史萊姆膨脹漂浮時，能被輕易消滅。
DieTypeTipsData_Tips2_15	風史萊姆體內飽含著風的力量，被消滅時會釋放衝擊氣流。
DieTypeTipsData_Tips3_15	因為輕盈，風史萊姆能被吹得很遠。
DieTypeTipsData_Tips4_15	
DieTypeTipsData_Tips1_16	風史萊姆膨脹漂浮時，能被輕易消滅。
DieTypeTipsData_Tips2_16	風史萊姆體內飽含著風的力量，被消滅時會釋放衝擊氣流。
DieTypeTipsData_Tips3_16	因為輕盈，風史萊姆能被吹得很遠。
DieTypeTipsData_Tips4_16	
DieTypeTipsData_Tips1_17	草史萊姆會從地下發起伏擊。留意周圍有沒有可疑的花草。
DieTypeTipsData_Tips2_17	
DieTypeTipsData_Tips3_17	
DieTypeTipsData_Tips4_17	
DieTypeTipsData_Tips1_18	大型草史萊姆在戰鬥中會召喚同伴。
DieTypeTipsData_Tips2_18	頭頂的花苞是草史萊姆的弱點，利用火元素將其燒毀能使其陷入虛弱狀態。
DieTypeTipsData_Tips3_18	
DieTypeTipsData_Tips4_18	
DieTypeTipsData_Tips1_19	不慎陷入潮濕狀態的話，要特別留心冰史萊姆的冰元素攻擊。
DieTypeTipsData_Tips2_19	
DieTypeTipsData_Tips3_19	
DieTypeTipsData_Tips4_19	
DieTypeTipsData_Tips1_20	火元素攻擊能快速地融化大型冰史萊姆的冰甲。
DieTypeTipsData_Tips2_20	
DieTypeTipsData_Tips3_20	
DieTypeTipsData_Tips4_20	
DieTypeTipsData_Tips1_21	雷史萊姆會間歇性地向四周放電。放電的間歇是反擊的好時機。
DieTypeTipsData_Tips2_21	在潮濕狀態下不慎受到雷屬性攻擊會陷入感電狀態，受到額外的傷害。
DieTypeTipsData_Tips3_21	
DieTypeTipsData_Tips4_21	
DieTypeTipsData_Tips1_22	雷史萊姆會間歇性地向四周放電。放電的間歇是反擊的好時機。
DieTypeTipsData_Tips2_22	在潮濕狀態下不慎受到雷屬性攻擊會陷入感電狀態，受到額外的傷害。
DieTypeTipsData_Tips3_22	
DieTypeTipsData_Tips4_22	
DieTypeTipsData_Tips1_23	變異雷史萊姆與其他雷史萊姆間會產生電弧，及早消滅能減輕它們的威脅。
DieTypeTipsData_Tips2_23	
DieTypeTipsData_Tips3_23	
DieTypeTipsData_Tips4_23	
DieTypeTipsData_Tips1_24	冰元素攻擊能有效凍結水史萊姆。
DieTypeTipsData_Tips2_24	
DieTypeTipsData_Tips3_24	
DieTypeTipsData_Tips4_24	
DieTypeTipsData_Tips1_25	冰元素攻擊能有效凍結水史萊姆。
DieTypeTipsData_Tips2_25	
DieTypeTipsData_Tips3_25	
DieTypeTipsData_Tips4_25	
DieTypeTipsData_Tips1_26	水丘丘薩滿會治療同伴，及早消滅能避免陷入苦戰。
DieTypeTipsData_Tips2_26	
DieTypeTipsData_Tips3_26	
DieTypeTipsData_Tips4_26	
DieTypeTipsData_Tips1_27	草丘丘薩滿會在戰場上喚出荊棘阻攔你的步伐。利用火元素攻擊可以快速清除荊棘。
DieTypeTipsData_Tips2_27	
DieTypeTipsData_Tips3_27	
DieTypeTipsData_Tips4_27	
DieTypeTipsData_Tips1_28	風丘丘薩滿會召喚出危險的小型旋風，掃蕩戰場。
DieTypeTipsData_Tips2_28	
DieTypeTipsData_Tips3_28	
DieTypeTipsData_Tips4_28	
DieTypeTipsData_Tips1_29	遺跡守衛的眼型雷射發射器與背部裸露的核心是最大的弱點。
DieTypeTipsData_Tips2_29	遺跡守衛的高能雷射能造成巨額傷害。但如果能避開它的雷射，就能得到反擊的最好時機。
DieTypeTipsData_Tips3_29	
DieTypeTipsData_Tips4_29	
DieTypeTipsData_Tips1_30	即使是赤手空拳的丘丘人，也不能太過小覷。
DieTypeTipsData_Tips2_30	
DieTypeTipsData_Tips3_30	
DieTypeTipsData_Tips4_30	
DieTypeTipsData_Tips1_31	木棍可以被火元素攻擊點燃，嘗試更多的進攻手段吧。
DieTypeTipsData_Tips2_31	
DieTypeTipsData_Tips3_31	
DieTypeTipsData_Tips4_31	
DieTypeTipsData_Tips1_32	木製的盾牌可以被火元素攻擊點燃。
DieTypeTipsData_Tips2_32	舉盾時，丘丘人能有效防禦來自正面的攻擊。嘗試其他的進攻策略吧。
DieTypeTipsData_Tips3_32	
DieTypeTipsData_Tips4_32	
DieTypeTipsData_Tips1_33	丘丘人射手往往疏於近戰。猛烈的攻擊能讓他們無暇射擊。
DieTypeTipsData_Tips2_33	
DieTypeTipsData_Tips3_33	
DieTypeTipsData_Tips4_33	
DieTypeTipsData_Tips1_34	丘丘人射手往往疏於近戰。猛烈的攻擊能讓他們無暇射擊。
