ID	文本
SceneData_Name_1001	通用空場景
SceneData_Name_1002	蒙德城
SceneData_Name_1003	大世界白模
SceneData_Name_1004	騎士團大廳
SceneData_Name_1005	教堂地下室（潛入玩法）
SceneData_Name_1006	風龍淚滴地城
SceneData_Name_1007	螢火森林地城白模玩法測試
SceneData_Name_1008	教堂大廳
SceneData_Name_1009	酒館室內
SceneData_Name_1010	丘丘聖山
SceneData_Name_1011	角色戰鬥測試關卡
SceneData_Name_1012	怪物測試關卡
SceneData_Name_1013	進階潛入測試
SceneData_Name_1015	飛行特殊玩法
SceneData_Name_1	大世界1
SceneData_Name_2	大世界2
SceneData_Name_3	新蒙德城及周邊
SceneData_Name_20000	關卡玩法測試
SceneData_Name_20001	風龍地下城白模
SceneData_Name_20002	戰術測試-深林
SceneData_Name_20003	戰術測試-湖泊
SceneData_Name_20004	戰術測試-平原
SceneData_Name_20005	戰術測試-河流
SceneData_Name_20006	芭芭拉任務地下城(持續疊代)
SceneData_Name_20007	芭芭拉地下城白模2（Test）
SceneData_Name_20008	凱亞教學地下城(持續疊代)
SceneData_Name_20009	安柏教學地下城(持續疊代)
SceneData_Name_20010	麗莎戰鬥訓練任務地城(持續疊代)
SceneData_Name_20011	麗莎教學地下城(持續疊代)
SceneData_Name_20012	迪盧克任務副本（Test）
SceneData_Name_20013	凱亞戰鬥訓練任務地城(持續疊代)
SceneData_Name_20014	琴與安柏的戰鬥訓練任務地城(持續疊代)
SceneData_Name_20015	麗莎常駐地城（Test）
SceneData_Name_20016	凱亞線劇情地城
SceneData_Name_20017	追擊風魔龍
SceneData_Name_20018	淨化風魔龍
SceneData_Name_20019	迪盧克地城白盒
SceneData_Name_20020	初戰風魔龍
SceneData_Name_20021	麗莎個人線地城白盒
SceneData_Name_30001	迷霧迷宮(持續疊代)
SceneData_Name_30002	英雄試煉-風元素球戰(持續疊代)
SceneData_Name_30003	英雄試煉-冰凍考驗(持續疊代)
SceneData_Name_40001	安柏常駐地城1（10級）
SceneData_Name_40002	安柏常駐地城2（13級）
SceneData_Name_40003	安柏常駐地城3（16級）
SceneData_Name_40004	凱亞常駐地城1（12級）
SceneData_Name_40005	凱亞常駐地城2（15級）
SceneData_Name_40006	凱亞常駐地城3（18級）
SceneData_Name_40007	遠島常駐地城
SceneData_Name_50000	圖書館測試
SceneData_Name_50001	連線可亂入副本測試
SceneData_Name_50002	溫度白盒測試
SceneData_Name_50003	戰鬥性能測試
SceneData_Name_50004	電樁電源白盒
SceneData_Name_50005	元素玩法情景
RoomData_Name_2	圖書館房間2
RoomData_Name_3	圖書館房間3
RoomData_Name_4	騎士團圖書館
RoomData_Name_100401	圖書館
RoomData_Name_100402	琴辦公室
WorldAreaData_AreaName_1	墜星平原
WorldAreaData_AreaName_2	果酒湖
WorldAreaData_AreaName_3	蒙德城
WorldAreaData_AreaName_4	星落湖
WorldAreaData_AreaName_5	望風山地
WorldAreaData_AreaName_6	望風角
WorldAreaData_AreaName_7	摘星崖
WorldAreaData_AreaName_8	千風神殿
WorldAreaData_AreaName_9	低語森林
WorldAreaData_AreaName_10	望風海岸
WorldAreaData_AreaName_11	風嘯山坡
WorldAreaData_AreaName_12	風起地
WorldAreaData_AreaName_13	鷹翔海灘
WorldAreaData_AreaName_14	達達烏帕谷
WorldAreaData_AreaName_15	誓言岬
WorldAreaData_AreaName_16	馬斯克礁
WorldAreaData_AreaName_17	蒼風高地
WorldAreaData_AreaName_18	清泉鎮
WorldAreaData_AreaName_19	晨曦酒莊
WorldAreaData_AreaName_20	龍脊雪山
WorldAreaData_AreaName_21	明冠山地
WorldAreaData_AreaName_22	風龍遺跡
