ID	文本
AvatarData_Name_10000002	Kamisato Ayaka
AvatarSkillData_Name_10013	Kamisato Art: Senho
AvatarSkillData_Desc_10013	An agile and elegant style of Kamisato Art.\nHides within a swift flow of sleet that moves as Ayaka moves. Replaces Sprint.\nIn this form, Kamisato Ayaka moves at high speed on water.\nReappearing inflicts Cold on nearby opponents, and converts Normal Attack DMG into Cryo DMG.\n\nCold AoE: 3m\nCryo DMG Enchantment Duration: 4s\nStamina Cost: 15 (Activation), 25 per second (Upkeep)
AvatarSkillData_Name_10018	Kamisato Art: Hyouka
AvatarSkillData_Desc_10018	A gracious style of Kamisato Art.\nKamisato Ayaka emits ice around herself and shortly afterwards, launches nearby opponents and deals Cryo DMG.\n\nSkill DMG: 340% of ATK\nAoE: 3m\nCD: 6s\nElemental Type: Cryo
AvatarSkillData_Name_10019	Kamisato Art: Soumetsu
AvatarSkillData_Desc_10019	A quick and powerful style of Kamisato Art\nKamisato Ayaka creates a bladestorm, which deals Cryo DoT to all opponents caught within.\nWhen DoT ends, the bladestorm explodes, which deals extra Cryo DMG to all opponents in a wider radius. \n\nDoT: 259% of ATK per second\nAoE: 3m\nMovement SPD: 4.5m per second\nDuration: 5s\nBurst DMG: 500% of ATK\nExplosion Radius: 5m\nCD: 25s\nEnergy Cost: 60\nElemental Type: Cryo
AvatarSkillData_Name_10024	Ayaka 5 Hit Combo
AvatarSkillData_Desc_10024	5 Hit Sword Combo
TalentSkillData_Name_211	Shirasagi Himegimi [1]
TalentSkillData_Desc_211	Increases all party members' Cryo DMG by 5% and Cryo RES by 6%.
TalentSkillData_Name_212	Shirasagi Himegimi [2]
TalentSkillData_Desc_212	Increases all party members' Cryo DMG by 10% and Cryo RES by 9%.
TalentSkillData_Name_213	Shirasagi Himegimi [3]
TalentSkillData_Desc_213	Increases all party members' Cryo DMG by 15% and Cryo RES by 12%.
TalentSkillData_Name_214	Shirasagi Himegimi [4]
TalentSkillData_Desc_214	Increases all party members' Cryo DMG by 20% and Cryo RES by 15%.
TalentSkillData_Name_221	Usurahi Butou [1]
TalentSkillData_Desc_221	Increases Kamisato Art: Senho's Movement SPD by 10%.
TalentSkillData_Name_222	Usurahi Butou [2]
TalentSkillData_Desc_222	Increases Kamisato Art: Senho's Movement SPD by 20% and reappearance DMG range by 15%.
TalentSkillData_Name_223	Usurahi Butou [3]
TalentSkillData_Desc_223	Increases Kamisato Art: Senho's Movement SPD by 30% and reappearance DMG range by 30%.
TalentSkillData_Name_231	Kanten Senmyou Norito [1]
TalentSkillData_Desc_231	Normal Attack hits on Cold/Frozen opponents have a 6%/18% chance to decrease Kamisato Art: Hyouka's CD by 0.5s.
TalentSkillData_Name_232	Kanten Senmyou Norito [2]
TalentSkillData_Desc_232	Normal Attack hits on Cold/Frozen opponents have a 9%/27% chance to decrease Kamisato Art: Hyouka's CD by 0.5s.
TalentSkillData_Name_233	Kanten Senmyou Norito [3]
TalentSkillData_Desc_233	Normal Attack hits on Cold/Frozen opponents have a 12%/36% chance to decrease Kamisato Art: Hyouka's CD by 1s.
TalentSkillData_Name_241	Mie Yuki no Seki no To [1]
TalentSkillData_Desc_241	Upon casting Kamisato Art: Soumetsu, unleashes 2 additional small bladestorms heading sideways, each dealing 20% DMG.
TalentSkillData_Name_242	Mie Yuki no Seki no To [2]
TalentSkillData_Desc_242	Upon casting Kamisato Art: Soumetsu, unleashes 2 additional small bladestorms heading sideways, each dealing 35% DMG.
TalentSkillData_Name_243	Mie Yuki no Seki no To [3]
TalentSkillData_Desc_243	Upon casting Kamisato Art: Soumetsu, unleashes 2 additional small bladestorms heading sideways, each dealing 50% DMG.
TalentSkillData_Name_251	Ai Suigetsu [1]
TalentSkillData_Desc_251	Increases Energy Recharge by 16% and decreases Kamisato Art: Soumetsu's CD by 2s.
TalentSkillData_Name_252	Ai Suigetsu [2]
TalentSkillData_Desc_252	Increases Energy Recharge by 25% and decreases Kamisato Art: Soumetsu's CD by 4s.
TalentSkillData_Name_253	Ai Suigetsu [3]
TalentSkillData_Desc_253	Increases Energy Recharge by 33% and decreases Kamisato Art: Soumetsu's CD by 6s.
TalentSkillData_Name_261	Amatsutsumi Kunitsutsumi Chinshi [1]
TalentSkillData_Desc_261	While in Kamisato Art: Senho form, Kamisato Ayaka marks nearby opponents below 20% HP. Leaving the form near marked opponents and hitting them immediately with a Normal Attack deals Cryo DMG equal to 300% of ATK. This attack counts as a Charged Attack.
TalentSkillData_Name_262	Amatsutsumi Kunitsutsumi Chinshi [2]
TalentSkillData_Desc_262	While in Kamisato Art: Senho form, Kamisato Ayaka marks nearby opponents below 25% HP. Leaving the form near marked opponents and hitting them immediately with a Normal Attack deals Cryo DMG equal to 350% of ATK. This attack counts as a Charged Attack.
TalentSkillData_Name_263	Amatsutsumi Kunitsutsumi Chinshi [3]
TalentSkillData_Desc_263	While in Kamisato Art: Senho form, Kamisato Ayaka marks nearby opponents below 30% HP. Leaving the form near marked opponents and hitting them immediately with a Normal Attack deals Cryo DMG equal to 400% of ATK. This attack counts as a Charged Attack.
TalentSkillData_Name_271	Sosai Sumizome Sakura [1]
TalentSkillData_Desc_271	Increases Kamisato Art: Hyouka's DMG against Cold/Frozen targets by 20%.
TalentSkillData_Name_272	Sosai Sumizome Sakura [2]
TalentSkillData_Desc_272	Increases Kamisato Art: Hyouka's DMG against Cold/Frozen targets by 35%.
TalentSkillData_Name_273	Sosai Sumizome Sakura [3]
TalentSkillData_Desc_273	Increases Kamisato Art: Hyouka's DMG against Cold/Frozen targets by 50%.
TalentSkillData_Name_281	Eiki Ryuhan [1]
TalentSkillData_Desc_281	When Energy is above 50%, increases Normal Attack DMG by 10%. When Energy is below 50%, increases Normal Attack's CRIT Rate by 5%.
TalentSkillData_Name_282	Eiki Ryuhan [2]
TalentSkillData_Desc_282	When Energy is above 50%, increases Normal Attack DMG by 20%. When Energy is below 50%, increases Normal Attack's CRIT Rate by 10%.
TalentSkillData_Name_283	Eiki Ryuhan [3]
TalentSkillData_Desc_283	When Energy is above 50%, increases Normal Attack DMG by 30%. When Energy is below 50%, increases Normal Attack's CRIT Rate by 15%.
AvatarData_Desc_10000002	The princess of the Kamisato House. She occasionally practices swordsmanship so that she can pass time by slicing every falling snowflake floating around her on a snowy day.
AvatarData_Name_10000003	Jean
AvatarSkillData_Name_10031	Jean 5 Hit Combo
AvatarSkillData_Desc_10031	 
AvatarSkillData_Name_10033	Gale Blade
AvatarSkillData_Desc_10033	A defending gale that moves with Jean, protecting her and her companions from danger, just like herself.\nSummons a tornado that pulls in nearby opponents. It inflicts Trapped and launches them, dealing Anemo DMG.\nHold to pull in more opponents, or change the launch direction. You are immobile while casting this skill.\nSkill DMG: 275% of ATK\nAoE: 10m\nMax Duration: 5s\nStamina Cost: 25 per second\nCD: 6s\nElemental Type: Anemo
AvatarSkillData_Name_10034	Dandelion Breeze
AvatarSkillData_Desc_10034	The grace of a breeze is like a field of dandelions. This is the source of Jean's protective nature.\nCreates a dandelion field which knocks back nearby opponents and deals Anemo DMG, but heals nearby allies and all party members.\nWhile the field is active, it heals all party members and allies within it, but deals Anemo DMG to opponents entering or leaving it.\n\nSkill DMG: 375% of ATK\nHP Restoration: 425% of ATK\nHP Regeneration: 60% of ATK per second\nAoE: 6m\nDuration: 10s\nEntry/Exit DMG: 100% of ATK\nCD: 32s\nEnergy Cost: 80\nElemental Type: Anemo
TalentSkillData_Name_1300	People's Aegis [1]
TalentSkillData_Desc_1300	Increases all party members' Max HP by 4% and CRIT Rate by 2%.
TalentSkillData_Name_1301	People's Aegis [2]
TalentSkillData_Desc_1301	Increases all party members' Max HP by 8% and CRIT Rate by 4%.
TalentSkillData_Name_1302	People's Aegis [3]
TalentSkillData_Desc_1302	Increases all party members' Max HP by 12% and CRIT Rate by 6%.
TalentSkillData_Name_1303	People's Aegis [4]
TalentSkillData_Desc_1303	Increases all party members' Max HP by 16% and CRIT Rate by 8%.
TalentSkillData_Name_1310	Let the Wind Lead [1]
TalentSkillData_Desc_1310	Increases Stamina Regeneration by 10%.
TalentSkillData_Name_1311	Let the Wind Lead [2]
TalentSkillData_Desc_1311	Increases Stamina Regeneration by 17%.
TalentSkillData_Name_1312	Let the Wind Lead [3]
TalentSkillData_Desc_1312	Increases Stamina Regeneration by 25%.
TalentSkillData_Name_1313	Let the Wind Lead [4]
TalentSkillData_Desc_1313	Increases Stamina Regeneration by 35%.
TalentSkillData_Name_1320	Imminent Storm [1]
TalentSkillData_Desc_1320	Increases Gale Blade's DMG by 8%. Also slightly increases the pulling speed of the tornado.
TalentSkillData_Name_1321	Imminent Storm [2]
TalentSkillData_Desc_1321	Increases Gale Blade's DMG by 14%. Also increases the pulling speed of the tornado.
TalentSkillData_Name_1322	Imminent Storm [3]
TalentSkillData_Desc_1322	Increases Gale Blade's DMG by 20%. Also greatly increases the pulling speed of the tornado.
TalentSkillData_Name_1330	Second Wind [1]
TalentSkillData_Desc_1330	Increases Max HP by 2%. When HP is below 35%, increases incoming healing by 10%.
TalentSkillData_Name_1331	Second Wind [2]
TalentSkillData_Desc_1331	Increases Max HP by 5%. When HP is below 35%, increases incoming healing by 15%.
TalentSkillData_Name_1332	Second Wind [3]
TalentSkillData_Desc_1332	Increases Max HP by 8%. When HP is below 35%, increases incoming healing by 20%.
TalentSkillData_Name_1340	People's Sword [1]
TalentSkillData_Desc_1340	Increases Normal Attack's CRIT Rate by 10%. Normal Attack CRIT hits heal all party members by 10% of Jean's ATK.
TalentSkillData_Name_1341	People's Sword [2]
TalentSkillData_Desc_1341	Increases Normal Attack's CRIT Rate by 15%. Normal Attack CRIT hits heal all party members by 15% of Jean's ATK.
TalentSkillData_Name_1342	People's Sword [3]
TalentSkillData_Desc_1342	Increases Normal Attack's CRIT Rate by 20%. Normal Attack CRIT hits heal all party members by 20% of Jean's ATK.
TalentSkillData_Name_1350	Wind Companion [1]
TalentSkillData_Desc_1350	Picking up an Elemental Orb/Particle increases all party members' Movement SPD and ATK SPD by 5% for 10s. Duration resets on new Elemental Orb/Particles.
TalentSkillData_Name_1351	Wind Companion [2]
TalentSkillData_Desc_1351	Picking up an Elemental Orb/Particle increases all party members' Movement SPD and ATK SPD by 10% for 10s. Duration resets on new Elemental Orb/Particles.
TalentSkillData_Name_1352	Wind Companion [3]
TalentSkillData_Desc_1352	Picking up an Elemental Orb/Particle increases all party members' Movement SPD and ATK SPD by 15% for 10s. Duration resets on new Elemental Orb/Particles.
TalentSkillData_Name_1360	Dandelion Field [1]
TalentSkillData_Desc_1360	Inside Dandelion Breeze, decreases opponent Movement SPD and ATK SPD by 25% and Anemo RES by 20%.
TalentSkillData_Name_1361	Dandelion Field [2]
TalentSkillData_Desc_1361	Inside Dandelion Breeze, decreases opponent Movement SPD and ATK SPD by 25% and Anemo RES by 40%.
TalentSkillData_Name_1362	Dandelion Field [3]
TalentSkillData_Desc_1362	Inside Dandelion Breeze, decreases opponent Movement SPD and ATK SPD by 25% and Anemo RES by 60%.
TalentSkillData_Name_1370	Lion's Fang, Fair Protector of Mondstadt [1]
TalentSkillData_Desc_1370	Blesses all party members and companions within Dandelion Field with the protection of wind, reducing incoming DMG by 12%. Upon leaving Dandelion Field, the protection of wind lasts for 3 more attacks or 10s.
TalentSkillData_Name_1371	Lion's Fang, Fair Protector of Mondstadt [2]
TalentSkillData_Desc_1371	Blesses all party members and companions within Dandelion Field with the protection of wind, reducing incoming DMG by 24%. Upon leaving Dandelion Field, the protection of wind lasts for 3 more attacks or 10s.
TalentSkillData_Name_1372	Lion's Fang, Fair Protector of Mondstadt [3]
TalentSkillData_Desc_1372	Blesses all party members and companions within Dandelion Field with the protection of wind, reducing incoming DMG by 36%. Upon leaving Dandelion Field, the protection of wind lasts for 3 more attacks or 10s.
AvatarData_Desc_10000003	The Acting Grandmaster of the Knights of Favonius. She is the wind that leads them, and a reliable one at that.
AvatarData_Name_10000005	Traveler
AvatarSkillData_Name_10054	5 Hit combo
AvatarSkillData_Desc_10054	5 Hit Sword Combo
AvatarSkillData_Name_10067	Palm Vortex
AvatarSkillData_Desc_10067	By discussing with Paimon how to channel formless wind, I learned how to hold it in my hand.\nA tiny storm gathers in your palm, which repeatedly cuts opponents it comes in contact with and deals Anemo DoT.\nUpon explosion, it deals additional Anemo DMG and knocks back opponents in range.\nHolding the skill increases the storm's DMG and AoE exponentially, as well as the explosion's DMG and knock back effect. Can be held for up to 1.6s.\nContact with Hydro, Pyro, Cryo or Electro causes that element to be absorbed, dealing additional Elemental DMG accordingly. Can only absorb one element.\n\nBase DoT: 25% of ATK per 0.25s\nMax DoT: 45% of ATK per 0.25s\nBase Explosion DMG: 240% of ATK\nMax Explosion DMG: 300% of ATK\nBase Skill Radius: 1.7m\nMax Skill Radius: 3m\nBase CD: 5s\nMax CD: 8s\nElemental Type: Anemo
AvatarSkillData_Name_10068	Gust Surge
AvatarSkillData_Desc_10068	By studying a butterfly's flapping wings with Paimon, I learned to foresee the storm emerging.\nSummons a tornado which pulls all objects and opponents into itself and inflicts Trapped on them while dealing Anemo DoT.\nContact with Hydro, Pyro, Cryo or Electro causes that element to be absorbed, dealing additional Elemental DMG accordingly. Can only absorb one element.\n\nSkill DMG: 80% of ATK per 0.5s\nAoE: 2.5m\nMovement SPD: 4.5m per second\nDuration: 6s\nCD: 25s\nEnergy Cost: 60\nElemental Type: Anemo
AvatarSkillData_Name_10077	Attributes
AvatarSkillData_Desc_10077	
AvatarSkillData_Name_10078	Attributes
AvatarSkillData_Desc_10078	
TalentSkillData_Name_1481	Winds of Sojourning [1]
TalentSkillData_Desc_1481	Increases all party members' Max HP by 6% and Anemo RES by 6%.
TalentSkillData_Name_1482	Winds of Sojourning [2]
TalentSkillData_Desc_1482	Increases all party members' Max HP by 9% and Anemo RES by 9%.
TalentSkillData_Name_1483	Winds of Sojourning [3]
TalentSkillData_Desc_1483	Increases all party members' Max HP by 12% and Anemo RES by 12%.
TalentSkillData_Name_1484	Winds of Sojourning [4]
TalentSkillData_Desc_1484	Increases all party members' Max HP by 15% and Anemo RES by 15%.
TalentSkillData_Name_1491	Winds of Triumph [1]
TalentSkillData_Desc_1491	Increases Movement SPD while sprinting by 15%.
TalentSkillData_Name_1492	Winds of Triumph [2]
TalentSkillData_Desc_1492	Increases Movement SPD while sprinting by 30%.
TalentSkillData_Name_1493	Winds of Triumph [3]
TalentSkillData_Desc_1493	Increases Movement SPD while sprinting by 45%.
TalentSkillData_Name_1501	Winds of the World [1]
TalentSkillData_Desc_1501	Increases Gust Surge's DMG by 8%.
TalentSkillData_Name_1502	Winds of the World [2]
TalentSkillData_Desc_1502	Increases Gust Surge's DMG by 14%.
TalentSkillData_Name_1503	Winds of the World [3]
TalentSkillData_Desc_1503	Increases Gust Surge's DMG by 20%.
TalentSkillData_Name_1511	Winds of the Stars [1]
TalentSkillData_Desc_1511	Increases Palm Vortex's DMG by 6%.
TalentSkillData_Name_1512	Winds of the Stars [2]
TalentSkillData_Desc_1512	Increases Palm Vortex's DMG by 12%.
TalentSkillData_Name_1513	Winds of the Stars [3]
TalentSkillData_Desc_1513	Increases Palm Vortex's DMG by 20%.
TalentSkillData_Name_1521	Slitting Blow [1]
TalentSkillData_Desc_1521	The last Normal Attack of the sequence has a 60% chance to summon a wind blade, dealing 40% of ATK as Anemo DMG to all opponents in its way.
TalentSkillData_Name_1522	Slitting Blow [2]
TalentSkillData_Desc_1522	The last Normal Attack of the sequence has an 80% chance to summon a wind blade, dealing 60% of ATK as Anemo DMG to all opponents in its way.
TalentSkillData_Name_1523	Slitting Blow [3]
TalentSkillData_Desc_1523	The last Normal Attack of the sequence has a 100% chance to summon a wind blade, dealing 80% of ATK as Anemo DMG to all opponents in its way.
TalentSkillData_Name_1531	Uprising Whirlwind [1]
TalentSkillData_Desc_1531	Increases Energy Recharge by 16%.
TalentSkillData_Name_1532	Uprising Whirlwind [2]
TalentSkillData_Desc_1532	Increases Energy Recharge by 25%.
TalentSkillData_Name_1533	Uprising Whirlwind [3]
TalentSkillData_Desc_1533	Increases Energy Recharge by 33%.
TalentSkillData_Name_1541	Raging Vortex [1]
TalentSkillData_Desc_1541	Holding Palm Vortex for more than 1s pulls in all opponents within 5m and increases DMG by 10%.
TalentSkillData_Name_1542	Raging Vortex [2]
TalentSkillData_Desc_1542	Holding Palm Vortex for more than 1s pulls in all opponents within 5m and increases DMG by 20%.
TalentSkillData_Name_1543	Raging Vortex [3]
TalentSkillData_Desc_1543	Palm Vortex pulls in all opponents within 5m and increases DMG by 30%.
TalentSkillData_Name_1551	Bladed Tempest [1]
TalentSkillData_Desc_1551	Increases Normal Attack's CRIT Rate by 4% and CRIT DMG by 20%.
TalentSkillData_Name_1552	Bladed Tempest [2]
TalentSkillData_Desc_1552	Increases Normal Attack's CRIT Rate by 8% and CRIT DMG by 40%.
TalentSkillData_Name_1553	Bladed Tempest [3]
TalentSkillData_Desc_1553	Increases Normal Attack's CRIT Rate by 12% and CRIT DMG by 60%.
TalentSkillData_Name_1641	Monaka's Forbearance [1]
TalentSkillData_Desc_1641	Increases all party members' Max HP by 6% and Geo RES by 10%.
TalentSkillData_Name_1642	Monaka's Forbearance [2]
TalentSkillData_Desc_1642	Increases all party members' Max HP by 9% and Geo RES by 20%.
TalentSkillData_Name_1643	Monaka's Forbearance [3]
TalentSkillData_Desc_1643	Increases all party members' Max HP by 12% and Geo RES by 30%.
TalentSkillData_Name_1644	Monaka's Forbearance [4]
TalentSkillData_Desc_1644	Increases all party members' Max HP by 15% and Geo RES by 40%.
TalentSkillData_Name_1651	Tribute to the Earth [1]
TalentSkillData_Desc_1651	Slightly increases Liyue Dust: Rock Tide's interruption RES and increases CRIT Rate by 5%.
TalentSkillData_Name_1652	Tribute to the Earth [2]
TalentSkillData_Desc_1652	Increases Liyue Dust: Rock Tide's interruption RES and increases CRIT Rate by 10%.
TalentSkillData_Name_1653	Tribute to the Earth [3]
TalentSkillData_Desc_1653	Greatly increases Liyue Dust: Rock Tide's interruption RES and increases CRIT Rate by 15%.
TalentSkillData_Name_1661	Unstable Source [1]
TalentSkillData_Desc_1661	Ruins: Jade creates another explosion at the end of its skill duration, dealing 30% Geo DMG.
TalentSkillData_Name_1662	Unstable Source [2]
TalentSkillData_Desc_1662	Ruins: Jade creates another explosion at the end of its skill duration, dealing 50% Geo DMG.
TalentSkillData_Name_1663	Unstable Source [3]
TalentSkillData_Desc_1663	Ruins: Jade creates another explosion at the end of its skill duration, dealing 100% Geo DMG.
TalentSkillData_Name_1671	Mountaineer [1]
TalentSkillData_Desc_1671	Decreases the Stamina Consumption of climbing by 8%.
TalentSkillData_Name_1672	Mountaineer [2]
TalentSkillData_Desc_1672	Decreases the Stamina Consumption of climbing by 12%.
TalentSkillData_Name_1673	Mountaineer [3]
TalentSkillData_Desc_1673	Decreases the Stamina Consumption of climbing by 20%.
TalentSkillData_Name_1681	Golden Experience [1]
TalentSkillData_Desc_1681	Increases Ruins: Jade's gem impact Geo DMG by 10%.
TalentSkillData_Name_1682	Golden Experience [2]
TalentSkillData_Desc_1682	Increases Ruins: Jade's gem impact Geo DMG by 18%.
TalentSkillData_Name_1683	Golden Experience [3]
TalentSkillData_Desc_1683	Increases Ruins: Jade's gem impact Geo DMG by 30%.
TalentSkillData_Name_1691	Return of Star Dust [1]
TalentSkillData_Desc_1691	Every time Liyue Dust: Rock Tide's seismic wave hits an opponent, the caster has 1.5 Energy restored, up to 7.5 Energy.
TalentSkillData_Name_1692	Return of Star Dust [2]
TalentSkillData_Desc_1692	Every time Liyue Dust: Rock Tide's seismic wave hits an opponent, the caster has 3 Energy restored, up to 15 Energy.
TalentSkillData_Name_1693	Return of Star Dust [3]
