ID	文本
DocumentData_Title_100110	Incomplete Poem (Part 1)
DocumentData_Title_100111	Incomplete Poem (Part 2)
DocumentData_Title_100112	Incomplete Poem (Part 3)
DocumentData_Title_100171	Treasure Clue (I)
DocumentData_Title_100172	Treasure Clue (II)
DocumentData_Title_100173	Treasure Map
DocumentData_Title_100178	Vera's Melancholy - Part 1
DocumentData_Title_100179	Vera's Melancholy - Part 2
DocumentData_Title_100180	Vera's Melancholy - Part 3
DocumentData_Title_100181	Along with Divinity - Prologue
DocumentData_Title_100182	The Legend of Vennessa - Part 1
DocumentData_Title_100183	The Legend of Vennessa - Part 2
DocumentData_Title_100184	Deer Hunter's Daily Recommendation
DocumentData_Title_100185	Dawn Winery Recruitment Guide
DocumentData_Title_100188	The Fox in the Dandelion Sea - Part 1
DocumentData_Title_100189	The Fox in the Dandelion Sea - Part 2
DocumentData_Title_100190	The Fox in the Dandelion Sea - Part 3
DocumentData_Title_100191	The Fox in the Dandelion Sea - Part 5
DocumentData_Title_100192	The Fox in the Dandelion Sea - Part 6
DocumentData_Title_100193	The Fox in the Dandelion Sea - Part 7
DocumentData_Title_100194	The Fox in the Dandelion Sea - Part 10
DocumentData_Title_100195	The Fox in the Dandelion Sea - Part 11
DocumentData_Title_100196	Hilichurl Ballad Selection - Part 1
DocumentData_Title_100197	Hilichurl Ballad Selection - Part 2
DocumentData_Title_100198	Vera's Melancholy - Part 5
DocumentData_Title_100199	Vera's Melancholy - Part 9
DocumentData_Title_100200	Vera's Melancholy - Part 10
DocumentData_Title_100201	Breeze in the Forest - Ballad Selection
DocumentData_Title_100202	The Boar Princess - Part 1
DocumentData_Title_100203	The Boar Princess - Part 2
DocumentData_Title_100204	The Boar Princess - Part 3
DocumentData_Title_100205	The Boar Princess - Part 4
DocumentData_Title_100206	The Boar Princess - Part 5
DocumentData_Title_100207	The Boar Princess - Part 7
DocumentData_Title_100208	The Mondstadt Tower - Part 1
DocumentData_Title_100213	Breeze in the Forest Supplement - The Dragon Tome
MainQuestData_Title_347	
MainQuestData_Desc_347	
MainQuestData_Title_348	
MainQuestData_Desc_348	
MainQuestData_Title_349	
MainQuestData_Desc_349	
MainQuestData_Title_350	
MainQuestData_Desc_350	
MainQuestData_Title_351	Wanderer's Trail
MainQuestData_Desc_351	Just as the sun has begun to rise, you wake up beside water.
MainQuestData_Title_362	Apple Tutorial
MainQuestData_Desc_362	 
MainQuestData_Title_352	Bird's Eye View
MainQuestData_Desc_352	As you wake up, you find an unusual companion watching over you — Paimon.
MainQuestData_Title_353	Unexpected Power
MainQuestData_Desc_353	You decide to visit the Statue of The Seven as suggested by Paimon.
MainQuestData_Title_361	
MainQuestData_Desc_361	
MainQuestData_Title_355	Meeting the Dragon
MainQuestData_Desc_355	Paimon bought you before the Statue of The Seven, and through it, you felt the power of the wind. Paimon suggested you going to Mondstadt, City of the Winds, to seek the answer.
MainQuestData_Title_354	Knight on the Wind
MainQuestData_Desc_354	You spied upon a mysterious person speaking to a dragon, and the dragon's roar scared you somehow. As you prepare to move forward, your path is blocked by a sprightly knight...
MainQuestData_Title_360	Going upon the Breeze
MainQuestData_Desc_360	The Outrider known as Amber is to escort you to Mondstadt. However, she must finish her own task first.
MainQuestData_Title_356	City of Freedom
MainQuestData_Desc_356	After assisting Amber in clearing out a nearby Hilichurl camp, you proceed on your way to Mondstadt.
MainQuestData_Title_357	Calamity of the Dragon
MainQuestData_Desc_357	You finally arrive in the City of Freedom — Mondstadt. However, the usually tranquil Mondstadt is currently under attack by the Wind Dragon you chanced upon earlier — Stormterror.
MainQuestData_Title_358	Knights of Favonius
MainQuestData_Desc_358	Riding the winds of Mondstadt, you barely managed to repel Stormterror's attacks. You barely had a chance to catch your breath when Kaeya of the Knights of Favonius appeared to invite you to their headquarters.
MainQuestData_Title_359	
MainQuestData_Desc_359	
MainQuestData_Title_306	Winds of the Past
MainQuestData_Desc_306	Jean, the Acting Grandmaster of the Knights of Favonius has explained her plan to you. In order to stop Stormterror's siege,the Knights will need to retrieve the control of their Elemental flows. They are now venturing to the Temples of Four Winds, and Amber is waiting for you at the Temple of the Falcon.
MainQuestData_Title_307	Crash Course
MainQuestData_Desc_307	To stop Stormterror from gaining enough power to threaten Mondstadt, you head to the Temple of Wolf to meet with Kaeya.
MainQuestData_Title_308	Sparks Amongst the Pages
MainQuestData_Desc_308	To stop Stormterror from taking control of the elemental flows, you head to the Temple of the Lion, where Lisa awaits you.
MainQuestData_Title_309	
MainQuestData_Desc_309	
MainQuestData_Title_310	Recruiting New Partners
MainQuestData_Desc_310	 
MainQuestData_Title_311	First Stage Ended
MainQuestData_Desc_311	A hidden quest to talk to Paimon after completing the first stage
MainQuestData_Title_312	Lisa Dungeon, Lisa Tome Reward
MainQuestData_Desc_312	
MainQuestData_Title_301	
MainQuestData_Desc_301	
MainQuestData_Title_304	
MainQuestData_Desc_304	
MainQuestData_Title_305	
MainQuestData_Desc_305	
MainQuestData_Title_363	
MainQuestData_Desc_363	
MainQuestData_Title_370	Shadow Over Mondstadt
MainQuestData_Desc_370	Thanks to the hard battle fought by you and the Knights, Mondstadt's elemental flows have been restored, but Kaeya seems to be plagued by other worries.
MainQuestData_Title_371	Unexpected Encounter
MainQuestData_Desc_371	Though Kaeya explains to you the issues being caused in Mondstadt by Stormterror, Jean is not keen on the idea of killing off the dragon so flippently. You show Jean the Teardrop you discovered, and she hopes you will also be able to help them in further understanding Stormterror.
MainQuestData_Title_372	That Green Fellow
MainQuestData_Desc_372	Taking on Jean's request, you set out with the other knights to discover the truth about Stormterror. After leaving the headquaters, you happened upon the mysterious guy that you saw talking to the dragon. Following the tracks he left, you managed to catch up to him.
MainQuestData_Title_373	
MainQuestData_Desc_373	
MainQuestData_Title_374	Venti's Plan
MainQuestData_Desc_374	Having been captured, the bard — known as Venti — tells you of his desire to help Stormterror. He says that using the Holy Lyre enshrined in the Cathedral, could be used to purify Stormterror. As such, you've come to the Mondstadt Cathedral.
MainQuestData_Title_375	Venti's New Plan
MainQuestData_Desc_375	Venti's plan to sweet talk his way into getting the Holy Lyre back backfires. He's come up with a new plan, but seems he'll need your help for it to work.
MainQuestData_Title_376	Wild Escape
MainQuestData_Desc_376	Venti's foolproof plan to steal the Holy Lyre comes off without a hitch... almost. You scarpered from the Cathedral.
MainQuestData_Title_377	Behind the Scenes
MainQuestData_Desc_377	In your haste fleeing from the confusion, you found yourself in Diluc's tavern, where — to your surprise — he decides to help hide you. After the tavern has closed for the night, Diluc brings some unexpected people to meet with you.
MainQuestData_Title_378	Holy Lyre der Himmel
MainQuestData_Desc_378	You met with Jean in secret thanks to Diluc, and she plans to introduce you to someone who can get their hands on the Holy Lyre.
MainQuestData_Title_395	Treasure of Mondstadt
MainQuestData_Desc_395	Jean introduced you to Barbara, Deaconess of the Knights of Favonius. Barbara agreed to help you obtain the Holy Lyre.
MainQuestData_Title_379	State of Holy Lyre der Himmel
MainQuestData_Desc_379	Barbara gets hold of the Holy Lyre for you. For Venti, it seems like he's meeting a long-lost friend again.
MainQuestData_Title_385	Let's go on an Adventure
MainQuestData_Desc_385	The Adventurers' Guild can give you Adventure Reports on the area surrounding Mondstadt. All reports are free!
MainQuestData_Title_386	Good Day for Adventures
