ID	文本
EmbeddedTextMapData_TextMapContent_TEST_EMBEDDED_TEXT	Test package contents
EmbeddedTextMapData_TextMapContent_QUIT	Quit
EmbeddedTextMapData_TextMapContent_RETRY	Retry
EmbeddedTextMapData_TextMapContent_YES	Yes
EmbeddedTextMapData_TextMapContent_NO	No
EmbeddedTextMapData_TextMapContent_VERSION	Ver.
EmbeddedTextMapData_TextMapContent_TIP_TITLE	Note
EmbeddedTextMapData_TextMapContent_CANNOT_REACH_NETWORK	No network access
EmbeddedTextMapData_TextMapContent_CANNOT_REAL_REACH_NETWORK	Network connection abnormal. Please check and try again.
EmbeddedTextMapData_TextMapContent_WEAK_SIGNAL	Weak network signal. Please check connection speed.
EmbeddedTextMapData_TextMapContent_WRITE_FAILED	Failed to write to disk. Please check SD card read/write permissions.
EmbeddedTextMapData_TextMapContent_NOT_ENOUGH_SPACE	Insufficient storage space. Please ensure sufficient space and try again.
EmbeddedTextMapData_TextMapContent_CHECK_ENVIRONMENT	Checking environment...
EmbeddedTextMapData_TextMapContent_CHECK_UPDATE	Checking updates...
EmbeddedTextMapData_TextMapContent_DOWNLOADING_ASSETS	Downloading resources...
EmbeddedTextMapData_TextMapContent_DOWNLOADING_INDEX	Downloading index files...
EmbeddedTextMapData_TextMapContent_AUDIO	Audio
EmbeddedTextMapData_TextMapContent_VEDIO	Video
EmbeddedTextMapData_TextMapContent_UI_CHOOSE_DOWNLOADING	{0}{1} resources need to be downloaded. Download now?
EmbeddedTextMapData_TextMapContent_LOADING_GAME	Game loading...
EmbeddedTextMapData_TextMapContent_UI_CHOOSE_UPDATE_RES	New updates are available. Update now? (During early development, updating new contents may cause inconsistencies between versions. Please be careful in your selection.)
EmbeddedTextMapData_TextMapContent_UI_LOGIN_TITLE	Log in
EmbeddedTextMapData_TextMapContent_UI_LOGIN_USER_LABEL	User
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_LABEL	Account
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PHONENUMBER_PLACEHOLDER	Enter mobile number
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_PLACEHOLDER	Enter account name
EmbeddedTextMapData_TextMapContent_UI_LOGIN_EMAIL_PLACEHOLDER	Enter e-mail address
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_LABEL	Password
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_PLACEHOLDER	Please enter password
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PRESS_TO_CONTINUE	Press to continue
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PREPARE_TO_DOWNLOAD	Preparing to download resources
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PREPARE_DATA	Preparing to load data
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_OR_PASSWORD_ERROR	Login failed
EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_IS_EMPTY	Empty account name
EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_IS_EMPTY	Empty password
EmbeddedTextMapData_TextMapContent_UI_LOGIN_BEGIN_GAME_BTN	START GAME
EmbeddedTextMapData_TextMapContent_UI_LOGIN_TOUCH_TO_ENTER	Press to enter
EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_SERVER	Select server
EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_DESC	Optimal server selected by default.\nSwitch to\n
EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_TIPS	Caution: Data will not be shared across servers
EmbeddedTextMapData_TextMapContent_LOGIN_VISITOR_NAME	Guest
EmbeddedTextMapData_TextMapContent_UI_LOGIN_VISITOR_CONFIRM	Guest Login
EmbeddedTextMapData_TextMapContent_UI_LOGIN_CONFIRM	Confirm
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_TITLE	
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_DESC	Are you sure you want to leave the game?
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_OK	Confirm
EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_CANCEL	Cancel
EmbeddedTextMapData_TextMapContent_UI_HTTP_ERROR	Access failure
EmbeddedTextMapData_TextMapContent_UI_DOWNLOAD_ERROR	Failed to download resource files or network error. Please try again.
EmbeddedTextMapData_TextMapContent_UI_ENET_REGION_ERROR	Failed to obtain address
EmbeddedTextMapData_TextMapContent_UI_BETA_CANVAS_INFO	Test version. Not indicative of final game
EmbeddedTextMapData_TextMapContent_UI_ENET_STOP_SERVER	Server Maintenance: {0} - {1}
EmbeddedTextMapData_TextMapContent_UI_ENET_FORCE_UPDATE	Game client requires updating: {0}
EmbeddedTextMapData_TextMapContent_UI_ENET_DISCONNECT	Disconnect
EmbeddedTextMapData_TextMapContent_UI_WRONG_DEVICE_INFO	This beta is compatible with the following devices: {0}
EmbeddedTextMapData_TextMapContent_UI_WRONG_DEVICE_TITLE	The aforementioned devices are recommended for this game
EmbeddedTextMapData_TextMapContent_UI_LOGO_HEALTHY_GAMING_TIPS	 
EmbeddedTextMapData_TextMapContent_UI_NETWORK_EXCEPTION	Network exception, please restart the game or game device, or shut down the network agent.
