ID	文本
WeaponData_Name_11101	Dull Blade
WeaponData_Desc_11101	Dreams of the youth and the thrill of adventure. If these two traits are not enough, then make it up with valiance.
WeaponData_Name_11201	Silver Sword
WeaponData_Desc_11201	A sword for chasing away demons. Everyone knows it's made of a silver alloy, not pure silver.
WeaponData_Name_11301	Hard Steel Sword
WeaponData_Desc_11301	A single-handed weapon forged with a new crafting method from the south.
WeaponData_Name_11302	Harbringer of Dawn
WeaponData_Desc_11302	A sword that once shone like the sun. The wielder of this sword will be blessed with a "feel-good" buff. The reflective material on the blade has long worn off.
WeaponData_Name_11303	Traveler's Handy Sword
WeaponData_Desc_11303	A handy steel sword which hides scissors, magnifying glass, tinder, among other things in its sheath.
WeaponData_Name_11304	Dark Iron Sword
WeaponData_Desc_11304	Well, it's actually just a slightly darker iron sword.
WeaponData_Name_11305	Tigerbane Fillet Blade
WeaponData_Desc_11305	A sharp fillet knife with a long blade. What it lacks in durability, it makes up for in sharpness.
WeaponData_Name_11306	Skyrider Sword
WeaponData_Desc_11306	A reliable steel sword. A certain someone once tried to ride it as a flying sword...
WeaponData_Name_11401	Favonius Sword
WeaponData_Desc_11401	A standard longsword wielded by the Knights of Favonius. Channeling power of the elements has never been made so easy with this agile and sharp weapon!
WeaponData_Name_11402	The Flute
WeaponData_Desc_11402	Beneath the rust, is a luxuriously-decorated thin blade. It swings as swiftly as the wind.
WeaponData_Name_11403	Sacrificial Sword
WeaponData_Desc_11403	A decorative sword that has been petrified by time. The trinkets on it are still visible. It grants the wielder the power to withstand the winds of time.
WeaponData_Name_11404	Royal Longsword
WeaponData_Desc_11404	An old longsword that belonged to those who once ruled over Mondstadt. Exquisitely crated. Its decors and carvings tell of the stature of the owner.
WeaponData_Name_11405	Dragon's Shriek
WeaponData_Desc_11405	A sharp blade with luxurious carvings that somehow do not compromise its durability and sharpness. The sound of it cutting through air is like the cries of a dragon.
WeaponData_Name_11406	Prototype Stonecutter
WeaponData_Desc_11406	A prototype longsword found in the Blackcliff Forge that cuts through rocks like a hot blade through butter. Both its craftsmanship and material are unparalleled.
WeaponData_Name_11407	Iron Sting
WeaponData_Desc_11407	A long exotic rapier that somehow found a way into Lunia via foreign traders. It's light, agile, and sharp.
WeaponData_Name_11408	Blackcliff Longsword
WeaponData_Desc_11408	A mass-produced Blackcliff weapon of the highest standard. Its test data says it can cut through steel with ease. An extremely sharp longsword.
WeaponData_Name_11501	Falcon Sword
WeaponData_Desc_11501	The soul of the Knights of Favonius. Millennia later, it still calls the winds of swift justice to bane all evil--just like the last heroine who wielded it.
WeaponData_Name_11502	Celestial Edge
WeaponData_Desc_11502	A sword of a knight that symbolizes the reclaimed honor of the Stormterror. The blessings of the God of Winds rest on the fuller of the blade, imbuing the sword with the powers of the sky and the wind. 
WeaponData_Name_11503	Northwind's Lament
WeaponData_Desc_11503	A longsword used by the Knights of Borealis. It was just a plain steel sword, but it obtained mythical powers throughout Borealis' life of legends and mysteries.
WeaponData_Name_11504	Ballad Rapier
WeaponData_Desc_11504	Legend has it that this rapier was given to a bard who walked with the God of Winds. It's rewarded for the freedom and serenity of his life of wandering. 
WeaponData_Name_11505	Unnamed Grandeur
WeaponData_Desc_11505	An extremely sharp longsword which demonstrates the skills of its maker. Its history has long eluded the public. It seems to have a will of its own when swung.
WeaponData_Name_11506	Mossy Claymore
WeaponData_Desc_11506	A great claymore covered in moss that was both blessed and admonished by the God of Earth. Its dull and heavy semblance is quite a lethal deception.
WeaponData_Name_11507	Void Destiny
WeaponData_Desc_11507	The sword first used by a deity to make up for the powers he had lost. It has slain countless demons, as well as his own.
WeaponData_Name_12101	Waster Greatsword
WeaponData_Desc_12101	A sturdy sheet of iron, that may be good enough to break apart mountains with enough willpower.
WeaponData_Name_12201	Old Merc's Pal
WeaponData_Desc_12201	A battle-tested greatsword, that has seen better days and worse.
WeaponData_Name_12301	Ferrous Shadow
WeaponData_Desc_12301	A replica of the famed sword of Edwin, the Lion of Light. Hold it, and feel the power of a legendary hero! Note: Too much daydreaming may be harmful for you.
WeaponData_Name_12302	Bloodtainted Greatsword
WeaponData_Desc_12302	A steel sword that is said to have been coated with dragon blood, rendering it invulnerable to damage. This buff is not extended to its wielder though.
WeaponData_Name_12303	White Iron Greatsword
WeaponData_Desc_12303	A two-handed sword made with white iron that increases power while cutting down on weight. Suitable even for people with normal strength, but its power does scale well with one's own strength.
WeaponData_Name_12304	Quartz Greatsword
WeaponData_Desc_12304	Simple, but classy. It was designed by the former Chief Accountant of the Heron Merchant's Guild. Though the former accountant has been dismissed for accepting bribery, this handy weapon is still popular among adventurers in Lunia.
WeaponData_Name_12305	Convincing Club
WeaponData_Desc_12305	A handy club made of fine steel. This is the basis of "rational convincing." 
WeaponData_Name_12306	Skyrider Sword
WeaponData_Desc_12306	A reliable greatsword. The bigger the better.
WeaponData_Name_12401	Favonius Greatsword
WeaponData_Desc_12401	A standard greatsword wielded by the Knights of Favonius. It channels elemental powers easily and is highly destructive.
WeaponData_Name_12402	Weathered Greatsword
WeaponData_Desc_12402	A greatsword decorated with battle scars. Its original decors and memories have all been wiped clean.
WeaponData_Name_12403	Sacrificial Greatsword
WeaponData_Desc_12403	A decorative greatsword that has been petrified by time. The trinkets on it are still visible. It grants the wielder the power to withstand the winds of time.
WeaponData_Name_12404	Royal Greatsword
WeaponData_Desc_12404	An old greatsword that belonged to those who once ruled over Mondstadt. It is made with premium materials that have withstood the test of time. A battle weapon exclusively for royals alone.
WeaponData_Name_12405	Tiger's Roar
WeaponData_Desc_12405	A greatsword decorated with simple but fine decors that do not compromise its weight and durability. The sound of it cutting through air is like the roars of a tiger.
WeaponData_Name_12406	Prototype Greatsword
WeaponData_Desc_12406	A prototype greatsword found in the Blackcliff Forge. When swung, the force of the greatsword feels as if it is going to cut reality in half.
WeaponData_Name_12407	White Shadow
WeaponData_Desc_12407	An exotic sword with a dull section on the blade. It got into Lunia via the hands of foreign traders. Incredibly powerful in the hands of someone who knows how to use it.
WeaponData_Name_12408	Blackcliff Knife
WeaponData_Desc_12408	A mass-produced Blackcliff weapon of the highest standard. Its test data says it can cut through steel with ease. An extremely sturdy greatsword.
WeaponData_Name_12501	Celestia's Pride
WeaponData_Desc_12501	A two-handed sword that symbolizes the pride of the Stormterror across the skies. When swung, the low hum is the force of the Stormterror's sky and wind power buried within.
WeaponData_Name_12502	Wolf's Impasse
WeaponData_Desc_12502	A longsword used by the Wolf Knight. It was originally just a heavy sheet of iron given by the blacksmith in the city. However, it was given legendary powers for his friendship with the wolves.
WeaponData_Name_12503	Innovation's Satire
WeaponData_Desc_12503	Legend has it that this greatsword was given to a bard who walked with the God of Winds. It's rewarded for his new-found bravery and ironic bitterness.
WeaponData_Name_12504	Stinging Sword
WeaponData_Desc_12504	A heavy blade made with wax amber able to smite demons. Hold it and feel the mightiness that keeps evil at bay.
WeaponData_Name_12505	Whale Greatsword
WeaponData_Desc_12505	A hairpin which was transformed into a whale that kept the Gods company. Now it has become the size of a common greatsword.
WeaponData_Name_12506	Alternative Ending
WeaponData_Desc_12506	It was the alternative ending of the story between the first deity and the last divine beast. It was the bridge on which a mutual compromise was reached. It's dull but powerful.
WeaponData_Name_13101	Beginner's Protector
WeaponData_Desc_13101	A pole as straight as a flag pole. Suitable for most situations, it feels imposing when swung. 
WeaponData_Name_13201	Iron Point
WeaponData_Desc_13201	Sharp and pointy at one end, it is a balanced weapon that is quite popular among travelers.
WeaponData_Name_13301	White Tassel
WeaponData_Desc_13301	Stains easily. However, the dirtier the tassel, the more experienced the wielder.
WeaponData_Name_13302	Halberd
WeaponData_Desc_13302	A pole with an axe blade mounted on top that can do quite a bit of damage.
WeaponData_Name_13303	Black Tassel Lance
WeaponData_Desc_13303	Well, this solves the issue of white tassel lances getting stained easily.
WeaponData_Name_13401	Dragon's Bane
WeaponData_Desc_13401	A pole decorated with an entwining golden dragon. Light and sharp, this weapon may very well kill dragons with ease.
WeaponData_Name_13402	Prototype Scythe
WeaponData_Desc_13402	A scythe found in the Blackcliff Forge. An inscription made with gold sand for holy protection was carved into the blade. Feels good in the hands.
WeaponData_Name_13403	Flowing Moon Sting
WeaponData_Desc_13403	An exotic weapon with an extremely long bayonet on the top and a crescent blade at the bottom. It found its way into Lunia through foreign traders. With practice, it can deal heavy damage.
WeaponData_Name_13404	Blackcliff Bayonet
WeaponData_Desc_13404	A mass-produced weapon of the highest standard, proudly bearing the name of its factory. The long and sharp bayonet is situated at the best balance point of the whole weapon. 
WeaponData_Name_13504	Rainbow-splitting Lance
