ID	文本
TextMapData_TextMapContent_FightPropType	Combat Attribute Values
TextMapData_TextMapContent_FIGHT_PROP_BASE_HP	HP
TextMapData_TextMapContent_FIGHT_PROP_HP	HP
TextMapData_TextMapContent_FIGHT_PROP_HP_PERCENT	HP Bonus
TextMapData_TextMapContent_FIGHT_PROP_BASE_ATTACK	ATK
TextMapData_TextMapContent_FIGHT_PROP_ATTACK	ATK
TextMapData_TextMapContent_FIGHT_PROP_ATTACK_PERCENT	ATK Bonus
TextMapData_TextMapContent_FIGHT_PROP_BASE_DEFENSE	DEF
TextMapData_TextMapContent_FIGHT_PROP_DEFENSE	DEF
TextMapData_TextMapContent_FIGHT_PROP_DEFENSE_PERCENT	DEF Bonus
TextMapData_TextMapContent_FIGHT_PROP_BASE_SPEED	Movement SPD
TextMapData_TextMapContent_FIGHT_PROP_SPEED_PERCENT	Movement SPD
TextMapData_TextMapContent_FIGHT_PROP_CRITICAL	CRIT Rate
TextMapData_TextMapContent_FIGHT_PROP_ANTI_CRITICAL	CRIT RES
TextMapData_TextMapContent_FIGHT_PROP_CRITICAL_HURT	CRIT DMG
TextMapData_TextMapContent_FIGHT_PROP_CHARGE_EFFICIENCY	Energy Recharge
TextMapData_TextMapContent_FIGHT_PROP_ADD_HURT	DMG Boost
TextMapData_TextMapContent_FIGHT_PROP_SUB_HURT	DMG Reduction
TextMapData_TextMapContent_FIGHT_PROP_HEAL_ADD	Healing Bonus
TextMapData_TextMapContent_FIGHT_PROP_HEALED_ADD	Incoming Healing Bonus
TextMapData_TextMapContent_FIGHT_PROP_FIRE_ADD_HURT	Pyro DMG Bonus
TextMapData_TextMapContent_FIGHT_PROP_FIRE_SUB_HURT	Pyro RES
TextMapData_TextMapContent_FIGHT_PROP_WATER_ADD_HURT	Hydro DMG Bonus
TextMapData_TextMapContent_FIGHT_PROP_WATER_SUB_HURT	Hydro RES
TextMapData_TextMapContent_FIGHT_PROP_GRASS_ADD_HURT	Dendro DMG Bonus
TextMapData_TextMapContent_FIGHT_PROP_GRASS_SUB_HURT	Dendro RES
TextMapData_TextMapContent_FIGHT_PROP_ELEC_ADD_HURT	Electro DMG Bonus
TextMapData_TextMapContent_FIGHT_PROP_ELEC_SUB_HURT	Electro RES
TextMapData_TextMapContent_FIGHT_PROP_ICE_ADD_HURT	Cryo DMG Bonus
TextMapData_TextMapContent_FIGHT_PROP_ICE_SUB_HURT	Cryo RES
TextMapData_TextMapContent_FIGHT_PROP_WIND_ADD_HURT	Anemo DMG Bonus
TextMapData_TextMapContent_FIGHT_PROP_WIND_SUB_HURT	Anemo RES
TextMapData_TextMapContent_FIGHT_PROP_ROCK_ADD_HURT	Geo DMG Bonus
TextMapData_TextMapContent_FIGHT_PROP_ROCK_SUB_HURT	Geo RES
TextMapData_TextMapContent_FIGHT_PROP_EFFECT_HIT	Hit
TextMapData_TextMapContent_FIGHT_PROP_EFFECT_RESIST	Resisted
TextMapData_TextMapContent_FIGHT_PROP_FREEZE_SHORTEN	Frozen Duration Reduction
TextMapData_TextMapContent_FIGHT_PROP_TORPOR_SHORTEN	Paralyzed Duration Reduction
TextMapData_TextMapContent_FIGHT_PROP_DIZZY_SHORTEN	Stunned Duration Reduction
TextMapData_TextMapContent_FIGHT_PROP_MAX_HP	Max HP
TextMapData_TextMapContent_FIGHT_PROP_CUR_ATTACK	ATK
TextMapData_TextMapContent_FIGHT_PROP_CUR_DEFENSE	DEF
