ID	文本
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_CONTINUE_TEXT	C<size=40>ONTINUE</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_CONTINUE_LABEL	Continue
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_CONTINUE_TIPS	Continue the previous game
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_NEWGAME_TEXT	N<size=40>EW</size> G<size=40>AME</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_NEWGAME_LABEL	New Game
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_NEWGAME_TIPS	Start a new game
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_GALLERY_TEXT	G<size=40>ALLERY</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_GALLERY_LABEL	Gallery
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_GALLERY_TIPS	Art Designs
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_EXIT_TEXT	E<size=40>XIT</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_EXIT_LABEL	Leave
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_EXIT_TIPS	Quit Game
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_OPTION	Settings
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_PLAYER	Character
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_SHOP	CB Shop
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_TIME	Time
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_FEEDBACK	Feedback
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_BULLETIN	Notices
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_HANDBOOK	Guide
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_MAINMENU	M<size=40>AIN</size> M<size=40>ENU</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_LEVEL	LEVEL
TextMapUIStcData_TextMapContent_UI_STC_SHOPPAGE_NEED_MATERIALS	Required Materials
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_BAG	Inventory
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_WEIGHT	Load
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_DROP_TITLE	Discard
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_DROP_WARNING	Do you really want to discard {0}?
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_WEAPON	Weapon
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_RELIC	Artifacts
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_SKILL	Skill
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_BACK	Return
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_COST	Party Cost
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_AVATAR	Attributes
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_LEVEL_UP	Level Up
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_STAR_UP	Ascend
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_MAX_EXP	Max level reached
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_LEVEL_NOT_ENOUGH	Ascension Phase not reached
TextMapUIStcData_TextMapContent_UI_STC_USEMATERIALDIALOG_USENUM	Amount to use
TextMapUIStcData_TextMapContent_UI_STC_USEMATERIALDIALOG_DROPLINK	Obtain
TextMapUIStcData_TextMapContent_UI_STC_USEMATERIALDIALOG_NOITEM	No EXP materials
TextMapUIStcData_TextMapContent_UI_STC_MAP_SCENE_EXPLORE	Exploration Progress
TextMapUIStcData_TextMapContent_UI_STC_MAP_AREA_LOCKED	Locked
