ID	文本
TrialAvatarData_TrialAvatarName_1	Try Out Amber
TrialAvatarData_TrialAvatarName_2	Try Out Kaeya
TrialAvatarData_TrialAvatarName_3	Try Out Lisa
TrialAvatarData_TrialAvatarName_4	Try Out Diluc
TrialAvatarData_TrialAvatarName_5	Try Out Wendy
TrialAvatarData_TrialAvatarName_6	Try Out Kaeya
CampData_Comment_1001	Player Character
CampData_Comment_1002	Player Buddy (Only attacks monsters)
CampData_Comment_2001	Herbivore
CampData_Comment_3001	Carnivore
CampData_Comment_4001	Zombie
CampData_Comment_4002	Honkai Beast
CampData_Comment_4003	Gods
CampData_Comment_5001	Kanrya Contraption
CampData_Comment_9001	Dendro
CampData_Comment_9002	Hydro
CampData_Comment_9999	Environment
CampData_Comment_5100	Carvoeila
CampData_Comment_6666	Charging Pile test
DieTypeTipsData_Tips1_1	Pay attention to where you're stepping while gazing out.
DieTypeTipsData_Tips2_1	 
DieTypeTipsData_Tips3_1	 
DieTypeTipsData_Tips4_1	 
DieTypeTipsData_Tips1_2	Always pay attention to your stamina and the surrounding terrain. You will take damage if you fall from too high.
DieTypeTipsData_Tips2_2	 
DieTypeTipsData_Tips3_2	 
DieTypeTipsData_Tips4_2	 
DieTypeTipsData_Tips1_3	Stamina does not regenerate while swimming and you will drown if it depletes.
DieTypeTipsData_Tips2_3	 
DieTypeTipsData_Tips3_3	 
DieTypeTipsData_Tips4_3	 
DieTypeTipsData_Tips1_4	Consume food items to restore your HP if you sustain too much injury in combat.
DieTypeTipsData_Tips2_4	Retreat to live and fight another day is a sound strategy.
DieTypeTipsData_Tips3_4	Pay attention to opponent numbers and their characteristics to formulate a combat strategy.
DieTypeTipsData_Tips4_4	 
DieTypeTipsData_Tips1_5	A greatshield is impenetrable from the front. Attack from the back.
DieTypeTipsData_Tips2_5	Wooden greatshields can be easily ignited. Without their greatshields, Mitachurls are defenseless.
DieTypeTipsData_Tips3_5	Cryo-enchanted greatshields are difficult to ignite.
DieTypeTipsData_Tips4_5	A charging Shieldwall Mitachurl can deal heavy damage. Evade it, and seize your chance to strike back.
DieTypeTipsData_Tips1_6	A Mitachurl with a burning axe has increased damage output.
DieTypeTipsData_Tips2_6	Elemental effects also impact a burning axe. Use that to your advantage.
DieTypeTipsData_Tips3_6	Use Hydro to extinguish the flames of a burning axe.
DieTypeTipsData_Tips4_6	Your best time of attack is when a Mitachurl attempts to ignite its axe.
DieTypeTipsData_Tips1_7	Ride the wind currents generated by the Eye of the Storm's Hurricane Sphere to evade damage. 
DieTypeTipsData_Tips2_7	Eye of the Storm has high mobility. Use Hydro or Cryo to freeze it to reduce its threat level.
DieTypeTipsData_Tips3_7	Eye of the Storm goes into exhaustion after using Whirlwind Blast. This is your time to strike.
DieTypeTipsData_Tips4_7	 
DieTypeTipsData_Tips1_8	Pyro Abyss Mages' pyro attacks are highly dangerous. Do not get Ignited.
DieTypeTipsData_Tips2_8	Pyro Abyss Mages have Pyro shields. Use Hydro to break through the defenses.
DieTypeTipsData_Tips3_8	 
DieTypeTipsData_Tips4_8	 
DieTypeTipsData_Tips1_9	Beware of Cryo Abyss Mage's Cryo attacks if you're inflicted with Wet.
DieTypeTipsData_Tips2_9	Cryo Abyss Mages have Cryo shields. Use Pyro to break through the defenses.
DieTypeTipsData_Tips3_9	 
DieTypeTipsData_Tips4_9	 
DieTypeTipsData_Tips1_10	Hydro Abyss Mages' attacks inflict Wet on you; incoming Cryo attacks will then freeze you.
DieTypeTipsData_Tips2_10	Hydro Abyss Mages have Hydro shields. Use Electro to break through the defenses.
DieTypeTipsData_Tips3_10	Hydro Abyss Mages' bubbles are highly dangerous for they can incapacitate you.
DieTypeTipsData_Tips4_10	 
DieTypeTipsData_Tips1_11	A burning Pyro Slime explodes upon death.
DieTypeTipsData_Tips2_11	Hydro can extinguish the flames of a burning Pyro Slime and reduce its threat level.
DieTypeTipsData_Tips3_11	 
DieTypeTipsData_Tips4_11	 
DieTypeTipsData_Tips1_12	A burning Pyro Slime explodes upon death.
DieTypeTipsData_Tips2_12	Hydro can extinguish the flames of a burning Pyro Slime and reduce its threat level.
DieTypeTipsData_Tips3_12	 
DieTypeTipsData_Tips4_12	 
DieTypeTipsData_Tips1_13	Though Geo Slimes do not react readily with other elements, still don't let down your guard.
DieTypeTipsData_Tips2_13	 
DieTypeTipsData_Tips3_13	 
DieTypeTipsData_Tips4_13	 
DieTypeTipsData_Tips1_14	Explosive, claymore, and Geo attacks can easily disintegrate a Geo Slime's Geo Armor.
DieTypeTipsData_Tips2_14	 
DieTypeTipsData_Tips3_14	 
DieTypeTipsData_Tips4_14	 
DieTypeTipsData_Tips1_15	Anemo Slimes can be easily killed when they are bloated and floating.
DieTypeTipsData_Tips2_15	Anemo Slimes contain the power of wind inside, unleashing air blasts when killed.
DieTypeTipsData_Tips3_15	Anemo Slimes can be blown far away because they are light.
DieTypeTipsData_Tips4_15	 
DieTypeTipsData_Tips1_16	Anemo Slimes can be easily killed when they are bloated and floating.
DieTypeTipsData_Tips2_16	Anemo Slimes contain the power of wind inside, unleashing air blasts when killed.
DieTypeTipsData_Tips3_16	Anemo Slimes can be blown far away because they are light.
DieTypeTipsData_Tips4_16	 
DieTypeTipsData_Tips1_17	Dendro Slimes ambush you from underneath. Watch out for suspicious plants.
DieTypeTipsData_Tips2_17	 
DieTypeTipsData_Tips3_17	 
DieTypeTipsData_Tips4_17	 
DieTypeTipsData_Tips1_18	Large Dendro Slimes can summon other slimes to assist in battle.
DieTypeTipsData_Tips2_18	The bud above the head of a Dendro Slime is its weak point. Use Pyro to burn it off to inflict Weaken on them.
DieTypeTipsData_Tips3_18	 
DieTypeTipsData_Tips4_18	 
DieTypeTipsData_Tips1_19	If you are inflicted with Wet, beware of a Cryo Slime's Cryo attacks.
DieTypeTipsData_Tips2_19	 
DieTypeTipsData_Tips3_19	 
DieTypeTipsData_Tips4_19	 
DieTypeTipsData_Tips1_20	Pyro attacks can rapidly melt a Large Cryo Slime's Cryo Armor.
DieTypeTipsData_Tips2_20	 
DieTypeTipsData_Tips3_20	 
DieTypeTipsData_Tips4_20	 
DieTypeTipsData_Tips1_21	Electro Slimes intermittently emit electronic currents. The best time to attack is during an interval.
DieTypeTipsData_Tips2_21	Electro attacks inflict Electro-Charged if you're Wet targets, dealing additional damage.
DieTypeTipsData_Tips3_21	 
DieTypeTipsData_Tips4_21	 
DieTypeTipsData_Tips1_22	Electro Slimes intermittently emit electronic currents. The best time to attack is during an interval.
DieTypeTipsData_Tips2_22	Electro attacks inflict Electro-Charged if you're Wet targets, dealing additional damage.
DieTypeTipsData_Tips3_22	 
DieTypeTipsData_Tips4_22	 
DieTypeTipsData_Tips1_23	Mutant Electro Slimes fire electric arcs between other Electro Slimes. Take them out first to reduce their threat level.
DieTypeTipsData_Tips2_23	 
DieTypeTipsData_Tips3_23	 
DieTypeTipsData_Tips4_23	 
DieTypeTipsData_Tips1_24	Cryo attacks can effectively freeze Hydro Slimes.
DieTypeTipsData_Tips2_24	 
DieTypeTipsData_Tips3_24	 
DieTypeTipsData_Tips4_24	 
DieTypeTipsData_Tips1_25	Cryo attacks can effectively freeze Hydro Slimes.
DieTypeTipsData_Tips2_25	 
DieTypeTipsData_Tips3_25	 
DieTypeTipsData_Tips4_25	 
DieTypeTipsData_Tips1_26	Hydro Samachurls heal their allies. Take them out first to save yourself from a difficult fight.
DieTypeTipsData_Tips2_26	 
DieTypeTipsData_Tips3_26	 
DieTypeTipsData_Tips4_26	 
DieTypeTipsData_Tips1_27	Dendro Samachurls can summon thorns to obstruct you. Burn them away with Pyro attacks.
DieTypeTipsData_Tips2_27	 
DieTypeTipsData_Tips3_27	 
DieTypeTipsData_Tips4_27	 
DieTypeTipsData_Tips1_28	Anemo Samachurls can summon dangerous small whirlwinds to sweep across the battlefield.
DieTypeTipsData_Tips2_28	 
DieTypeTipsData_Tips3_28	 
DieTypeTipsData_Tips4_28	 
DieTypeTipsData_Tips1_29	A Ruin Guard's eye-laser and the exposed core on the back are its greatest weak points.
DieTypeTipsData_Tips2_29	A Ruin Guard's high-energy laser deals massive damage. When you evade it, it's also the best time to strike back.
DieTypeTipsData_Tips3_29	 
DieTypeTipsData_Tips4_29	 
DieTypeTipsData_Tips1_30	Do not underestimate even a bare-handed Hilichurl.
DieTypeTipsData_Tips2_30	 
DieTypeTipsData_Tips3_30	 
DieTypeTipsData_Tips4_30	 
DieTypeTipsData_Tips1_31	Wooden rods can be ignited by Pyro attacks. Try out other means of attack.
DieTypeTipsData_Tips2_31	 
DieTypeTipsData_Tips3_31	 
DieTypeTipsData_Tips4_31	 
DieTypeTipsData_Tips1_32	Wooden shields can be ingnited by Pyro attacks.
DieTypeTipsData_Tips2_32	A Hilichurl can defend against all frontal attacks when the shield is raised. Try to find another way.
DieTypeTipsData_Tips3_32	 
DieTypeTipsData_Tips4_32	 
DieTypeTipsData_Tips1_33	Hilichurl Shooters are ill-prepared for melee combat. A ferocious attack will prevent them from shooting.
DieTypeTipsData_Tips2_33	 
DieTypeTipsData_Tips3_33	 
DieTypeTipsData_Tips4_33	 
DieTypeTipsData_Tips1_34	Hilichurl Shooters are ill-prepared for melee combat. A ferocious attack will prevent them from shooting.
DieTypeTipsData_Tips2_34	 
DieTypeTipsData_Tips3_34	 
DieTypeTipsData_Tips4_34	 
DieTypeTipsData_Tips1_35	Some Hilichurls will toss Pyro Slime Bombs at you. Beware of them.
DieTypeTipsData_Tips2_35	 
DieTypeTipsData_Tips3_35	 
DieTypeTipsData_Tips4_35	 
DieTypeTipsData_Tips1_36	The best time to attack a Berserker Hilichurl is after its charging attack.
DieTypeTipsData_Tips2_36	 
DieTypeTipsData_Tips3_36	 
DieTypeTipsData_Tips4_36	 
DieTypeTipsData_Tips1_37	Hilichurl Shooters are ill-prepared for melee combat. A ferocious attack will prevent them from shooting.
DieTypeTipsData_Tips2_37	 
DieTypeTipsData_Tips3_37	 
DieTypeTipsData_Tips4_37	 
DieTypeTipsData_Tips1_38	Hilichurl Shooters are ill-prepared for melee combat. A ferocious attack will prevent them from shooting.
DieTypeTipsData_Tips2_38	 
DieTypeTipsData_Tips3_38	 
DieTypeTipsData_Tips4_38	 
GadgetData_Avatar_Name_40000001	SteamBangField
GadgetData_Avatar_Name_40000002	ThunderFistField
GadgetData_Avatar_Name_40000003	GrassDart
GadgetData_Avatar_Name_40000004	SharkTorpedo
GadgetData_Avatar_Name_40000005	SharkTorpedo_Spurt
GadgetData_Avatar_Name_40000006	SharkTorpedo_Spurt_2
GadgetData_Avatar_Name_40000104	FrostSpear
GadgetData_Avatar_Name_40000115	IceSpine_1
GadgetData_Avatar_Name_40000116	IceSpine_2
GadgetData_Avatar_Name_40000117	IceSpine_3
GadgetData_Avatar_Name_40000118	RockImpact
GadgetData_Avatar_Name_40000119	ModifiedTrigger
GadgetData_Avatar_Name_40000120	RockImpactTrap
GadgetData_Avatar_Name_40000121	IceSpine_Strike
GadgetData_Avatar_Name_40000139	NoAvatar_IceRain
GadgetData_Avatar_Name_40000140	NoAvatar_IceTrap
GadgetData_Avatar_Name_40000148	ClawMark_Mark 
GadgetData_Avatar_Name_40000154	ClawMark_Mark_Lycan
GadgetData_Avatar_Name_40000160	AimingArrow_WithoutFire
GadgetData_Avatar_Name_40000161	Double_ArrowAiming_WithoutFire
GadgetData_Avatar_Name_40000172	Frost_Orb
GadgetData_Avatar_Name_40000173	Frost_Orb_Bullet
GadgetData_Avatar_Name_40000174	JumpDrug_Whitbox_01
GadgetData_Avatar_Name_40000175	JumpDrug_Whitbox_02
GadgetData_Avatar_Name_40000176	JumpDrug_Whitbox_03
GadgetData_Avatar_Name_40000177	JumpDrug_Whitbox_04
GadgetData_Avatar_Name_40000178	EmptyGadget
GadgetData_Avatar_Name_40000129	IceSpell_Wards_Trap
GadgetData_Avatar_Name_40100001	Test_Arrow
GadgetData_Avatar_Name_40100006	Test_ArrowAiming
GadgetData_Avatar_Name_40100013	Gear_ElectricBall
GadgetData_Avatar_Name_40100200	RoomDoor
GadgetData_Avatar_Name_40100201	KnightRoomDoor
GadgetData_Avatar_Name_40200001	WindField_Vertical
GadgetData_Avatar_Name_40200002	WindField_Horizontal_01
GadgetData_Avatar_Name_40200003	SpeedupField
GadgetData_Avatar_Name_40200008	WindField_FireGrass
GadgetData_Avatar_Name_40200020	WindField_Vertical_Feather
GadgetData_Avatar_Name_40210006	Tornado Transmitter
GadgetData_Avatar_Name_40210007	Calm area
GadgetData_Avatar_Name_41002001	FrozenWindmill
GadgetData_Avatar_Name_41002002	IceSpine_Large
GadgetData_Avatar_Name_41002003	Frozen_Butterfly
GadgetData_Avatar_Name_41002004	Frozen_Butterfly_Material
GadgetData_Avatar_Name_41002005	FrozenWindmill_Sub
GadgetData_Avatar_Name_41002006	Ayaka_ExtraAttack
GadgetData_Avatar_Name_41002007	Ayaka_NormalAttack_05
GadgetData_Avatar_Name_41002008	Ayaka_YayoiKaeshi
GadgetData_Avatar_Name_41003001	WoodSpikeField
GadgetData_Avatar_Name_41003002	HealingSeal
GadgetData_Avatar_Name_41003003	WoodWall
GadgetData_Avatar_Name_41003004	DandelionWind_1
GadgetData_Avatar_Name_41003005	DandelionWind_2
GadgetData_Avatar_Name_41005001	WindBreathe_Tornado
GadgetData_Avatar_Name_41005002	Player_Wind_Arashi
GadgetData_Avatar_Name_41005003	Hogyoku_Base
GadgetData_Avatar_Name_41005004	Hogyoku_Barrier
GadgetData_Avatar_Name_41005005	RockTide
GadgetData_Avatar_Name_41005006	RockTide_Barrier
GadgetData_Avatar_Name_41005007	PlayerBoy_ExtraAttack_Wave
GadgetData_Avatar_Name_41006001	PierceLightning
GadgetData_Avatar_Name_41006002	LightningBolt
GadgetData_Avatar_Name_41006003	LightningSpear
GadgetData_Avatar_Name_41006004	LightningSpear_1
GadgetData_Avatar_Name_41006005	LightningSpear_2
GadgetData_Avatar_Name_41006006	ConductiveField
GadgetData_Avatar_Name_41006007	FilckerWave
GadgetData_Avatar_Name_41006008	StaticElecField
GadgetData_Avatar_Name_41006009	FlickerWave
GadgetData_Avatar_Name_41006010	Lisa_Attack01
GadgetData_Avatar_Name_41006011	Lisa_Attack02
GadgetData_Avatar_Name_41006012	Lisa_Attack03
GadgetData_Avatar_Name_41006013	PierceLightning_Ball
GadgetData_Avatar_Name_41006014	WhiteBox_PhantomSword1
GadgetData_Avatar_Name_41006015	WhiteBox_PhantomSword2
GadgetData_Avatar_Name_41006016	WhiteBox_PhantomSword3
GadgetData_Avatar_Name_41006017	WhiteBox_PhantomSword4
GadgetData_Avatar_Name_41006018	WhiteBox_PhantomSword5
GadgetData_Avatar_Name_41006019	WhiteBox_PhantomSword6
GadgetData_Avatar_Name_41006020	Lisa_ExtraAttack
GadgetData_Avatar_Name_41006021	WhiteBox_PhantomSword1a
GadgetData_Avatar_Name_41006022	WhiteBox_PhantomSword2a
GadgetData_Avatar_Name_41006023	WhiteBox_PhantomSword3a
GadgetData_Avatar_Name_41006024	WhiteBox_PhantomSword4a
GadgetData_Avatar_Name_41006025	WhiteBox_PhantomSword5a
GadgetData_Avatar_Name_41006026	WhiteBox_PhantomSword6a
GadgetData_Avatar_Name_41006027	PierceLightning_Ball_Bullet
GadgetData_Avatar_Name_40010001	Weapon_Catalyst_Arcane_Arrow
GadgetData_Avatar_Name_40010002	Beidou_ThunderTrace
GadgetData_Avatar_Name_41014001	Barbara_Attack01
GadgetData_Avatar_Name_41014002	Barbara_Attack02
GadgetData_Avatar_Name_41014003	Barbara_Attack03
GadgetData_Avatar_Name_41014004	Barbara_WetShiled
