ID	文本
SceneData_Name_1001	Template Empty Environment
SceneData_Name_1002	Mondstadt
SceneData_Name_1003	World Blank Model
SceneData_Name_1004	Hall of the Knights of Favonius
SceneData_Name_1005	Cathedral Basement (Infiltration Gameplay)
SceneData_Name_1006	Dvalin Tear Dungeon
SceneData_Name_1007	Firefly Forest Dungeon Blank Model Gameplay Test
SceneData_Name_1008	Cathedral Hall
SceneData_Name_1009	Tavern Indoors
SceneData_Name_1010	Hilichurl Mountain
SceneData_Name_1011	Character Combat Test Level
SceneData_Name_1012	Monster Test Level
SceneData_Name_1013	Advanced Infiltration Test
SceneData_Name_1015	Special Gliding Gameplay
SceneData_Name_1	World 1
SceneData_Name_2	World 2
SceneData_Name_3	New Mondstadt and Surroundings
SceneData_Name_20000	Level Gameplay Test
SceneData_Name_20001	Dvalin Dungeon Blank Model
SceneData_Name_20002	Tactics Test — Deep Forest
SceneData_Name_20003	Tactics Test — Lake
SceneData_Name_20004	Tactics Test — Plains
SceneData_Name_20005	Tactics Test — River
SceneData_Name_20006	Barbara's Quest Dungeon (Repeatable)
SceneData_Name_20007	Barbara's Dungeon Blank Model 2 (Test)
SceneData_Name_20008	Kaeya's Training Dungeon (Repeatable)
SceneData_Name_20009	Amber's Training Dungeon (Repeatable)
SceneData_Name_20010	Lisa's Combat Drill Quest Dungeon (Repeatable)
SceneData_Name_20011	Lisa's Training Dungeon (Repeatable)
SceneData_Name_20012	Diluc's Quest Dungeon
SceneData_Name_20013	Kaeya's Combat Training Quest Dungeon (Repeatable)
SceneData_Name_20014	Jean and Amber's Combat Drill Quest Dungeon (Repeatable)
SceneData_Name_20015	Lisa's Resident Dungeon (Test)
SceneData_Name_20016	Kaeya's Storyline Dungeon
SceneData_Name_20017	Pursue Stormterror
SceneData_Name_20018	Purify Stormterror
SceneData_Name_20019	Diluc's Dungeon White-box
SceneData_Name_20020	The First Encounter of the Stormterror
SceneData_Name_20021	Lisa Storyline Dungeon White-box
SceneData_Name_30001	Labyrinth in the Mists (Repeatable)
SceneData_Name_30002	Hero Trial — Eye of the Storm Battle (Repeatable)
SceneData_Name_30003	Hero Trial — Freeze Test (Repeatable)
SceneData_Name_40001	Amber's Resident Dungeon 1 (Lv. 10)
SceneData_Name_40002	Amber's Resident Dungeon 2 (Lv. 13)
SceneData_Name_40003	Amber's Resident Dungeon 3 (Lv. 16)
SceneData_Name_40004	Kaeya's Resident Dungeon 1 (Lv. 12)
SceneData_Name_40005	Kaeya's Resident Dungeon 2 (Lv. 15)
SceneData_Name_40006	Kaeya's Resident Dungeon 3 (Lv. 18)
SceneData_Name_40007	Isle Resident Dungeon
SceneData_Name_50000	Library Test
SceneData_Name_50001	Open Co-op Dungeon Test
SceneData_Name_50002	Temperature White-Box Test
SceneData_Name_50003	Combat Test
SceneData_Name_50004	Charging Pile Power Supply White Box
SceneData_Name_50005	Elemental Gameplay Scenario
RoomData_Name_2	Library Room 2
RoomData_Name_3	Library Room 3
RoomData_Name_4	Knights of Favonius Library
RoomData_Name_100401	Library
RoomData_Name_100402	Jean's Office
WorldAreaData_AreaName_1	Starfell Plains
WorldAreaData_AreaName_2	Cider Lake
WorldAreaData_AreaName_3	Mondstadt
WorldAreaData_AreaName_4	Starfell Lake
WorldAreaData_AreaName_5	Stormbearer Mountains
WorldAreaData_AreaName_6	Stormbearer Point
WorldAreaData_AreaName_7	Starsnatch Cliff
WorldAreaData_AreaName_8	Thousand Winds Temple
WorldAreaData_AreaName_9	Whispering Woods
WorldAreaData_AreaName_10	Stormbearer Coast
WorldAreaData_AreaName_11	Windcry Hill
WorldAreaData_AreaName_12	Windrise
WorldAreaData_AreaName_13	Falcon Coast
WorldAreaData_AreaName_14	Tataupa Gorge
WorldAreaData_AreaName_15	Cape Oath
WorldAreaData_AreaName_16	Musk Reef
WorldAreaData_AreaName_17	Windwail Highland
WorldAreaData_AreaName_18	Springvale
WorldAreaData_AreaName_19	Dawn Winery
WorldAreaData_AreaName_20	Dragonspine
WorldAreaData_AreaName_21	Brightcrown Mountains
WorldAreaData_AreaName_22	Stormterror's Lair
WorldAreaData_AreaName_23	Wolvendom
WorldAreaData_AreaName_24	Brightcrown Canyon
DungeonData_Name_1	Deep into the Temple of the Wolf
DungeonData_Desc_1	The Knights of Favonius have been mobilized to contain Stormterror's destruction. Venture forth with Quartermaster Kaeya, to the Temple of the Wolf and stop Stormterror from gaining further power.
DungeonData_Name_2	Hilichurl Stronghold
DungeonData_Desc_2	Kaeya Quest Dungeon 3
DungeonData_Name_3	Hilichurl Nest
DungeonData_Desc_3	Kaeya Quest Dungeon 3
DungeonData_Name_4	Small Cave Base
DungeonData_Desc_4	Dungeon Description 4
DungeonData_Name_5	Small Cave Base
DungeonData_Desc_5	Dungeon Description 5
DungeonData_Name_6	Small Cave Secret Entrance
DungeonData_Desc_6	Dungeon Description 6
DungeonData_Name_7	Ruin Ambush Point
DungeonData_Desc_7	Barbara Storyline Dungeon 1
DungeonData_Name_8	Hilichurl Small Base
DungeonData_Desc_8	Barbara Storyline Dungeon 1
DungeonData_Name_9	Hilichurl Large Base
DungeonData_Desc_9	Barbara Storyline Dungeon 1
DungeonData_Name_10	A Teardrop admist the Depths of Jungle and Ruins
DungeonData_Desc_10	The party has come to the secret ruins hidden deep in the forest. Head into the ruins with Jean and Diluc to search for the powerful Tears.
DungeonData_Name_11	Firefly Forest Dungeon Gameplay Test
DungeonData_Desc_11	Forest Style Dungeon Gameplay Test
DungeonData_Name_12	Hilichurl Mountain Test
DungeonData_Desc_12	Hilichurl Mountain Test
DungeonData_Name_13	Character Combat Test
DungeonData_Desc_13	Character Combat Test
DungeonData_Name_14	Monster Test
DungeonData_Desc_14	Monster Test
DungeonData_Name_1000	Level Gameplay Test
DungeonData_Desc_1000	Level Gameplay Test
DungeonData_Name_15	Low-Temp Level White-box
DungeonData_Desc_15	Low-Temp Level White-box
DungeonData_Name_16	Mobile Platform Test
DungeonData_Desc_16	Mobile Platform Test
DungeonData_Name_17	Combat Test
DungeonData_Desc_17	Combat Test
DungeonData_Name_18	#$#Charging Pile Power Supply White Box
DungeonData_Desc_18	Charging Pile Power Supply White Box
DungeonData_Name_19	#$# Elemental Reaction Scenario White Box
DungeonData_Desc_19	Elemental Reaction Scenario White Box
DungeonData_Name_1001	Deep into the Temple of the Falcon
DungeonData_Desc_1001	The Knights of Favonius have been mobilized to contain Stormterror's destruction. Venture forth with Amber the Outrider, to the Temple of the Falcon and stop Stormterror from gaining further power.
DungeonData_Name_1002	Lisa's Combat Dungeon
DungeonData_Desc_1002	Lisa's Combat Dungeon Blank Model
DungeonData_Name_1003	Deep into the Temple of the Lion
DungeonData_Desc_1003	The Knights of Favonius have been mobilized to contain Stormterror's destruction. Venture forth with Lisa the Librarian, to the Temple of the Lion and stop Stormterror from gaining further power.
DungeonData_Name_1004	Fatuus Camp
DungeonData_Desc_1004	Diluc's Adventure
DungeonData_Name_1005	Kaeya Combat Training Quest Dungeon
DungeonData_Desc_1005	Use Kaeya to take on this challenge
DungeonData_Name_1006	Jean and Amber's Combat Training Quest Dungeon
DungeonData_Desc_1006	Use Jean and Amber to take on this challenge
DungeonData_Name_1007	Lisa's Resident Dungeon Bottom
DungeonData_Desc_1007	Lisa's Combat Dungeon Blank Model
DungeonData_Name_2000	Lost Treasure of Arcadia
DungeonData_Desc_2000	Lost treasures show their colors only to those with true wisdom. Having completed the mystery of Arcadia, we finally arrive at the land of treasure...
DungeonData_Name_2001	Storming Terror
DungeonData_Desc_2001	After a long and daring pursuit of Stormterror, who has been bewitched by Abyss Mages, you are about to finally confront Dvalin's misled fury.
DungeonData_Name_2002	Purify Stormterror
DungeonData_Desc_2002	Stormterror Boss Battle — Stage Two
DungeonData_Name_2003	Diluc's Dungeon White-box
DungeonData_Desc_2003	White-box
DungeonData_Name_2004	Stormterror - The First Battle
DungeonData_Desc_2004	The First Battle of Mondstadt and Stormterror
DungeonData_Name_2005	
DungeonData_Desc_2005	White-box
DungeonData_Name_3001	Fog Maze
DungeonData_Desc_3001	It is said that in the Labyrinth in the Mists lies an ancient treasure cache left by the ancients, guarded by hordes of cursed monsters. Legend has it anyone who can stand the trial of defeating 100 of the monsters that dwell in the labyrinth, will be rewarded with handsome treasures. Though one must be wary of the ever-dwindling countdown timer in the labyrinth, and the ever-growing ferocity of the monsters within.
DungeonData_Name_3002	Hero Trial — Wind Ball Battle
DungeonData_Desc_3002	Battle the Eye of the Storm
DungeonData_Name_3003	Hero Trial — Freeze Test
DungeonData_Desc_3003	Battle Hydro-Cryo Hazard
DungeonData_Name_3004	Explore: Fallen Fortress
DungeonData_Desc_3004	Deep in the ruins, you discovered an ancient fortress occupied by monsters. You'll need to go deeper if you want to find the treasure...
DungeonData_Name_4001	Investigate: Turmoil in the Depth of the Ruins
DungeonData_Desc_4001	An unsettling turmoil has come to these once silent ruins. Perhaps it's the stirrings of monsters who seek to disturb Mondstadt's peace. Such things should not be taken lightly... \nRecommended Element: Pyro
DungeonData_Name_4002	Investigate: Frozen Ancient Waterways
DungeonData_Desc_4002	A frozen section has appeared within the forgotten waterways beneath the Thousand Winds Temple. It's likely Cryo monsters causing trouble. We cannot let them get out of hand. But remember: <color=#00E1FFFF>getting Frozen when Wet</color> can be incredibly dangerous. \nRecommended Element: Pyro
DungeonData_Name_4003	Explore: Ancient Township Ruins
DungeonData_Desc_4003	You come across a township buried underneath the old temple grounds. You'll need to go deeper if you want to find the treasure... \nRecommended Element: Electro/Anemo/Cryo
DungeonData_Name_4004	Trial: Divergent Paths
DungeonData_Desc_4004	In these ruins you discover a now forsaken trial ground belonging to an ancient civilization. To pass this trial, you need to pick your path wisely, and fight with bravery. \nRecommended Element: Pyro/Cryo/Electro
DungeonData_Name_4005	Trial: Thorned Hall
DungeonData_Desc_4005	In these ruins you discover a now forsaken trial ground belonging to an ancient civilization. To pass this trial, you need to take the path of thorns, and face up to formidable enemies. \nRecommended Element: Pyro/Electro
DungeonData_Name_4006	Explore: Underground Forest
DungeonData_Desc_4006	You discovered mystic ruins hidden beneath an underground jungle. You'll need to go deeper if you want to find the treasure... \nRecommended Element: Pyro/Cryo/Anemo
DungeonData_Name_4007	Trial: Fire and Lightning
DungeonData_Desc_4007	In these ruins you discover a now forsaken trial ground belonging to an ancient civilization. To pass this trial, you need to take hold of vicious fire and crackling lightning to take down your enemy. \nRecommended Element: Pyro/Electro
DungeonData_Name_4008	Explore: Earthed City
DungeonData_Desc_4008	In the crevasses of Dragonspine, you come across the ancient ruins of a long-lost city. You'll need to go deeper if you want to find the treasure... \nRecommended Element: Pyro/Cryo/Electro
DungeonData_Name_4009	Target: Eye of the Storm
DungeonData_Desc_4009	In the ruins not far from Mondstadt, an unsettling surge of Anemo power is detected. Perhaps it's something magical slowly accumulating power. We cannot sit by idly and let it grow. When you're ready for whatever may come, come and help deal to the situation. \nRecommended Element: Pyro/Electro
DungeonPassData_Desc_1	Passing Criteria Description 1
DungeonPassData_Desc_2	Passing Criteria Description 2
DungeonPassData_Desc_3	Passing Criteria Description 3
DungeonPassData_Desc_4	Passing Criteria Description 4
DungeonPassData_Desc_5	Passing Criteria Description 5
