ID	文本
AvatarData_Name_10000002	카미사토 아야카
AvatarSkillData_Name_10013	카미사토류·싸락눈
AvatarSkillData_Desc_10013	카미사토류 영동의 일식\n부서진 얼음에 몸을 숨겨 빠른 속도로 이동한다. 대쉬를 대체한다.\n이 상태에서 카미사토 아야카는 수면 위에서 빠르게 이동할 수 있다.\n몸을 드러내는 순간 주위의 적을 동상 상태로 만들어버리고 일반 공격이 얼음 속성 공격으로 변한다.\n추위 상태 부여 영향 범위: 3m\n얼음 속성 공격 지속 시간: 4초\n스태미나 소모: 발동 시 15pt 소모하고, 이후 초당 25pt씩 소모한다
AvatarSkillData_Name_10018	카미사토류·얼음꽃
AvatarSkillData_Desc_10018	카미사토류 우아한 일식\n얼음 원소를 몸 구석구석에 빠른 속도로 확산하고 잠깐의 시간이 지난 후 주위의 적에게 얼음 속성 대미지를 주고 넉백시킨다.\n스킬 대미지: 공격력의 340%\n영향 범위: 3m\n재사용 대기시간: 6초\n원소 타입: 얼음
AvatarSkillData_Name_10019	카미사토류·멸망의 서리
AvatarSkillData_Desc_10019	카미사토류 맹렬한 일식\n접힌 부채와 도검으로 전방을 향해 전진하는 얼음 폭풍을 만들어내 얼음 속성 대미지를 지속적으로 가한다.\n얼음 폭풍은 사라질 때 더욱 큰 범위의 적에게 얼음 속성 대미지를 준다.\n지속 대미지: 초당 공격력의 259%\n영향 범위: 3m\n이동속도: 초당 4.5m\n지속 시간: 5초\n폭발 대미지: 공격력의 500%\n폭발 범위: 5m\n재사용 대기시간: 25초\원소 에너지: 60\n원소 타입: 얼음
AvatarSkillData_Name_10024	아야카 5연격
AvatarSkillData_Desc_10024	한손검 5연격
TalentSkillData_Name_211	백로공주[1]
TalentSkillData_Desc_211	파티 내 모든 캐릭터의 얼음 원소 대미지 강화 수치가 5% 증가하고 얼음 원소 내성이 6% 증가한다
TalentSkillData_Name_212	백로공주[2]
TalentSkillData_Desc_212	파티 내 모든 캐릭터의 얼음 원소 대미지 강화 수치가 10% 증가하고 얼음 원소 내성이 9% 증가한다
TalentSkillData_Name_213	백로공주[3]
TalentSkillData_Desc_213	파티 내 모든 캐릭터의 얼음 원소 대미지 강화 수치가 15% 증가하고 얼음 원소 내성이 12% 증가한다
TalentSkillData_Name_214	백로공주[4]
TalentSkillData_Desc_214	파티 내 모든 캐릭터의 얼음 원소 대미지 강화 수치가 20% 증가하고 얼음 원소 내성이 15% 증가한다
TalentSkillData_Name_221	살얼음의 춤[1]
TalentSkillData_Desc_221	카미사토류·싸락눈의 이동속도 10% 상승
TalentSkillData_Name_222	살얼음의 춤[2]
TalentSkillData_Desc_222	카미사토류·싸락눈의 이동속도가 10% 상승하고 공격 범위가 15% 증가한다
TalentSkillData_Name_223	살얼음의 춤[3]
TalentSkillData_Desc_223	카미사토류·싸락눈의 이동속도가 30% 상승하고 공격 범위가 30% 증가한다
TalentSkillData_Name_231	겨울의 선언사[1]
TalentSkillData_Desc_231	일반 공격이 동상/빙결 상태의 적에게 명중하면 6%/18%의 확률로 카미사토류·얼음꽃의 재사용 대기시간이 0.5초 감소한다
TalentSkillData_Name_232	겨울의 선언사[2]
TalentSkillData_Desc_232	일반 공격이 동상/빙결 상태의 적에게 명중하면 6%/18%의 확률로 카미사토류·얼음꽃의 재사용 대기시간이 0.5초 감소한다
TalentSkillData_Name_233	겨울의 선언사[3]
TalentSkillData_Desc_233	일반 공격이 동상/빙결 상태의 적에게 명중하면 12%/36%의 확률로 카미사토류·얼음꽃의 재사용 대기시간이 1초 감소한다
TalentSkillData_Name_241	삼중 얼음문[1]
TalentSkillData_Desc_241	카미사토류·멸망의 서리를 시전 시 양측에 추가로 2개의 작은 얼음 폭풍을 만들어내 각각 공격력의 20% 피해를 준다
TalentSkillData_Name_242	삼중 얼음문[2]
TalentSkillData_Desc_242	카미사토류·멸망의 서리를 시전 시 양측에 추가로 2개의 작은 얼음 폭풍을 만들어내 각각 공격력의 35% 피해를 준다
TalentSkillData_Name_243	삼중 얼음문[3]
TalentSkillData_Desc_243	카미사토류·멸망의 서리를 시전 시 양측에 추가로 2개의 작은 얼음 폭풍을 만들어내 각각 공격력의 50% 피해를 준다
TalentSkillData_Name_251	물에 비친 달[1]
TalentSkillData_Desc_251	원소 충전 효율이 16% 상승하고 카미사토류·멸망의 서리 재사용 대기시간이 2초 감소한다
TalentSkillData_Name_252	물에 비친 달[2]
TalentSkillData_Desc_252	원소 충전 효율이 25% 상승하고 카미사토류·멸망의 서리 재사용 대기시간이 4초 감소한다
TalentSkillData_Name_253	물에 비친 달[3]
TalentSkillData_Desc_253	원소 충전 효율이 33% 상승하고 카미사토류·멸망의 서리 재사용 대기시간이 6초 감소한다
TalentSkillData_Name_261	천륜죄[1]
TalentSkillData_Desc_261	카미사토류·싸락눈 발동 시 카미사토 아야카는 주위의 HP가 20% 미만인 적에게 표식을 남긴다. 표식이 있는 적의 근처에서 나타나자마자 일반 공격으로 공격력 300%의 얼음 속성 피해를 준다. 해당 공격은 강공격으로 취급한다
TalentSkillData_Name_262	천륜죄[2]
TalentSkillData_Desc_262	카미사토류·싸락눈 발동 시 카미사토 아야카는 주위의 HP가 25% 미만인 적에게 표식을 남긴다. 표식이 있는 적의 근처에서 나타나자마자 일반 공격으로 공격력 350%의 얼음 속성 피해를 준다. 해당 공격은 강공격으로 취급한다
TalentSkillData_Name_263	천륜죄[3]
TalentSkillData_Desc_263	카미사토류·싸락눈 발동 시 카미사토 아야카는 주위의 HP가 30% 미만인 적에게 표식을 남긴다. 표식이 있는 적의 근처에서 나타나자마자 일반 공격으로 공격력 400%의 얼음 속성 피해를 준다. 해당 공격은 강공격으로 취급한다
TalentSkillData_Name_271	검게 물든 벚꽃[1]
TalentSkillData_Desc_271	카미사토류·얼음꽃의 동상 혹은 동결 상태의 적에게 대한 피해가 20% 상승한다
TalentSkillData_Name_272	검게 물든 벚꽃[2]
TalentSkillData_Desc_272	카미사토류·얼음꽃의 동상 혹은 동결 상태의 적에게 대한 피해가 35% 상승한다
TalentSkillData_Name_273	검게 물든 벚꽃[3]
TalentSkillData_Desc_273	카미사토류·얼음꽃의 동상 혹은 동결 상태의 적에게 대한 피해가 50% 상승한다
TalentSkillData_Name_281	영규유반[1]
TalentSkillData_Desc_281	원소 에너지가 50%를 넘으면 일반 공격으로 가하는 대미지가 10% 상승한다. 원소 에너지가 50% 미만일 때 일반 공격의 치명타 확률이 5% 상승한다
TalentSkillData_Name_282	영규유반[2]
TalentSkillData_Desc_282	원소 에너지가 50%를 넘으면 일반 공격으로 가하는 대미지가 20% 상승한다. 원소 에너지가 50% 미만일 때 일반 공격의 치명타 확률이 10% 상승한다
TalentSkillData_Name_283	영규유반[3]
TalentSkillData_Desc_283	원소 에너지가 50%를 넘으면 일반 공격으로 가하는 대미지가 30% 상승한다. 원소 에너지가 50% 미만일 때 일반 공격의 치명타 확률이 15% 상승한다
AvatarData_Desc_10000002	이나즈마 명문 카미사토가의 장녀로 흩날리는 눈꽃을 가를 정도로 검술에 능하다
AvatarData_Name_10000003	진
AvatarSkillData_Name_10031	진 5연격
AvatarSkillData_Desc_10031	 
AvatarSkillData_Name_10033	풍압검
AvatarSkillData_Desc_10033	지키겠노라 하는 마음 하나로 진과 동행하는 것은 모든 위험을 동료의 곁에서 몰아내는 수호의 바람이다.\n회오리를 소환해 주위의 적을 자신의 앞으로 끌어당겨 구속 상태에 빠트리고 바람 속성 피해를 주며 앞으로 넉백시킨다.\n길게 누르면 더 많은 적을 끌어당기거나 적을 날리는 방향을 조정할 수 있으나 스킬 발동 중에 이동할 수 없다.\n스킬 대미지: 공격력의 275%\n영향 범위: 10m\n최대 지속 시간: 5초\n스태미나 소모: 초당 25pt\n재사용 대기시간 6초\n원소 타입: 바람
AvatarSkillData_Name_10034	민들레 바람
AvatarSkillData_Desc_10034	바람의 은총은 대지에 흩뿌려진 민들레와 같고, 이것이 바로 진의 수호의 근원과 마음이다.\n자신을 중심으로 바람이 이는 민들레 영역을 만들어내 주위의 적에게 바람 속성 피해를 주고 넉백시키며 범위 내 아군의 HP를 회복한다.\n이후 민들레 영역은 지속해서 영역 내에 있는 아군의 HP를 회복하고 영역 안으로 들어오는 적에게 바람 속성 피해를 준다.\n스킬 대미지: 공격력의 375%\n순간 회복: 공격력의 425%\n지속 회복: 초당 공격력의 60%\n영향 범위: 6m\n지속 시간: 10초\n영역 대미지: 공격력의 100%\n재사용 대기시간: 32초\n원소 에너지: 80\n원소 타입: 바람
TalentSkillData_Name_1300	수호의 방패[1]
TalentSkillData_Desc_1300	파티 내 모든 캐릭터의 HP 최대치가 4%, 크리티컬률이 2% 증가한다
TalentSkillData_Name_1301	수호의 방패[2]
TalentSkillData_Desc_1301	파티 내 모든 캐릭터의 HP 최대치가 8%, 크리티컬률이 4% 증가한다
TalentSkillData_Name_1302	수호의 방패[3]
TalentSkillData_Desc_1302	파티 내 모든 캐릭터의 HP 최대치가 12%, 크리티컬률이 6% 증가한다
TalentSkillData_Name_1303	수호의 방패[4]
TalentSkillData_Desc_1303	파티 내 모든 캐릭터의 HP 최대치가 16%, 크리티컬률이 8% 증가한다
TalentSkillData_Name_1310	바람의 인도[1]
TalentSkillData_Desc_1310	스태미나 회복 속도 10% 상승
TalentSkillData_Name_1311	바람의 인도[2]
TalentSkillData_Desc_1311	스태미나 회복 속도 17% 상승
TalentSkillData_Name_1312	바람의 인도[3]
TalentSkillData_Desc_1312	스태미나 회복 속도 25% 상승
TalentSkillData_Name_1313	바람의 인도[4]
TalentSkillData_Desc_1313	스태미나 회복 속도 35% 상승
TalentSkillData_Name_1320	폭풍의 순간[1]
TalentSkillData_Desc_1320	풍압검으로 가하는 대미지가 8% 증가하고 회오리의 흡인 속도가 소폭 상승한다
TalentSkillData_Name_1321	폭풍의 순간[2]
TalentSkillData_Desc_1321	풍압검으로 가하는 대미지가 14% 증가하고 회오리의 흡인 속도가 소폭 상승한다
TalentSkillData_Name_1322	폭풍의 순간[3]
TalentSkillData_Desc_1322	풍압검으로 가하는 대미지가 20% 증가하고 회오리의 흡인 속도가 소폭 상승한다
TalentSkillData_Name_1330	재생의 바람[1]
TalentSkillData_Desc_1330	HP 최대치가 2% 증가하고 HP가 35% 미만일 때 받는 회복량 강화 수치가 10% 증가한다
TalentSkillData_Name_1331	재생의 바람[2]
TalentSkillData_Desc_1331	HP 최대치가 5% 증가하고 HP가 35% 미만일 때 받는 회복량 강화 수치가 15% 증가한다
TalentSkillData_Name_1332	재생의 바람[3]
TalentSkillData_Desc_1332	HP 최대치가 8% 증가하고 HP가 35% 미만일 때 받는 회복량 강화 수치가 20% 증가한다
TalentSkillData_Name_1340	수호의 칼날[1]
TalentSkillData_Desc_1340	일반 공격의 치명타 확률이 10% 증가하고 일반 공격이 치명타 시 파티 내 모든 캐릭터의 HP가 진 공격력의 10%만큼 회복한다
TalentSkillData_Name_1341	수호의 칼날[2]
TalentSkillData_Desc_1341	일반 공격의 치명타 확률이 15% 증가하고 일반 공격이 치명타 시 파티 내 모든 캐릭터의 HP가 진 공격력의 15%만큼 회복한다
TalentSkillData_Name_1342	수호의 칼날[3]
TalentSkillData_Desc_1342	일반 공격의 치명타 확률이 20% 증가하고 일반 공격이 치명타 시 파티 내 모든 캐릭터의 HP가 진 공격력의 20%만큼 회복한다
TalentSkillData_Name_1350	바람과 함께[1]
TalentSkillData_Desc_1350	원소 구슬 혹은 원소 입자를 획득 시 파티 내 모든 캐릭터의 이동 속도와 일반 공격 속도가 5% 증가한다, 지속 시간 10초. 연속 발동 시 지속 시간을 갱신한다
TalentSkillData_Name_1351	바람과 함께[2]
TalentSkillData_Desc_1351	원소 구슬 혹은 원소 입자를 획득 시 파티 내 모든 캐릭터의 이동 속도와 일반 공격 속도가 10% 증가한다, 지속 시간 10초. 연속 발동 시 지속 시간을 갱신한다
TalentSkillData_Name_1352	바람과 함께[3]
TalentSkillData_Desc_1352	원소 구슬 혹은 원소 입자를 획득 시 파티 내 모든 캐릭터의 이동 속도와 일반 공격 속도가 15% 증가한다, 지속 시간 10초. 연속 발동 시 지속 시간을 갱신한다
TalentSkillData_Name_1360	민들레 영역[1]
TalentSkillData_Desc_1360	민들레의 바람 속에서 적의 이동 속도와 공격 속도가 25% 감소하고 바람 원소 내성이 20% 감소한다
TalentSkillData_Name_1361	민들레 영역[2]
TalentSkillData_Desc_1361	민들레의 바람 속에서 적의 이동 속도와 공격 속도가 25% 감소하고 바람 원소 내성이 40% 감소한다
TalentSkillData_Name_1362	민들레 영역[3]
TalentSkillData_Desc_1362	민들레의 바람 속에서 적의 이동 속도와 공격 속도가 25% 감소하고 바람 원소 내성이 60% 감소한다
TalentSkillData_Name_1370	백성을 지키는 사자의 이빨[1]
TalentSkillData_Desc_1370	민들레의 바람 속에서 아군 유닛은 바람의 수호를 받아 받는 피해가 12% 감소한다. 민들레의 바람을 떠난 후 바람의 수호는 피격 3회 혹은 10초 후 사라진다
TalentSkillData_Name_1371	백성을 지키는 사자의 이빨[2]
TalentSkillData_Desc_1371	민들레의 바람 속에서 아군 유닛은 바람의 수호를 받아 받는 피해가 24% 감소한다. 민들레의 바람을 떠난 후 바람의 수호는 피격 3회 혹은 10초 후 사라진다
TalentSkillData_Name_1372	백성을 지키는 사자의 이빨[3]
TalentSkillData_Desc_1372	민들레의 바람 속에서 아군 유닛은 바람의 수호를 받아 받는 피해가 36% 감소한다. 민들레의 바람을 떠난 후 바람의 수호는 피격 3회 혹은 10초 후 사라진다
AvatarData_Desc_10000003	몬드성 페보니우스 기사단의 단장 대행. 바람을 이끄는 아주 신뢰할 수 있는 인물
AvatarData_Name_10000005	여행자
AvatarSkillData_Name_10054	주인공 5연격
AvatarSkillData_Desc_10054	한손검 5연격
AvatarSkillData_Name_10067	회오리 검
AvatarSkillData_Desc_10067	페이몬과 형태가 없는 바람을 어떻게 쥘 것인가에 관해 토론한 적 있다.\n전방에 바람의 힘을 모아 바람 속성의 에너지볼을 만들어 적에게 지속 피해를 준다.\n에너지볼은 폭발할 때 적에게 강력한 바람 속성의 피해를 주고 범위 내의 적을 넉백시킨다.\n버튼을 길게 누르면 에너지볼의 대미지와 범위가 시간이 지남에 따라 증가하고 폭발할 때 더욱 강한 폭발 대미지와 넉백 효과를 가진다, 최대 지속 시간 1.6초.\n에너지볼이 물/불/얼음/번개 원소에 닿으면 해당 원소 피해가 추가된다. 이러한 속성의 변화는 1번만 발생한다.\n기본 지속 대미지: 0.25초당 공격력의 25%\n최대 지속 대미지: 0.25초당 공격력의 45%\n기본 폭발 대미지: 공격력의 240%\n최대 폭발 대미지: 공격력의 300%\n에너지볼 기본 범위: 1.7m\n에너지볼 최대 범위: 3m\n기본 재사용 대기시간: 5초\n최대 재사용 대기시간: 8초\n원소 타입: 바람
AvatarSkillData_Name_10068	격동의 바람
AvatarSkillData_Desc_10068	페이몬과 함께 나비의 날갯짓에 대해 연구한 적 있다.\n전방을 향해 계속 전진하는 토네이도를 소환하여 경로상의 물체와 적을 감아올려 바람 속성 피해를 주고 속박 상태로 만든다.\n만약 이동 도중에 물/불/얼음/번개 원소에 닿으면 해당 속성을 획득하고, 획득한 원소 피해가 추가된다. 이런 속성의 변화는 1회만 발생한다.\n스킬 대미지: 0.5초당 공격력의 80%\n영향 범위: 2.5m\n이동 속도: 초당 4.5m\n지속 시간: 6초\n재사용 대기시간: 25초\n원소 에너지: 60\n원소 타입: 바람
AvatarSkillData_Name_10077	주인공 바위 속성-붕옥
AvatarSkillData_Desc_10077	
AvatarSkillData_Name_10078	주인공 바위 속성-암조
AvatarSkillData_Desc_10078	
TalentSkillData_Name_1481	여행자의 바람[1]
TalentSkillData_Desc_1481	파티 내 모든 캐릭터의 HP 최대치가 6%, 바람 속성 내성이 6% 증가한다
TalentSkillData_Name_1482	여행자의 바람[2]
TalentSkillData_Desc_1482	파티 내 모든 캐릭터의 HP 최대치가 9%, 바람 속성 내성이 9% 증가한다
TalentSkillData_Name_1483	여행자의 바람[3]
