ID	文本
DocumentData_Title_100110	시 단편(상)
DocumentData_Title_100111	시 단편(중)
DocumentData_Title_100112	시 단편(하)
DocumentData_Title_100171	보물의 단서(1)
DocumentData_Title_100172	보물의 단서(2)
DocumentData_Title_100173	보물지도
DocumentData_Title_100178	소녀 베라의 우울·권1
DocumentData_Title_100179	소녀 베라의 우울·권2
DocumentData_Title_100180	소녀 베라의 우울·권3
DocumentData_Title_100181	신과 함께·프롤로그
DocumentData_Title_100182	바네사 전기·상편
DocumentData_Title_100183	바네사 전기·하편
DocumentData_Title_100184	디어 헌터 금일 추천
DocumentData_Title_100185	다운 와이너리 모집서
DocumentData_Title_100188	민들레밭의 여우·권1
DocumentData_Title_100189	민들레밭의 여우·권2
DocumentData_Title_100190	민들레밭의 여우·권3
DocumentData_Title_100191	민들레밭의 여우·권5
DocumentData_Title_100192	민들레밭의 여우·권6
DocumentData_Title_100193	민들레밭의 여우·권7
DocumentData_Title_100194	민들레밭의 여우·권10
DocumentData_Title_100195	민들레밭의 여우·권11
DocumentData_Title_100196	츄츄족 시집선·상
DocumentData_Title_100197	츄츄족 시집선·하
DocumentData_Title_100198	소녀 베라의 우울·권5
DocumentData_Title_100199	소녀 베라의 우울·권9
DocumentData_Title_100200	소녀 베라의 우울·권10
DocumentData_Title_100201	숲속의 바람·스토리 발췌
DocumentData_Title_100202	멧돼지 공주·권1
DocumentData_Title_100203	멧돼지 공주·권2
DocumentData_Title_100204	멧돼지 공주·권3
DocumentData_Title_100205	멧돼지 공주·권4
DocumentData_Title_100206	멧돼지 공주·권5
DocumentData_Title_100207	멧돼지 공주·권7
DocumentData_Title_100208	몬드의 고탑·제1권
DocumentData_Title_100213	숲속의 바람 분실분·용의 서
MainQuestData_Title_347	읽기 차지
MainQuestData_Desc_347	
MainQuestData_Title_348	캣테일 술집 메모판
MainQuestData_Desc_348	
MainQuestData_Title_349	몬드 백화점 주문보드
MainQuestData_Desc_349	
MainQuestData_Title_350	게임 시작 비밀 퀘스트 실행
MainQuestData_Desc_350	
MainQuestData_Title_351	방랑자의 발자취
MainQuestData_Desc_351	일출 무렵, 호숫가 모래톱에서 깨어난다
MainQuestData_Title_362	사과 튜토리얼
MainQuestData_Desc_362	 
MainQuestData_Title_352	내려다본 경치 
MainQuestData_Desc_352	깨어나자 옆에 있는 것은, 기묘한 파트너인 페이몬이다
MainQuestData_Title_353	심상치 않은 권력
MainQuestData_Desc_353	페이몬의 제안에 따라 「일곱신상」에 가보기로 했다
MainQuestData_Title_361	날아가는 풍마룡
MainQuestData_Desc_361	
MainQuestData_Title_355	드래곤과의 조우
MainQuestData_Desc_355	페이몬의 안내로 일곱신상의 앞으로 왔다. 신상을 통해 바람의 원소의 힘을 느낀 주인공에게 페이몬은「바람」의 도시——몬드성으로 가보라며 제안한다
MainQuestData_Title_354	바람을 따라 온 기사
MainQuestData_Desc_354	드래곤과 수수께끼 인물의 만남의 순간을 옅보게 되었다. 하지만 드래곤의 포효에 불길한 예감을 느끼게 된다. 그 후 계속 길을 나서려 하는 당신의 앞에 날렵한 소녀 기사가 나타나 길을 가로막게 되는데...
MainQuestData_Title_360	가벼운 바람과 함께
MainQuestData_Desc_360	엠버라는 정찰 기사가 몬드성까지 바래다주겠다고 제안한다. 하지만 그전에 엠버의 임무부터 완성해야 한다
MainQuestData_Title_356	자유의 도시
MainQuestData_Desc_356	엠버를 도와 주위에 있는 츄츄족 야영지를 처리한 뒤 계속하여 몬드성으로 떠났다
MainQuestData_Title_357	용의 재앙
MainQuestData_Desc_357	드디어 자유의 도시--몬드에 도착했다. 하지만 평온해야 할 몬드는 전에 맞닥뜨린 신비한 드래곤——풍마룡의 습격을 받고 있었다
MainQuestData_Title_358	페보니우스 기사단
MainQuestData_Desc_358	몬드의 바람을 타고 어렵게 풍마룡을 격퇴하고 나서 드디어 한숨을 돌리나 싶을 때 페보니우스 기사단의 케이아가 기사단 본부로 초대하였다
MainQuestData_Title_359	몬드성과 세개의 던전
MainQuestData_Desc_359	숨겨진 임무, 몬드성의 날씨와 세개 던전의 광선 특수 효과 제어하라
MainQuestData_Title_306	지난날의 바람
MainQuestData_Desc_306	풍마룡의 습격에 걱정하는 기사단 단장 진이 그녀의 계획을 설명한다. 풍마룡을 저지하기 위해서 풍마룡과 폐허에 남은 힘을 쟁탈해야 한다. 이를 위해 엠버가 서방의 매 사당 입구에서 기다리고 있다
MainQuestData_Title_307	기사의 현장학습
MainQuestData_Desc_307	풍마룡이 몬드성에 파괴할 힘을 얻지 못하게 하기 위해 북방의 늑대 사당으로 가서 케이아와 합류했다
MainQuestData_Title_308	페이지 속의 스파크
MainQuestData_Desc_308	풍마룡이 풍맥의 힘을 얻지 못하게 하기 위해 리사가 기다리고 있는 남방의 사자 사당으로 가야한다
MainQuestData_Title_309	몬드 주변
MainQuestData_Desc_309	
MainQuestData_Title_310	새 동료 모집
MainQuestData_Desc_310	 
MainQuestData_Title_311	1단계 종료
MainQuestData_Desc_311	히든 퀘스트: 1단계 종료 후 페이몬과 대화
MainQuestData_Title_312	리사 던전, 책 보상
MainQuestData_Desc_312	
MainQuestData_Title_301	몬드 메인 스토리1
MainQuestData_Desc_301	
MainQuestData_Title_304	풍마룡이 남긴 슬라임 처치
MainQuestData_Desc_304	
MainQuestData_Title_305	벤티 구출
MainQuestData_Desc_305	
MainQuestData_Title_363	제 1막에서 시작하는 비밀 퀘스트 제어
MainQuestData_Desc_363	
MainQuestData_Title_370	그림자가 드리운 몬드
MainQuestData_Desc_370	주인공 일행과 기사단의 분전으로 몬드의 원소 흐름이 마침내 정상으로 돌아온다. 그러나 케이아에게는 또 다른 걱정이 있는 듯하다
MainQuestData_Title_371	예상치 못한 만남
