ID	文本
WeaponData_Name_11101	무인검
WeaponData_Desc_11101	소년의 꿈, 여정에 오른 흥분——이 두 가지의 소중한 자질이 아직 날카롭지 않다면 용기로 때우자
WeaponData_Name_11201	실버 소드
WeaponData_Desc_11201	퇴마에 사용되는 실버 소드. 모두가 알고 있는 것처럼 사용 재료는 순은이 아니라 은 합금이다
WeaponData_Name_11301	암강검
WeaponData_Desc_11301	해남의 신흥 공예로 만들어진 각종 전장에서 사용할 수 있는 한손 무기
WeaponData_Name_11302	여명신검
WeaponData_Desc_11302	오래전에 아침 햇살처럼 빛나던 보검. 이 검을 가진 자는 근거 없는 자신감에 가득 차게 된다. 검신의 빛나던 발광 재료는 이미 사라졌다
WeaponData_Name_11303	여행자의 검
WeaponData_Desc_11303	손에 맞는 강철검. 칼자루에 가위, 확대경, 부싯깃 등 작은 여행 용품들이 들어있다
WeaponData_Name_11304	암철검
WeaponData_Desc_11304	그저 조금 검은 강철검일 뿐이다
WeaponData_Name_11305	착호 생선회칼
WeaponData_Desc_11305	회를 뜨는데 쓰이는 좁고 긴 예리한 철검. 무뎌지기 쉽지만 정말 예리하다
WeaponData_Name_11306	비천어검
WeaponData_Desc_11306	믿음직한 강철검, 예전에 이 검을 이용해 하늘을 날려고 시도를 한 사람이 있었다
WeaponData_Name_11401	페보니우스 소드
WeaponData_Desc_11401	페보니우스 기사단의 제식 장검. 가볍고 예리한 것 이외에 원소의 힘을 쉽게 끌어낼 수 있다
WeaponData_Name_11402	피리검
WeaponData_Desc_11402	가는 검의 녹슨 표면 아래에 화려한 장식이 은은히 드러난다. 너무 가벼워 휘두를 때 손에 아무런 느낌이 안 든다
WeaponData_Name_11403	제례검
WeaponData_Desc_11403	기나긴 세월을 거쳐 석화한 검은 의례적인 장식이 여전히 선명하게 보인다. 시간의 바람에 씻긴 축복의 힘을 보유하고 있다
WeaponData_Name_11404	로얄 롱소드
WeaponData_Desc_11404	몬드를 지배했던 옛 귀족의 패검. 정교한 장식과 문양은 소유자의 신분을 보여준다
WeaponData_Name_11405	용의 포효
WeaponData_Desc_11405	조각 문양은 조금 과장된 느낌이 있지만 검의 유연도와 예리함은 손색이 없다. 공기를 가를 때 용의 포효가 들린다
WeaponData_Name_11406	참암검 프로토타입
WeaponData_Desc_11406	흑암 공장에 비밀히 보관된 장검. 수많은 바위를 베어도 칼날이 휘지 않는다. 공예나 소재, 모두가 걸출하다
WeaponData_Name_11407	강철 가시
WeaponData_Desc_11407	외형이 유려하고 늘씬한 래피어는 이국에서 상로를 거쳐 루니아로 전해져 온 기이한 병기이다. 경쾌하기 그지없고 검날이 매우 날카롭다
WeaponData_Name_11408	흑암검
WeaponData_Desc_11408	흑암 공장의 최고 규격의 양산 병기는 테스트 수치로 볼 때 강철도 절단할 수 있다. 매우 날카롭다
WeaponData_Name_11501	매의 검
WeaponData_Desc_11501	페보니우스 기사단의 영혼은 천 년이 지난 지금도, 예전에 이 검을 휘둘렀던 여걸처럼 정의의 바람으로 간악한 자들을 물리쳐줄 주인을 부르고 있다
WeaponData_Name_11502	천공의 칼날
WeaponData_Desc_11502	풍마룡의 되찾은 영광을 상징하는 기사검. 검에 바람 신의 축복이 깃들어 있으며, 하늘과 바람의 힘을 지니고 있다
WeaponData_Name_11503	보레알레스의 애가
WeaponData_Desc_11503	원래는 보레알레스의 기사들이 사용하던 강철검이었지만 그의 전설과 출신의 미스터리에서 신화적인 힘이 탄생했다
WeaponData_Name_11504	방랑하는 전원시
WeaponData_Desc_11504	전설에 따르면, 바람의 신과 동행한 시인이 하사받은 가는 검으로, 하사받은 이유는 그의 자유로움과 전원의 고요함 때문이라고 한다
WeaponData_Name_11505	곤오 무명
WeaponData_Desc_11505	유리를 종잇장처럼 벨 수 있는 장검은 명장 곤오의 전성시기 재능이 들어있다. 휘두를 때 검객과 무명이 일심동체가 된다
WeaponData_Name_11506	이끼 대검
WeaponData_Desc_11506	이끼가 파릇파릇한 바위칼은 바위의 신의 훈계와 축복을 받았다. 외형의 굵기는 치명적인 기만성을 가지고 있다
WeaponData_Name_11507	공허한 운명
WeaponData_Desc_11507	최초에 선인은 잃어버린 힘을 이 검으로 메꿨다고 한다. 수많은 요괴를 참살하고, 결국에는 과거의 동족들도 멸망시켰다고 한다
WeaponData_Name_12101	훈련용 대검
WeaponData_Desc_12101	비록 그저 검 모양으로 만든 두꺼운 쇠붙이일 뿐이지만, 의지가 강한 사람은 이 대검으로 거대한 바위도 벨 수 있다
WeaponData_Name_12201	용병 중검
WeaponData_Desc_12201	수많은 전쟁과 오랜 세월을 견뎌낸 무겁고 단단한 대검
WeaponData_Name_12301	아이언 섀도우 클레이모어
WeaponData_Desc_12301	이 검은 유명한 빛의 사자 앨런 델린의 패검의 모조품이다. 그것을 움켜쥐고 전설적인 대영웅의 힘을 느껴보세요! 주의: 환상은 적당히
WeaponData_Name_12302	드래곤 블러드 소드
WeaponData_Desc_12302	북쪽의 영웅이 용혈에 적셨다는 강철 대검으로 칼과 총알이 꿰뚫을 수 없는 신력이 깃들어있다... 하지만 이런 가호는 휘두르는 사람의 몸에까지 적용되지 않는다
WeaponData_Name_12303	백주철 대검
WeaponData_Desc_12303	백주철로 단조한 양손검으로 무게와 강도가 견고하다. 평범한 사람도 쉽게 다룰 수 있고 힘센 사람의 손에 들어가면 위력이 더욱 강력해진다
WeaponData_Name_12304	석영대검
WeaponData_Desc_12304	단순하면서도 품격이 있는 대검으로 해안 상회의 전임 수석 회계사 양석영이 설계했다. 비록 양 회계사는 뇌물 수수로 파면되었지만 이 손에 맞는 중병기는 아직도 루니아 모험가들 사이에서 유행하고 있다
WeaponData_Name_12305	도리의 몽둥이
WeaponData_Desc_12305	파인 스틸로 만들어진 쇠몽둥이. 가장 좋은 이론의 근거이다
WeaponData_Name_12306	비천대어검
WeaponData_Desc_12306	믿음직한 대검. 도리는 클수록 좋다, 그러니 검도 클수록 좋다
WeaponData_Name_12401	페보니우스 클레이모어
WeaponData_Desc_12401	페보니우스 기사단의 제식 중형 무기. 원소의 힘을 쉽게 끌어낼 수 있고 파괴력이 상당하다
WeaponData_Name_12402	시간의 검
WeaponData_Desc_12402	상처투성이의 대검, 원래 가득했던 장식물과 추억은 모두 사라진 지 오래다
WeaponData_Name_12403	제례 대검
WeaponData_Desc_12403	기나긴 세월을 거쳐 석화한 대검은 의례적인 장식이 여전히 선명하게 보인다. 시간의 바람에 씻긴 축복의 힘을 보유하고 있다
WeaponData_Name_12404	로얄 그레이트소드
WeaponData_Desc_12404	몬드를 지배했던 옛 귀족의 대검. 재료가 아주 훌륭하고, 오랜 세월이 지나도 여전히 새롭다. 귀족의 전투 병기이다
WeaponData_Name_12405	호랑이의 포효
WeaponData_Desc_12405	조각 문양은 수수하지만 중량과 단단함을 잃지 않았다. 공기를 가를 때 호랑이의 포효가 들린다
WeaponData_Name_12406	고대 중검 프로토타입
WeaponData_Desc_12406	흑암 공장에 비밀히 보관된 대도. 휘두를 때의 위력은 공간마저 베어버릴 기세이다
WeaponData_Name_12407	백영검
WeaponData_Desc_12407	일부분이 날이 세워있지 않은 이국적인 대검은 상로를 거쳐 루니아로 전해져왔다. 이 검을 잘 이해하고 있는 사람의 손에 들어가면 파괴력이 대단하다
WeaponData_Name_12408	흑암참도
WeaponData_Desc_12408	흑암 공장의 최고 규격의 양산 병기는 테스트 수치로 볼 때 강철도 절단할 수 있다. 매우 날카롭다
WeaponData_Name_12501	천공의 자부심
WeaponData_Desc_12501	풍마룡의 자부심을 상징하는 양손검. 바람을 가르는 소리는 마치 풍마룡의 기세처럼 하늘과 바람의 힘을 지니고 있다
WeaponData_Name_12502	늑대의 말로
WeaponData_Desc_12502	늑대의 기사가 사용하던 대검. 원래는 성안의 대장장이가 증여한 두터운 철조각이었지만 기사와 늑대의 우정 속에서 신화적인 힘이 탄생했다
WeaponData_Name_12503	혁신의 풍자문
WeaponData_Desc_12503	전설에 따르면, 바람의 신과 동행한 시인이 하사받은 대검으로, 하사받은 이유는 그의 혁신의 용기와 신랄한 풍자 때문이라고 한다
WeaponData_Name_12504	곤오 쐐기검
WeaponData_Desc_12504	명장 곤오가 밀랍으로 만든 중검은 요괴를 물리칠 수 있다. 손에 쥐고 있으면 요괴들을 두려움에 떨게 하는 위엄을 느낄 수 있다
WeaponData_Name_12505	고래 비녀
WeaponData_Desc_12505	시간이라는 개념이 생길 때부터 마신과 함께한 고래 비녀. 지금은 대검의 크기로 변해버렸다
WeaponData_Name_12506	괴사
WeaponData_Desc_12506	최초의 선인과 최후의 신수의 이야기의 또 다른 결말로 양자간 화해의 징검다리이다. 날은 없지만 힘차다
WeaponData_Name_13101	초보자의 창
WeaponData_Desc_13101	깃대처럼 곧은 창은 휘두를 때 자못 기세가 있어 능히 대부분의 상황에 대응할 수 있다
WeaponData_Name_13201	철촉창
WeaponData_Desc_13201	한 쪽이 날카로운 공수를 겸비한 호신용 무기. 여행자들 사이에서 매우 유행하고 있다
WeaponData_Name_13301	백술창
WeaponData_Desc_13301	창의 술은 더렵혀지기 쉽지만 더러운 창 술이야말로 장병들이 수많은 전투를 겪은 증명이다
WeaponData_Name_13302	할버드
WeaponData_Desc_13302	도끼와 창을 결합시킨 형태의 무기. 무시할 수 없는 파괴력을 가지고 있다
WeaponData_Name_13303	흑술창
WeaponData_Desc_13303	백술창의 더러워지기 쉬운 문제를 해결한 절세의 창
WeaponData_Name_13401	용학살창
WeaponData_Desc_13401	매우 날카로운 금빛 용이 휘감긴 창. 쉽게 용을 죽일 수 있다
WeaponData_Name_13402	별의 낫 프로토타입
WeaponData_Desc_13402	흑암 공장에 비밀히 보관된 낫. 휘두를 때의 위력은 공간마저 베어버릴 기세이다
WeaponData_Name_13403	반월창
WeaponData_Desc_13403	창끝이 매우 길고 뿌리 부분이 반달 모양의 칼날로 갈라진 이국의 병기. 상로를 거쳐 루니아로 전해져왔다. 조금만 연습하면 아주 뛰어난 살상력을 발휘할 수 있다
WeaponData_Name_13404	흑암 스피어
WeaponData_Desc_13404	최고 규격의 양산 병기 자랑스럽게 공장의 이름을 붙였다. 칼날은 길고 날카로우며 길이와 균형을 이루는 힘이 아주 적절하다 
WeaponData_Name_13504	곤오 무지개베기
WeaponData_Desc_13504	명장 곤오가 운석으로 만든 장창, 예리함은 무지개도 벨 수 있을 정도다. 휘두를 때 마치 창의 날로 공기를 가르는듯한 착각이 든다
