ID	文本
TextMapData_TextMapContent_FightPropType	전투 속성 열거
TextMapData_TextMapContent_FIGHT_PROP_BASE_HP	HP
TextMapData_TextMapContent_FIGHT_PROP_HP	HP
TextMapData_TextMapContent_FIGHT_PROP_HP_PERCENT	HP 강화
TextMapData_TextMapContent_FIGHT_PROP_BASE_ATTACK	공격력
TextMapData_TextMapContent_FIGHT_PROP_ATTACK	공격력
TextMapData_TextMapContent_FIGHT_PROP_ATTACK_PERCENT	공격력 강화
TextMapData_TextMapContent_FIGHT_PROP_BASE_DEFENSE	방어력
TextMapData_TextMapContent_FIGHT_PROP_DEFENSE	방어력
TextMapData_TextMapContent_FIGHT_PROP_DEFENSE_PERCENT	방어력 강화
TextMapData_TextMapContent_FIGHT_PROP_BASE_SPEED	이동속도
TextMapData_TextMapContent_FIGHT_PROP_SPEED_PERCENT	이동속도
TextMapData_TextMapContent_FIGHT_PROP_CRITICAL	치명타 확률
TextMapData_TextMapContent_FIGHT_PROP_ANTI_CRITICAL	치명타 내성
TextMapData_TextMapContent_FIGHT_PROP_CRITICAL_HURT	치명타 피해
TextMapData_TextMapContent_FIGHT_PROP_CHARGE_EFFICIENCY	원소 에너지 충전 효율
TextMapData_TextMapContent_FIGHT_PROP_ADD_HURT	대미지 증가
TextMapData_TextMapContent_FIGHT_PROP_SUB_HURT	받는 대미지 감소
TextMapData_TextMapContent_FIGHT_PROP_HEAL_ADD	회복량 강화
TextMapData_TextMapContent_FIGHT_PROP_HEALED_ADD	받는 회복량 강화
TextMapData_TextMapContent_FIGHT_PROP_FIRE_ADD_HURT	불 원소 대미지 강화
TextMapData_TextMapContent_FIGHT_PROP_FIRE_SUB_HURT	불 원소 내성
TextMapData_TextMapContent_FIGHT_PROP_WATER_ADD_HURT	물 원소 대미지 강화
TextMapData_TextMapContent_FIGHT_PROP_WATER_SUB_HURT	물 원소 내성
TextMapData_TextMapContent_FIGHT_PROP_GRASS_ADD_HURT	풀 원소 대미지 강화
TextMapData_TextMapContent_FIGHT_PROP_GRASS_SUB_HURT	풀 원소 내성
TextMapData_TextMapContent_FIGHT_PROP_ELEC_ADD_HURT	번개 원소 대미지 강화
TextMapData_TextMapContent_FIGHT_PROP_ELEC_SUB_HURT	번개 원소 내성
TextMapData_TextMapContent_FIGHT_PROP_ICE_ADD_HURT	얼음 원소 대미지 강화
TextMapData_TextMapContent_FIGHT_PROP_ICE_SUB_HURT	얼음 원소 내성
TextMapData_TextMapContent_FIGHT_PROP_WIND_ADD_HURT	바람 원소 대미지 강화
TextMapData_TextMapContent_FIGHT_PROP_WIND_SUB_HURT	바람 원소 내성
TextMapData_TextMapContent_FIGHT_PROP_ROCK_ADD_HURT	바위 원소 대미지 강화
