ID	文本
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_CONTINUE_TEXT	C<size=40>ONTINUE</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_CONTINUE_LABEL	계속하기
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_CONTINUE_TIPS	이어서 하기
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_NEWGAME_TEXT	N<size=40>EW</size> G<size=40>AME</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_NEWGAME_LABEL	NEW GAME
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_NEWGAME_TIPS	처음부터
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_GALLERY_TEXT	G<size=40>ALLERY</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_GALLERY_LABEL	갤러리
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_GALLERY_TIPS	컨셉아트
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_EXIT_TEXT	E<size=40>XIT</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_EXIT_LABEL	나가기
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_EXIT_TIPS	게임에서 나가기
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_OPTION	설정
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_PLAYER	캐릭터
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_SHOP	알파 테스트 상점
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_TIME	시간
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_FEEDBACK	피드백
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_BULLETIN	공지
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_HANDBOOK	가이드
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_MAINMENU	M<size=40>AIN</size> M<size=40>ENU</size>
TextMapUIStcData_TextMapContent_UI_STC_GAMEENTRYPAGE_LEVEL	LEVEL
TextMapUIStcData_TextMapContent_UI_STC_SHOPPAGE_NEED_MATERIALS	필요한 소재
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_BAG	배낭
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_WEIGHT	COST
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_DROP_TITLE	버리기
TextMapUIStcData_TextMapContent_UI_STC_BAGPAGE_DROP_WARNING	{0}을(를) 버리시겠습니까?
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_WEAPON	무기
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_RELIC	성유물
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_SKILL	스킬
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_BACK	돌아가기
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_COST	파티 소모
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_AVATAR	속성
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_LEVEL_UP	레벨업
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_STAR_UP	돌파
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_MAX_EXP	레벨이 최대치에 도달했습니다
TextMapUIStcData_TextMapContent_UI_STC_CHARACTER_PAGE_LEVEL_NOT_ENOUGH	레벨이 낮아 돌파할 수 없습니다
TextMapUIStcData_TextMapContent_UI_STC_USEMATERIALDIALOG_USENUM	사용 수량
TextMapUIStcData_TextMapContent_UI_STC_USEMATERIALDIALOG_DROPLINK	획득
TextMapUIStcData_TextMapContent_UI_STC_USEMATERIALDIALOG_NOITEM	사용할 수 잆는 경험치 아이템이 없습니다
TextMapUIStcData_TextMapContent_UI_STC_MAP_SCENE_EXPLORE	탐사도
TextMapUIStcData_TextMapContent_UI_STC_MAP_AREA_LOCKED	미해금
TextMapUIStcData_TextMapContent_UI_STC_MAP_AREA_UNLOCKED	해금 완료
TextMapUIStcData_TextMapContent_UI_STC_LEVELUP_DIALOG_TITLE	레벨업
TextMapUIStcData_TextMapContent_UI_STC_LEVELUP_DIALOG_OK	확인
TextMapUIStcData_TextMapContent_UI_STC_STARUP_DIALOG_TITLE	돌파
TextMapUIStcData_TextMapContent_UI_STC_STARUP_DIALOG_PROPERTY_CHANGE	속성 변경
TextMapUIStcData_TextMapContent_UI_STC_STARUP_DIALOG_NEED_MATERIAL	필요한 소재
TextMapUIStcData_TextMapContent_UI_STC_AWAKENUP_DIALOG_TITLE	제련
TextMapUIStcData_TextMapContent_UI_STC_CHARACTERPAGE_TALENT	특성
TextMapUIStcData_TextMapContent_UI_STC_TALENT_LOCKED	<color=#FF5E41FF>아직 특성이 없습니다</color>
TextMapUIStcData_TextMapContent_UI_STC_LOGOUT	로그아웃
TextMapUIStcData_TextMapContent_UI_STC_BAG_NOITEM_TIP1	사용할 수 있는 아이템이 없습니다
TextMapUIStcData_TextMapContent_UI_STC_BAG_NOITEM_TIP2	텅 비어 있습니다
TextMapUIStcData_TextMapContent_UI_STC_DUNGEONENTRYPAGE_DungeonEntry	던전 입구
