ID	文本
TrialAvatarData_TrialAvatarName_1	엠버 체험
TrialAvatarData_TrialAvatarName_2	케이아 체험
TrialAvatarData_TrialAvatarName_3	리사 체험
TrialAvatarData_TrialAvatarName_4	다이루크 체험
TrialAvatarData_TrialAvatarName_5	벤티 체험
TrialAvatarData_TrialAvatarName_6	케이아 체험
CampData_Comment_1001	유저 캐릭터
CampData_Comment_1002	유저 수행원 (몬스터만 적대)
CampData_Comment_2001	초식동물
CampData_Comment_3001	육식동물
CampData_Comment_4001	망자
CampData_Comment_4002	붕괴수
CampData_Comment_4003	마신
CampData_Comment_5001	켄리아 장치
CampData_Comment_9001	풀
CampData_Comment_9002	물
CampData_Comment_9999	환경
CampData_Comment_5100	번개돌
CampData_Comment_6666	전기 파일 테스트
DieTypeTipsData_Tips1_1	먼 산을 볼 때도 발밑을 조심하자
DieTypeTipsData_Tips2_1	 
DieTypeTipsData_Tips3_1	 
DieTypeTipsData_Tips4_1	 
DieTypeTipsData_Tips1_2	스태미나와 주변 지형을 잘 살피자. 부주의로 추락하면 상응하는 피해를 받는다
DieTypeTipsData_Tips2_2	 
DieTypeTipsData_Tips3_2	 
DieTypeTipsData_Tips4_2	 
DieTypeTipsData_Tips1_3	수영 도중엔 스태미나가 자동으로 회복되지 않으며, 스태미나가 고갈되면 익사한다. 스태미나를 주의하자
DieTypeTipsData_Tips2_3	 
DieTypeTipsData_Tips3_3	 
DieTypeTipsData_Tips4_3	 
DieTypeTipsData_Tips1_4	전투 중 HP가 낮으면 음식을 섭취해 HP를 회복하자
DieTypeTipsData_Tips2_4	가끔은 삼십육게 줄행랑이 최고의 선택
DieTypeTipsData_Tips3_4	적의 수와 특징을 자세히 관찰한 뒤 공격 계책을 신중하게 세우자
DieTypeTipsData_Tips4_4	 
DieTypeTipsData_Tips1_5	거대방패의 정면 방어는 거의 뚫을 수 없으니 뒤에서 공격하는 게 유리하다
DieTypeTipsData_Tips2_5	나무 재질의 거대방패는 불에 쉽게 탄다. 츄츄족 폭도는 거대방패를 잃게 되면 방어 능력을 상실한다
DieTypeTipsData_Tips3_5	만약 거대방패에 물원소가 있을 경우엔 불이 잘 붙지 않는다
DieTypeTipsData_Tips4_5	츄츄족 폭도-방패가 방패를 들고 돌진할 경우 엄청난 대미지를 가한다. 이를 회피하고 반격의 기회를 잡아라
DieTypeTipsData_Tips1_6	도끼가 불타고 있을 땐 츄츄족 폭도의 공격력이 대폭 상승한다
DieTypeTipsData_Tips2_6	불타는 도끼는 다른 원소의 영향을 받는다. 원소 간의 상성을 효과적으로 이용해 승리를 차지하라
DieTypeTipsData_Tips3_6	물원소를 사용해 불타는 도끼를 빨리 진화할 수 있다
DieTypeTipsData_Tips4_6	츄츄족 폭도가 도끼에 불을 붙이려고 할 때가 공격하기에 가장 좋은 시기이다
DieTypeTipsData_Tips1_7	광풍의 핵으로 소환된 폭풍이 만들어내는 윈드 필드를 이용하면 공중으로 날아오르면서 공격을 피할 수 있다
DieTypeTipsData_Tips2_7	광풍의 핵은 매우 강력한 기동성을 가지고 있다. 물원소와 얼음원소를 이용해 얼린다면 위협을 효과적으로 줄일 수 있다
DieTypeTipsData_Tips3_7	광풍의 핵은 폭풍의 돌진을 사용하고 난 뒤엔 일시적으로 힘이 고갈된다. 이때가 반격하기에 가장 좋은 시기이다
DieTypeTipsData_Tips4_7	 
DieTypeTipsData_Tips1_8	심연 메이지-불의 화염은 매우 위험하니 점화 상태에 빠지지 않도록 주의하자
DieTypeTipsData_Tips2_8	심연 메이지-불의 실드는 불원소로 구성되어 있기에 물원소로 공격하면 효과적으로 파괴할 수 있다
DieTypeTipsData_Tips3_8	 
DieTypeTipsData_Tips4_8	 
DieTypeTipsData_Tips1_9	습기 상태가 되면 심연 메이지-얼음의 얼음원소 공격을 조심해야 한다
DieTypeTipsData_Tips2_9	심연 메이지-얼음의 실드는 얼음원소로 구성되어 있기에 불원소로 공격하면 효과적으로 파괴할 수 있다
DieTypeTipsData_Tips3_9	 
DieTypeTipsData_Tips4_9	 
DieTypeTipsData_Tips1_10	심연 메이지-물의 공격은 상대방을 습기 상태에 빠트린다. 이 때 얼음원소 공격을 받게되면 동결 상태에 빠진다
DieTypeTipsData_Tips2_10	심연 메이지-물의 실드는 물원소로 구성되어 있기에 번개속성으로 공격하면 효과적으로 파괴할 수 있다
DieTypeTipsData_Tips3_10	심연 메이지-물의 물방울에 적중되면 잠시 움직일 수 없어서 위험하다
DieTypeTipsData_Tips4_10	 
DieTypeTipsData_Tips1_11	불타고 있는 파이어 슬라임이 처치되면 폭발하게 된다
DieTypeTipsData_Tips2_11	물원소로 파이어 슬라임의 불을 진화할 수 있다. 물원소를 이용해 공격하거나 물원소 환경을 이용하면 위협을 효과적으로 줄일 수 있다
DieTypeTipsData_Tips3_11	 
DieTypeTipsData_Tips4_11	 
DieTypeTipsData_Tips1_12	불타고 있는 파이어 슬라임이 처치되면 폭발하게 된다
DieTypeTipsData_Tips2_12	물원소로 파이어 슬라임의 불을 진화할 수 있다. 물원소를 이용해 공격하거나 물원소 환경을 이용하면 위협을 효과적으로 줄일 수 있다
DieTypeTipsData_Tips3_12	 
DieTypeTipsData_Tips4_12	 
DieTypeTipsData_Tips1_13	원소 반응을 일으키기 어려운 바위 슬라임을 상대할 때도 방심해선 안 된다
DieTypeTipsData_Tips2_13	 
DieTypeTipsData_Tips3_13	 
DieTypeTipsData_Tips4_13	 
